time;latitude;longitude;velocity
2025-08-28T06:15:11.806Z;46.2703959;6.9469649;0.0
2025-08-28T06:15:16.808Z;46.2703959;6.9469649;0.0
2025-08-28T06:15:21.804Z;46.2703925;6.9469579;0.44
2025-08-28T06:15:26.805Z;46.2702942;6.9467473;6.49
2025-08-28T06:15:31.806Z;46.2701495;6.9463225;6.74
2025-08-28T06:15:36.804Z;46.2701544;6.9460221;2.74
2025-08-28T06:15:41.804Z;46.2702858;6.9458953;5.71
2025-08-28T06:15:46.803Z;46.2706346;6.9458532;7.36
2025-08-28T06:15:51.806Z;46.2708816;6.9459516;4.88
2025-08-28T06:15:56.802Z;46.2710625;6.9458343;6.02
2025-08-28T06:16:01.803Z;46.27128;6.9454347;9.66
2025-08-28T06:16:06.802Z;46.2716986;6.9450631;11.83
2025-08-28T06:16:07.803Z;46.271703;6.9450607;12.3
2025-08-28T06:16:11.803Z;46.2722169;6.9446353;14.13
2025-08-28T06:16:16.803Z;46.2727783;6.9441476;14.44
2025-08-28T06:16:21.804Z;46.273321;6.9436074;14.21
2025-08-28T06:16:26.803Z;46.2738091;6.9429872;14.44
2025-08-28T06:16:31.813Z;46.2742683;6.9423208;13.85
2025-08-28T06:16:36.802Z;46.2746601;6.9417215;12.1
2025-08-28T06:16:41.806Z;46.2749509;6.9412789;6.41
2025-08-28T06:16:46.802Z;46.2750704;6.9411029;2.54
2025-08-28T06:16:51.804Z;46.2751083;6.9410439;0.05
2025-08-28T06:16:56.803Z;46.2751819;6.9409242;4.88
2025-08-28T06:17:01.810Z;46.2753921;6.9405911;7.85
2025-08-28T06:17:06.805Z;46.2756122;6.9402466;7.05
2025-08-28T06:17:11.803Z;46.2758203;6.9399487;5.27
2025-08-28T06:17:16.803Z;46.2760119;6.9399527;4.44
2025-08-28T06:17:21.804Z;46.2762065;6.9402248;6.33
2025-08-28T06:17:26.809Z;46.2763182;6.9404178;2.6
2025-08-28T06:17:31.805Z;46.2764169;6.9405943;5.0
2025-08-28T06:17:36.806Z;46.2766168;6.9409603;8.3
2025-08-28T06:17:41.816Z;46.2767626;6.9412745;4.24
2025-08-28T06:17:46.803Z;46.2768702;6.9412728;2.74
2025-08-28T06:17:51.804Z;46.2767484;6.9410799;3.83
2025-08-28T06:17:56.804Z;46.2767146;6.9410042;0.08
2025-08-28T06:18:01.812Z;46.2767146;6.9410042;0.0
2025-08-28T06:18:06.811Z;46.2767146;6.9410042;0.0
2025-08-28T06:18:11.804Z;46.2767146;6.9410042;0.0
2025-08-28T06:18:16.822Z;46.2767146;6.9410042;0.0
2025-08-28T06:18:21.804Z;46.2767146;6.9410042;0.0
2025-08-28T06:18:26.808Z;46.2767044;6.9409854;0.0
2025-08-28T06:18:31.822Z;46.2767044;6.9409854;0.0
2025-08-28T06:18:36.804Z;46.2766484;6.9409198;3.21
2025-08-28T06:18:37.802Z;46.2766251;6.9409048;3.33
2025-08-28T06:18:41.807Z;46.2765038;6.9407336;5.66
2025-08-28T06:18:46.818Z;46.2763089;6.9403649;7.27
2025-08-28T06:18:51.808Z;46.2761288;6.9400245;5.27
2025-08-28T06:18:56.806Z;46.2760255;6.9397298;4.49
2025-08-28T06:19:01.804Z;46.2758963;6.9396578;3.52
2025-08-28T06:19:06.808Z;46.2758089;6.9399187;4.1
2025-08-28T06:19:11.813Z;46.2756711;6.9401299;5.13
2025-08-28T06:19:16.804Z;46.2755107;6.940365;5.38
2025-08-28T06:19:21.804Z;46.275292;6.9406794;7.85
2025-08-28T06:19:26.804Z;46.2749827;6.9411652;11.66
2025-08-28T06:19:31.804Z;46.2745835;6.9417752;13.52
2025-08-28T06:19:36.805Z;46.2741869;6.9423783;13.3
2025-08-28T06:19:41.804Z;46.2737524;6.943015;14.16
2025-08-28T06:19:46.806Z;46.2732461;6.9436296;13.66
2025-08-28T06:19:51.805Z;46.2727473;6.944117;12.88
2025-08-28T06:19:56.804Z;46.2723846;6.9444201;6.21
2025-08-28T06:20:01.804Z;46.2721619;6.9445931;4.83
2025-08-28T06:20:06.803Z;46.2718738;6.9448564;9.6
2025-08-28T06:20:11.804Z;46.2714873;6.9451746;9.91
2025-08-28T06:20:16.806Z;46.2711592;6.945488;7.19
2025-08-28T06:20:21.803Z;46.2709392;6.9456951;6.57
2025-08-28T06:20:26.808Z;46.2706114;6.9458004;7.77
2025-08-28T06:20:31.805Z;46.2702325;6.9458513;8.93
2025-08-28T06:20:36.810Z;46.269756;6.9458658;12.44
2025-08-28T06:20:41.806Z;46.2691783;6.9458901;12.66
2025-08-28T06:20:46.802Z;46.2685842;6.9459105;12.99
2025-08-28T06:20:51.810Z;46.2679864;6.9459339;13.02
2025-08-28T06:20:56.804Z;46.2674145;6.9459456;12.6
2025-08-28T06:21:01.804Z;46.266883;6.9459451;11.19
2025-08-28T06:21:06.815Z;46.2663618;6.9459398;11.35
2025-08-28T06:21:11.807Z;46.2658373;6.9459168;11.99
2025-08-28T06:21:16.812Z;46.2652839;6.9459003;13.55
2025-08-28T06:21:21.804Z;46.2646393;6.9458905;14.21
2025-08-28T06:21:26.808Z;46.2640127;6.9458809;13.24
2025-08-28T06:21:31.805Z;46.2634229;6.9458747;13.75
2025-08-28T06:21:36.813Z;46.2628122;6.9458642;13.27
2025-08-28T06:21:41.810Z;46.2622088;6.9458507;12.99
2025-08-28T06:21:42.805Z;46.2620818;6.9458475;12.85
2025-08-28T06:21:46.804Z;46.2616148;6.9458369;12.96
2025-08-28T06:21:51.804Z;46.2610272;6.9458088;13.55
2025-08-28T06:21:56.803Z;46.2604335;6.9457779;12.77
2025-08-28T06:22:01.805Z;46.2598667;6.9457652;12.58
