time;latitude;longitude;velocity
2025-08-24T12:45:09.019Z;46.9333973;9.7430908;0.39
2025-08-24T12:45:14.008Z;46.9333613;9.7433688;4.03
2025-08-24T12:45:19.007Z;46.9332465;9.743792;6.91
2025-08-24T12:45:24.014Z;46.9331133;9.7442403;7.73
2025-08-24T12:45:29.014Z;46.9329331;9.7446774;7.65
2025-08-24T12:45:34.022Z;46.9327817;9.7451269;7.37
2025-08-24T12:45:39.005Z;46.9326842;9.7455555;7.14
2025-08-24T12:45:43.004Z;46.9325744;9.7459203;7.24
2025-08-24T12:45:44.007Z;46.9325497;9.7459947;7.33
2025-08-24T12:45:49.005Z;46.9324219;9.746462;7.65
2025-08-24T12:45:54.007Z;46.93233;9.7469027;7.06
2025-08-24T12:45:59.022Z;46.9322526;9.7472885;5.93
2025-08-24T12:46:04.018Z;46.9321999;9.7476209;5.48
2025-08-24T12:46:09.006Z;46.9321877;9.747958;5.1
2025-08-24T12:46:14.018Z;46.932222;9.7483343;5.56
2025-08-24T12:46:19.008Z;46.932253;9.7487398;5.98
2025-08-24T12:46:24.012Z;46.9322908;9.7491297;6.45
2025-08-24T12:46:29.008Z;46.9322798;9.7495787;6.77
2025-08-24T12:46:34.014Z;46.9321412;9.7499377;6.46
2025-08-24T12:46:39.009Z;46.9320092;9.7502541;5.44
2025-08-24T12:46:44.004Z;46.9319239;9.7505863;5.43
2025-08-24T12:46:49.006Z;46.9319334;9.7509244;5.22
2025-08-24T12:46:54.017Z;46.9320211;9.751284;5.34
2025-08-24T12:46:59.008Z;46.9320958;9.7516112;5.75
2025-08-24T12:47:04.012Z;46.9320732;9.7520272;5.98
2025-08-24T12:47:09.012Z;46.9319396;9.752381;6.1
2025-08-24T12:47:14.006Z;46.9318269;9.7527293;6.4
2025-08-24T12:47:19.007Z;46.931727;9.7531865;7.03
2025-08-24T12:47:24.009Z;46.9316352;9.7536287;6.88
2025-08-24T12:47:29.013Z;46.9315566;9.7539999;6.24
2025-08-24T12:47:34.007Z;46.9314681;9.7544028;6.19
2025-08-24T12:47:39.005Z;46.9313822;9.7548506;6.95
2025-08-24T12:47:44.015Z;46.9312839;9.7553349;7.53
2025-08-24T12:47:49.004Z;46.931187;9.7558131;7.97
2025-08-24T12:47:54.011Z;46.9311043;9.7563466;7.79
2025-08-24T12:47:57.005Z;46.9310653;9.7566196;7.85
2025-08-24T12:47:59.005Z;46.9310359;9.7568252;7.84
2025-08-24T12:48:04.019Z;46.930959;9.7573628;7.97
2025-08-24T12:48:05.017Z;46.9309432;9.7574734;8.01
2025-08-24T12:48:09.009Z;46.930891;9.7578361;7.67
2025-08-24T12:48:14.013Z;46.9308246;9.7583001;7.3
2025-08-24T12:48:19.009Z;46.9307595;9.7587546;7.38
2025-08-24T12:48:24.010Z;46.9306388;9.759253;7.19
2025-08-24T12:48:29.009Z;46.9305177;9.7596853;7.33
2025-08-24T12:48:34.004Z;46.9304658;9.7601584;7.6
2025-08-24T12:48:39.020Z;46.9304048;9.7606877;7.81
2025-08-24T12:48:44.017Z;46.9302773;9.7612563;9.06
2025-08-24T12:48:49.005Z;46.9301253;9.7618434;9.62
2025-08-24T12:48:54.010Z;46.9299619;9.7624262;9.77
2025-08-24T12:48:55.007Z;46.9299288;9.7625284;9.7
2025-08-24T12:48:59.005Z;46.9297764;9.7629695;9.32
2025-08-24T12:49:04.007Z;46.9296855;9.7635542;8.78
2025-08-24T12:49:09.023Z;46.9296038;9.7640763;8.61
time;latitude;longitude;velocity
2025-08-24T12:45:09.019Z;46.9333973;9.7430908;0.39
2025-08-24T12:45:14.008Z;46.9333613;9.7433688;4.03
2025-08-24T12:45:19.007Z;46.9332465;9.743792;6.91
2025-08-24T12:45:24.014Z;46.9331133;9.7442403;7.73
2025-08-24T12:45:29.014Z;46.9329331;9.7446774;7.65
2025-08-24T12:45:34.022Z;46.9327817;9.7451269;7.37
2025-08-24T12:45:39.005Z;46.9326842;9.7455555;7.14
2025-08-24T12:45:43.004Z;46.9325744;9.7459203;7.24
2025-08-24T12:45:44.007Z;46.9325497;9.7459947;7.33
2025-08-24T12:45:49.005Z;46.9324219;9.746462;7.65
2025-08-24T12:45:54.007Z;46.93233;9.7469027;7.06
2025-08-24T12:45:59.022Z;46.9322526;9.7472885;5.93
2025-08-24T12:46:04.018Z;46.9321999;9.7476209;5.48
2025-08-24T12:46:09.006Z;46.9321877;9.747958;5.1
2025-08-24T12:46:14.018Z;46.932222;9.7483343;5.56
2025-08-24T12:46:19.008Z;46.932253;9.7487398;5.98
