time;latitude;longitude;velocity
2025-08-23T04:06:12.617Z;47.1695898;8.0994942;0.0
2025-08-23T04:06:17.612Z;47.1695898;8.0994942;0.0
2025-08-23T04:06:22.613Z;47.1695898;8.0994942;0.0
2025-08-23T04:06:23.612Z;47.1695898;8.0994942;0.0
2025-08-23T04:06:27.612Z;47.1695898;8.0994942;0.0
2025-08-23T04:06:32.612Z;47.1695898;8.0994942;0.0
2025-08-23T04:06:37.613Z;47.1695898;8.0994942;0.0
2025-08-23T04:06:42.614Z;47.1695898;8.0994942;0.0
2025-08-23T04:06:47.613Z;47.1695898;8.0994942;0.0
2025-08-23T04:06:52.613Z;47.1695686;8.0995251;1.18
2025-08-23T04:06:57.615Z;47.1695496;8.0996626;2.76
2025-08-23T04:07:02.611Z;47.1697323;8.0997542;4.83
2025-08-23T04:07:07.613Z;47.1699372;8.0999552;5.78
2025-08-23T04:07:12.624Z;47.1700256;8.1003716;7.25
2025-08-23T04:07:17.622Z;47.1701447;8.1008592;7.9
2025-08-23T04:07:21.613Z;47.1702519;8.1012722;8.42
2025-08-23T04:07:22.628Z;47.1702784;8.1013821;8.53
2025-08-23T04:07:27.613Z;47.1704083;8.10193;8.89
2025-08-23T04:07:32.611Z;47.1705281;8.1024388;7.04
2025-08-23T04:07:37.613Z;47.1706173;8.1026839;3.33
2025-08-23T04:07:42.613Z;47.1708082;8.1025833;4.96
2025-08-23T04:07:47.613Z;47.1710915;8.1024255;7.52
2025-08-23T04:07:52.612Z;47.1714334;8.1022295;8.63
2025-08-23T04:07:57.615Z;47.1717956;8.1019931;8.59
2025-08-23T04:08:02.611Z;47.172111;8.1018173;6.74
2025-08-23T04:08:07.611Z;47.1723502;8.1017574;4.55
2025-08-23T04:08:12.611Z;47.1725621;8.1015399;6.91
2025-08-23T04:08:17.611Z;47.1729116;8.1013224;8.81
2025-08-23T04:08:22.611Z;47.17321;8.1011621;5.11
2025-08-23T04:08:27.611Z;47.1733716;8.1012802;4.23
2025-08-23T04:08:32.613Z;47.173461;8.1016227;6.26
2025-08-23T04:08:37.612Z;47.1736154;8.1020801;8.7
2025-08-23T04:08:42.611Z;47.1738468;8.1026427;10.91
2025-08-23T04:08:46.613Z;47.1740827;8.1031718;12.52
2025-08-23T04:08:47.611Z;47.1741499;8.1033206;12.81
