time;latitude;longitude;velocity
2025-08-25T22:48:09.014Z;47.4121952;9.2537309;2.29
2025-08-25T22:48:14.015Z;47.4123867;9.2537158;4.09
2025-08-25T22:48:19.022Z;47.4126308;9.2537184;6.36
2025-08-25T22:48:24.017Z;47.412911;9.2537081;6.25
2025-08-25T22:48:29.015Z;47.4131613;9.2537002;5.03
2025-08-25T22:48:34.018Z;47.4132937;9.2536978;1.79
2025-08-25T22:48:39.006Z;47.4133429;9.2535534;2.79
2025-08-25T22:48:44.010Z;47.413328;9.2532219;6.41
2025-08-25T22:48:49.015Z;47.413315;9.2527677;7.24
2025-08-25T22:48:54.018Z;47.4132325;9.2523276;6.75
2025-08-25T22:48:59.009Z;47.4131558;9.2519124;5.92
2025-08-25T22:49:00.024Z;47.4131703;9.2518295;6.01
2025-08-25T22:49:04.006Z;47.4133308;9.251527;7.98
2025-08-25T22:49:09.012Z;47.4135398;9.2510336;9.93
2025-08-25T22:49:14.007Z;47.4136966;9.250433;9.9
2025-08-25T22:49:19.007Z;47.4137684;9.249814;8.9
2025-08-25T22:49:24.007Z;47.4137952;9.2493667;5.7
2025-08-25T22:49:29.014Z;47.4138329;9.2491266;3.17
2025-08-25T22:49:31.014Z;47.4138842;9.249085;2.67
2025-08-25T22:49:34.016Z;47.4139758;9.2490805;3.56
2025-08-25T22:49:39.006Z;47.4142623;9.2490493;7.68
2025-08-25T22:49:44.014Z;47.4145722;9.2490819;6.61
2025-08-25T22:49:49.008Z;47.4147744;9.2490332;2.76
2025-08-25T22:49:54.008Z;47.4147913;9.2490246;0.0
2025-08-25T22:49:59.018Z;47.414798;9.2490169;0.0
2025-08-25T22:50:04.016Z;47.4149615;9.2488996;5.45
2025-08-25T22:50:05.008Z;47.4150041;9.2488732;5.71
2025-08-25T22:50:09.018Z;47.4152198;9.2488076;5.56
2025-08-25T22:50:14.016Z;47.4153949;9.2488023;3.81
2025-08-25T22:50:19.007Z;47.4155488;9.2488594;3.01
2025-08-25T22:50:24.021Z;47.4156069;9.2487244;2.36
2025-08-25T22:50:29.023Z;47.4155183;9.2484475;4.77
2025-08-25T22:50:34.025Z;47.4154518;9.2480284;7.78
2025-08-25T22:50:39.016Z;47.4154723;9.2474759;8.39
2025-08-25T22:50:44.017Z;47.4155396;9.2469875;7.33
2025-08-25T22:50:49.008Z;47.4155921;9.2465811;5.96
2025-08-25T22:50:54.012Z;47.415693;9.2462918;4.35
2025-08-25T22:50:59.016Z;47.4157291;9.2460836;3.67
2025-08-25T22:51:04.014Z;47.4156795;9.2457037;7.4
2025-08-25T22:51:09.008Z;47.4157564;9.2450868;10.83
2025-08-25T22:51:14.024Z;47.4158618;9.2443991;11.2
2025-08-25T22:51:15.009Z;47.4158876;9.2442286;10.84
2025-08-25T22:51:19.017Z;47.4159668;9.243729;9.18
2025-08-25T22:51:24.022Z;47.4160349;9.2433184;4.55
2025-08-25T22:51:29.009Z;47.4160542;9.2431963;0.55
2025-08-25T22:51:34.014Z;47.416056;9.2431851;0.0
2025-08-25T22:51:39.017Z;47.4160587;9.2431592;0.0
2025-08-25T22:51:44.010Z;47.4160973;9.2428758;6.61
2025-08-25T22:51:49.010Z;47.4161812;9.2423258;10.21
2025-08-25T22:51:54.012Z;47.4162894;9.2416288;11.66
2025-08-25T22:51:59.018Z;47.416408;9.2408875;12.0
2025-08-25T22:52:04.024Z;47.416544;9.2401017;12.23
2025-08-25T22:52:09.007Z;47.4166761;9.2393181;12.63
2025-08-25T22:52:14.025Z;47.4168384;9.2385075;13.05
