time;latitude;longitude;velocity
2025-08-23T22:48:05.812Z;46.9252635;8.9979807;0.05
2025-08-23T22:48:06.812Z;46.9252635;8.9979807;0.0
2025-08-23T22:48:11.811Z;46.9252635;8.9979807;0.0
2025-08-23T22:48:16.815Z;46.9252635;8.9979807;0.0
2025-08-23T22:48:21.810Z;46.9252635;8.9979807;0.0
2025-08-23T22:48:26.825Z;46.9252655;8.9979813;0.0
2025-08-23T22:48:31.828Z;46.9252639;8.9979806;0.03
2025-08-23T22:48:36.816Z;46.9252651;8.9979771;0.62
2025-08-23T22:48:41.812Z;46.9252903;8.9979635;0.11
2025-08-23T22:48:46.819Z;46.9253237;8.9980677;2.49
2025-08-23T22:48:51.820Z;46.9256011;8.9982494;9.89
2025-08-23T22:48:56.817Z;46.9261118;8.998658;13.41
2025-08-23T22:49:01.828Z;46.9265362;8.9990833;10.5
2025-08-23T22:49:06.808Z;46.9267716;8.9996132;8.56
2025-08-23T22:49:11.818Z;46.9268146;9.0000535;5.83
2025-08-23T22:49:16.827Z;46.9264923;9.0002581;8.85
2025-08-23T22:49:21.818Z;46.9262174;9.0007193;9.13
2025-08-23T22:49:26.816Z;46.9261846;9.0012828;9.11
2025-08-23T22:49:31.825Z;46.9263013;9.001928;10.43
2025-08-23T22:49:36.815Z;46.9264309;9.0026275;11.58
2025-08-23T22:49:41.810Z;46.9265626;9.0033456;11.11
2025-08-23T22:49:46.812Z;46.9266903;9.0040101;9.81
2025-08-23T22:49:51.822Z;46.9268174;9.0045212;6.47
2025-08-23T22:49:56.813Z;46.9268786;9.0047976;4.54
2025-08-23T22:50:01.818Z;46.9271916;9.0049787;10.33
2025-08-23T22:50:06.830Z;46.9277736;9.0052257;15.37
2025-08-23T22:50:11.818Z;46.92837;9.0059193;18.25
2025-08-23T22:50:16.814Z;46.9286848;9.0071094;20.58
2025-08-23T22:50:21.825Z;46.9289336;9.0084138;19.48
2025-08-23T22:50:26.810Z;46.9292107;9.0095849;18.11
2025-08-23T22:50:30.823Z;46.9294756;9.0102811;12.4
2025-08-23T22:50:31.826Z;46.9295367;9.010406;12.23
2025-08-23T22:50:36.812Z;46.9297893;9.0108852;5.53
2025-08-23T22:50:41.822Z;46.9299576;9.0108964;2.72
2025-08-23T22:50:46.810Z;46.9301818;9.0106608;8.6
2025-08-23T22:50:51.819Z;46.9306123;9.0107258;11.5
2025-08-23T22:50:56.828Z;46.9311098;9.0112061;14.47
2025-08-23T22:51:01.813Z;46.9317212;9.0115659;14.14
2025-08-23T22:51:06.821Z;46.9322964;9.0118715;12.73
2025-08-23T22:51:11.819Z;46.9328133;9.012145;12.13
2025-08-23T22:51:16.811Z;46.9333316;9.0124122;11.1
2025-08-23T22:51:21.813Z;46.9337684;9.012704;11.0
2025-08-23T22:51:26.818Z;46.9341485;9.0130666;9.72
2025-08-23T22:51:31.824Z;46.9345144;9.0134321;8.77
2025-08-23T22:51:36.814Z;46.9348091;9.0137367;7.76
2025-08-23T22:51:41.820Z;46.9351122;9.0140367;9.01
2025-08-23T22:51:46.818Z;46.9354847;9.0143282;9.33
2025-08-23T22:51:51.818Z;46.9358241;9.0145943;7.43
2025-08-23T22:51:56.814Z;46.9361026;9.0147183;7.43
