time;latitude;longitude;velocity
2025-08-28T04:03:58.816Z;47.4628139;9.3880989;3.93
2025-08-28T04:03:59.816Z;47.4627834;9.3881136;3.85
2025-08-28T04:04:04.806Z;47.4626722;9.3881118;2.44
2025-08-28T04:04:08.806Z;47.4625788;9.3880475;3.02
2025-08-28T04:04:09.810Z;47.4625504;9.3880583;2.71
2025-08-28T04:04:14.807Z;47.4625043;9.3881612;1.69
2025-08-28T04:04:19.806Z;47.4626114;9.3882694;2.1
2025-08-28T04:04:24.819Z;47.4626871;9.3883401;2.88
2025-08-28T04:04:29.807Z;47.4628013;9.3883243;2.46
2025-08-28T04:04:34.805Z;47.4629245;9.3882577;2.8
2025-08-28T04:04:39.810Z;47.4630431;9.3881761;3.13
2025-08-28T04:04:44.804Z;47.4631772;9.3881045;2.88
2025-08-28T04:04:49.811Z;47.4632406;9.3880653;0.38
2025-08-28T04:04:54.807Z;47.4632451;9.3880632;0.0
2025-08-28T04:04:59.810Z;47.4632451;9.3880632;0.0
2025-08-28T04:05:02.805Z;47.4632725;9.3880506;1.49
2025-08-28T04:05:04.812Z;47.4633181;9.3880344;2.99
2025-08-28T04:05:09.812Z;47.4634138;9.387927;2.96
2025-08-28T04:05:14.806Z;47.4633348;9.3877663;2.91
2025-08-28T04:05:19.804Z;47.4631575;9.3878965;6.02
2025-08-28T04:05:24.820Z;47.4629284;9.3880327;5.16
2025-08-28T04:05:29.804Z;47.462744;9.3881228;3.58
2025-08-28T04:05:34.818Z;47.4626305;9.3880036;3.13
2025-08-28T04:05:39.814Z;47.4627019;9.3876325;7.55
2025-08-28T04:05:44.811Z;47.4628655;9.387181;8.55
2025-08-28T04:05:49.804Z;47.463065;9.3866421;8.93
2025-08-28T04:05:54.806Z;47.4632472;9.3861061;8.52
2025-08-28T04:05:59.807Z;47.4633697;9.3857371;4.66
2025-08-28T04:06:04.820Z;47.4634855;9.3856089;3.02
2025-08-28T04:06:09.803Z;47.4635256;9.3854064;4.1
2025-08-28T04:06:14.815Z;47.4636338;9.3850336;7.44
2025-08-28T04:06:19.807Z;47.4638536;9.3845866;8.77
2025-08-28T04:06:24.803Z;47.4642193;9.3842188;9.94
2025-08-28T04:06:29.818Z;47.4646149;9.3838761;10.8
2025-08-28T04:06:34.818Z;47.4650538;9.3835174;10.46
2025-08-28T04:06:39.811Z;47.4654379;9.3832021;8.66
2025-08-28T04:06:44.812Z;47.4656726;9.3829559;5.69
2025-08-28T04:06:49.807Z;47.4656923;9.3824763;8.24
2025-08-28T04:06:54.816Z;47.465672;9.3818485;9.46
2025-08-28T04:06:59.816Z;47.4656486;9.3811675;10.3
2025-08-28T04:07:04.803Z;47.4655619;9.3804646;10.74
2025-08-28T04:07:09.807Z;47.465407;9.3797782;10.99
2025-08-28T04:07:12.804Z;47.4652856;9.3793771;11.08
2025-08-28T04:07:14.808Z;47.4651943;9.3791154;11.13
2025-08-28T04:07:19.805Z;47.4649176;9.3784617;11.49
2025-08-28T04:07:24.811Z;47.464619;9.3778086;11.8
2025-08-28T04:07:29.811Z;47.4643318;9.3771361;11.71
