time;latitude;longitude;velocity
2025-08-23T06:51:52.006Z;47.4412411;9.6149539;5.03
2025-08-23T06:51:57.007Z;47.4412655;9.6153626;7.1
2025-08-23T06:52:02.016Z;47.4413403;9.6159223;9.37
2025-08-23T06:52:17.006Z;47.4412375;9.6176521;9.4
2025-08-23T06:52:18.006Z;47.4412159;9.6177669;8.95
2025-08-23T06:52:22.007Z;47.4412115;9.6181682;6.57
2025-08-23T06:52:27.010Z;47.4412304;9.6184004;1.04
2025-08-23T06:52:32.023Z;47.4412311;9.6184095;0.0
2025-08-23T06:52:37.016Z;47.4412311;9.6184095;0.0
2025-08-23T06:52:52.006Ztime;latitude;longitude;velocity
2025-08-23T06:51:52.006Z;47.4412411;9.6149539;5.03
2025-08-23T06:51:57.007Z;47.4412655;9.6153626;7.1
2025-08-23T06:52:02.016Z;47.4413403;9.6159223;9.37
2025-08-23T06:52:17.006Z;47.4412375;9.6176521;9.4
2025-08-23T06:52:18.006Z;47.4412159;9.6177669;8.95
2025-08-23T06:52:22.007Z;47.4412115;9.6181682;6.57
2025-08-23T06:52:27.010Z;47.4412304;9.6184004;1.04
2025-08-23T06:52:32.023Z;47.4412311;9.6184095;0.0
2025-08-23T06:52:37.016Z;47.4412311;9.6184095;0.0
2025-08-23T06:52:52.006Z;47.4413215;9.6196351;12.01
2025-08-23T06:52:57.023Z;47.4413191;9.6204745;12.82
2025-08-23T06:53:07.016Z;47.4416584;9.6219524;12.48
2025-08-23T06:53:17.009Z;47.4420431;9.6235083;11.82
2025-08-23T06:53:32.010Z;47.4423144;9.6244625;1.81
2025-08-23T06:53:42.015Z;47.4425126;9.6242783;4.44
2025-08-23T06:54:12.007Z;47.4435313;9.6210243;7.32
2025-08-23T06:54:15.007Z;47.4436837;9.6208201;7.72
2025-08-23T06:54:17.013Z;47.4438296;9.620751;8.88
2025-08-23T06:54:31.006Z;47.4448961;9.6202529;9.18
2025-08-23T06:54:32.007;47.4413215;9.6196351;12.01
2025-08-23T06:52:57.023Z;47.4413191;9.6204745;12.82
2025-08-23T06:53:07.016Z;47.4416584;9.6219524;12.48
2025-08-23T06:53:17.009Z;47.4420431;9.6235083;11.82
2025-08-23T06:53:32.010Z;47.4423144;9.6244625;1.81
2025-08-23T06:53:42.015Z;47.4425126;9.6242783;4.44
2025-08-23T06:54:12.007Z;47.4435313;9.6210243;7.32
2025-08-23T06:54:15.007Z;47.4436837;9.6208201;7.72
2025-08-23T06:54:17.013Z;47.4438296;9.620751;8.88
2025-08-23T06:54:31.006Z;47.4448961;9.6202529;9.18
2025-08-23T06:54:32.007Z;47.4449597;9.6203379;9.64
2025-08-23T06:54:42.021Z;47.4456024;9.6213253;10.1
2025-08-23T06:54:52.007Z;47.4461077;9.6219136;4.16
2025-08-23T06:54:57.010Z;47.4461687;9.6219287;0.14
2025-08-23T06:55:12.010Z;47.4463718;9.621389;5.89
2025-08-23T06:55:22.006Z;47.4466958;9.6213538;0.72
2025-08-23T06:55:37.006Z;47.447423;9.6207962;7.17
2025-08-23T06:55:42.006Z;47.4474009;9.6202856;7.62
2025-08-23T06:55:54.014Z;47.4469557;9.6192313;8.1
2025-08-23T06:56:02.006Z;47.44674;9.618373;9.4
2025-08-23T06:56:07.020Z;47.4466Z;47.4449597;9.6203379;9.64
2025-08-23T06:54:42.021Z;47.4456024;9.6213253;10.1
2025-08-23T06:54:52.007Z;47.4461077;9.6219136;4.16
2025-08-23T06:54:57.010Z;47.4461687;9.6219287;0.14
2025-08-23T06:55:12.010Z;47.4463718;9.621389;5.89
2025-08-23T06:55:22.006Z;47.4466958;9.6213538;0.72
2025-08-23T06:55:37.006Z;47.447423;9.6207962;7.17
2025-08-23T06:55:42.006Z;47.4474009;9.6202856;7.62
2025-08-23T06:55:54.014Z;47.4469557;9.6192313;8.1
2025-08-23T06:56:02.006Z;47.44674;9.618373;9.4
2025-08-23T06:56:07.020Z;47.4466289;9.617766;10.03
2025-08-23T06:56:22.007Z;47.446483;9.6160693;5.59
2025-08-23T06:56:32.006Z;47.4458961;9.6160324;8.33
2025-08-23T06:56:37.017Z;47.4455373;9.6159292;8.5
2025-08-23T06:56:47.006Z;47.4448725;9.6156833;7.39
2025-08-23T06:57:12.010Z;47.443309;9.6148511;8.12
2025-08-23T06:57:37.006Z;47.4424732;9.6120534;9.52
2025-08-23T06:57:42.011Z;47.4423898;9.6114907;8.03
2025-08-23T06:57:56.019Z;47.4424839;9.6107997;0.03
2025-08-23T06:58:14.016Z;47.4430338;9.6113485;8.77
2025-08-23T06:58:17.016Z;47.4432408;9289;9.617766;10.03
2025-08-23T06:56:22.007Z;47.446483;9.6160693;5.59
2025-08-23T06:56:32.006Z;47.4458961;9.6160324;8.33
2025-08-23T06:56:37.017Z;47.4455373;9.6159292;8.5
2025-08-23T06:56:47.006Z;47.4448725;9.6156833;7.39
2025-08-23T06:57:12.010Z;47.443309;9.6148511;8.12
2025-08-23T06:57:37.006Z;47.4424732;9.6120534;9.52
2025-08-23T06:57:42.011Z;47.4423898;9.6114907;8.03
2025-08-23T06:57:56.019Z;47.4424839;9.6107997;0.03
2025-08-23T06:58:14.016Z;47.4430338;9.6113485;8.77
2025-08-23T06:58:17.016Z;47.4432408;9.6114795;8.17
2025-08-23T06:58:27.013Z;47.4438579;9.6112775;8.8
2025-08-23T06:58:32.013Z;47.4438828;9.610655;9.92
2025-08-23T06:58:37.006Z;47.4438101;9.6100551;8.69
2025-08-23T06:58:42.006Z;47.4440247;9.6096585;8.22
2025-08-23T06:58:47.012Z;47.4444152;9.6096901;8.76
2025-08-23T06:58:52.007Z;47.444693;9.6095565;5.71
2025-08-23T06:58:57.006Z;47.4447;9.6091632;6.9
2025-08-23T06:59:02.007Z;47.4446701;9.6086164;8.48
2025-08-23T06:59:07.006Z;47.4446371;9.6081021;7.7
2025-08-23T06:59:12.007Z;47.4446003;9.6075105;9.6114795;8.17
2025-08-23T06:58:27.013Z;47.4438579;9.6112775;8.8
2025-08-23T06:58:32.013Z;47.4438828;9.610655;9.92
2025-08-23T06:58:37.006Z;47.4438101;9.6100551;8.69
2025-08-23T06:58:42.006Z;47.4440247;9.6096585;8.22
2025-08-23T06:58:47.012Z;47.4444152;9.6096901;8.76
2025-08-23T06:58:52.007Z;47.444693;9.6095565;5.71
2025-08-23T06:58:57.006Z;47.4447;9.6091632;6.9
2025-08-23T06:59:02.007Z;47.4446701;9.6086164;8.48
2025-08-23T06:59:07.006Z;47.4446371;9.6081021;7.7
2025-08-23T06:59:12.007Z;47.4446003;9.6075105;9.73
2025-08-23T06:59:17.013Z;47.444567;9.606884;9.06
2025-08-23T06:59:22.021Z;47.4446848;9.606414;7.61
2025-08-23T06:59:27.012Z;47.4450197;9.6064306;7.78
2025-08-23T06:59:32.013Z;47.4453481;9.6064081;7.67
2025-08-23T06:59:37.006Z;47.4456777;9.6063308;7.63
2025-08-23T06:59:42.012Z;47.4458915;9.6067575;8.17
.73
2025-08-23T06:59:17.013Z;47.444567;9.606884;9.06
2025-08-23T06:59:22.021Z;47.4446848;9.606414;7.61
2025-08-23T06:59:27.012Z;47.4450197;9.6064306;7.78
2025-08-23T06:59:32.013Z;47.4453481;9.6064081;7.67
2025-08-23T06:59:37.006Z;47.4456777;9.6063308;7.63
2025-08-23T06:59:42.012Z;47.4458915;9.6067575;8.17
