time;latitude;longitude;velocity
2025-08-26T09:09:33.606Z;47.4689711;7.8749815;8.9
2025-08-26T09:09:38.608Z;47.4688124;7.8756142;10.89
2025-08-26T09:09:43.604Z;47.4686449;7.8763577;12.78
2025-08-26T09:09:47.604Z;47.4685302;7.8769812;11.98
2025-08-26T09:09:48.604Z;47.4685008;7.8771483;11.76
2025-08-26T09:09:53.604Z;47.4683691;7.8778017;9.13
2025-08-26T09:09:58.604Z;47.468172;7.8781352;5.24
2025-08-26T09:10:03.608Z;47.468104;7.8782481;0.4
2025-08-26T09:10:08.622Z;47.4681041;7.8782479;0.0
2025-08-26T09:10:13.620Z;47.4681041;7.8782479;0.0
2025-08-26T09:10:18.622Z;47.468102;7.8782521;0.0
2025-08-26T09:10:23.614Z;47.4681016;7.8782521;0.0
2025-08-26T09:10:28.622Z;47.4680842;7.8782981;2.02
2025-08-26T09:10:33.616Z;47.4679983;7.8785284;5.8
2025-08-26T09:10:38.604Z;47.4678413;7.8789912;9.21
2025-08-26T09:10:43.604Z;47.4676959;7.8795292;7.79
2025-08-26T09:10:48.616Z;47.4676874;7.8801456;10.87
2025-08-26T09:10:53.609Z;47.4677016;7.8809394;13.98
2025-08-26T09:10:58.619Z;47.4677315;7.8818949;14.24
2025-08-26T09:11:03.614Z;47.4678969;7.8828206;15.83
2025-08-26T09:11:08.615Z;47.4681274;7.8838804;17.24
2025-08-26T09:11:09.624Z;47.4681467;7.8840701;17.53
2025-08-26T09:11:13.607Z;47.4681526;7.8850083;18.44
2025-08-26T09:11:18.611Z;47.4682197;7.8862469;19.0
2025-08-26T09:11:23.605Z;47.4684391;7.8875035;20.81
2025-08-26T09:11:28.607Z;47.4686835;7.8888294;21.42
2025-08-26T09:11:33.605Z;47.4689311;7.8901745;22.06
2025-08-26T09:11:38.604Z;47.4691949;7.8915766;22.68
2025-08-26T09:11:43.608Z;47.4694547;7.8929354;21.12
2025-08-26T09:11:48.607Z;47.469609;7.8942124;19.03
2025-08-26T09:11:53.604Z;47.4697098;7.8953967;17.88
2025-08-26T09:11:58.605Z;47.4696959;7.8964777;16.0
2025-08-26T09:12:03.605Z;47.4695432;7.8974557;14.53
2025-08-26T09:12:08.604Z;47.4692195;7.8982472;14.83
2025-08-26T09:12:13.603Z;47.4686974;7.8989121;16.51
2025-08-26T09:12:18.604Z;47.4680843;7.8995599;17.22
2025-08-26T09:12:23.604Z;47.4674427;7.9001437;17.2
2025-08-26T09:12:28.604Z;47.4668812;7.9009726;19.14
2025-08-26T09:12:33.604Z;47.4662657;7.9019052;20.61
2025-08-26T09:12:38.612Z;47.4656501;7.9028395;19.96
2025-08-26T09:12:43.607Z;47.4651028;7.9038371;20.37
2025-08-26T09:12:48.604Z;47.4646181;7.9049973;21.7
2025-08-26T09:12:53.605Z;47.4641354;7.9061499;19.88
2025-08-26T09:12:58.604Z;47.4636843;7.9071829;18.27
2025-08-26T09:13:03.604Z;47.4632762;7.908137;16.66
2025-08-26T09:13:08.605Z;47.46291;7.9090081;15.26
2025-08-26T09:13:13.613Z;47.4625542;7.9098892;14.86
2025-08-26T09:13:18.623Z;47.4622275;7.9106843;14.83
2025-08-26T09:13:23.614Z;47.4618897;7.9114859;14.0
2025-08-26T09:13:28.610Z;47.4615836;7.9122194;12.79
2025-08-26T09:13:33.610Z;47.4613167;7.912851;9.39
2025-08-26T09:13:38.605Z;47.4611527;7.9131381;4.28
2025-08-26T09:13:43.611Z;47.461232;7.9134449;5.15
2025-08-26T09:13:48.610Z;47.4612825;7.9137628;5.76
2025-08-26T09:13:53.605Z;47.4612611;7.9142486;8.2
time;latitude;longitude;velocity
2025-08-26T09:09:33.606Z;47.4689711;7.8749815;8.9
2025-08-26T09:09:38.608Z;47.4688124;7.8756142;10.89
2025-08-26T09:09:43.604Z;47.4686449;7.8763577;12.78
2025-08-26T09:09:47.604Z;47.4685302;7.8769812;11.98
2025-08-26T09:09:48.604Z;47.4685008;7.8771483;11.76
2025-08-26T09:09:53.604Z;47.4683691;7.8778017;9.13
2025-08-26T09:09:58.604Z;47.468172;7.8781352;5.24
2025-08-26T09:10:03.608Z;47.468104;7.8782481;0.4
2025-08-26T09:10:08.622Z;47.4681041;7.8782479;0.0
2025-08-26T09:10:13.620Z;47.4681041;7.8782479;0.0
2025-08-26T09:10:18.622Z;47.468102;7.8782521;0.0
2025-08-26T09:10:23.614Z;47.4681016;7.8782521;0.0
2025-08-26T09:10:28.622Z;47.4680842;7.8782981;2.02
2025-08-26T09:10:33.616Z;47.4679983;7.8785284;5.8
2025-08-26T09:10:38.604Z;47.4678413;7.8789912;9.21
2025-08-26T09:10:43.604Z;47.4676959;7.8795292;7.79
2025-08-26T09:10:48.616Z;47.4676874;7.8801456;10.87
