time;latitude;longitude;velocity
2025-08-28T14:47:03.209Z;46.6222141;6.7674324;21.84
2025-08-28T14:47:08.210Z;46.6231747;6.7677493;21.71
2025-08-28T14:47:13.210Z;46.6241564;6.7679258;21.62
2025-08-28T14:47:18.209Z;46.6251555;6.7680316;21.63
2025-08-28T14:47:23.209Z;46.6261222;6.7681328;21.48
2025-08-28T14:47:28.210Z;46.6271073;6.7682344;21.47
2025-08-28T14:47:33.209Z;46.628112;6.7683397;21.5
2025-08-28T14:47:38.211Z;46.6290792;6.768441;21.74
2025-08-28T14:47:43.210Z;46.6300851;6.7685451;21.7
2025-08-28T14:47:48.210Z;46.6310567;6.7686457;21.72
2025-08-28T14:47:53.210Z;46.6320505;6.7687475;21.69
2025-08-28T14:47:58.210Z;46.6330483;6.7688666;21.71
2025-08-28T14:48:03.208Z;46.6340268;6.7690471;21.78
2025-08-28T14:48:08.209Z;46.6350126;6.7693206;21.78
2025-08-28T14:48:13.209Z;46.6359551;6.7696858;21.78
2025-08-28T14:48:18.209Z;46.6368976;6.7701598;21.76
2025-08-28T14:48:23.208Z;46.6378139;6.7707397;21.71
2025-08-28T14:48:28.208Z;46.6386948;6.771412;21.67
2025-08-28T14:48:33.209Z;46.6395401;6.7721732;21.58
2025-08-28T14:48:38.208Z;46.6403344;6.773015;21.44
2025-08-28T14:48:43.208Z;46.6410838;6.7739351;21.8
2025-08-28T14:48:48.208Z;46.6417985;6.7749582;21.71
2025-08-28T14:48:53.209Z;46.6424486;6.7760363;21.36
2025-08-28T14:48:58.209Z;46.6430407;6.7771727;21.71
2025-08-28T14:49:03.208Z;46.6435635;6.7783437;21.56
2025-08-28T14:49:08.210Z;46.6440622;6.7796327;21.6
2025-08-28T14:49:13.209Z;46.6445105;6.780883;21.77
2025-08-28T14:49:18.209Z;46.6449711;6.7821708;21.47
2025-08-28T14:49:23.209Z;46.6454806;6.7833611;21.28
2025-08-28T14:49:28.209Z;46.6461152;6.7844179;21.23
2025-08-28T14:49:33.209Z;46.6468649;6.785287;20.29
2025-08-28T14:49:38.209Z;46.6476449;6.7859424;19.24
2025-08-28T14:49:43.208Z;46.6483648;6.7864628;17.7
2025-08-28T14:49:48.209Z;46.6490927;6.7869808;17.12
2025-08-28T14:49:53.209Z;46.6498084;6.7874899;17.2
2025-08-28T14:49:58.208Z;46.6505105;6.7879879;16.59
2025-08-28T14:50:03.209Z;46.6511773;6.7884548;16.59
2025-08-28T14:50:08.210Z;46.6518667;6.7889354;16.63
2025-08-28T14:50:13.209Z;46.652526;6.7894003;16.66
2025-08-28T14:50:18.210Z;46.6532607;6.7899173;18.28
2025-08-28T14:50:23.208Z;46.6540688;6.790495;20.55
2025-08-28T14:50:28.209Z;46.6549234;6.7910467;20.81
2025-08-28T14:50:33.209Z;46.655842;6.7913634;20.76
2025-08-28T14:50:34.210Z;46.6560267;6.7913978;20.78
2025-08-28T14:50:38.209Z;46.6567676;6.7916191;20.82
2025-08-28T14:50:43.210Z;46.6576599;6.7921117;20.78
2025-08-28T14:50:48.208Z;46.6585265;6.7926588;20.0
2025-08-28T14:50:53.209Z;46.6593405;6.7931712;18.74
2025-08-28T14:50:58.210Z;46.6600482;6.7936784;15.78
2025-08-28T14:51:48.209Z;46.6625685;6.7956474;9.63
2025-08-28T14:51:53.208Z;46.6629661;6.7959973;9.98
2025-08-28T14:51:58.210Z;46.6633361;6.7963229;10.04
2025-08-28T14:52:03.209Z;46.6637287;6.7966679;9.81
2025-08-28T14:52:08.210Z;46.6641063;6.796999;10.38
2025-08-28T14:52:13.210Z;46.6645427;6.7973858;10.68
2025-08-28T14:52:18.209Z;46.6649529;6.7977484;10.58
2025-08-28T14:52:23.209Z;46.6653591;6.798105;9.58
2025-08-28T14:52:28.209Z;46.6657255;6.7983375;7.93
2025-08-28T14:52:33.209Z;46.6660409;6.7983647;7.05
2025-08-28T14:52:34.209Z;46.6661176;6.7983851;7.19
2025-08-28T14:52:38.209Z;46.6663719;6.7985428;7.33
2025-08-28T14:52:43.209Z;46.6666178;6.7988931;7.95
2025-08-28T14:52:48.209Z;46.6668679;6.7992641;7.65
2025-08-28T14:52:53.210Z;46.6671211;6.7995323;6.63
2025-08-28T14:52:58.208Z;46.6673384;6.799748;4.28
2025-08-28T14:53:03.210Z;46.6674894;6.7999512;5.5
2025-08-28T14:53:08.209Z;46.6674769;6.8003642;6.56
2025-08-28T14:53:11.208Z;46.6674492;6.800599;5.54
2025-08-28T14:53:13.209Z;46.6674457;6.800689;4.18
2025-08-28T14:53:18.209Z;46.6674376;6.8009521;3.27
2025-08-28T14:53:23.209Z;46.6674312;6.8012493;4.89
2025-08-28T14:53:28.210Z;46.6674301;6.8015278;4.8
2025-08-28T14:53:33.209Z;46.6676041;6.8017609;4.71
2025-08-28T14:53:38.209Z;46.6677303;6.801937;3.25
2025-08-28T14:53:43.207Z;46.6678071;6.802041;0.64
2025-08-28T14:53:48.207Z;46.6678037;6.8020369;0.0
2025-08-28T14:53:53.209Z;46.6678037;6.8020369;0.0
2025-08-28T14:53:58.207Z;46.6678037;6.8020369;0.0
2025-08-28T14:54:03.207Z;46.6678037;6.8020369;0.0
2025-08-28T14:54:08.208Z;46.6678037;6.8020369;0.0
2025-08-28T14:54:13.207Z;46.6678037;6.8020369;0.0
2025-08-28T14:54:14.209Z;46.6678037;6.8020369;0.0
2025-08-28T14:54:18.207Z;46.6678037;6.8020369;0.0
2025-08-28T14:54:23.209Z;46.6678037;6.8020369;0.0
2025-08-28T14:54:28.208Z;46.6678037;6.8020369;0.0
2025-08-28T14:54:33.207Z;46.6678037;6.8020369;0.0
