time;latitude;longitude;velocity
2025-08-26T18:07:05.009Z;46.8453145;6.8441139;6.85
2025-08-26T18:07:10.024Z;46.8456051;6.8438976;6.77
2025-08-26T18:07:13.007Z;46.8457521;6.8437863;6.77
2025-08-26T18:07:15.009Z;46.8458654;6.8437031;6.91
2025-08-26T18:07:20.011Z;46.8461152;6.8435174;5.85
2025-08-26T18:07:25.009Z;46.8463127;6.8433484;3.69
2025-08-26T18:07:26.026Z;46.8463416;6.8433197;2.88
2025-08-26T18:07:30.007Z;46.8464032;6.8432935;2.19
2025-08-26T18:07:35.022Z;46.8465201;6.8434458;3.66
2025-08-26T18:07:40.009Z;46.8465997;6.8435686;2.27
2025-08-26T18:07:45.009Z;46.8467276;6.8437474;4.69
2025-08-26T18:07:50.015Z;46.8469133;6.8439998;6.08
2025-08-26T18:07:53.017Z;46.8470161;6.8441414;6.05
2025-08-26T18:07:55.011Z;46.8470862;6.8442389;5.16
2025-08-26T18:07:58.009Z;46.8471701;6.844353;3.41
2025-08-26T18:08:00.015Z;46.847195;6.8443872;2.52
2025-08-26T18:08:05.016Z;46.8473245;6.844564;4.52
2025-08-26T18:08:10.015Z;46.8474806;6.8447773;5.71
2025-08-26T18:08:15.016Z;46.8476892;6.8450576;6.35
2025-08-26T18:08:20.013Z;46.8478534;6.8452759;3.85
2025-08-26T18:08:25.007Z;46.847957;6.8454253;2.58
2025-08-26T18:08:30.019Z;46.848073;6.8456067;4.63
2025-08-26T18:08:32.012Z;46.8481399;6.8456956;4.49
2025-08-26T18:08:35.016Z;46.8482237;6.8458011;3.63
2025-08-26T18:08:40.013Z;46.8483102;6.8458909;1.63
2025-08-26T18:08:45.014Z;46.8484559;6.8460427;5.66
2025-08-26T18:08:50.006Z;46.8486071;6.8463019;4.52
2025-08-26T18:08:55.019Z;46.8487047;6.8464395;2.3
2025-08-26T18:09:00.017Z;46.8487909;6.8464966;2.1
2025-08-26T18:09:05.009Z;46.848892;6.8462878;2.85
2025-08-26T18:09:10.025Z;46.8490121;6.8460304;5.88
2025-08-26T18:09:15.007Z;46.8492312;6.8457473;6.58
2025-08-26T18:09:20.025Z;46.8494316;6.8455049;4.55
2025-08-26T18:09:25.012Z;46.8495669;6.8453229;4.69
2025-08-26T18:09:30.014Z;46.849739;6.8450061;6.19
2025-08-26T18:09:35.012Z;46.8498651;6.8446743;6.25
2025-08-26T18:09:40.006Z;46.8500012;6.8442578;7.16
2025-08-26T18:09:45.007Z;46.8501473;6.8438213;7.99
2025-08-26T18:09:50.007Z;46.8503104;6.8433223;8.71
2025-08-26T18:09:55.007Z;46.8504825;6.8428278;8.75
