time;latitude;longitude;velocity
2025-08-24T17:40:24.808Z;47.0990493;9.0699404;0.0
2025-08-24T17:40:29.809Z;47.0990493;9.0699404;0.0
2025-08-24T17:40:34.821Z;47.0990493;9.0699404;0.0
2025-08-24T17:40:39.817Z;47.0990493;9.0699404;0.0
2025-08-24T17:40:44.814Z;47.0990493;9.0699404;0.0
2025-08-24T17:40:49.811Z;47.0990493;9.0699404;0.0
2025-08-24T17:40:54.821Z;47.0990493;9.0699404;0.0
2025-08-24T17:40:59.806Z;47.0990493;9.0699404;0.0
2025-08-24T17:41:04.805Z;47.0990493;9.0699404;0.0
2025-08-24T17:41:09.808Z;47.0990493;9.0699404;0.0
2025-08-24T17:41:14.813Z;47.0990493;9.0699404;0.0
2025-08-24T17:41:19.806Z;47.0990493;9.0699404;0.0
2025-08-24T17:41:24.817Z;47.0990493;9.0699404;0.0
2025-08-24T17:41:29.805Z;47.0990493;9.0699404;0.0
2025-08-24T17:41:34.811Z;47.0990493;9.0699404;0.0
2025-08-24T17:41:39.809Z;47.0990493;9.0699404;0.0
2025-08-24T17:41:44.809Z;47.0990493;9.0699404;0.0
2025-08-24T17:41:49.805Z;47.0990493;9.0699404;0.0
2025-08-24T17:41:54.808Z;47.0990493;9.0699404;0.0
2025-08-24T17:41:59.806Z;47.0990493;9.0699404;0.0
2025-08-24T17:42:04.804Z;47.0990493;9.0699404;0.0
2025-08-24T17:42:09.818Z;47.0990493;9.0699404;0.0
2025-08-24T17:42:14.805Z;47.0990493;9.0699404;0.0
2025-08-24T17:42:19.813Z;47.0990493;9.0699404;0.0
2025-08-24T17:42:24.821Z;47.0990493;9.0699404;0.0
2025-08-24T17:42:29.823Z;47.0990493;9.0699404;0.0
2025-08-24T17:42:34.816Z;47.0990493;9.0699404;0.0
2025-08-24T17:42:39.819Z;47.0990844;9.0699139;1.82
2025-08-24T17:42:44.804Z;47.099134;9.0696238;5.35
2025-08-24T17:42:49.804Z;47.099202;9.0692478;6.79
2025-08-24T17:42:54.813Z;47.0992887;9.0687476;8.21
2025-08-24T17:42:59.820Z;47.0993782;9.068241;7.26
2025-08-24T17:43:04.814Z;47.0994244;9.0678356;4.08
2025-08-24T17:43:09.814Z;47.0994512;9.0675477;6.06
2025-08-24T17:43:14.820Z;47.0994758;9.0670222;8.68
2025-08-24T17:43:19.815Z;47.0994896;9.0663827;10.5
2025-08-24T17:43:24.804Z;47.0995061;9.0657326;9.84
2025-08-24T17:43:29.804Z;47.0995275;9.0650739;9.51
2025-08-24T17:43:34.812Z;47.0995236;9.0645154;7.27
2025-08-24T17:43:39.807Z;47.0994998;9.0641709;3.66
2025-08-24T17:43:44.812Z;47.0994903;9.0641171;0.0
2025-08-24T17:43:49.805Z;47.0994903;9.0641171;0.0
2025-08-24T17:43:54.815Z;47.0994686;9.0639976;4.52
2025-08-24T17:43:59.822Z;47.0993898;9.0635558;7.16
2025-08-24T17:44:04.817Z;47.0993105;9.0631689;4.55
2025-08-24T17:44:09.808Z;47.0993572;9.0629133;5.06
2025-08-24T17:44:14.805Z;47.0996821;9.0627978;8.32
2025-08-24T17:44:19.813Z;47.1000032;9.0626493;7.68
2025-08-24T17:44:24.804Z;47.100405;9.0625342;11.36
2025-08-24T17:44:29.808Z;47.1009174;9.0626659;12.04
2025-08-24T17:44:34.810Z;47.1014381;9.0628238;10.81
2025-08-24T17:44:39.811Z;47.1018624;9.0631208;10.88
2025-08-24T17:44:44.821Z;47.1022914;9.0635145;11.04
2025-08-24T17:44:49.822Z;47.1026929;9.0638879;9.53
2025-08-24T17:44:54.817Z;47.1030668;9.0642245;10.32
2025-08-24T17:44:59.814Z;47.1034987;9.0645971;12.46
2025-08-24T17:45:04.810Z;47.1039766;9.0650713;12.51
2025-08-24T17:45:09.805Z;47.1044255;9.0654696;10.71
2025-08-24T17:45:14.808Z;47.1048189;9.0655632;7.54
2025-08-24T17:45:19.813Z;47.1050956;9.0655098;3.58
2025-08-24T17:45:24.806Z;47.1051595;9.0654847;0.0
2025-08-24T17:45:29.816Z;47.1051595;9.0654847;0.0
2025-08-24T17:45:34.815Z;47.1052152;9.0654516;3.78
2025-08-24T17:45:39.815Z;47.1055222;9.065243;10.3
2025-08-24T17:45:44.820Z;47.1060045;9.0649396;12.71
2025-08-24T17:45:49.818Z;47.1065506;9.0646453;13.18
2025-08-24T17:45:54.813Z;47.1071088;9.0643175;13.41
2025-08-24T17:45:59.811Z;47.1076631;9.0639818;12.79
2025-08-24T17:46:04.820Z;47.1082045;9.0636379;13.81
2025-08-24T17:46:09.806Z;47.1088413;9.0632488;15.32
2025-08-24T17:46:14.821Z;47.1094935;9.0628566;16.35
2025-08-24T17:46:17.816Z;47.1098862;9.0626177;15.78
2025-08-24T17:46:19.821Z;47.1101514;9.0624634;15.42
2025-08-24T17:46:24.811Z;47.1107664;9.0621238;14.02
2025-08-24T17:46:29.813Z;47.1113018;9.0617604;12.54
2025-08-24T17:46:34.817Z;47.1118473;9.0614241;12.99
2025-08-24T17:46:39.810Z;47.1124025;9.0610595;13.96
2025-08-24T17:46:44.810Z;47.1129608;9.0607411;13.1
2025-08-24T17:46:49.806Z;47.1135168;9.0604004;13.09
2025-08-24T17:46:54.814Z;47.1140647;9.0600634;13.03
2025-08-24T17:46:59.811Z;47.1145906;9.0597418;12.04
2025-08-24T17:47:04.814Z;47.1150523;9.0594637;11.43
2025-08-24T17:47:09.807Z;47.1156044;9.0591703;13.36
2025-08-24T17:47:14.814Z;47.1161893;9.0591336;13.38
2025-08-24T17:47:19.806Z;47.116789;9.0592984;12.87
2025-08-24T17:47:24.812Z;47.1173417;9.0594582;11.87
2025-08-24T17:47:29.822Z;47.117827;9.0595045;10.2
2025-08-24T17:47:34.815Z;47.1182593;9.0593109;10.35
2025-08-24T17:47:39.822Z;47.1187158;9.0590438;11.35
2025-08-24T17:47:44.811Z;47.1192008;9.0587512;12.05
2025-08-24T17:47:49.809Z;47.1196382;9.0581767;13.4
2025-08-24T17:47:54.811Z;47.1199859;9.0574335;14.42
2025-08-24T17:47:59.816Z;47.1203494;9.0565997;15.03
2025-08-24T17:48:03.812Z;47.120646;9.055925;14.6
2025-08-24T17:48:04.805Z;47.1207087;9.0557816;14.52
2025-08-24T17:48:09.820Z;47.1210661;9.0549608;13.87
2025-08-24T17:48:14.806Z;47.1213734;9.0542568;11.93
2025-08-24T17:48:19.805Z;47.1217479;9.0538164;10.04
2025-08-24T17:48:24.807Z;47.1220491;9.0536195;4.96
2025-08-24T17:48:29.814Z;47.122154;9.0535578;0.41
2025-08-24T17:48:34.821Z;47.122154;9.0535578;0.0
2025-08-24T17:48:38.819Z;47.1221692;9.0535465;1.84
2025-08-24T17:48:39.820Z;47.1221944;9.053508;3.13
2025-08-24T17:48:44.842Z;47.1224389;9.0533446;8.86
2025-08-24T17:48:49.807Z;47.1228782;9.0530821;11.74
2025-08-24T17:48:54.821Z;47.1234089;9.05297;11.71
2025-08-24T17:48:59.810Z;47.1239246;9.0528828;12.07
2025-08-24T17:49:04.815Z;47.1244593;9.052797;11.6
2025-08-24T17:49:09.816Z;47.1249546;9.0526943;9.77
2025-08-24T17:49:14.814Z;47.1253151;9.0527415;6.91
2025-08-24T17:49:19.804Z;47.1254437;9.0531202;5.96
2025-08-24T17:49:24.804Z;47.1256843;9.053206;6.46
2025-08-24T17:49:29.816Z;47.1259208;9.0533062;2.87
2025-08-24T17:49:34.810Z;47.1259378;9.0533137;0.0
2025-08-24T17:49:39.806Z;47.1259378;9.0533137;0.0
2025-08-24T17:49:44.815Z;47.125953;9.0533214;1.89
2025-08-24T17:49:49.804Z;47.1261077;9.0534789;5.84
2025-08-24T17:49:54.808Z;47.1262899;9.053805;6.53
2025-08-24T17:49:59.812Z;47.1264706;9.0541805;7.47
2025-08-24T17:50:02.809Z;47.1265559;9.0544569;7.6
2025-08-24T17:50:04.806Z;47.1266445;9.0546195;7.51
2025-08-24T17:50:09.813Z;47.1269547;9.0548973;8.25
2025-08-24T17:50:14.807Z;47.1272739;9.0551833;8.63
2025-08-24T17:50:19.815Z;47.1276638;9.0555227;10.23
2025-08-24T17:50:21.811Z;47.1278224;9.0556728;10.19
2025-08-24T17:50:24.804Z;47.1280452;9.0559014;9.83
2025-08-24T17:50:29.822Z;47.1283842;9.0563092;10.35
2025-08-24T17:50:34.808Z;47.1288278;9.0566557;11.38
2025-08-24T17:50:39.808Z;47.1292743;9.0570516;11.83
2025-08-24T17:50:44.808Z;47.1297409;9.057447;11.5
2025-08-24T17:50:49.810Z;47.1302108;9.0578058;12.48
2025-08-24T17:50:54.812Z;47.1307138;9.0581941;12.58
2025-08-24T17:50:59.807Z;47.1312596;9.0586033;14.52
2025-08-24T17:51:04.810Z;47.1317887;9.059166;14.34
2025-08-24T17:51:09.822Z;47.1321831;9.0598761;14.02
2025-08-24T17:51:14.821Z;47.132669;9.0604877;14.18
2025-08-24T17:51:19.807Z;47.1332228;9.0609385;13.92
2025-08-24T17:51:24.808Z;47.1338074;9.061302;13.3
2025-08-24T17:51:29.813Z;47.1342639;9.0617831;11.31
2025-08-24T17:51:34.820Z;47.1345248;9.0621013;5.17
2025-08-24T17:51:39.803Z;47.1346219;9.06222;1.38
2025-08-24T17:51:44.806Z;47.1347731;9.0620446;5.83
2025-08-24T17:51:49.805Z;47.1350177;9.0616483;10.39
2025-08-24T17:51:54.808Z;47.1353833;9.0610443;12.61
2025-08-24T17:51:59.807Z;47.1357348;9.0604302;11.87
2025-08-24T17:52:04.812Z;47.136058;9.0598605;10.56
2025-08-24T17:52:09.817Z;47.1363399;9.0593708;8.02
2025-08-24T17:52:14.823Z;47.1365064;9.0591424;2.99
2025-08-24T17:52:19.804Z;47.1365817;9.0591322;0.76
2025-08-24T17:52:24.813Z;47.1366006;9.0591257;0.0
2025-08-24T17:52:29.814Z;47.1366006;9.0591257;0.0
2025-08-24T17:52:34.807Z;47.1366006;9.0591257;0.0
2025-08-24T17:52:35.806Z;47.1366006;9.0591257;0.0
2025-08-24T17:52:39.820Z;47.1366006;9.0591257;0.0
2025-08-24T17:52:41.816Z;47.1366006;9.0591257;0.0
2025-08-24T17:52:44.812Z;47.1366006;9.0591257;0.0
2025-08-24T17:52:49.809Z;47.1366006;9.0591257;0.0
2025-08-24T17:52:54.811Z;47.1366006;9.0591257;0.0
2025-08-24T17:52:59.822Z;47.1366006;9.0591257;0.0
2025-08-24T17:53:04.812Z;47.1366006;9.0591257;0.0
2025-08-24T17:53:09.813Z;47.1366006;9.0591257;0.0
2025-08-24T17:53:14.808Z;47.1366006;9.0591257;0.0
2025-08-24T17:53:19.812Z;47.1366006;9.0591257;0.0
2025-08-24T17:53:24.811Z;47.1366006;9.0591257;0.0
2025-08-24T17:53:29.811Z;47.1366006;9.0591257;0.0
2025-08-24T17:53:34.813Z;47.1366006;9.0591257;0.0
2025-08-24T17:53:39.803Z;47.1366006;9.0591257;0.0
2025-08-24T17:53:44.807Z;47.1366006;9.0591257;0.0
2025-08-24T17:53:49.809Z;47.1366006;9.0591257;0.0
2025-08-24T17:53:54.812Z;47.1366006;9.0591257;0.0
2025-08-24T17:53:59.822Z;47.1366006;9.0591257;0.0
2025-08-24T17:54:04.818Z;47.1366006;9.0591257;0.0
2025-08-24T17:54:09.813Z;47.1366006;9.0591257;0.0
2025-08-24T17:54:14.813Z;47.1366006;9.0591257;0.0
2025-08-24T17:54:19.813Z;47.1366006;9.0591257;0.0
2025-08-24T17:54:24.808Z;47.1366006;9.0591257;0.0
2025-08-24T17:54:29.822Z;47.1366006;9.0591257;0.0
2025-08-24T17:54:34.811Z;47.1366006;9.0591257;0.0
2025-08-24T17:54:39.818Z;47.1366006;9.0591257;0.0
2025-08-24T17:54:44.813Z;47.1366006;9.0591257;0.0
2025-08-24T17:54:49.812Z;47.1366006;9.0591257;0.0
2025-08-24T17:54:54.807Z;47.1366006;9.0591257;0.0
2025-08-24T17:54:59.822Z;47.1366006;9.0591257;0.0
2025-08-24T17:55:04.812Z;47.1366006;9.0591257;0.0
