time;latitude;longitude;velocity
2025-08-24T05:36:17.405Z;47.3918508;8.0513176;0.0
2025-08-24T05:36:22.416Z;47.3918508;8.0513176;0.0
2025-08-24T05:36:27.413Z;47.3918508;8.0513176;0.0
2025-08-24T05:36:32.424Z;47.3918508;8.0513176;0.0
2025-08-24T05:36:37.405Z;47.3918508;8.0513176;0.0
2025-08-24T05:36:42.420Z;47.3918508;8.0513176;0.0
2025-08-24T05:36:47.415Z;47.3918508;8.0513176;0.0
2025-08-24T05:36:52.414Z;47.3918508;8.0513176;0.0
2025-08-24T05:36:57.416Z;47.3918508;8.0513176;0.0
2025-08-24T05:37:02.416Z;47.3918508;8.0513176;0.0
2025-08-24T05:37:07.423Z;47.3918508;8.0513176;0.0
2025-08-24T05:37:12.405Z;47.3918508;8.0513176;0.0
2025-08-24T05:37:17.420Z;47.3918508;8.0513176;0.0
2025-08-24T05:37:22.417Z;47.3918508;8.0513176;0.0
2025-08-24T05:37:27.405Z;47.3918508;8.0513176;0.0
2025-08-24T05:37:32.422Z;47.3918508;8.0513176;0.0
2025-08-24T05:37:37.407Z;47.3918505;8.0513177;0.0
2025-08-24T05:37:42.409Z;47.3918505;8.0513177;0.0
2025-08-24T05:37:47.408Z;47.391856;8.0513328;1.02
2025-08-24T05:37:52.417Z;47.3919184;8.0513786;2.28
2025-08-24T05:37:57.408Z;47.3920437;8.0513233;2.86
2025-08-24T05:38:02.411Z;47.3921282;8.0512887;2.36
2025-08-24T05:38:07.413Z;47.3921238;8.0510196;4.55
2025-08-24T05:38:12.415Z;47.3920437;8.0506856;6.28
2025-08-24T05:38:17.406Z;47.3919318;8.0502562;7.27
2025-08-24T05:38:22.413Z;47.3918058;8.0497693;8.26
2025-08-24T05:38:27.417Z;47.3916669;8.0492563;9.14
2025-08-24T05:38:32.425Z;47.3915215;8.0487001;9.17
2025-08-24T05:38:37.408Z;47.3913774;8.0481519;8.83
2025-08-24T05:38:42.416Z;47.3912347;8.0476275;8.7
2025-08-24T05:38:47.408Z;47.3910961;8.047105;8.18
2025-08-24T05:38:52.409Z;47.3909729;8.0466113;7.78
2025-08-24T05:38:57.408Z;47.3908287;8.0461828;7.47
2025-08-24T05:39:02.414Z;47.3906398;8.0458446;5.41
2025-08-24T05:39:07.416Z;47.3905398;8.0455844;3.8
2025-08-24T05:39:12.415Z;47.3905298;8.0453185;3.84
2025-08-24T05:39:17.408Z;47.3906672;8.0451746;4.31
2025-08-24T05:39:22.416Z;47.3908821;8.0450372;5.24
2025-08-24T05:39:27.424Z;47.3911372;8.0448944;6.49
2025-08-24T05:39:32.405Z;47.3913996;8.0447625;6.11
2025-08-24T05:39:37.415Z;47.3916371;8.0446615;5.05
2025-08-24T05:39:42.415Z;47.3918258;8.0447413;3.99
2025-08-24T05:39:47.409Z;47.3919097;8.0450296;5.25
2025-08-24T05:39:52.418Z;47.392031;8.0453243;5.45
2025-08-24T05:39:57.422Z;47.3921513;8.0456208;5.24
2025-08-24T05:40:02.406Z;47.3923293;8.0458281;5.23
2025-08-24T05:40:07.411Z;47.3925537;8.0459427;5.17
