time;latitude;longitude;velocity
2025-08-23T11:28:04.017Z;47.2177123;7.9792811;1.7
2025-08-23T11:28:09.018Z;47.217568;7.9792684;5.4
2025-08-23T11:28:14.012Z;47.2172622;7.9791133;8.4
2025-08-23T11:28:19.017Z;47.2168825;7.9788785;9.7
2025-08-23T11:28:24.017Z;47.2164226;7.9787041;11.22
2025-08-23T11:28:29.012Z;47.2159183;7.9784804;11.36
2025-08-23T11:28:34.017Z;47.2154411;7.9782564;11.2
2025-08-23T11:28:39.023Z;47.2149812;7.978043;9.7
2025-08-23T11:28:44.017Z;47.2145981;7.977955;8.41
2025-08-23T11:28:49.007Z;47.2143763;7.9784442;9.9
2025-08-23T11:28:54.008Z;47.2143094;7.9791532;10.42
2025-08-23T11:28:57.017Z;47.2142744;7.9795491;9.99
2025-08-23T11:28:59.007Z;47.2141879;7.9797623;9.53
2025-08-23T11:29:04.013Z;47.2138429;7.9800919;8.2
2025-08-23T11:29:09.027Z;47.2136173;7.9802959;4.13
2025-08-23T11:29:14.013Z;47.2136478;7.9805732;5.25
2025-08-23T11:29:19.012Z;47.2138087;7.9809809;7.64
2025-08-23T11:29:24.015Z;47.2139538;7.9813676;5.97
2025-08-23T11:29:29.015Z;47.2140996;7.9817344;6.53
2025-08-23T11:29:34.022Z;47.214236;7.9821384;6.5
2025-08-23T11:29:38.014Z;47.2143286;7.9823882;4.6
2025-08-23T11:29:39.018Z;47.2143527;7.9824561;4.96
2025-08-23T11:29:44.020Z;47.2145074;7.9828372;7.0
2025-08-23T11:29:49.017Z;47.2146762;7.9832594;7.73
2025-08-23T11:29:51.007Z;47.2147486;7.9834293;7.83
2025-08-23T11:29:54.014Z;47.214864;7.983685;7.93
2025-08-23T11:29:59.013Z;47.2150513;7.9841217;7.86
2025-08-23T11:30:04.007Z;47.2152573;7.9845742;7.82
2025-08-23T11:30:09.009Z;47.2154593;7.9849963;7.57
2025-08-23T11:30:14.014Z;47.2156092;7.9852903;3.66
2025-08-23T11:30:19.023Z;47.2156439;7.9853579;0.0
2025-08-23T11:30:24.009Z;47.2156435;7.9853594;0.0
2025-08-23T11:30:29.009Z;47.2156443;7.9853618;0.0
2025-08-23T11:30:34.020Z;47.2156474;7.9853821;1.21
2025-08-23T11:30:39.007Z;47.215551;7.9855719;4.94
2025-08-23T11:30:44.015Z;47.2153151;7.9859341;9.45
2025-08-23T11:30:49.016Z;47.2149354;7.9864465;12.33
2025-08-23T11:30:54.019Z;47.2144575;7.9869139;12.9
2025-08-23T11:30:59.016Z;47.2139855;7.9873626;12.12
2025-08-23T11:31:04.026Z;47.2135976;7.9879139;11.22
2025-08-23T11:31:09.025Z;47.2133417;7.9884506;9.3
2025-08-23T11:31:14.010Z;47.2131703;7.9888264;4.71
2025-08-23T11:31:19.026Z;47.2131277;7.9889138;0.0
2025-08-23T11:31:24.019Z;47.2131176;7.9889339;0.0
2025-08-23T11:31:29.008Z;47.2130617;7.9890372;4.23
2025-08-23T11:31:34.016Z;47.2128787;7.9892242;5.88
2025-08-23T11:31:39.020Z;47.212617;7.9889991;7.31
2025-08-23T11:31:43.011Z;47.2123947;7.9886157;10.5
2025-08-23T11:31:44.006Z;47.2123395;7.9885138;11.22
2025-08-23T11:31:49.007Z;47.212021;7.9878318;12.54
2025-08-23T11:31:54.019Z;47.211707;7.9871549;12.89
2025-08-23T11:31:59.017Z;47.211338;7.9864351;13.25
2025-08-23T11:32:04.019Z;47.2109694;7.9857954;12.99
2025-08-23T11:32:09.016Z;47.2105639;7.9851276;13.12
2025-08-23T11:32:14.015Z;47.210129;7.9845734;11.71
2025-08-23T11:32:19.021Z;47.2098172;7.9842314;5.59
2025-08-23T11:32:24.012Z;47.2096717;7.9839691;5.91
2025-08-23T11:32:29.015Z;47.2093777;7.9838078;8.18
2025-08-23T11:32:34.019Z;47.2089986;7.9834233;11.51
2025-08-23T11:32:39.016Z;47.2085734;7.9828969;12.64
2025-08-23T11:32:42.020Z;47.2083362;7.9825466;12.4
2025-08-23T11:32:44.011Z;47.2081926;7.982294;11.65
2025-08-23T11:32:49.007Z;47.2079472;7.9817318;8.2
2025-08-23T11:32:54.016Z;47.2079308;7.9812864;6.2
2025-08-23T11:32:59.007Z;47.2077283;7.9809316;8.02
