time;latitude;longitude;velocity
2025-08-27T16:40:16.806Z;47.1623627;7.9978479;17.21
2025-08-27T16:40:21.805Z;47.1630589;7.9973574;16.94
2025-08-27T16:40:26.805Z;47.163757;7.996942;16.7
2025-08-27T16:40:31.814Z;47.1644625;7.9965397;16.67
2025-08-27T16:40:36.807Z;47.1651563;7.9960822;16.44
2025-08-27T16:40:41.817Z;47.1657936;7.9955881;15.88
2025-08-27T16:40:46.813Z;47.1663942;7.9950421;14.52
2025-08-27T16:40:51.824Z;47.1669005;7.9945376;12.56
2025-08-27T16:40:56.805Z;47.1673524;7.9940212;14.2
2025-08-27T16:41:01.815Z;47.1678582;7.9933855;14.41
2025-08-27T16:41:06.806Z;47.1683057;7.9927612;11.68
2025-08-27T16:41:11.815Z;47.1685746;7.9923666;5.85
2025-08-27T16:41:16.805Z;47.1686819;7.9922063;2.19
2025-08-27T16:41:21.808Z;47.1688637;7.9919459;8.38
2025-08-27T16:41:26.813Z;47.1691946;7.9914462;12.09
2025-08-27T16:41:31.808Z;47.1696094;7.9908304;13.48
2025-08-27T16:41:36.813Z;47.170038;7.9902015;13.18
2025-08-27T16:41:41.823Z;47.1704278;7.9896305;11.51
2025-08-27T16:41:46.806Z;47.1708662;7.9892026;11.76
2025-08-27T16:41:51.812Z;47.1713525;7.9889705;10.8
2025-08-27T16:41:56.812Z;47.1717554;7.988806;7.49
2025-08-27T16:42:01.807Z;47.1720282;7.9887386;4.88
2025-08-27T16:42:06.810Z;47.172147;7.9886902;0.0
2025-08-27T16:42:11.813Z;47.1721466;7.9886899;0.0
2025-08-27T16:42:16.812Z;47.1721466;7.9886899;0.0
2025-08-27T16:42:21.818Z;47.1721466;7.9886899;0.0
2025-08-27T16:42:26.813Z;47.1721471;7.9886896;0.0
2025-08-27T16:42:31.814Z;47.172184;7.988668;2.8
2025-08-27T16:42:36.808Z;47.1724319;7.9885314;8.63
2025-08-27T16:42:41.807Z;47.1728946;7.9883413;12.36
2025-08-27T16:42:46.815Z;47.1734736;7.988101;13.47
time;latitude;longitude;velocity
2025-08-27T16:40:16.806Z;47.1623627;7.9978479;17.21
2025-08-27T16:40:21.805Z;47.1630589;7.9973574;16.94
2025-08-27T16:40:26.805Z;47.163757;7.996942;16.7
2025-08-27T16:40:31.814Z;47.1644625;7.9965397;16.67
2025-08-27T16:40:36.807Z;47.1651563;7.9960822;16.44
2025-08-27T16:40:41.817Z;47.1657936;7.9955881;15.88
2025-08-27T16:40:46.813Z;47.1663942;7.9950421;14.52
2025-08-27T16:40:51.824Z;47.1669005;7.9945376;12.56
2025-08-27T16:40:56.805Z;47.1673524;7.9940212;14.2
2025-08-27T16:41:01.815Z;47.1678582;7.9933855;14.41
2025-08-27T16:41:06.806Z;47.1683057;7.9927612;11.68
2025-08-27T16:41:11.815Z;47.1685746;7.9923666;5.85
2025-08-27T16:41:16.805Z;47.1686819;7.9922063;2.19
2025-08-27T16:41:21.808Z;47.1688637;7.9919459;8.38
2025-08-27T16:41:26.813Z;47.1691946;7.9914462;12.09
2025-08-27T16:41:31.808Z;47.1696094;7.9908304;13.48
2025-08-27T16:41:36.813Z;47.170038;7.9902015;13.18
2025-08-27T16:41:41.823Z;47.1704278;7.9896305;11.51
2025-08-27T16:41:46.806Z;47.1708662;7.9892026;11.76
2025-08-27T16:41:51.812Z;47.1713525;7.9889705;10.8
2025-08-27T16:41:56.812Z;47.1717554;7.988806;7.49
2025-08-27T16:42:01.807Z;47.1720282;7.9887386;4.88
2025-08-27T16:42:06.810Z;47.172147;7.9886902;0.0
2025-08-27T16:42:11.813Z;47.1721466;7.9886899;0.0
2025-08-27T16:42:16.812Z;47.1721466;7.9886899;0.0
2025-08-27T16:42:21.818Z;47.1721466;7.9886899;0.0
2025-08-27T16:42:26.813Z;47.1721471;7.9886896;0.0
2025-08-27T16:42:31.814Z;47.172184;7.988668;2.8
2025-08-27T16:42:36.808Z;47.1724319;7.9885314;8.63
2025-08-27T16:42:41.807Z;47.1728946;7.9883413;12.36
2025-08-27T16:42:46.815Z;47.1734736;7.988101;13.47
