time;latitude;longitude;velocity
2025-08-24T21:24:13.008Z;47.1700738;8.0990536;0.0
2025-08-24T21:24:18.005Z;47.1700738;8.0990536;0.0
2025-08-24T21:24:23.018Z;47.1700738;8.0990536;0.0
2025-08-24T21:24:28.006Z;47.1700738;8.0990536;0.0
2025-08-24T21:24:33.013Z;47.1700738;8.0990536;0.0
2025-08-24T21:24:38.005Z;47.1700698;8.0990596;0.0
2025-08-24T21:24:42.006Z;47.1700698;8.0990596;0.0
2025-08-24T21:24:43.005Z;47.1700698;8.0990596;0.0
2025-08-24T21:24:48.006Z;47.1700574;8.0990707;0.96
2025-08-24T21:24:53.024Z;47.1699475;8.0992096;4.81
2025-08-24T21:24:58.013Z;47.169738;8.0994583;5.49
2025-08-24T21:25:03.009Z;47.1696073;8.0996476;3.13
2025-08-24T21:25:08.012Z;47.1697514;8.0997777;4.86
2025-08-24T21:25:09.008Z;47.1698133;8.0997805;5.29
2025-08-24T21:25:13.009Z;47.1699526;8.0999438;5.53
2025-08-24T21:25:18.008Z;47.1700446;8.1003687;7.17
2025-08-24T21:25:23.007Z;47.17016;8.1008589;8.0
2025-08-24T21:25:28.008Z;47.1702836;8.1013559;7.94
2025-08-24T21:25:33.006Z;47.1704115;8.1018823;8.18
2025-08-24T21:25:38.024Z;47.170525;8.1023415;6.84
2025-08-24T21:25:43.007Z;47.1705981;8.1026371;3.15
2025-08-24T21:25:48.009Z;47.1706662;8.1027417;2.16
2025-08-24T21:25:53.007Z;47.1708535;8.1025706;5.81
2025-08-24T21:25:58.009Z;47.1711186;8.1024193;5.97
2025-08-24T21:26:03.015Z;47.1713254;8.1022999;5.16
2025-08-24T21:26:08.007Z;47.1715699;8.1021499;6.26
2025-08-24T21:26:13.024Z;47.1718398;8.101969;6.85
2025-08-24T21:26:18.015Z;47.1721215;8.1018194;5.17
2025-08-24T21:26:23.006Z;47.1723186;8.1018053;3.85
2025-08-24T21:26:28.013Z;47.1724885;8.1015838;6.01
2025-08-24T21:26:33.014Z;47.1728111;8.1013609;8.65
2025-08-24T21:26:38.008Z;47.1731299;8.1011422;6.17
2025-08-24T21:26:43.021Z;47.1732345;8.1010782;0.28
2025-08-24T21:26:48.009Z;47.1733184;8.10105;3.73
2025-08-24T21:26:53.020Z;47.1734508;8.1009604;2.9
2025-08-24T21:26:58.008Z;47.1733383;8.1006776;5.65
2025-08-24T21:27:03.009Z;47.1732591;8.1001074;11.36
2025-08-24T21:27:08.013Z;47.173149;8.0992499;12.64
2025-08-24T21:27:11.005Z;47.1730899;8.0987754;12.5
2025-08-24T21:27:13.005Z;47.1730485;8.0984547;12.66
2025-08-24T21:27:18.024Z;47.1729426;8.0976128;13.24
2025-08-24T21:27:23.024Z;47.1727947;8.0967754;13.32
2025-08-24T21:27:28.009Z;47.1725204;8.0959848;13.23
2025-08-24T21:27:33.010Z;47.1721146;8.0953032;12.48
2025-08-24T21:27:38.013Z;47.1717687;8.0948123;9.11
2025-08-24T21:27:43.005Z;47.1716268;8.0944388;6.24
2025-08-24T21:27:48.024Z;47.1717743;8.0940341;7.11
2025-08-24T21:27:53.010Z;47.1719912;8.0934222;11.6
2025-08-24T21:27:55.007Z;47.17207;8.093173;11.56
2025-08-24T21:27:58.015Z;47.1722019;8.0927259;11.73
2025-08-24T21:28:03.013Z;47.1724248;8.0920212;11.63
2025-08-24T21:28:08.005Z;47.1727001;8.0913357;12.31
2025-08-24T21:28:13.008Z;47.1730038;8.090581;13.15
2025-08-24T21:28:18.005Z;47.1733103;8.0898533;13.12
2025-08-24T21:28:23.010Z;47.1736262;8.0890824;14.06
2025-08-24T21:28:27.007Z;47.1739083;8.0884239;14.56
2025-08-24T21:28:28.007Z;47.1739912;8.0882806;14.58
2025-08-24T21:28:33.010Z;47.1745298;8.0877216;14.4
2025-08-24T21:28:38.005Z;47.1751608;8.0875779;14.04
2025-08-24T21:28:43.013Z;47.1757922;8.0876972;14.97
2025-08-24T21:28:47.010Z;47.1763746;8.0876912;15.75
2025-08-24T21:28:48.011Z;47.1765035;8.0876625;15.98
2025-08-24T21:28:53.024Z;47.1772152;8.0873272;16.71
2025-08-24T21:28:58.009Z;47.1779399;8.0869215;16.65
2025-08-24T21:29:03.015Z;47.1786166;8.0865584;15.79
2025-08-24T21:29:08.023Z;47.1792432;8.0860644;15.28
2025-08-24T21:29:13.005Z;47.1797051;8.0852649;15.81
2025-08-24T21:29:18.009Z;47.1799528;8.0842545;16.72
2025-08-24T21:29:23.005Z;47.1801402;8.0832101;15.75
2025-08-24T21:29:25.008Z;47.180207;8.0828214;15.13
2025-08-24T21:29:28.010Z;47.1803171;8.0822169;15.03
2025-08-24T21:29:33.008Z;47.1804981;8.0812136;15.05
2025-08-24T21:29:38.018Z;47.1806685;8.0802704;14.5
2025-08-24T21:29:43.006Z;47.1808106;8.0794254;11.86
2025-08-24T21:29:48.024Z;47.1809202;8.0787398;10.94
2025-08-24T21:29:53.023Z;47.1811875;8.0780892;11.8
2025-08-24T21:29:58.007Z;47.1815917;8.0775461;12.26
2025-08-24T21:30:03.006Z;47.182018;8.0769929;12.7
2025-08-24T21:30:08.006Z;47.1824245;8.076452;12.06
2025-08-24T21:30:13.011Z;47.1827443;8.0758192;11.24
2025-08-24T21:30:18.025Z;47.1828832;8.075125;10.74
2025-08-24T21:30:23.009Z;47.1829719;8.074498;8.61
2025-08-24T21:30:28.011Z;47.1829838;8.0739441;8.49
2025-08-24T21:30:33.006Z;47.1828783;8.0733599;9.51
2025-08-24T21:30:38.009Z;47.1826939;8.0727396;10.35
2025-08-24T21:30:39.009Z;47.1826527;8.0726043;10.08
2025-08-24T21:30:43.006Z;47.1825494;8.0721806;7.79
2025-08-24T21:30:48.016Z;47.1826073;8.0718622;3.94
2025-08-24T21:30:53.015Z;47.1828231;8.0716683;6.23
2025-08-24T21:30:58.007Z;47.1831055;8.0714364;7.69
2025-08-24T21:31:03.014Z;47.1833766;8.0712266;6.63
2025-08-24T21:31:08.009Z;47.1836398;8.0713161;6.27
2025-08-24T21:31:13.012Z;47.1838415;8.0716533;7.28
2025-08-24T21:31:18.005Z;47.1840959;8.0719749;7.46
2025-08-24T21:31:23.009Z;47.184386;8.0720939;5.76
2025-08-24T21:31:28.007Z;47.1845395;8.0720813;1.25
2025-08-24T21:31:33.010Z;47.1845546;8.0720767;0.0
2025-08-24T21:31:38.005Z;47.1845636;8.0720748;0.0
2025-08-24T21:31:43.010Z;47.1845636;8.0720748;0.0
2025-08-24T21:31:48.007Z;47.1845636;8.0720748;0.0
2025-08-24T21:31:53.013Z;47.1846022;8.0720535;0.98
2025-08-24T21:31:58.014Z;47.184752;8.0719512;4.61
2025-08-24T21:32:03.006Z;47.1850341;8.0717436;7.86
2025-08-24T21:32:08.007Z;47.1853391;8.0715111;6.97
2025-08-24T21:32:13.008Z;47.1856104;8.0713837;6.17
2025-08-24T21:32:18.012Z;47.1858653;8.0711833;6.35
2025-08-24T21:32:23.013Z;47.1861176;8.0709631;6.86
2025-08-24T21:32:28.010Z;47.186378;8.070725;6.83
2025-08-24T21:32:33.007Z;47.1866858;8.0704967;7.79
2025-08-24T21:32:38.012Z;47.1870396;8.0702378;8.52
2025-08-24T21:32:43.006Z;47.1873016;8.0701517;6.51
2025-08-24T21:32:48.012Z;47.1876769;8.0701702;8.58
2025-08-24T21:32:53.013Z;47.1880592;8.0701955;8.38
2025-08-24T21:32:58.007Z;47.1883877;8.0702081;5.62
2025-08-24T21:33:03.012Z;47.1887325;8.0702298;8.39
2025-08-24T21:33:08.009Z;47.1891341;8.0702497;10.07
2025-08-24T21:33:13.015Z;47.1895997;8.0702743;9.88
2025-08-24T21:33:18.006Z;47.1899383;8.0703037;4.82
2025-08-24T21:33:23.013Z;47.1899811;8.0705612;4.79
2025-08-24T21:33:28.010Z;47.1899644;8.071071;9.19
2025-08-24T21:33:33.008Z;47.1899497;8.0717325;10.92
2025-08-24T21:33:38.013Z;47.189936;8.0724927;11.77
2025-08-24T21:33:43.009Z;47.18992;8.0732491;11.0
2025-08-24T21:33:48.005Z;47.1899043;8.0739468;9.62
2025-08-24T21:33:53.013Z;47.1898925;8.0745197;7.96
2025-08-24T21:33:58.006Z;47.1899089;8.0748813;3.5
2025-08-24T21:34:03.013Z;47.1899945;8.074985;2.35
2025-08-24T21:34:08.014Z;47.1901886;8.0749654;4.9
2025-08-24T21:34:13.014Z;47.1904732;8.074946;7.05
2025-08-24T21:34:18.014Z;47.1908147;8.0749193;7.87
2025-08-24T21:34:23.006Z;47.1912007;8.0748798;8.15
2025-08-24T21:34:28.007Z;47.1914259;8.0749694;6.0
2025-08-24T21:34:33.007Z;47.1914625;8.0753092;2.16
2025-08-24T21:34:38.014Z;47.1914941;8.0753721;1.65
2025-08-24T21:34:43.014Z;47.1917231;8.0753111;7.07
2025-08-24T21:34:48.007Z;47.1921487;8.0751012;10.33
2025-08-24T21:34:53.006Z;47.1925641;8.0747782;10.71
2025-08-24T21:34:58.006Z;47.1929226;8.0743794;8.65
2025-08-24T21:35:03.014Z;47.193312;8.0743855;8.84
2025-08-24T21:35:08.014Z;47.1935884;8.0744447;3.33
2025-08-24T21:35:13.007Z;47.1936058;8.0744472;0.0
2025-08-24T21:35:18.010Z;47.1936058;8.0744472;0.0
2025-08-24T21:35:23.009Z;47.1936476;8.0744495;1.54
2025-08-24T21:35:28.009Z;47.1938891;8.074421;8.1
2025-08-24T21:35:33.010Z;47.1943768;8.0744667;11.75
2025-08-24T21:35:38.013Z;47.1949111;8.0745111;12.04
2025-08-24T21:35:43.008Z;47.195454;8.0745441;11.4
2025-08-24T21:35:48.013Z;47.1959623;8.0745378;10.98
2025-08-24T21:35:53.007Z;47.1964493;8.0744538;10.73
2025-08-24T21:35:58.006Z;47.1969019;8.0743529;9.52
2025-08-24T21:36:03.013Z;47.1972958;8.0742645;8.11
2025-08-24T21:36:08.011Z;47.1975334;8.0741264;4.02
2025-08-24T21:36:13.005Z;47.1975895;8.0737157;6.04
2025-08-24T21:36:18.009Z;47.1978893;8.0734968;9.31
2025-08-24T21:36:23.015Z;47.1982966;8.0731935;9.76
