time;latitude;longitude;velocity
2025-08-24T12:11:05.026Z;47.4194532;7.0794175;0.0
2025-08-24T12:11:07.016Z;47.4194532;7.0794175;0.0
2025-08-24T12:11:12.021Z;47.4194538;7.0794181;0.0
2025-08-24T12:11:15.019Z;47.4194538;7.0794181;0.0
2025-08-24T12:11:17.015Z;47.4194538;7.0794182;0.0
2025-08-24T12:11:22.016Z;47.419456;7.0793367;1.25
2025-08-24T12:11:27.017Z;47.4193502;7.0792489;3.83
2025-08-24T12:11:32.015Z;47.4191047;7.0791878;6.29
2025-08-24T12:11:37.014Z;47.4187619;7.0791278;7.48
2025-08-24T12:11:42.022Z;47.4185251;7.0791031;2.73
2025-08-24T12:11:47.013Z;47.418465;7.0790948;1.4
2025-08-24T12:11:52.013Z;47.4182379;7.0790356;6.87
2025-08-24T12:11:57.019Z;47.4179305;7.0788917;7.79
2025-08-24T12:12:02.022Z;47.4177016;7.0786408;7.83
2025-08-24T12:12:07.033Z;47.4173029;7.0783435;8.54
2025-08-24T12:12:12.017Z;47.4169667;7.0781866;6.75
2025-08-24T12:12:17.028Z;47.4168149;7.0781174;0.0
2025-08-24T12:12:22.023Z;47.4166891;7.0780496;3.81
2025-08-24T12:12:27.014Z;47.4166078;7.0782413;3.66
2025-08-24T12:12:32.022Z;47.4164787;7.0784094;3.7
2025-08-24T12:12:37.022Z;47.416423;7.0785014;0.0
2025-08-24T12:12:42.014Z;47.4164223;7.0785032;0.0
2025-08-24T12:12:45.021Z;47.4164223;7.0785032;0.0
2025-08-24T12:12:47.013Z;47.4164223;7.0785032;0.0
2025-08-24T12:12:52.021Z;47.4164224;7.0785035;0.0
2025-08-24T12:12:57.028Z;47.4164224;7.0785035;0.0
2025-08-24T12:13:02.023Z;47.416422;7.0785028;1.28
2025-08-24T12:13:07.025Z;47.4163075;7.0787277;5.98
2025-08-24T12:13:12.018Z;47.416112;7.0791256;8.42
2025-08-24T12:13:17.033Z;47.416016;7.0797566;10.14
2025-08-24T12:13:22.033Z;47.4160082;7.0804779;11.01
2025-08-24T12:13:27.022Z;47.4159935;7.0812207;11.51
2025-08-24T12:13:32.034Z;47.4159805;7.0820343;11.66
2025-08-24T12:13:37.026Z;47.4159617;7.0828226;11.78
2025-08-24T12:13:42.028Z;47.415936;7.0836378;12.09
2025-08-24T12:13:47.029Z;47.4160166;7.0844466;12.15
2025-08-24T12:13:52.025Z;47.4161431;7.0852478;12.12
2025-08-24T12:13:57.026Z;47.4162694;7.0860664;12.82
2025-08-24T12:14:02.018Z;47.4163924;7.0869179;13.55
2025-08-24T12:14:07.026Z;47.4165256;7.0878491;13.75
2025-08-24T12:14:12.020Z;47.4166174;7.0887676;13.91
2025-08-24T12:14:17.018Z;47.4166803;7.0897338;14.23
2025-08-24T12:14:22.024Z;47.4167194;7.0906526;13.78
2025-08-24T12:14:27.020Z;47.4166258;7.0914712;11.41
2025-08-24T12:14:32.016Z;47.4163951;7.0920976;11.21
2025-08-24T12:14:37.015Z;47.4159129;7.0925671;13.69
2025-08-24T12:14:41.011Z;47.4154203;7.0927348;13.78
2025-08-24T12:14:42.016Z;47.4152903;7.0927455;13.81
2025-08-24T12:14:47.012Z;47.4146488;7.092739;14.6
2025-08-24T12:14:52.028Z;47.4139357;7.0927177;15.56
2025-08-24T12:14:57.015Z;47.4132196;7.0927964;16.34
2025-08-24T12:15:02.020Z;47.4124481;7.0929662;17.05
2025-08-24T12:15:07.021Z;47.4116614;7.0931327;17.13
2025-08-24T12:15:12.019Z;47.41098;7.0935677;16.37
2025-08-24T12:15:17.025Z;47.4104682;7.0944098;17.02
2025-08-24T12:15:21.011Z;47.4102855;7.0953222;18.14
2025-08-24T12:15:32.010Z;47.4102001;7.0981053;19.11
2025-08-24T12:15:37.014Z;47.4098822;7.0993332;19.56
2025-08-24T12:15:42.011Z;47.4094571;7.1005417;20.4
2025-08-24T12:15:47.008Z;47.4090697;7.1017777;20.48
2025-08-24T12:15:52.013Z;47.4087079;7.1030743;20.44
2025-08-24T12:15:57.010Z;47.4082172;7.1042314;20.08
2025-08-24T12:16:02.023Z;47.4077394;7.1053518;20.52
2025-08-24T12:16:07.007Z;47.4074755;7.1067233;20.83
2025-08-24T12:16:12.018Z;47.4072318;7.10809;20.66
2025-08-24T12:16:17.011Z;47.4069863;7.1094226;19.96
2025-08-24T12:16:22.011Z;47.406799;7.110671;18.57
2025-08-24T12:16:27.007Z;47.40681;7.1118966;17.63
2025-08-24T12:16:32.009Z;47.4068902;7.1130235;15.97
2025-08-24T12:16:37.013Z;47.4069615;7.114043;15.12
2025-08-24T12:16:42.007Z;47.4069092;7.1150284;14.5
2025-08-24T12:16:47.010Z;47.4066853;7.1159813;14.79
2025-08-24T12:16:52.008Z;47.4064433;7.1169152;14.4
2025-08-24T12:16:57.019Z;47.4062201;7.1177715;13.41
2025-08-24T12:17:02.012Z;47.4060119;7.1185658;12.18
2025-08-24T12:17:07.019Z;47.4058204;7.119312;11.9
2025-08-24T12:17:12.008Z;47.4056256;7.1200777;11.13
2025-08-24T12:17:17.009Z;47.4054274;7.1207629;11.25
2025-08-24T12:17:22.012Z;47.4051736;7.1214432;11.45
2025-08-24T12:17:26.011Z;47.4049591;7.1219852;11.3
2025-08-24T12:17:27.008Z;47.404909;7.1221108;11.13
2025-08-24T12:17:32.017Z;47.4046668;7.1227162;9.9
2025-08-24T12:17:35.007Z;47.4045305;7.1230533;8.16
2025-08-24T12:17:37.010Z;47.4045001;7.1231297;6.21
2025-08-24T12:17:42.022Z;47.4045362;7.1235126;5.93
2025-08-24T12:17:47.008Z;47.4047241;7.1237751;7.28
2025-08-24T12:17:52.007Z;47.4049673;7.1241472;4.82
2025-08-24T12:17:57.017Z;47.4050733;7.1243042;1.8
2025-08-24T12:18:02.010Z;47.4050787;7.1243108;0.0
2025-08-24T12:18:07.013Z;47.4050787;7.1243108;0.0
2025-08-24T12:18:12.017Z;47.4050787;7.1243108;0.0
2025-08-24T12:18:17.008Z;47.4050787;7.1243108;0.0
2025-08-24T12:18:22.018Z;47.4050787;7.1243108;0.0
2025-08-24T12:18:27.018Z;47.405084;7.1243164;0.0
2025-08-24T12:18:32.008Z;47.405084;7.1243164;0.0
2025-08-24T12:18:37.023Z;47.405084;7.1243164;0.0
2025-08-24T12:18:42.006Z;47.405084;7.1243164;0.0
2025-08-24T12:18:47.023Z;47.405084;7.1243164;0.0
2025-08-24T12:18:52.008Z;47.405084;7.1243164;0.0
2025-08-24T12:18:57.011Z;47.405084;7.1243164;0.0
2025-08-24T12:19:02.007Z;47.405084;7.1243164;0.0
2025-08-24T12:19:07.011Z;47.405084;7.1243164;0.0
2025-08-24T12:19:12.021Z;47.405084;7.1243164;0.0
2025-08-24T12:19:17.025Z;47.405084;7.1243164;0.0
2025-08-24T12:19:22.007Z;47.405084;7.1243164;0.0
2025-08-24T12:19:27.022Z;47.4051184;7.1243567;2.74
2025-08-24T12:19:32.015Z;47.4052326;7.1244917;2.79
2025-08-24T12:19:37.007Z;47.4053408;7.1246349;3.87
2025-08-24T12:19:42.021Z;47.4055033;7.1248763;5.19
2025-08-24T12:19:44.006Z;47.4055706;7.1249698;5.6
2025-08-24T12:19:47.013Z;47.4056909;7.1251503;6.92
2025-08-24T12:19:52.019Z;47.4059282;7.1255021;7.79
2025-08-24T12:19:57.011Z;47.4061745;7.1258679;7.07
2025-08-24T12:20:02.024Z;47.4064134;7.1261024;6.83
2025-08-24T12:20:07.018Z;47.4067673;7.1263337;9.97
2025-08-24T12:20:12.007Z;47.4072133;7.1266811;12.14
2025-08-24T12:20:17.021Z;47.4077399;7.1271554;13.69
2025-08-24T12:20:22.013Z;47.4081048;7.1278965;13.7
2025-08-24T12:20:27.007Z;47.4083053;7.1286722;11.19
2025-08-24T12:20:32.012Z;47.4084201;7.1291889;4.55
2025-08-24T12:20:37.021Z;47.4084129;7.1293046;0.0
2025-08-24T12:20:42.018Z;47.4084056;7.1293496;0.91
2025-08-24T12:20:47.020Z;47.4082108;7.1294594;7.29
2025-08-24T12:20:52.011Z;47.4078245;7.1296741;10.53
2025-08-24T12:20:57.018Z;47.407326;7.1300332;12.75
2025-08-24T12:21:02.023Z;47.4067664;7.1304761;14.47
2025-08-24T12:21:07.012Z;47.4061568;7.130955;15.81
2025-08-24T12:21:12.016Z;47.4055163;7.1314588;15.95
2025-08-24T12:21:15.021Z;47.4051648;7.1318316;15.38
2025-08-24T12:21:17.016Z;47.4049399;7.1320678;14.38
2025-08-24T12:21:22.009Z;47.4044064;7.1323365;10.7
2025-08-24T12:21:27.009Z;47.4040601;7.132331;3.85
2025-08-24T12:21:32.006Z;47.4039996;7.1323376;0.0
2025-08-24T12:21:37.015Z;47.4039333;7.1324011;4.42
2025-08-24T12:21:42.023Z;47.4039035;7.1328974;9.11
2025-08-24T12:21:47.017Z;47.4038746;7.1335915;11.98
2025-08-24T12:21:52.013Z;47.4039011;7.1344798;13.38
2025-08-24T12:21:57.005Z;47.404098;7.1353687;14.72
2025-08-24T12:22:02.023Z;47.4043979;7.1363088;14.82
2025-08-24T12:22:07.014Z;47.4046872;7.1372162;15.86
2025-08-24T12:22:12.007Z;47.4050136;7.138232;16.7
2025-08-24T12:22:14.017Z;47.4051372;7.1386491;16.92
2025-08-24T12:22:17.023Z;47.4052985;7.1392723;17.26
2025-08-24T12:22:22.010Z;47.4055396;7.1404331;18.31
2025-08-24T12:22:27.009Z;47.4056975;7.141688;19.25
2025-08-24T12:22:32.017Z;47.4058241;7.1430105;19.42
2025-08-24T12:22:37.009Z;47.4059485;7.1443108;19.87
2025-08-24T12:22:42.024Z;47.4060768;7.1456322;20.02
2025-08-24T12:22:47.020Z;47.4062013;7.1469713;20.21
2025-08-24T12:22:52.014Z;47.4062672;7.148364;20.38
2025-08-24T12:22:57.022Z;47.4062602;7.1497265;20.56
2025-08-24T12:23:02.015Z;47.406296;7.1511351;20.31
2025-08-24T12:23:07.007Z;47.4063781;7.1524433;18.98
2025-08-24T12:23:12.020Z;47.4064636;7.1536963;17.65
2025-08-24T12:23:17.010Z;47.4065379;7.1548206;15.9
2025-08-24T12:23:22.018Z;47.4066574;7.1558462;14.32
2025-08-24T12:23:27.017Z;47.4070631;7.1565236;13.93
2025-08-24T12:23:32.017Z;47.4075835;7.1571016;13.63
2025-08-24T12:23:37.019Z;47.4080639;7.1576473;12.85
2025-08-24T12:23:42.012Z;47.4084676;7.1581625;11.25
2025-08-24T12:23:47.015Z;47.4086367;7.1588169;9.82
2025-08-24T12:23:52.005Z;47.4084985;7.1594231;9.31
2025-08-24T12:23:57.023Z;47.4082518;7.1600138;10.73
2025-08-24T12:24:02.023Z;47.4079279;7.1605872;11.23
2025-08-24T12:24:07.006Z;47.4075434;7.1610538;10.7
2025-08-24T12:24:12.013Z;47.407165;7.161491;10.39
2025-08-24T12:24:17.025Z;47.4068444;7.1619924;10.39
2025-08-24T12:24:18.018Z;47.406772;7.1620869;10.49
2025-08-24T12:24:22.015Z;47.4064571;7.1624662;10.7
2025-08-24T12:24:27.013Z;47.4060638;7.1628603;10.33
2025-08-24T12:24:32.019Z;47.4058048;7.1634008;9.64
