time;latitude;longitude;velocity
2025-08-27T08:58:49.016Z;46.8718163;8.2692765;0.0
2025-08-27T08:58:54.023Z;46.8718163;8.2692765;0.0
2025-08-27T08:58:59.021Z;46.8718163;8.2692765;0.0
2025-08-27T08:59:04.017Z;46.8718163;8.2692765;0.0
2025-08-27T08:59:09.010Z;46.8718163;8.2692765;0.0
2025-08-27T08:59:14.011Z;46.8718163;8.2692765;0.0
2025-08-27T08:59:19.014Z;46.8718163;8.2692765;0.0
2025-08-27T08:59:21.015Z;46.8718163;8.2692765;0.0
2025-08-27T08:59:24.015Z;46.8718163;8.2692765;0.0
2025-08-27T08:59:29.007Z;46.8718163;8.2692765;0.0
2025-08-27T08:59:34.025Z;46.8718163;8.2692765;0.0
2025-08-27T08:59:39.017Z;46.8718163;8.2692765;0.0
2025-08-27T08:59:44.013Z;46.8718157;8.2692769;0.0
2025-08-27T08:59:49.018Z;46.8718477;8.269256;1.91
2025-08-27T08:59:54.017Z;46.8719798;8.2691686;4.24
2025-08-27T08:59:59.015Z;46.8722163;8.2691745;5.97
2025-08-27T09:00:04.010Z;46.8725378;8.2693233;9.46
2025-08-27T09:00:09.020Z;46.8730744;8.2692057;12.36
2025-08-27T09:00:14.008Z;46.8735924;8.2690462;10.33
2025-08-27T09:00:19.010Z;46.8739541;8.2689305;6.11
2025-08-27T09:00:24.007Z;46.8740607;8.2686009;6.41
2025-08-27T09:00:29.026Z;46.8739382;8.2679763;10.97
2025-08-27T09:00:34.008Z;46.8738588;8.2672992;9.91
2025-08-27T09:00:38.013Z;46.8738936;8.26683;8.88
2025-08-27T09:00:39.015Z;46.8739507;8.2667451;9.16
2025-08-27T09:00:44.022Z;46.874369;8.2663767;11.55
2025-08-27T09:00:49.016Z;46.8748257;8.2658796;13.96
2025-08-27T09:00:54.020Z;46.875355;8.2652608;14.96
2025-08-27T09:00:59.024Z;46.8758353;8.2645484;14.72
2025-08-27T09:01:04.016Z;46.8762258;8.2638206;13.85
2025-08-27T09:01:09.015Z;46.8765328;8.2630848;12.74
2025-08-27T09:01:14.010Z;46.8767792;8.2623519;11.46
2025-08-27T09:01:19.022Z;46.8769604;8.2616504;11.13
2025-08-27T09:01:24.026Z;46.8771516;8.2609917;10.35
2025-08-27T09:01:29.021Z;46.8772613;8.2604024;9.88
2025-08-27T09:01:30.008Z;46.877238;8.2602652;10.44
2025-08-27T09:01:34.009Z;46.8770323;8.2597253;12.6
2025-08-27T09:01:39.026Z;46.8766993;8.258938;14.6
2025-08-27T09:01:44.009Z;46.87634;8.2580992;15.1
2025-08-27T09:01:49.013Z;46.8759842;8.257263;15.27
2025-08-27T09:01:54.017Z;46.8756028;8.2563797;15.27
2025-08-27T09:01:59.018Z;46.8752469;8.2555502;14.63
2025-08-27T09:02:04.017Z;46.8748524;8.2547308;15.63
2025-08-27T09:02:09.027Z;46.8743595;8.2539191;16.05
2025-08-27T09:02:14.017Z;46.8738753;8.2531124;16.55
2025-08-27T09:02:19.011Z;46.8733884;8.2522552;16.99
2025-08-27T09:02:24.021Z;46.8729906;8.2513998;14.77
2025-08-27T09:02:29.026Z;46.8726582;8.2506179;13.41
2025-08-27T09:02:34.013Z;46.8723529;8.2498985;11.77
2025-08-27T09:02:39.028Z;46.8720391;8.249599;4.16
2025-08-27T09:02:44.008Z;46.8718646;8.2495648;5.91
2025-08-27T09:02:49.018Z;46.8714914;8.2495041;10.13
2025-08-27T09:02:54.011Z;46.870961;8.2493082;13.38
2025-08-27T09:02:59.009Z;46.8704972;8.2488026;12.1
2025-08-27T09:03:04.019Z;46.8701726;8.2483807;7.71
2025-08-27T09:03:09.009Z;46.870009;8.248185;2.83
2025-08-27T09:03:14.017Z;46.8698008;8.2479545;7.74
2025-08-27T09:03:19.010Z;46.869427;8.2475486;11.91
2025-08-27T09:03:24.013Z;46.8690138;8.2470184;12.24
2025-08-27T09:03:29.027Z;46.8687027;8.2464362;10.3
2025-08-27T09:03:34.011Z;46.8684879;8.2458779;9.1
2025-08-27T09:03:39.016Z;46.8683139;8.2454217;6.49
2025-08-27T09:03:44.017Z;46.8682746;8.2451796;1.71
2025-08-27T09:03:46.015Z;46.8682609;8.2451276;1.99
2025-08-27T09:03:49.020Z;46.8682271;8.2450323;2.85
2025-08-27T09:03:51.016Z;46.8681992;8.2449751;2.52
2025-08-27T09:03:59.021Z;46.8679246;8.2443912;10.1
2025-08-27T09:04:03.010Z;46.8677379;8.2439005;11.6
2025-08-27T09:04:04.017Z;46.8676775;8.2437604;11.35
2025-08-27T09:04:09.024Z;46.8673746;8.2431861;10.71
2025-08-27T09:04:14.015Z;46.8671522;8.2425498;11.44
2025-08-27T09:04:19.014Z;46.8670212;8.2417694;12.46
2025-08-27T09:04:24.014Z;46.8667411;8.2410713;12.16
2025-08-27T09:04:29.009Z;46.8664197;8.2405761;9.16
2025-08-27T09:04:34.010Z;46.8660316;8.2404099;8.83
2025-08-27T09:04:39.024Z;46.8656516;8.2403825;8.75
2025-08-27T09:04:44.018Z;46.8654294;8.2399268;9.63
2025-08-27T09:04:49.009Z;46.865292;8.2393497;8.88
2025-08-27T09:04:54.016Z;46.8651921;8.2389613;3.33
2025-08-27T09:04:59.008Z;46.8651838;8.238936;0.0
2025-08-27T09:05:04.008Z;46.8651838;8.238936;0.0
2025-08-27T09:05:09.015Z;46.8651793;8.2389197;1.3
2025-08-27T09:05:14.010Z;46.865136;8.2387032;3.91
2025-08-27T09:05:19.024Z;46.8652766;8.2386211;3.47
2025-08-27T09:05:24.009Z;46.86546;8.2386449;4.8
2025-08-27T09:05:29.024Z;46.8657309;8.2386142;6.6
2025-08-27T09:05:34.008Z;46.866066;8.2387056;8.13
2025-08-27T09:05:39.008Z;46.8663422;8.239026;7.46
2025-08-27T09:05:44.018Z;46.8666547;8.2391848;6.11
2025-08-27T09:05:47.027Z;46.8667854;8.2392477;5.55
2025-08-27T09:05:49.019Z;46.8669002;8.2393036;5.1
2025-08-27T09:05:54.014Z;46.8670425;8.2395038;4.63
2025-08-27T09:05:59.011Z;46.8672428;8.2395718;5.1
2025-08-27T09:06:04.011Z;46.8674828;8.2395442;4.77
2025-08-27T09:06:09.013Z;46.8676316;8.2395442;2.44
2025-08-27T09:06:14.015Z;46.8676671;8.2395406;0.08
2025-08-27T09:06:19.013Z;46.8676678;8.2395405;0.0
2025-08-27T09:06:24.015Z;46.8676678;8.2395404;0.0
2025-08-27T09:06:29.025Z;46.8678044;8.2395271;5.49
2025-08-27T09:06:34.014Z;46.8681203;8.2394368;7.74
2025-08-27T09:06:39.009Z;46.8684402;8.2392401;7.05
2025-08-27T09:06:44.017Z;46.8686767;8.2390907;4.96
2025-08-27T09:06:49.014Z;46.8688425;8.2389822;2.41
2025-08-27T09:06:54.019Z;46.86893;8.2390467;3.35
2025-08-27T09:06:59.020Z;46.8690409;8.2393087;5.27
2025-08-27T09:07:04.010Z;46.8692122;8.2394959;4.35
2025-08-27T09:07:09.016Z;46.8694444;8.2393004;5.74
2025-08-27T09:07:14.011Z;46.8697233;8.2391273;7.85
2025-08-27T09:07:19.025Z;46.8700781;8.2389146;8.85
2025-08-27T09:07:24.011Z;46.8704343;8.2386915;7.41
2025-08-27T09:07:29.016Z;46.8706978;8.2385162;5.27
2025-08-27T09:07:34.024Z;46.870822;8.238314;3.1
2025-08-27T09:07:39.010Z;46.8707483;8.2381549;1.85
2025-08-27T09:07:44.008Z;46.8707389;8.2381301;0.46
2025-08-27T09:07:49.010Z;46.8707493;8.2381811;1.35
2025-08-27T09:07:50.020Z;46.870751;8.2381924;1.46
2025-08-27T09:07:54.026Z;46.8707752;8.2382634;1.49
2025-08-27T09:07:59.017Z;46.8708097;8.2383339;1.33
2025-08-27T09:08:04.025Z;46.8708417;8.2383848;0.99
2025-08-27T09:08:09.009Z;46.8708804;8.2384218;0.74
2025-08-27T09:08:14.016Z;46.8709081;8.2384503;0.35
2025-08-27T09:08:19.021Z;46.8709099;8.2384539;0.0
2025-08-27T09:08:24.009Z;46.8709099;8.2384539;0.0
2025-08-27T09:08:29.009Z;46.8709099;8.2384539;0.0
2025-08-27T09:08:34.017Z;46.8709099;8.2384539;0.0
2025-08-27T09:08:39.014Z;46.8709099;8.2384539;0.0
2025-08-27T09:08:44.009Z;46.8709099;8.2384539;0.0
2025-08-27T09:08:49.018Z;46.8709099;8.2384539;0.0
2025-08-27T09:08:54.011Z;46.8709099;8.2384539;0.0
2025-08-27T09:08:56.008Z;46.8709099;8.2384539;0.0
2025-08-27T09:08:59.016Z;46.8709099;8.2384539;0.0
2025-08-27T09:09:04.014Z;46.8709099;8.2384539;0.0
2025-08-27T09:09:09.016Z;46.8709099;8.2384539;0.0
2025-08-27T09:09:11.016Z;46.8709099;8.2384539;0.0
2025-08-27T09:09:14.011Z;46.8709099;8.2384539;0.0
2025-08-27T09:09:19.012Z;46.8709099;8.2384539;0.0
2025-08-27T09:09:23.027Z;46.8709099;8.2384539;0.0
2025-08-27T09:09:24.014Z;46.8709099;8.2384539;0.0
2025-08-27T09:09:29.017Z;46.8709099;8.2384539;0.0
2025-08-27T09:09:34.025Z;46.8709099;8.2384539;0.0
