time;latitude;longitude;velocity
2025-08-27T05:05:19.205Z;47.437323;7.6070778;15.04
2025-08-27T05:05:24.206Z;47.4373071;7.6080778;14.2
2025-08-27T05:05:29.206Z;47.4371198;7.6088803;12.19
2025-08-27T05:05:34.205Z;47.436685;7.6092015;10.31
2025-08-27T05:05:39.204Z;47.4364813;7.6096924;9.86
2025-08-27T05:05:44.205Z;47.4364326;7.6104167;11.86
2025-08-27T05:05:49.205Z;47.4365526;7.6111652;11.61
2025-08-27T05:05:54.204Z;47.4363352;7.611776;10.35
2025-08-27T05:05:59.204Z;47.4362573;7.6124646;11.7
2025-08-27T05:06:04.204Z;47.436335;7.6132521;12.83
2025-08-27T05:06:09.204Z;47.4361232;7.6140242;12.33
2025-08-27T05:06:14.205Z;47.4360659;7.614751;10.29
2025-08-27T05:06:19.204Z;47.4358784;7.6153157;9.29
2025-08-27T05:06:24.204Z;47.4356311;7.6158713;11.43
2025-08-27T05:06:29.205Z;47.4354141;7.6165795;12.86
2025-08-27T05:06:34.206Z;47.43515;7.6173829;14.19
2025-08-27T05:06:39.205Z;47.4349324;7.6182658;15.28
2025-08-27T05:06:44.205Z;47.4345802;7.6190388;13.97
2025-08-27T05:06:49.205Z;47.4341593;7.6196622;12.55
2025-08-27T05:06:54.205Z;47.4338484;7.6202708;10.97
2025-08-27T05:07:04.205Z;47.4333838;7.6214308;12.77
2025-08-27T05:07:09.205Z;47.4333131;7.6222764;13.62
2025-08-27T05:07:14.205Z;47.4331825;7.6231845;14.58
2025-08-27T05:07:19.205Z;47.4329902;7.6241177;15.51
2025-08-27T05:07:24.204Z;47.4327622;7.6250967;16.03
2025-08-27T05:07:29.205Z;47.4325315;7.6260765;16.41
2025-08-27T05:07:34.206Z;47.4320611;7.6269132;16.57
2025-08-27T05:07:39.206Z;47.4314426;7.627424;16.77
2025-08-27T05:07:44.205Z;47.4308254;7.6277428;12.52
2025-08-27T05:07:49.205Z;47.4304102;7.6273929;11.51
2025-08-27T05:07:54.205Z;47.4300922;7.6268536;10.23
2025-08-27T05:07:59.205Z;47.4297282;7.6269367;8.52
2025-08-27T05:08:04.205Z;47.4296866;7.627455;9.19
2025-08-27T05:08:09.205Z;47.4298545;7.6280801;10.77
2025-08-27T05:08:14.205Z;47.4297137;7.6286484;8.97
2025-08-27T05:08:19.205Z;47.4295003;7.6292437;11.96
2025-08-27T05:08:24.205Z;47.4292861;7.6300586;14.16
2025-08-27T05:08:29.205Z;47.429178;7.6310086;14.29
2025-08-27T05:08:34.206Z;47.4291246;7.6318981;13.3
2025-08-27T05:08:39.206Z;47.4294023;7.6326886;13.99
2025-08-27T05:08:41.205Z;47.4295417;7.6329863;14.46
2025-08-27T05:08:44.205Z;47.4297516;7.6335067;15.02
2025-08-27T05:08:49.206Z;47.4301038;7.6343944;15.36
2025-08-27T05:08:50.206Z;47.43017;7.6345618;15.47
2025-08-27T05:08:54.206Z;47.4304572;7.6352793;15.48
2025-08-27T05:08:59.205Z;47.4308049;7.6361357;15.38
2025-08-27T05:09:04.205Z;47.4311107;7.6370493;14.78
2025-08-27T05:09:09.205Z;47.4313002;7.6379028;12.14
2025-08-27T05:09:14.205Z;47.4314079;7.6385139;7.01
2025-08-27T05:09:19.205Z;47.4314461;7.6387453;0.53
2025-08-27T05:09:24.205Z;47.4314487;7.6387693;0.0
2025-08-27T05:09:29.205Z;47.4314487;7.6387695;0.0
2025-08-27T05:09:34.204Z;47.4314793;7.6389357;4.85
2025-08-27T05:09:39.205Z;47.431559;7.6393942;8.99
2025-08-27T05:09:44.206Z;47.4316815;7.6400857;12.72
2025-08-27T05:09:49.205Z;47.4318586;7.640968;14.81
2025-08-27T05:09:54.205Z;47.4322635;7.641809;16.33
2025-08-27T05:09:59.205Z;47.4325363;7.6428039;17.06
2025-08-27T05:10:03.205Z;47.4327045;7.6437008;17.8
2025-08-27T05:10:04.205Z;47.4327762;7.6439334;17.91
2025-08-27T05:10:09.205Z;47.433138;7.6450277;18.75
2025-08-27T05:10:14.206Z;47.4334104;7.6462211;18.82
2025-08-27T05:10:19.205Z;47.4337437;7.6473707;19.22
2025-08-27T05:10:20.205Z;47.4338023;7.6475788;19.29
2025-08-27T05:10:24.205Z;47.434058;7.6485274;19.48
2025-08-27T05:10:29.206Z;47.4343474;7.6497058;18.17
2025-08-27T05:10:34.205Z;47.4345408;7.6508861;17.55
2025-08-27T05:10:36.206Z;47.4345674;7.6513138;17.07
2025-08-27T05:10:39.205Z;47.4345547;7.6519534;16.21
2025-08-27T05:10:44.205Z;47.4344773;7.6529994;14.54
2025-08-27T05:10:49.204Z;47.4345111;7.6538925;12.49
2025-08-27T05:10:54.204Z;47.4345928;7.6545515;8.4
2025-08-27T05:10:59.206Z;47.434622;7.6549756;3.7
2025-08-27T05:11:04.206Z;47.4344477;7.6550151;4.16
2025-08-27T05:11:09.205Z;47.4342907;7.6549151;3.32
2025-08-27T05:11:14.206Z;47.4341612;7.6548014;2.73
2025-08-27T05:11:19.205Z;47.4340948;7.6547787;0.21
2025-08-27T05:11:24.205Z;47.4340872;7.6547762;0.0
2025-08-27T05:11:29.203Z;47.4340872;7.6547762;0.0
2025-08-27T05:11:34.204Z;47.4340872;7.6547762;0.0
2025-08-27T05:11:39.204Z;47.4340872;7.6547762;0.0
2025-08-27T05:11:44.207Z;47.4340872;7.6547762;0.0
2025-08-27T05:11:49.205Z;47.4340872;7.6547762;0.0
2025-08-27T05:11:54.206Z;47.4340872;7.6547762;0.0
2025-08-27T05:11:59.206Z;47.4340872;7.6547762;0.0
2025-08-27T05:12:04.206Z;47.4340872;7.6547762;0.0
2025-08-27T05:12:09.205Z;47.4340872;7.6547762;0.0
time;latitude;longitude;velocity
2025-08-27T05:05:19.205Z;47.437323;7.6070778;15.04
2025-08-27T05:05:24.206Z;47.4373071;7.6080778;14.2
2025-08-27T05:05:29.206Z;47.4371198;7.6088803;12.19
2025-08-27T05:05:34.205Z;47.436685;7.6092015;10.31
2025-08-27T05:05:39.204Z;47.4364813;7.6096924;9.86
2025-08-27T05:05:44.205Z;47.4364326;7.6104167;11.86
2025-08-27T05:05:49.205Z;47.4365526;7.6111652;11.61
2025-08-27T05:05:54.204Z;47.4363352;7.611776;10.35
2025-08-27T05:05:59.204Z;47.4362573;7.6124646;11.7
2025-08-27T05:06:04.204Z;47.436335;7.6132521;12.83
2025-08-27T05:06:09.204Z;47.4361232;7.6140242;12.33
2025-08-27T05:06:14.205Z;47.4360659;7.614751;10.29
2025-08-27T05:06:19.204Z;47.4358784;7.6153157;9.29
2025-08-27T05:06:24.204Z;47.4356311;7.6158713;11.43
2025-08-27T05:06:29.205Z;47.4354141;7.6165795;12.86
2025-08-27T05:06:34.206Z;47.43515;7.6173829;14.19
2025-08-27T05:06:39.205Z;47.4349324;7.6182658;15.28
2025-08-27T05:06:44.205Z;47.4345802;7.6190388;13.97
2025-08-27T05:06:49.205Z;47.4341593;7.6196622;12.55
2025-08-27T05:06:54.205Z;47.4338484;7.6202708;10.97
2025-08-27T05:07:04.205Z;47.4333838;7.6214308;12.77
2025-08-27T05:07:09.205Z;47.4333131;7.6222764;13.62
2025-08-27T05:07:14.205Z;47.4331825;7.6231845;14.58
2025-08-27T05:07:19.205Z;47.4329902;7.6241177;15.51
2025-08-27T05:07:24.204Z;47.4327622;7.6250967;16.03
2025-08-27T05:07:29.205Z;47.4325315;7.6260765;16.41
2025-08-27T05:07:34.206Z;47.4320611;7.6269132;16.57
2025-08-27T05:07:39.206Z;47.4314426;7.627424;16.77
2025-08-27T05:07:44.205Z;47.4308254;7.6277428;12.52
2025-08-27T05:07:49.205Z;47.4304102;7.6273929;11.51
