time;latitude;longitude;velocity
2025-08-25T18:11:57.405Z;46.185155;7.2108657;10.16
2025-08-25T18:12:02.403Z;46.1853923;7.2102959;10.26
2025-08-25T18:12:07.415Z;46.1856252;7.2097406;9.98
2025-08-25T18:12:12.404Z;46.185878;7.2091899;10.02
2025-08-25T18:12:17.418Z;46.1861404;7.2088156;7.61
2025-08-25T18:12:22.413Z;46.1862613;7.208566;1.83
2025-08-25T18:12:25.409Z;46.1862823;7.2085234;2.06
2025-08-25T18:12:27.403Z;46.1863365;7.2084984;3.45
2025-08-25T18:12:32.411Z;46.1865347;7.2086815;5.89
2025-08-25T18:12:37.410Z;46.1868063;7.208882;8.0
2025-08-25T18:12:42.405Z;46.187174;7.2091832;10.06
2025-08-25T18:12:47.415Z;46.1875796;7.2094199;10.12
2025-08-25T18:12:52.404Z;46.1879752;7.2096156;8.96
2025-08-25T18:12:57.410Z;46.1883827;7.2096675;10.01
2025-08-25T18:13:02.421Z;46.1887987;7.2098414;9.66
2025-08-25T18:13:07.413Z;46.1891494;7.210151;9.14
2025-08-25T18:13:12.418Z;46.1895081;7.2103535;8.63
2025-08-25T18:13:17.414Z;46.1898817;7.2105731;9.4
2025-08-25T18:13:22.411Z;46.1902524;7.2109552;10.34
2025-08-25T18:13:27.420Z;46.1905902;7.2114202;11.1
2025-08-25T18:13:32.418Z;46.190886;7.2119415;10.72
2025-08-25T18:13:37.416Z;46.1911942;7.2124787;11.27
2025-08-25T18:13:42.411Z;46.1914952;7.2130931;11.89
2025-08-25T18:13:47.413Z;46.1917895;7.2136907;11.42
2025-08-25T18:13:52.402Z;46.1921613;7.2141693;11.33
2025-08-25T18:13:57.421Z;46.1924889;7.2147244;11.73
2025-08-25T18:14:02.410Z;46.1927938;7.2153647;13.08
2025-08-25T18:14:07.412Z;46.1930916;7.2160929;13.63
2025-08-25T18:14:12.416Z;46.1933827;7.2168159;12.74
2025-08-25T18:14:17.421Z;46.1937503;7.217389;12.54
2025-08-25T18:14:22.414Z;46.1941415;7.2179606;12.59
2025-08-25T18:14:27.405Z;46.1945331;7.2184964;12.9
2025-08-25T18:14:32.421Z;46.1950137;7.2189776;13.46
2025-08-25T18:14:37.412Z;46.1955255;7.219462;13.88
2025-08-25T18:14:42.407Z;46.1959763;7.2198809;9.57
2025-08-25T18:14:47.410Z;46.1962006;7.2200795;3.4
2025-08-25T18:14:52.420Z;46.1964263;7.2202647;8.03
2025-08-25T18:14:57.410Z;46.1967854;7.2205235;10.36
2025-08-25T18:15:02.411Z;46.1972496;7.2206997;10.93
2025-08-25T18:15:07.421Z;46.1977015;7.2208839;10.98
2025-08-25T18:15:12.407Z;46.1980729;7.2213167;10.88
2025-08-25T18:15:17.402Z;46.1983036;7.2218224;9.1
2025-08-25T18:15:22.407Z;46.1985206;7.2223018;8.43
2025-08-25T18:15:26.412Z;46.1987417;7.2226694;10.7
2025-08-25T18:15:27.417Z;46.198792;7.222762;10.94
2025-08-25T18:15:32.406Z;46.1990442;7.2233582;10.61
2025-08-25T18:15:37.413Z;46.1992372;7.2238404;6.88
2025-08-25T18:15:42.407Z;46.1993691;7.2240878;3.43
2025-08-25T18:15:46.402Z;46.1994754;7.2242494;5.09
2025-08-25T18:15:47.411Z;46.1995054;7.2242998;5.12
2025-08-25T18:15:52.421Z;46.1996917;7.2245997;6.9
2025-08-25T18:15:57.410Z;46.1998638;7.2248716;5.17
2025-08-25T18:16:02.421Z;46.2000867;7.2249772;6.67
2025-08-25T18:16:07.403Z;46.2004186;7.2251342;8.23
2025-08-25T18:16:12.404Z;46.2007548;7.2253621;8.27
2025-08-25T18:16:17.411Z;46.20107;7.2256009;8.51
2025-08-25T18:16:22.422Z;46.2014186;7.2258623;8.16
2025-08-25T18:16:26.402Z;46.2016532;7.2260061;6.63
2025-08-25T18:16:27.408Z;46.2017064;7.2260413;5.78
2025-08-25T18:16:32.402Z;46.2018642;7.2261703;3.2
2025-08-25T18:16:37.402Z;46.201908;7.226192;0.0
2025-08-25T18:16:42.421Z;46.201908;7.226192;0.0
2025-08-25T18:16:47.421Z;46.201908;7.226192;0.0
2025-08-25T18:16:52.417Z;46.2019078;7.2261918;0.0
2025-08-25T18:16:57.407Z;46.2019586;7.2262117;3.43
2025-08-25T18:17:02.417Z;46.2022026;7.226332;7.68
2025-08-25T18:17:07.402Z;46.2025291;7.2265605;8.29
2025-08-25T18:17:12.406Z;46.2028567;7.2267796;8.35
2025-08-25T18:17:17.409Z;46.2031831;7.2270171;8.17
2025-08-25T18:17:22.410Z;46.2034448;7.2273646;7.7
2025-08-25T18:17:27.410Z;46.2035686;7.227843;8.71
2025-08-25T18:17:32.402Z;46.2035787;7.2284829;10.98
2025-08-25T18:17:37.412Z;46.2034813;7.2292539;13.66
2025-08-25T18:17:42.405Z;46.2033259;7.2301259;13.51
2025-08-25T18:17:47.406Z;46.2032646;7.2309609;13.4
2025-08-25T18:17:52.422Z;46.2031904;7.2318392;14.05
2025-08-25T18:17:57.421Z;46.2030734;7.2326648;12.22
2025-08-25T18:18:02.402Z;46.2030099;7.2334097;11.0
2025-08-25T18:18:07.411Z;46.2030657;7.2341299;12.01
2025-08-25T18:18:12.403Z;46.2030754;7.2349502;13.1
2025-08-25T18:18:17.412Z;46.2030853;7.2358213;13.67
2025-08-25T18:18:22.418Z;46.2032346;7.2366524;13.2
2025-08-25T18:18:27.422Z;46.2033604;7.2374652;12.48
2025-08-25T18:18:32.411Z;46.2034062;7.2382303;11.81
2025-08-25T18:18:37.412Z;46.2033608;7.238979;12.17
2025-08-25T18:18:42.402Z;46.2033481;7.2398375;13.98
2025-08-25T18:18:47.404Z;46.2035055;7.2407312;15.15
2025-08-25T18:18:52.402Z;46.2037569;7.2416664;16.11
2025-08-25T18:18:57.405Z;46.2040357;7.2426961;17.44
2025-08-25T18:19:02.421Z;46.2043261;7.2437545;17.63
2025-08-25T18:19:07.402Z;46.2045893;7.2448154;17.76
2025-08-25T18:19:12.412Z;46.2047629;7.2459117;17.42
2025-08-25T18:19:17.411Z;46.2048989;7.2470102;16.52
2025-08-25T18:19:22.411Z;46.2050408;7.2480059;15.26
2025-08-25T18:19:27.413Z;46.2052415;7.2488614;14.43
2025-08-25T18:19:32.413Z;46.20551;7.2496788;13.04
2025-08-25T18:19:37.408Z;46.2057314;7.2503149;8.86
2025-08-25T18:19:42.408Z;46.2058508;7.2506506;4.04
2025-08-25T18:19:47.404Z;46.2057724;7.2508652;3.59
2025-08-25T18:19:52.410Z;46.2058468;7.2510788;3.69
2025-08-25T18:19:57.404Z;46.2060588;7.2512435;6.36
2025-08-25T18:20:02.404Z;46.2063079;7.2516036;8.72
2025-08-25T18:20:07.421Z;46.2066121;7.2520255;10.02
2025-08-25T18:20:12.402Z;46.2069461;7.2525288;11.49
2025-08-25T18:20:17.412Z;46.2072782;7.2530888;12.1
2025-08-25T18:20:22.412Z;46.2075985;7.2537141;11.8
2025-08-25T18:20:27.417Z;46.2078493;7.2543431;10.71
2025-08-25T18:20:32.415Z;46.2080649;7.2549468;11.19
2025-08-25T18:20:37.412Z;46.2082727;7.2556022;11.07
2025-08-25T18:20:42.409Z;46.2085627;7.2562023;11.37
2025-08-25T18:20:47.421Z;46.2089586;7.2566566;11.49
2025-08-25T18:20:52.404Z;46.209389;7.2570364;10.91
2025-08-25T18:21:02.402Z;46.2101334;7.2574444;6.92
2025-08-25T18:21:07.411Z;46.2103104;7.2575356;2.23
2025-08-25T18:21:12.404Z;46.2103313;7.2575465;0.0
2025-08-25T18:21:17.408Z;46.2103313;7.2575465;0.0
2025-08-25T18:21:22.422Z;46.2103313;7.2575465;0.0
2025-08-25T18:21:27.412Z;46.2104008;7.2575732;3.68
2025-08-25T18:21:32.420Z;46.2106373;7.2576861;7.26
2025-08-25T18:21:37.406Z;46.2109725;7.2578535;8.59
2025-08-25T18:21:42.411Z;46.2113656;7.2580182;9.47
2025-08-25T18:21:47.403Z;46.2117964;7.2581654;10.16
2025-08-25T18:21:52.407Z;46.2122198;7.2583069;9.82
2025-08-25T18:21:57.410Z;46.2126437;7.2584119;9.08
2025-08-25T18:22:02.421Z;46.2130512;7.2583578;10.11
2025-08-25T18:22:07.407Z;46.2135088;7.2583548;10.51
2025-08-25T18:22:12.401Z;46.2139851;7.258387;10.57
2025-08-25T18:22:17.411Z;46.2144496;7.2583595;10.72
2025-08-25T18:22:22.410Z;46.2149005;7.2585199;10.45
2025-08-25T18:22:27.412Z;46.2153129;7.2588451;10.91
2025-08-25T18:22:32.414Z;46.2157191;7.2592145;10.53
2025-08-25T18:22:37.415Z;46.2160826;7.2596456;10.68
2025-08-25T18:22:42.411Z;46.216462;7.2601227;12.73
2025-08-25T18:22:47.414Z;46.2169291;7.2606976;13.57
2025-08-25T18:22:52.421Z;46.2173806;7.2612637;14.58
2025-08-25T18:22:57.402Z;46.2178951;7.2618978;15.58
2025-08-25T18:22:58.411Z;46.2179995;7.2620239;15.61
2025-08-25T18:23:02.405Z;46.218413;7.2625484;15.54
2025-08-25T18:23:07.402Z;46.2188686;7.2632616;13.9
2025-08-25T18:23:12.421Z;46.219204;7.2639299;12.31
2025-08-25T18:23:17.411Z;46.2194583;7.2645958;11.3
2025-08-25T18:23:22.414Z;46.2196923;7.2652355;12.0
2025-08-25T18:23:27.405Z;46.2199473;7.2659367;12.32
2025-08-25T18:23:32.411Z;46.220252;7.2665888;12.6
2025-08-25T18:23:37.402Z;46.2206328;7.2671955;12.77
2025-08-25T18:23:42.412Z;46.2210151;7.267778;12.96
2025-08-25T18:23:47.404Z;46.2213707;7.2684651;13.24
2025-08-25T18:23:52.410Z;46.221666;7.269171;12.71
2025-08-25T18:23:57.402Z;46.2219956;7.2698706;12.73
2025-08-25T18:24:02.410Z;46.222367;7.2704834;13.44
2025-08-25T18:24:07.410Z;46.2227673;7.2711282;14.01
2025-08-25T18:24:12.411Z;46.2231379;7.2717994;12.3
2025-08-25T18:24:17.401Z;46.2233561;7.2723197;7.46
2025-08-25T18:24:22.420Z;46.223463;7.2725839;1.8
2025-08-25T18:24:27.420Z;46.2234731;7.2726067;0.0
2025-08-25T18:24:32.401Z;46.2234731;7.2726067;0.0
2025-08-25T18:24:37.403Z;46.2234735;7.2726073;0.0
2025-08-25T18:24:42.410Z;46.223606;7.2727807;7.11
2025-08-25T18:24:47.404Z;46.2238182;7.2732805;10.89
2025-08-25T18:24:52.420Z;46.2241175;7.2739;12.5
2025-08-25T18:24:57.420Z;46.2244692;7.2745779;14.21
2025-08-25T18:25:02.406Z;46.2248701;7.2753138;13.96
2025-08-25T18:25:07.422Z;46.2252159;7.2759854;12.96
2025-08-25T18:25:12.411Z;46.2254765;7.2766909;11.86
2025-08-25T18:25:17.410Z;46.2256209;7.2773952;10.78
2025-08-25T18:25:22.412Z;46.2256656;7.2780371;9.42
2025-08-25T18:25:27.421Z;46.2256729;7.2785941;8.99
