time;latitude;longitude;velocity
2025-08-23T05:46:02.624Z;47.2029114;8.7789959;0.0
2025-08-23T05:46:07.611Z;47.2029131;8.7789908;0.19
2025-08-23T05:46:12.621Z;47.2029079;8.7789825;0.63
2025-08-23T05:46:17.613Z;47.2028919;8.7789445;1.11
2025-08-23T05:46:22.613Z;47.2028567;8.7787964;2.19
2025-08-23T05:46:27.611Z;47.2028179;8.7786901;1.96
2025-08-23T05:46:32.612Z;47.2026377;8.7786514;4.52
2025-08-23T05:46:37.613Z;47.2024058;8.7785764;4.35
2025-08-23T05:46:42.614Z;47.2022638;8.7785825;2.38
2025-08-23T05:46:47.613Z;47.2022213;8.7787441;3.19
2025-08-23T05:46:52.611Z;47.2021787;8.7791059;6.94
2025-08-23T05:46:57.611Z;47.2021357;8.7795911;7.69
2025-08-23T05:47:02.618Z;47.2021078;8.7801102;7.74
2025-08-23T05:47:07.617Z;47.2020818;8.7805486;5.99
2025-08-23T05:47:12.612Z;47.2020627;8.7808889;4.19
2025-08-23T05:47:17.612Z;47.2019651;8.7810364;2.8
2025-08-23T05:47:22.613Z;47.2018095;8.7809321;4.41
2025-08-23T05:47:27.611Z;47.2016507;8.780871;2.41
2025-08-23T05:47:32.613Z;47.201628;8.7808631;0.05
2025-08-23T05:47:37.613Z;47.2015617;8.7808187;2.77
2025-08-23T05:47:42.612Z;47.201443;8.7807687;2.85
2025-08-23T05:47:47.612Z;47.2013966;8.7809521;2.36
2025-08-23T05:47:52.613Z;47.2014877;8.781126;3.61
2025-08-23T05:47:55.614Z;47.2015102;8.7813549;6.27
2025-08-23T05:47:57.619Z;47.2015191;8.7815393;8.27
2025-08-23T05:48:02.612Z;47.2015615;8.7822453;12.27
2025-08-23T05:48:07.614Z;47.2016121;8.7831516;15.19
2025-08-23T05:48:12.612Z;47.2016661;8.784137;14.38
2025-08-23T05:48:17.612Z;47.2016903;8.7850338;13.35
2025-08-23T05:48:22.612Z;47.201756;8.7858733;12.41
2025-08-23T05:48:27.614Z;47.2018092;8.786685;12.74
2025-08-23T05:48:32.612Z;47.2018336;8.7875352;12.8
2025-08-23T05:48:37.613Z;47.2018899;8.7883626;12.24
2025-08-23T05:48:42.614Z;47.2019417;8.7891223;10.99
2025-08-23T05:48:47.612Z;47.201984;8.7898007;9.6
2025-08-23T05:48:52.612Z;47.2020233;8.7903031;6.44
2025-08-23T05:48:57.612Z;47.202039;8.7906787;5.05
2025-08-23T05:49:02.612Z;47.202011;8.7909515;3.66
2025-08-23T05:49:07.613Z;47.202016;8.7911925;2.94
2025-08-23T05:49:12.612Z;47.2020168;8.7912233;0.0
2025-08-23T05:49:17.612Z;47.2020168;8.7912233;0.0
2025-08-23T05:49:22.613Z;47.2020183;8.791249;0.46
2025-08-23T05:49:27.612Z;47.2020217;8.7912855;1.83
2025-08-23T05:49:32.611Z;47.2020447;8.7914942;4.83
2025-08-23T05:49:37.610Z;47.2020748;8.7919397;8.96
