time;latitude;longitude;velocity
2025-08-25T04:30:10.420Z;47.5513184;7.7918033;0.0
2025-08-25T04:30:15.419Z;47.5513345;7.7918753;1.2
2025-08-25T04:30:20.421Z;47.5513321;7.7918685;0.0
2025-08-25T04:30:25.424Z;47.5513337;7.7918775;0.0
2025-08-25T04:30:30.423Z;47.5513681;7.792091;4.5
2025-08-25T04:30:35.412Z;47.5514901;7.7922656;3.53
2025-08-25T04:30:40.413Z;47.5515827;7.7922461;0.75
2025-08-25T04:30:45.428Z;47.5516944;7.7922208;3.98
2025-08-25T04:30:50.416Z;47.5519044;7.7922772;4.12
2025-08-25T04:30:55.421Z;47.5520759;7.7923259;3.91
2025-08-25T04:31:00.418Z;47.55217;7.7925275;4.39
2025-08-25T04:31:05.418Z;47.5521832;7.7930291;8.86
2025-08-25T04:31:10.412Z;47.5522825;7.7936277;9.27
2025-08-25T04:31:15.425Z;47.5524642;7.7941706;8.99
2025-08-25T04:31:20.423Z;47.5526006;7.7945473;4.65
2025-08-25T04:31:25.421Z;47.5526392;7.7946648;0.51
2025-08-25T04:31:30.418Z;47.5526467;7.7946834;0.0
2025-08-25T04:31:35.418Z;47.5526467;7.7946834;0.0
2025-08-25T04:31:40.416Z;47.5526483;7.7946856;0.0
2025-08-25T04:31:45.429Z;47.5527488;7.7948344;4.82
2025-08-25T04:31:50.413Z;47.5528686;7.7952969;8.6
2025-08-25T04:31:55.428Z;47.5528494;7.7959658;11.1
2025-08-25T04:32:00.422Z;47.5526219;7.7966964;12.44
2025-08-25T04:32:05.421Z;47.5523422;7.797357;11.65
2025-08-25T04:32:10.429Z;47.5520874;7.7980792;12.05
2025-08-25T04:32:15.418Z;47.5519005;7.7988086;12.3
2025-08-25T04:32:20.428Z;47.5517687;7.7996223;12.37
2025-08-25T04:32:25.419Z;47.5516943;7.8004719;13.07
2025-08-25T04:32:30.420Z;47.5516603;7.8012964;11.72
2025-08-25T04:32:32.418Z;47.5516534;7.8015916;10.9
2025-08-25T04:32:35.412Z;47.5516564;7.8019571;7.78
2025-08-25T04:32:40.426Z;47.5516642;7.8022249;1.56
2025-08-25T04:32:45.413Z;47.551664;7.8022257;0.0
2025-08-25T04:32:50.427Z;47.5516632;7.8022317;0.0
2025-08-25T04:32:55.425Z;47.5516778;7.8024355;5.66
2025-08-25T04:33:00.415Z;47.5517186;7.8029751;9.45
2025-08-25T04:33:05.415Z;47.5517824;7.8036248;9.74
2025-08-25T04:33:09.427Z;47.5518541;7.8041187;8.46
2025-08-25T04:33:10.413Z;47.5518656;7.8042189;8.06
2025-08-25T04:33:15.415Z;47.5519457;7.8047259;7.28
2025-08-25T04:33:20.417Z;47.5522628;7.8048853;8.55
2025-08-25T04:33:25.414Z;47.5527237;7.8050016;10.74
2025-08-25T04:33:30.423Z;47.5532172;7.8050784;11.46
2025-08-25T04:33:35.414Z;47.5537483;7.8051564;11.83
2025-08-25T04:33:40.430Z;47.5542674;7.8052159;11.88
2025-08-25T04:33:45.429Z;47.5548215;7.8052196;12.05
2025-08-25T04:33:50.426Z;47.5553607;7.8052454;11.15
2025-08-25T04:33:55.416Z;47.5557828;7.8053091;8.66
2025-08-25T04:34:00.424Z;47.5561045;7.8056385;9.12
2025-08-25T04:34:05.413Z;47.556328;7.8061087;7.6
