time;latitude;longitude;velocity
2025-08-23T06:13:03.422Z;47.1724451;8.9829549;0.0
2025-08-23T06:13:08.405Z;47.1724451;8.9829549;0.0
2025-08-23T06:13:13.405Z;47.1724451;8.9829549;0.0
2025-08-23T06:13:18.409Z;47.1724451;8.9829549;0.0
2025-08-23T06:13:22.418Z;47.1724451;8.9829549;0.0
2025-08-23T06:13:23.424Z;47.1724451;8.9829549;0.0
2025-08-23T06:13:28.413Z;47.1724451;8.9829549;0.0
2025-08-23T06:13:33.414Z;47.1724451;8.9829549;0.0
2025-08-23T06:13:38.404Z;47.1724451;8.9829549;0.0
2025-08-23T06:13:43.414Z;47.1724407;8.9829523;0.21
2025-08-23T06:13:48.409Z;47.1723828;8.9830074;2.99
2025-08-23T06:13:53.409Z;47.1723163;8.9834389;7.91
2025-08-23T06:13:58.406Z;47.1721991;8.9840537;10.3
2025-08-23T06:14:03.419Z;47.1720795;8.9846142;7.85
2025-08-23T06:14:05.404Z;47.1720116;8.9847882;6.88
2025-08-23T06:14:08.405Z;47.1718091;8.9848429;7.83
2025-08-23T06:14:13.405Z;47.1713988;8.9846706;10.83
2025-08-23T06:14:18.422Z;47.1709064;8.9844629;11.69
2025-08-23T06:14:23.412Z;47.1704655;8.9842787;8.66
2025-08-23T06:14:28.405Z;47.1702492;8.9840436;5.08
2025-08-23T06:14:33.405Z;47.1700163;8.9840098;6.25
2025-08-23T06:14:34.412Z;47.1699675;8.9839681;7.1
2025-08-23T06:14:38.412Z;47.1697418;8.9836294;9.46
2025-08-23T06:14:43.413Z;47.16941;8.9831597;11.16
2025-08-23T06:14:48.410Z;47.1690547;8.9826743;11.05
2025-08-23T06:14:53.414Z;47.1687107;8.9821991;10.05
2025-08-23T06:14:58.408Z;47.1683732;8.9817396;11.3
2025-08-23T06:15:03.404Z;47.1680188;8.9812039;9.8
2025-08-23T06:15:08.411Z;47.1678479;8.9808234;5.52
2025-08-23T06:15:13.409Z;47.1677975;8.9805763;3.96
2025-08-23T06:15:18.412Z;47.1678791;8.9803717;2.16
2025-08-23T06:15:23.424Z;47.1678803;8.9803487;0.0
2025-08-23T06:15:28.418Z;47.16788;8.9803474;0.0
2025-08-23T06:15:33.410Z;47.1678857;8.980317;1.85
2025-08-23T06:15:38.418Z;47.1679498;8.9799677;7.63
2025-08-23T06:15:43.404Z;47.1681083;8.9794055;10.71
2025-08-23T06:15:48.409Z;47.1683048;8.9787141;12.02
2025-08-23T06:15:53.424Z;47.168587;8.9780553;11.25
2025-08-23T06:15:58.417Z;47.1688395;8.9774837;9.94
2025-08-23T06:16:03.404Z;47.1690668;8.976979;7.94
2025-08-23T06:16:08.408Z;47.1692163;8.9766449;4.83
2025-08-23T06:16:13.411Z;47.169268;8.9765224;0.1
2025-08-23T06:16:14.405Z;47.169268;8.9765224;0.05
2025-08-23T06:16:18.421Z;47.169268;8.9765224;0.0
2025-08-23T06:16:23.412Z;47.1692684;8.976519;0.0
2025-08-23T06:16:26.405Z;47.1692684;8.976519;0.97
2025-08-23T06:16:28.405Z;47.1693111;8.9764194;4.13
2025-08-23T06:16:33.413Z;47.1694833;8.9760142;9.6
2025-08-23T06:16:36.419Z;47.1696378;8.9757067;10.8
2025-08-23T06:16:38.419Z;47.1697721;8.9754846;10.69
2025-08-23T06:16:43.405Z;47.1700162;8.9749683;8.69
2025-08-23T06:16:48.404Z;47.1703283;8.9746601;8.13
2025-08-23T06:16:53.409Z;47.1705859;8.9743684;6.96
2025-08-23T06:16:58.416Z;47.1707572;8.9739115;9.16
2025-08-23T06:17:03.423Z;47.1708668;8.9732771;10.27
2025-08-23T06:17:08.408Z;47.1709998;8.9726091;11.27
2025-08-23T06:17:13.419Z;47.1710845;8.9718418;12.08
2025-08-23T06:17:18.405Z;47.1712139;8.9710251;13.3
2025-08-23T06:17:23.405Z;47.1713466;8.9701517;13.91
2025-08-23T06:17:28.405Z;47.1714805;8.9692849;13.1
2025-08-23T06:17:33.410Z;47.1715879;8.9685587;10.24
2025-08-23T06:17:38.412Z;47.1716844;8.9680681;5.69
2025-08-23T06:17:43.413Z;47.1718423;8.9678106;4.74
2025-08-23T06:17:48.419Z;47.1717838;8.9675226;5.97
2025-08-23T06:17:53.424Z;47.1718377;8.9669981;9.55
2025-08-23T06:17:58.415Z;47.1719451;8.9662818;11.94
2025-08-23T06:18:03.410Z;47.1720746;8.9654367;14.19
2025-08-23T06:18:07.409Z;47.1721907;8.9646746;14.83
2025-08-23T06:18:08.405Z;47.1722146;8.9645209;14.44
2025-08-23T06:18:13.420Z;47.1723532;8.96361time;latitude;longitude;velocity
2025-08-23T06:13:03.422Z;47.1724451;8.9829549;0.0
2025-08-23T06:13:08.405Z;47.1724451;8.9829549;0.0
2025-08-23T06:13:13.405Z;47.1724451;8.9829549;0.0
2025-08-23T06:13:18.409Z;47.1724451;8.9829549;0.0
2025-08-23T06:13:22.418Z;47.1724451;8.9829549;0.0
2025-08-23T06:13:23.424Z;47.1724451;8.9829549;0.0
2025-08-23T06:13:28.413Z;47.1724451;8.9829549;0.0
2025-08-23T06:13:33.414Z;47.1724451;8.9829549;0.0
2025-08-23T06:13:38.404Z;47.1724451;8.9829549;0.0
2025-08-23T06:13:43.414Z;47.118;13.96
2025-08-23T06:18:18.414Z;47.1724867;8.9627457;14.24
2025-08-23T06:18:23.410Z;47.1726323;8.9618102;14.19
2025-08-23T06:18:28.417Z;47.1727588;8.9609663;12.36
2025-08-23T06:18:33.409Z;47.1729015;8.9602181;11.49
2025-08-23T06:18:38.409Z;47.1729899;8.9594796;11.99
2025-08-23T06:18:43.410Z;47.1731289;8.9587007;12.46
2025-08-23T06:18:48.410Z;47.1732285;8.9578583;12.96
2025-08-23T06:18:53.415Z;47.1733458;8.9570699;12.3
2025-08-23T06:18:58.405Z;47.1735162;8.9562864;12.33
2025-08-23T06:19:03.411Z;47.1737238;8.9555446;12.33
2025-08-23T06:19:08.407Z;47.1739326;8.9548005;12.16
2025-08-23T06:19:13.405Z;47.1740941;8.9541611;9.27
2025-08-23T06:19:18.419Z;47.1742255;8.9536618;7.08
2025-08-23T06:19:23.415Z;47.1742811;8.9534415;1.02
2025-08-23T06:19:28.421Z;47.174289;8.9534103;0.0
2025-08-23T06:19:33.404Z;47.1742895;8.9534099;0.0
2025-08-23T06:19:38.415Z;47.1743267;8.9532611;5.02
2025-08-23T06:19:43.421Z;47.1744365;8.9528102;9.3
2025-08-23T06:19:48.410Z;47.1746027;8.9521407;12.52
2025-08-23T06:19:53.415Z;47.174798;8.95724407;8.9829523;0.21
2025-08-23T06:13:48.409Z;47.1723828;8.9830074;2.99
2025-08-23T06:13:53.409Z;47.1723163;8.9834389;7.91
2025-08-23T06:13:58.406Z;47.1721991;8.9840537;10.3
2025-08-23T06:14:03.419Z;47.1720795;8.9846142;7.85
2025-08-23T06:14:05.404Z;47.1720116;8.9847882;6.88
2025-08-23T06:14:08.405Z;47.1718091;8.9848429;7.83
2025-08-23T06:14:13.405Z;47.1713988;8.9846706;10.83
2025-08-23T06:14:18.422Z;47.1709064;8.9844629;11.69
2025-08-23T06:14:23.412Z;47.1704655;8.9842787;8.66
2025-08-23T06:14:28.405Z;47.113532;12.99
2025-08-23T06:19:58.412Z;47.1749905;8.9505809;12.05
2025-08-23T06:20:03.415Z;47.1751664;8.9498807;10.19
2025-08-23T06:20:08.411Z;47.1753174;8.9492705;9.69
2025-08-23T06:20:13.421Z;47.1753914;8.9486125;9.94
2025-08-23T06:20:16.405Z;47.1754002;8.9482517;8.94
2025-08-23T06:20:18.415Z;47.1754018;8.9480462;7.83
2025-08-23T06:20:23.415Z;47.1754027;8.9478136;0.35
2025-08-23T06:20:28.408Z;47.1754026;8.9477899;0.0
2025-08-23T06:20:33.416Z;47.1754022;8.9477894;0.0
2025-08-23T06:20:38.423Z;47.1754014;8.947702492;8.9840436;5.08
2025-08-23T06:14:33.405Z;47.1700163;8.9840098;6.25
2025-08-23T06:14:34.412Z;47.1699675;8.9839681;7.1
2025-08-23T06:14:38.412Z;47.1697418;8.9836294;9.46
2025-08-23T06:14:43.413Z;47.16941;8.9831597;11.16
2025-08-23T06:14:48.410Z;47.1690547;8.9826743;11.05
2025-08-23T06:14:53.414Z;47.1687107;8.9821991;10.05
2025-08-23T06:14:58.408Z;47.1683732;8.9817396;11.3
2025-08-23T06:15:03.404Z;47.1680188;8.9812039;9.8
2025-08-23T06:15:08.411Z;47.1678479;8.9808234;5.52
2025-08-23T06:15:13.409Z;47.16774912;7.1
2025-08-23T06:20:43.406Z;47.1754022;8.9468496;11.38
2025-08-23T06:20:48.410Z;47.1754019;8.945992;14.83
2025-08-23T06:20:53.415Z;47.175404;8.9450674;13.44
2025-08-23T06:20:58.416Z;47.1754088;8.9442464;12.71
2025-08-23T06:21:03.410Z;47.1754131;8.9434214;12.55
2025-08-23T06:21:08.410Z;47.1754173;8.9425968;12.66
2025-08-23T06:21:13.416Z;47.1754365;8.9417827;11.69
2025-08-23T06:21:16.406Z;47.1754607;8.9413689;10.91
2025-08-23T06:21:18.405Z;47.1754678;8.9410876;10.49
2025-08-23T06:21:23.415Z;47.1754522;8975;8.9805763;3.96
2025-08-23T06:15:18.412Z;47.1678791;8.9803717;2.16
2025-08-23T06:15:23.424Z;47.1678803;8.9803487;0.0
2025-08-23T06:15:28.418Z;47.16788;8.9803474;0.0
2025-08-23T06:15:33.410Z;47.1678857;8.980317;1.85
2025-08-23T06:15:38.418Z;47.1679498;8.9799677;7.63
2025-08-23T06:15:43.404Z;47.1681083;8.9794055;10.71
2025-08-23T06:15:48.409Z;47.1683048;8.9787141;12.02
2025-08-23T06:15:53.424Z;47.168587;8.9780553;11.25
2025-08-23T06:15:58.417Z;47.1688395;8.9774837;9.94
2025-08-23T06:16:03.404Z;47.1690668;8.9405232;7.02
2025-08-23T06:21:28.416Z;47.1754307;8.9402258;1.58
2025-08-23T06:21:33.408Z;47.1754299;8.9402167;0.0
2025-08-23T06:21:38.413Z;47.1754295;8.9402155;0.0
2025-08-23T06:21:43.407Z;47.1754187;8.940103;2.55
2025-08-23T06:21:48.421Z;47.1754093;8.9399657;2.36
2025-08-23T06:21:53.408Z;47.1754039;8.9398674;1.63
2025-08-23T06:21:58.420Z;47.1753945;8.9397409;1.21
2025-08-23T06:22:01.406Z;47.1753928;8.9397141;1.08
2025-08-23T06:22:03.410Z;47.1753871;8.9396446;0.55
2025-08-23T06:22:08.414Z;47.1753876;8.9396.976979;7.94
2025-08-23T06:16:08.408Z;47.1692163;8.9766449;4.83
2025-08-23T06:16:13.411Z;47.169268;8.9765224;0.1
2025-08-23T06:16:14.405Z;47.169268;8.9765224;0.05
2025-08-23T06:16:18.421Z;47.169268;8.9765224;0.0
2025-08-23T06:16:23.412Z;47.1692684;8.976519;0.0
2025-08-23T06:16:26.405Z;47.1692684;8.976519;0.97
2025-08-23T06:16:28.405Z;47.1693111;8.9764194;4.13
2025-08-23T06:16:33.413Z;47.1694833;8.9760142;9.6
2025-08-23T06:16:36.419Z;47.1696378;8.9757067;10.8
2025-08-23T06:16:38.419Z;47.1697721;8.9754846;10.537;0.0
2025-08-23T06:22:13.410Z;47.1753876;8.9396537;0.0
2025-08-23T06:22:14.423Z;47.1753876;8.9396537;0.0
2025-08-23T06:22:18.415Z;47.1753524;8.9395191;5.1
2025-08-23T06:22:23.409Z;47.1752996;8.9390311;8.61
2025-08-23T06:22:28.409Z;47.1752253;8.9385346;6.88
2025-08-23T06:22:33.407Z;47.1751739;8.9380412;9.08
2025-08-23T06:22:38.413Z;47.1750325;8.9373214;12.33
2025-08-23T06:22:43.407Z;47.174882;8.9365602;11.8
2025-08-23T06:22:48.409Z;47.174744;8.9358386;11.55
2025-08-23T06:22:53.406Z;47.1746077;8.9351461;1069
2025-08-23T06:16:43.405Z;47.1700162;8.9749683;8.69
2025-08-23T06:16:48.404Z;47.1703283;8.9746601;8.13
2025-08-23T06:16:53.409Z;47.1705859;8.9743684;6.96
2025-08-23T06:16:58.416Z;47.1707572;8.9739115;9.16
2025-08-23T06:17:03.423Z;47.1708668;8.9732771;10.27
2025-08-23T06:17:08.408Z;47.1709998;8.9726091;11.27
2025-08-23T06:17:13.419Z;47.1710845;8.9718418;12.08
2025-08-23T06:17:18.405Z;47.1712139;8.9710251;13.3
2025-08-23T06:17:23.405Z;47.1713466;8.9701517;13.91
2025-08-23T06:17:28.405Z;47.1714805;8.9692849;.69
2025-08-23T06:22:58.406Z;47.1744965;8.9345667;7.6
2025-08-23T06:23:03.415Z;47.1744589;8.9342273;4.08
2025-08-23T06:23:08.411Z;47.1744426;8.9341411;0.05
2025-08-23T06:23:13.408Z;47.1744406;8.9341317;0.0
2025-08-23T06:23:18.414Z;47.1744184;8.9340591;3.47
2025-08-23T06:23:23.422Z;47.1743246;8.9336467;8.19
2025-08-23T06:23:28.408Z;47.1741959;8.9330189;11.66
2025-08-23T06:23:33.411Z;47.1739887;8.9322676;12.6
2025-08-23T06:23:38.404Z;47.1737611;8.9315047;12.91
2025-08-23T06:23:41.408Z;47.1736185;8.9310342;12.13.1
2025-08-23T06:17:33.410Z;47.1715879;8.9685587;10.24
2025-08-23T06:17:38.412Z;47.1716844;8.9680681;5.69
2025-08-23T06:17:43.413Z;47.1718423;8.9678106;4.74
2025-08-23T06:17:48.419Z;47.1717838;8.9675226;5.97
2025-08-23T06:17:53.424Z;47.1718377;8.9669981;9.55
2025-08-23T06:17:58.415Z;47.1719451;8.9662818;11.94
2025-08-23T06:18:03.410Z;47.1720746;8.9654367;14.19
2025-08-23T06:18:07.409Z;47.1721907;8.9646746;14.83
2025-08-23T06:18:08.405Z;47.1722146;8.9645209;14.44
2025-08-23T06:18:13.420Z;47.1723532;8.9636191
2025-08-23T06:23:43.405Z;47.1735277;8.9307348;12.85
2025-08-23T06:23:46.409Z;47.1734042;8.9303052;12.16
2025-08-23T06:23:48.423Z;47.1733376;8.9300029;11.44
2025-08-23T06:23:53.406Z;47.1732709;8.929413;7.91
2025-08-23T06:23:58.419Z;47.1734892;8.9289136;10.63
2025-08-23T06:24:03.422Z;47.1738579;8.9284048;10.74
2025-08-23T06:24:08.409Z;47.1741413;8.928035;6.63
2025-08-23T06:24:13.423Z;47.1742637;8.9278768;1.27
2025-08-23T06:24:14.405Z;47.1742655;8.9278735;0.27
2025-08-23T06:24:18.405Z;47.1742745;8.9278608;018;13.96
2025-08-23T06:18:18.414Z;47.1724867;8.9627457;14.24
2025-08-23T06:18:23.410Z;47.1726323;8.9618102;14.19
2025-08-23T06:18:28.417Z;47.1727588;8.9609663;12.36
2025-08-23T06:18:33.409Z;47.1729015;8.9602181;11.49
2025-08-23T06:18:38.409Z;47.1729899;8.9594796;11.99
2025-08-23T06:18:43.410Z;47.1731289;8.9587007;12.46
2025-08-23T06:18:48.410Z;47.1732285;8.9578583;12.96
2025-08-23T06:18:53.415Z;47.1733458;8.9570699;12.3
2025-08-23T06:18:58.405Z;47.1735162;8.9562864;12.33
2025-08-23T06:19:03.411Z;47.1737238;.0
2025-08-23T06:24:23.413Z;47.174274;8.9278612;0.0
2025-08-23T06:24:28.413Z;47.1743412;8.92777;5.08
2025-08-23T06:24:33.413Z;47.1745907;8.9274416;9.46
2025-08-23T06:24:38.413Z;47.1749749;8.9269453;12.71
2025-08-23T06:24:43.416Z;47.1753679;8.9263773;12.02
2025-08-23T06:24:48.414Z;47.175589;8.9257569;9.83
2025-08-23T06:24:53.409Z;47.1756939;8.9252611;6.11
2025-08-23T06:24:58.410Z;47.175708;8.9250377;2.27
2025-08-23T06:25:03.410Z;47.1757102;8.9249964;0.0
2025-08-23T06:25:08.410Z;47.1757103;8.924987;0.0
2025-08.9555446;12.33
2025-08-23T06:19:08.407Z;47.1739326;8.9548005;12.16
2025-08-23T06:19:13.405Z;47.1740941;8.9541611;9.27
2025-08-23T06:19:18.419Z;47.1742255;8.9536618;7.08
2025-08-23T06:19:23.415Z;47.1742811;8.9534415;1.02
2025-08-23T06:19:28.421Z;47.174289;8.9534103;0.0
