time;latitude;longitude;velocity
2025-08-27T03:47:12.609Z;47.1102197;7.3910406;0.0
2025-08-27T03:47:17.606Z;47.1102197;7.3910416;0.0
2025-08-27T03:47:22.611Z;47.1102878;7.3910275;2.24
2025-08-27T03:47:25.608Z;47.1103868;7.3909785;4.72
2025-08-27T03:47:27.607Z;47.1104904;7.3909573;6.02
2025-08-27T03:47:32.609Z;47.1107642;7.3909331;6.49
2025-08-27T03:47:37.608Z;47.1110139;7.390876;4.24
2025-08-27T03:47:40.608Z;47.111086;7.3909024;2.85
2025-08-27T03:47:42.609Z;47.111109;7.3910131;3.55
2025-08-27T03:47:47.607Z;47.111067;7.3914129;6.13
2025-08-27T03:47:52.608Z;47.1111123;7.3918612;7.83
2025-08-27T03:47:57.608Z;47.1111861;7.3923589;7.8
2025-08-27T03:48:02.615Z;47.1112983;7.3928369;7.6
2025-08-27T03:48:05.609Z;47.1113821;7.393106;8.05
2025-08-27T03:48:07.609Z;47.111453;7.393304;8.69
2025-08-27T03:48:12.608Z;47.1116608;7.3938211;9.72
2025-08-27T03:48:17.609Z;47.1118905;7.394386;10.33
2025-08-27T03:48:22.623Z;47.1121241;7.3949428;10.21
2025-08-27T03:48:27.607Z;47.1123746;7.3955205;10.74
2025-08-27T03:48:28.609Z;47.1124214;7.3956396;11.02
2025-08-27T03:48:32.609Z;47.112604;7.396189;12.24
2025-08-27T03:48:37.610Z;47.1128648;7.3969729;13.66
2025-08-27T03:48:42.608Z;47.1131862;7.3977593;15.0
2025-08-27T03:48:47.608Z;47.1135403;7.3985986;15.49
2025-08-27T03:48:52.609Z;47.1139278;7.3994467;15.8
2025-08-27T03:48:57.608Z;47.1143523;7.4002288;15.52
2025-08-27T03:49:02.609Z;47.1147571;7.401036;15.44
2025-08-27T03:49:07.609Z;47.1149211;7.4019739;15.16
2025-08-27T03:49:12.609Z;47.1147575;7.4029209;14.83
2025-08-27T03:49:17.609Z;47.1145097;7.4037971;14.94
2025-08-27T03:49:22.608Z;47.114327;7.404747;15.49
2025-08-27T03:49:27.609Z;47.1142829;7.4057592;15.85
2025-08-27T03:49:32.609Z;47.1142882;7.4067892;16.41
2025-08-27T03:49:37.618Z;47.11435;7.4078699;16.85
2025-08-27T03:49:42.609Z;47.1144514;7.4089516;16.8
2025-08-27T03:49:46.609Z;47.114493;7.4097887;16.69
2025-08-27T03:49:47.609Z;47.1144953;7.4100284;16.6
2025-08-27T03:49:52.608Z;47.1144376;7.4110233;14.49
2025-08-27T03:49:57.606Z;47.1141284;7.4117857;13.63
2025-08-27T03:50:02.608Z;47.1138616;7.4125389;12.96
2025-08-27T03:50:07.608Z;47.1136105;7.4132619;12.27
2025-08-27T03:50:12.608Z;47.1134603;7.4140148;12.19
2025-08-27T03:50:17.608Z;47.1134929;7.4148358;12.22
2025-08-27T03:50:22.608Z;47.1135662;7.415597;12.05
2025-08-27T03:50:27.608Z;47.1136569;7.4163934;12.16
2025-08-27T03:50:32.609Z;47.1138149;7.4171252;11.55
2025-08-27T03:50:37.609Z;47.1140683;7.4177864;11.96
2025-08-27T03:50:42.609Z;47.1144055;7.4183751;11.8
2025-08-27T03:50:47.609Z;47.1146907;7.4189816;10.44
2025-08-27T03:50:52.610Z;47.1150676;7.4194861;11.99
2025-08-27T03:50:57.609Z;47.1154576;7.4200677;12.5
2025-08-27T03:51:02.608Z;47.1158389;7.4206376;12.19
2025-08-27T03:51:07.609Z;47.1161983;7.421196;12.1
2025-08-27T03:51:12.608Z;47.1165315;7.421862;13.3
2025-08-27T03:51:17.611Z;47.1168858;7.4226184;14.6
2025-08-27T03:51:22.613Z;47.1173185;7.4234484;16.71
2025-08-27T03:51:27.608Z;47.1177242;7.4244188;18.24
2025-08-27T03:51:32.608Z;47.1180811;7.4255003;18.85
2025-08-27T03:51:37.609Z;47.1184406;7.4266035;18.66
2025-08-27T03:51:42.608Z;47.1187734;7.4276985;18.1
2025-08-27T03:51:47.608Z;47.1191125;7.428771;17.52
2025-08-27T03:51:52.609Z;47.1195384;7.4296634;16.96
2025-08-27T03:51:57.608Z;47.1199777;7.4304199;13.61
2025-08-27T03:52:02.617Z;47.1202883;7.4311204;12.94
2025-08-27T03:52:07.610Z;47.1205308;7.4318887;12.8
2025-08-27T03:52:12.608Z;47.120758;7.4326407;13.02
2025-08-27T03:52:17.609Z;47.1209388;7.433452;13.1
2025-08-27T03:52:22.610Z;47.1209779;7.434297;13.19
2025-08-27T03:52:27.613Z;47.1209333;7.4351174;12.1
2025-08-27T03:52:32.609Z;47.1208775;7.4358454;12.08
2025-08-27T03:52:37.609Z;47.1208606;7.4366306;11.66
2025-08-27T03:52:42.608Z;47.1208691;7.4373425;11.35
2025-08-27T03:52:47.609Z;47.1209073;7.438087;11.27
2025-08-27T03:52:52.609Z;47.1210681;7.4387678;10.83
2025-08-27T03:52:57.608Z;47.1212303;7.4394156;10.94
2025-08-27T03:53:02.609Z;47.1213976;7.4401004;10.83
2025-08-27T03:53:07.608Z;47.1215513;7.4407481;11.27
2025-08-27T03:53:12.608Z;47.1217204;7.4414715;12.13
2025-08-27T03:53:17.607Z;47.1219062;7.4422589;12.88
2025-08-27T03:53:22.609Z;47.1221316;7.4430325;12.69
2025-08-27T03:53:27.609Z;47.1224102;7.4437073;12.16
2025-08-27T03:53:32.608Z;47.1227433;7.4443128;11.58
2025-08-27T03:53:37.608Z;47.1231469;7.444817;12.55
2025-08-27T03:53:42.609Z;47.123641;7.4452476;13.88
2025-08-27T03:53:47.607Z;47.1242212;7.4456349;14.38
2025-08-27T03:53:52.608Z;47.1248038;7.4460082;14.8
2025-08-27T03:53:57.608Z;47.1253971;7.4463939;14.83
2025-08-27T03:54:02.609Z;47.1260102;7.4467879;14.66
2025-08-27T03:54:07.609Z;47.1266035;7.4471115;13.49
2025-08-27T03:54:12.608Z;47.1271624;7.4473796;13.3
2025-08-27T03:54:17.608Z;47.1277188;7.447657;13.27
2025-08-27T03:54:22.609Z;47.1282674;7.447924;12.71
2025-08-27T03:54:27.608Z;47.128749;7.4481557;9.77
2025-08-27T03:54:32.608Z;47.1291574;7.4482111;9.77
2025-08-27T03:54:37.609Z;47.1295875;7.4480524;9.77
2025-08-27T03:54:42.609Z;47.129856;7.4476255;9.49
2025-08-27T03:54:47.609Z;47.1301058;7.4471349;9.49
2025-08-27T03:54:52.608Z;47.130427;7.446724;9.6
2025-08-27T03:54:57.608Z;47.1307424;7.4463335;8.83
2025-08-27T03:55:02.609Z;47.1309923;7.4460967;4.86
2025-08-27T03:55:07.609Z;47.1309696;7.4457027;7.41
2025-08-27T03:55:12.621Z;47.1308211;7.4451422;10.6
2025-08-27T03:55:17.622Z;47.1306338;7.4444643;11.94
2025-08-27T03:55:22.616Z;47.1304497;7.4437281;12.52
2025-08-27T03:55:27.609Z;47.1303419;7.4429389;13.24
2025-08-27T03:55:32.608Z;47.1303242;7.442137;12.85
2025-08-27T03:55:37.618Z;47.1304916;7.4413175;13.1
2025-08-27T03:55:42.610Z;47.1305684;7.4404732;11.99
2025-08-27T03:55:47.614Z;47.1306309;7.439846;8.96
2025-08-27T03:55:52.608Z;47.130963;7.439654;9.16
2025-08-27T03:55:57.616Z;47.1313412;7.4399593;10.55
2025-08-27T03:56:02.619Z;47.1318436;7.4401284;11.94
2025-08-27T03:56:03.619Z;47.1319553;7.440109;12.24
2025-08-27T03:56:07.609Z;47.1323649;7.4398549;13.85
2025-08-27T03:56:08.607Z;47.1324753;7.4397474;14.21
2025-08-27T03:56:12.609Z;47.1329143;7.4393212;14.94
2025-08-27T03:56:17.614Z;47.1335416;7.4389511;15.88
2025-08-27T03:56:22.627Z;47.1342081;7.4385001;16.69
2025-08-27T03:56:27.609Z;47.1347251;7.4376833;17.3
2025-08-27T03:56:32.608Z;47.1349796;7.4366445;16.74
2025-08-27T03:56:37.608Z;47.1349837;7.4355867;15.41
2025-08-27T03:56:38.609Z;47.1349796;7.4353885;15.16
2025-08-27T03:56:42.608Z;47.1351439;7.4346909;13.27
2025-08-27T03:56:47.609Z;47.1355199;7.4342359;9.58
2025-08-27T03:56:52.609Z;47.135773;7.4340414;3.38
2025-08-27T03:56:57.609Z;47.1359377;7.4341483;5.24
2025-08-27T03:57:02.611Z;47.1362166;7.4344569;8.91
2025-08-27T03:57:07.615Z;47.1365132;7.4347879;8.21
2025-08-27T03:57:12.619Z;47.1366904;7.4352993;9.38
2025-08-27T03:57:17.614Z;47.1369082;7.4359095;11.02
2025-08-27T03:57:22.609Z;47.1370595;7.4365987;11.74
2025-08-27T03:57:27.609Z;47.1371319;7.437311;10.69
2025-08-27T03:57:32.609Z;47.1372051;7.4379367;9.38
2025-08-27T03:57:37.608Z;47.1373295;7.4385596;10.02
2025-08-27T03:57:42.608Z;47.1374829;7.4392549;12.3
2025-08-27T03:57:47.609Z;47.1376651;7.4400828;14.46
2025-08-27T03:57:52.609Z;47.1378671;7.4410127;15.6
2025-08-27T03:57:57.608Z;47.1380823;7.4420147;16.41
2025-08-27T03:58:02.609Z;47.1383026;7.4430315;16.38
2025-08-27T03:58:07.609Z;47.1385195;7.4440181;14.96
2025-08-27T03:58:12.610Z;47.1388046;7.4447478;12.46
2025-08-27T03:58:17.622Z;47.1393542;7.4451033;15.19
2025-08-27T03:58:22.609Z;47.1400733;7.4453036;16.83
2025-08-27T03:58:27.609Z;47.1408192;7.4454453;17.05
2025-08-27T03:58:32.609Z;47.1414747;7.4459553;17.24
2025-08-27T03:58:37.609Z;47.1419838;7.4468126;17.96
2025-08-27T03:58:42.609Z;47.1424676;7.4477672;18.08
2025-08-27T03:58:47.609Z;47.1428586;7.4487935;18.33
2025-08-27T03:58:52.613Z;47.1431559;7.4498991;17.99
2025-08-27T03:58:57.609Z;47.1434823;7.4509429;17.36
2025-08-27T03:59:02.608Z;47.1438961;7.451858;16.33
2025-08-27T03:59:07.609Z;47.1443018;7.4525965;12.91
2025-08-27T03:59:12.619Z;47.1446091;7.4531523;10.66
2025-08-27T03:59:17.609Z;47.1448689;7.4537564;10.8
2025-08-27T03:59:22.609Z;47.145107;7.4543485;11.05
2025-08-27T03:59:27.608Z;47.1453612;7.4549488;10.63
2025-08-27T03:59:32.608Z;47.14555;7.4555331;10.1
2025-08-27T03:59:37.609Z;47.145733;7.4561284;9.74
2025-08-27T03:59:42.607Z;47.1458414;7.4567383;9.58
2025-08-27T03:59:47.609Z;47.1459306;7.4572823;7.02
2025-08-27T03:59:52.613Z;47.1459161;7.4575901;4.58
2025-08-27T03:59:57.608Z;47.1456459;7.4577015;7.16
2025-08-27T04:00:02.609Z;47.1453306;7.457902;7.5
2025-08-27T04:00:07.609Z;47.1451952;7.4582784;6.25
2025-08-27T04:00:12.612Z;47.1451966;7.4583943;0.08
2025-08-27T04:00:17.622Z;47.1452062;7.4584545;3.1
2025-08-27T04:00:22.610Z;47.1452963;7.4588305;7.74
2025-08-27T04:00:27.623Z;47.1454729;7.4593905;11.05
2025-08-27T04:00:32.608Z;47.1456493;7.4600539;11.05
2025-08-27T04:00:37.613Z;47.1457653;7.4606835;8.96
2025-08-27T04:00:42.609Z;47.1457166;7.4612832;10.19
2025-08-27T04:00:47.608Z;47.1456287;7.4620039;12.77
2025-08-27T04:00:52.610Z;47.1455245;7.4628941;14.66
2025-08-27T04:00:57.609Z;47.1454103;7.4638193;14.55
2025-08-27T04:01:02.609Z;47.1453489;7.464718;12.94
2025-08-27T04:01:07.611Z;47.1454268;7.4654363;9.55
2025-08-27T04:01:12.610Z;47.1453029;7.4658967;7.71
2025-08-27T04:01:17.609Z;47.1449192;7.4658285;9.94
2025-08-27T04:01:22.614Z;47.1444542;7.4656502;11.38
2025-08-27T04:01:27.610Z;47.1439653;7.4654585;12.08
2025-08-27T04:01:32.609Z;47.1434368;7.4652622;11.8
2025-08-27T04:01:37.609Z;47.1429312;7.4652609;11.58
2025-08-27T04:01:42.614Z;47.1424515;7.4654653;11.33
2025-08-27T04:01:47.609Z;47.1420031;7.4656996;10.02
2025-08-27T04:01:52.623Z;47.1416612;7.465896;7.63
2025-08-27T04:01:57.610Z;47.1414474;7.4660572;2.99
2025-08-27T04:02:02.609Z;47.1414062;7.4661504;3.1
2025-08-27T04:02:07.614Z;47.1415157;7.4665135;7.63
2025-08-27T04:02:12.610Z;47.1416857;7.4670773;9.38
2025-08-27T04:02:17.610Z;47.1418107;7.4676512;9.21
2025-08-27T04:02:22.610Z;47.1418961;7.468234;9.55
2025-08-27T04:02:27.610Z;47.1420628;7.4688442;10.19
2025-08-27T04:02:32.610Z;47.1423518;7.4694248;11.74
2025-08-27T04:02:37.609Z;47.1428261;7.4698716;13.08
2025-08-27T04:02:42.614Z;47.1433231;7.470301;13.3
2025-08-27T04:02:47.609Z;47.1437977;7.470796;13.19
2025-08-27T04:02:52.610Z;47.1442668;7.4713386;13.55
2025-08-27T04:02:57.608Z;47.1446602;7.472036;14.35
2025-08-27T04:03:02.608Z;47.1450237;7.4728896;16.25
2025-08-27T04:03:07.608Z;47.1454129;7.4738106;16.77
2025-08-27T04:03:12.609Z;47.145777;7.4747458;16.77
2025-08-27T04:03:17.608Z;47.1460895;7.475746;16.71
2025-08-27T04:03:22.608Z;47.1464532;7.4766797;15.83
2025-08-27T04:03:27.609Z;47.1467796;7.4774769;13.8
2025-08-27T04:03:32.609Z;47.1470649;7.4782337;12.55
2025-08-27T04:03:37.610Z;47.1472629;7.4789425;11.3
2025-08-27T04:03:42.609Z;47.1473679;7.4796093;9.77
2025-08-27T04:03:47.608Z;47.1475848;7.4801086;9.35
2025-08-27T04:03:52.611Z;47.1479586;7.4804653;10.74
2025-08-27T04:03:57.609Z;47.1484073;7.4808701;12.22
2025-08-27T04:04:02.609Z;47.1488951;7.4812606;12.94
2025-08-27T04:04:07.609Z;47.1494282;7.481664;13.49
2025-08-27T04:04:12.609Z;47.149918;7.4821994;14.66
