time;latitude;longitude;velocity
2025-08-27T20:18:12.610Z;47.4965005;7.930102;0.0
2025-08-27T20:18:17.607Z;47.4965005;7.930102;0.0
2025-08-27T20:18:22.607Z;47.4965005;7.930102;0.0
2025-08-27T20:18:27.605Z;47.4965005;7.930102;0.0
2025-08-27T20:18:32.607Z;47.4964998;7.9301022;0.0
2025-08-27T20:18:37.615Z;47.4964998;7.9301022;0.0
2025-08-27T20:18:42.605Z;47.4965316;7.9300959;1.65
2025-08-27T20:18:47.607Z;47.4966267;7.9301011;2.36
2025-08-27T20:18:52.606Z;47.4967376;7.9300406;2.72
2025-08-27T20:18:57.605Z;47.496843;7.9300636;2.28
2025-08-27T20:19:02.606Z;47.4969013;7.9302767;3.96
2025-08-27T20:19:07.606Z;47.4970737;7.930521;5.73
2025-08-27T20:19:12.605Z;47.497266;7.9306549;3.37
2025-08-27T20:19:17.606Z;47.4972664;7.9308698;3.19
2025-08-27T20:19:22.605Z;47.4971825;7.9311439;5.17
2025-08-27T20:19:27.604Z;47.497134;7.9314023;3.0
2025-08-27T20:19:32.606Z;47.4973;7.9316211;6.26
2025-08-27T20:19:36.604Z;47.497526;7.931868;8.88
2025-08-27T20:19:37.605Z;47.4975885;7.9319355;9.28
2025-08-27T20:19:42.605Z;47.4979201;7.9322821;8.94
2025-08-27T20:19:47.604Z;47.4982096;7.9326521;7.68
2025-08-27T20:19:52.605Z;47.4983831;7.9329932;5.69
2025-08-27T20:19:57.605Z;47.49866;7.9329448;7.11
2025-08-27T20:20:02.605Z;47.4990115;7.9327689;8.98
2025-08-27T20:20:07.606Z;47.4994349;7.9328248;9.52
2025-08-27T20:20:12.606Z;47.4997714;7.9332056;9.38
2025-08-27T20:20:17.609Z;47.4999418;7.9336838;7.63
2025-08-27T20:20:20.605Z;47.4999945;7.9339442;5.82
2025-08-27T20:20:22.605Z;47.5;7.9341008;5.29
2025-08-27T20:20:27.606Z;47.5001079;7.9342804;3.72
