time;latitude;longitude;velocity
2025-08-27T20:27:42.820Z;46.9117972;7.6277726;9.51
2025-08-27T20:27:47.804Z;46.9119675;7.627201;9.75
2025-08-27T20:27:52.821Z;46.9121618;7.6266134;9.43
2025-08-27T20:27:57.809Z;46.9123457;7.6260601;8.85
2025-08-27T20:28:02.809Z;46.9124955;7.6255397;7.88
2025-08-27T20:28:07.818Z;46.9125742;7.6250659;7.48
2025-08-27T20:28:12.805Z;46.9127667;7.6246408;8.43
2025-08-27T20:28:17.814Z;46.913071;7.6242821;8.91
2025-08-27T20:28:22.821Z;46.913384;7.6238429;9.8
2025-08-27T20:28:27.809Z;46.913695;7.6233549;10.2
2025-08-27T20:28:32.820Z;46.9140119;7.6228521;10.72
2025-08-27T20:28:37.807Z;46.9143498;7.6223064;11.29
2025-08-27T20:28:42.810Z;46.9147198;7.6217594;11.89
2025-08-27T20:28:47.814Z;46.9151056;7.6212908;10.66
2025-08-27T20:28:52.811Z;46.9155;7.6207925;12.33
2025-08-27T20:28:57.821Z;46.9158015;7.6201147;12.11
2025-08-27T20:29:02.814Z;46.9160756;7.6195233;10.2
2025-08-27T20:29:07.818Z;46.9163046;7.6189555;9.8
2025-08-27T20:29:12.816Z;46.9164401;7.6182584;11.2
2025-08-27T20:29:17.823Z;46.9166316;7.6175785;11.44
2025-08-27T20:29:22.823Z;46.916805;7.616854;11.8
2025-08-27T20:29:27.810Z;46.9169436;7.6160791;11.84
2025-08-27T20:29:32.817Z;46.9170455;7.615296;11.63
2025-08-27T20:29:37.810Z;46.9171558;7.6146463;8.55
2025-08-27T20:29:42.813Z;46.9173539;7.6141946;7.5
2025-08-27T20:29:47.812Z;46.9173893;7.6137682;5.61
2025-08-27T20:29:52.823Z;46.9173641;7.6135059;2.81
2025-08-27T20:29:57.818Z;46.9173443;7.613301;3.41
2025-08-27T20:29:58.817Z;46.9173399;7.6132589;3.73
2025-08-27T20:30:02.818Z;46.9173088;7.6130227;5.17
2025-08-27T20:30:06.814Z;46.9172755;7.6127089;6.8
2025-08-27T20:30:07.818Z;46.9172756;7.6126205;7.02
2025-08-27T20:30:12.822Z;46.9173069;7.6122194;5.6
2025-08-27T20:30:17.816Z;46.9173069;7.6119842;0.8
2025-08-27T20:30:22.819Z;46.9173059;7.6119634;0.0
2025-08-27T20:30:27.805Z;46.9172814;7.6118274;5.08
2025-08-27T20:30:32.808Z;46.9173462;7.6112727;11.06
2025-08-27T20:30:37.815Z;46.9174839;7.6105105;12.55
2025-08-27T20:30:42.805Z;46.917629;7.6096889;13.46
2025-08-27T20:30:46.806Z;46.9177483;7.6089656;14.2
2025-08-27T20:30:47.807Z;46.9177779;7.6087701;14.39
2025-08-27T20:30:52.807Z;46.9178817;7.6078051;15.26
2025-08-27T20:30:57.808Z;46.9179245;7.6067655;16.05
2025-08-27T20:31:02.807Z;46.9179019;7.6056805;15.83
2025-08-27T20:31:03.815Z;46.9178925;7.605511;15.58
2025-08-27T20:31:07.805Z;46.9178243;7.604704;14.71
2025-08-27T20:31:12.810Z;46.9177258;7.6037252;14.68
2025-08-27T20:31:17.807Z;46.9176423;7.6028194;12.78
2025-08-27T20:31:22.823Z;46.9175864;7.6019748;12.93
2025-08-27T20:31:27.823Z;46.9175531;7.6010767;13.28
2025-08-27T20:31:32.813Z;46.9175449;7.600208;13.7
2025-08-27T20:31:37.815Z;46.917568;7.5992773;14.07
2025-08-27T20:31:42.812Z;46.9176121;7.5983346;14.46
2025-08-27T20:31:46.824Z;46.9176642;7.5975723;14.65
2025-08-27T20:31:47.807Z;46.9176804;7.5973576;14.66
2025-08-27T20:31:52.812Z;46.9177612;7.5963902;15.0
2025-08-27T20:31:57.806Z;46.9178436;7.595415;15.25
2025-08-27T20:32:02.822Z;46.9179442;7.5943713;15.41
2025-08-27T20:32:07.805Z;46.9180394;7.593368;15.23
2025-08-27T20:32:12.804Z;46.9181202;7.592427;13.96
2025-08-27T20:32:17.823Z;46.9181927;7.5915429;12.71
2025-08-27T20:32:22.805Z;46.9182031;7.5907131;12.33
2025-08-27T20:32:27.808Z;46.9181327;7.5899451;11.97
2025-08-27T20:32:32.815Z;46.9179886;7.5891623;11.69
2025-08-27T20:32:37.818Z;46.917804;7.5884541;11.6
2025-08-27T20:32:42.806Z;46.9176274;7.5876907;11.76
2025-08-27T20:32:47.817Z;46.9175343;7.5869603;12.05
2025-08-27T20:32:52.823Z;46.9175297;7.5861616;10.92
2025-08-27T20:32:57.817Z;46.9176616;7.585479;10.41
2025-08-27T20:33:02.805Z;46.9178441;7.5848263;10.55
2025-08-27T20:33:07.806Z;46.9180489;7.5841913;10.79
2025-08-27T20:33:12.816Z;46.9182997;7.5835835;11.04
2025-08-27T20:33:17.808Z;46.9186002;7.5831443;7.85
2025-08-27T20:33:22.807Z;46.9187911;7.5829389;2.68
2025-08-27T20:33:27.821Z;46.9188228;7.5829051;0.0
2025-08-27T20:33:32.811Z;46.9188228;7.5829051;0.0
2025-08-27T20:33:37.806Z;46.9188238;7.582903;0.0
2025-08-27T20:33:42.814Z;46.9189717;7.5827414;7.48
2025-08-27T20:33:47.805Z;46.9193709;7.5824167;11.8
2025-08-27T20:33:52.818Z;46.9198736;7.5820234;13.0
2025-08-27T20:33:57.804Z;46.9203953;7.5814947;15.15
2025-08-27T20:34:02.814Z;46.9209543;7.5809094;14.71
2025-08-27T20:34:07.805Z;46.9214752;7.580348;14.2
2025-08-27T20:34:12.819Z;46.9219842;7.5797952;14.12
2025-08-27T20:34:17.808Z;46.9224673;7.5792698;12.91
2025-08-27T20:34:22.821Z;46.9229642;7.5787612;13.31
2025-08-27T20:34:27.814Z;46.9234554;7.5782217;13.73
2025-08-27T20:34:32.806Z;46.9239593;7.5776529;14.18
2025-08-27T20:34:37.808Z;46.9244886;7.5771335;14.22
2025-08-27T20:34:42.805Z;46.9248975;7.5764407;13.89
2025-08-27T20:34:47.819Z;46.9251813;7.5756361;13.2
2025-08-27T20:34:52.821Z;46.9253037;7.5747889;12.77
2025-08-27T20:34:57.805Z;46.9252825;7.5739263;13.17
2025-08-27T20:35:02.813Z;46.9251864;7.5730651;13.18
2025-08-27T20:35:07.812Z;46.9251075;7.5723759;7.78
2025-08-27T20:35:12.813Z;46.9251072;7.5720326;4.55
2025-08-27T20:35:17.813Z;46.9250835;7.5717718;4.44
2025-08-27T20:35:22.818Z;46.9249978;7.5713349;8.62
2025-08-27T20:35:27.816Z;46.9249316;7.5706892;10.82
2025-08-27T20:35:32.807Z;46.9248607;7.5699783;10.75
2025-08-27T20:35:37.808Z;46.9248742;7.5693033;10.33
2025-08-27T20:35:42.808Z;46.9250493;7.5686221;11.01
2025-08-27T20:35:47.804Z;46.9252405;7.5679224;11.0
2025-08-27T20:35:52.814Z;46.9254393;7.5672016;12.07
2025-08-27T20:35:57.818Z;46.9256782;7.5664707;12.41
2025-08-27T20:36:02.822Z;46.9259513;7.5657562;12.35
2025-08-27T20:36:07.821Z;46.926198;7.5650854;10.24
2025-08-27T20:36:12.814Z;46.9263543;7.5646385;5.76
2025-08-27T20:36:17.819Z;46.9264974;7.5643268;6.13
2025-08-27T20:36:22.808Z;46.9268295;7.5642856;8.76
2025-08-27T20:36:27.823Z;46.9272469;7.564307;8.84
2025-08-27T20:36:32.806Z;46.9276427;7.5642598;9.06
2025-08-27T20:36:37.805Z;46.9280488;7.5641979;9.53
2025-08-27T20:36:42.805Z;46.9284813;7.5642847;8.65
2025-08-27T20:36:47.812Z;46.9288318;7.5643029;7.94
2025-08-27T20:36:52.808Z;46.9291373;7.5640507;8.08
2025-08-27T20:36:57.807Z;46.9293815;7.5636748;6.99
2025-08-27T20:37:02.804Z;46.92956;7.5633627;5.72
2025-08-27T20:37:07.810Z;46.9295933;7.5630601;4.34
2025-08-27T20:37:12.807Z;46.9297074;7.5628901;2.95
2025-08-27T20:37:17.806Z;46.9297871;7.5628804;1.35
2025-08-27T20:37:22.805Z;46.9298365;7.562871;0.0
2025-08-27T20:37:27.817Z;46.9298418;7.5628687;0.0
2025-08-27T20:37:32.805Z;46.9298418;7.5628687;0.0
2025-08-27T20:37:37.805Z;46.9298418;7.5628687;0.0
2025-08-27T20:37:42.808Z;46.9298418;7.5628687;0.0
2025-08-27T20:37:45.806Z;46.9298418;7.5628687;0.0
2025-08-27T20:37:47.822Z;46.9298418;7.5628687;0.0
2025-08-27T20:37:52.807Z;46.9298418;7.5628687;0.0
2025-08-27T20:37:54.820Z;46.9298418;7.5628687;0.0
2025-08-27T20:37:57.804Z;46.9298418;7.5628687;0.0
2025-08-27T20:38:02.806Z;46.9298418;7.5628687;0.0
2025-08-27T20:38:07.807Z;46.9298418;7.5628687;0.0
time;latitude;longitude;velocity
2025-08-27T20:27:42.820Z;46.9117972;7.6277726;9.51
2025-08-27T20:27:47.804Z;46.9119675;7.627201;9.75
2025-08-27T20:27:52.821Z;46.9121618;7.6266134;9.43
2025-08-27T20:27:57.809Z;46.9123457;7.6260601;8.85
2025-08-27T20:28:02.809Z;46.9124955;7.6255397;7.88
2025-08-27T20:28:07.818Z;46.9125742;7.6250659;7.48
2025-08-27T20:28:12.805Z;46.9127667;7.6246408;8.43
2025-08-27T20:28:17.814Z;46.913071;7.6242821;8.91
2025-08-27T20:28:22.821Z;46.913384;7.6238429;9.8
2025-08-27T20:28:27.809Z;46.913695;7.6233549;10.2
2025-08-27T20:28:32.820Z;46.9140119;7.6228521;10.72
2025-08-27T20:28:37.807Z;46.9143498;7.6223064;11.29
2025-08-27T20:28:42.810Z;46.9147198;7.6217594;11.89
2025-08-27T20:28:47.814Z;46.9151056;7.6212908;10.66
2025-08-27T20:28:52.811Z;46.9155;7.6207925;12.33
2025-08-27T20:28:57.821Z;46.9158015;7.6201147;12.11
2025-08-27T20:29:02.814Z;46.9160756;7.6195233;10.2
2025-08-27T20:29:07.818Z;46.9163046;7.6189555;9.8
2025-08-27T20:29:12.816Z;46.9164401;7.6182584;11.2
2025-08-27T20:29:17.823Z;46.9166316;7.6175785;11.44
2025-08-27T20:29:22.823Z;46.916805;7.616854;11.8
2025-08-27T20:29:27.810Z;46.9169436;7.6160791;11.84
2025-08-27T20:29:32.817Z;46.9170455;7.615296;11.63
2025-08-27T20:29:37.810Z;46.9171558;7.6146463;8.55
2025-08-27T20:29:42.813Z;46.9173539;7.6141946;7.5
2025-08-27T20:29:47.812Z;46.9173893;7.6137682;5.61
2025-08-27T20:29:52.823Z;46.9173641;7.6135059;2.81
2025-08-27T20:29:57.818Z;46.9173443;7.613301;3.41
2025-08-27T20:29:58.817Z;46.9173399;7.6132589;3.73
2025-08-27T20:30:02.818Z;46.9173088;7.6130227;5.17
2025-08-27T20:30:06.814Z;46.9172755;7.6127089;6.8
2025-08-27T20:30:07.818Z;46.9172756;7.6126205;7.02
2025-08-27T20:30:12.822Z;46.9173069;7.6122194;5.6
2025-08-27T20:30:17.816Z;46.9173069;7.6119842;0.8
2025-08-27T20:30:22.819Z;46.9173059;7.6119634;0.0
2025-08-27T20:30:27.805Z;46.9172814;7.6118274;5.08
2025-08-27T20:30:32.808Z;46.9173462;7.6112727;11.06
2025-08-27T20:30:37.815Z;46.9174839;7.6105105;12.55
2025-08-27T20:30:42.805Z;46.917629;7.6096889;13.46
2025-08-27T20:30:46.806Z;46.9177483;7.6089656;14.2
2025-08-27T20:30:47.807Z;46.9177779;7.6087701;14.39
2025-08-27T20:30:52.807Z;46.9178817;7.6078051;15.26
2025-08-27T20:30:57.808Z;46.9179245;7.6067655;16.05
2025-08-27T20:31:02.807Z;46.9179019;7.6056805;15.83
2025-08-27T20:31:03.815Z;46.9178925;7.605511;15.58
2025-08-27T20:31:07.805Z;46.9178243;7.604704;14.71
2025-08-27T20:31:12.810Z;46.9177258;7.6037252;14.68
2025-08-27T20:31:17.807Z;46.9176423;7.6028194;12.78
2025-08-27T20:31:22.823Z;46.9175864;7.6019748;12.93
2025-08-27T20:31:27.823Z;46.9175531;7.6010767;13.28
2025-08-27T20:31:32.813Z;46.9175449;7.600208;13.7
2025-08-27T20:31:37.815Z;46.917568;7.5992773;14.07
2025-08-27T20:31:42.812Z;46.9176121;7.5983346;14.46
2025-08-27T20:31:46.824Z;46.9176642;7.5975723;14.65
2025-08-27T20:31:47.807Z;46.9176804;7.5973576;14.66
2025-08-27T20:31:52.812Z;46.9177612;7.5963902;15.0
2025-08-27T20:31:57.806Z;46.9178436;7.595415;15.25
2025-08-27T20:32:02.822Z;46.9179442;7.5943713;15.41
2025-08-27T20:32:07.805Z;46.9180394;7.593368;15.23
2025-08-27T20:32:12.804Z;46.9181202;7.592427;13.96
2025-08-27T20:32:17.823Z;46.9181927;7.5915429;12.71
