time;latitude;longitude;velocity
2025-08-24T07:35:08.614Z;46.8689852;9.8812411;0.0
2025-08-24T07:35:13.611Z;46.8689721;9.8812477;0.28
2025-08-24T07:35:18.617Z;46.8689663;9.8812566;1.24
2025-08-24T07:35:20.616Z;46.868949;9.8812895;1.45
2025-08-24T07:35:23.607Z;46.8689175;9.8813614;1.89
2025-08-24T07:35:28.616Z;46.8688427;9.8814811;2.88
2025-08-24T07:35:33.613Z;46.8687064;9.8816077;3.81
2025-08-24T07:35:38.613Z;46.8685375;9.8817341;4.75
2025-08-24T07:35:43.612Z;46.8684084;9.8818633;2.25
2025-08-24T07:35:48.608Z;46.8683226;9.8819799;3.61
2025-08-24T07:35:53.622Z;46.8681813;9.8821992;5.16
2025-08-24T07:35:58.609Z;46.8680023;9.8823425;4.49
2025-08-24T07:36:03.617Z;46.8677774;9.8823108;5.74
2025-08-24T07:36:08.619Z;46.8675154;9.8822631;6.3
2025-08-24T07:36:13.609Z;46.8672182;9.8822116;6.76
2025-08-24T07:36:18.608Z;46.866918;9.8821493;6.5
2025-08-24T07:36:23.617Z;46.8666798;9.8822305;5.28
2025-08-24T07:36:28.624Z;46.8665412;9.8824348;3.35
2025-08-24T07:36:33.622Z;46.8664987;9.8824737;0.0
2025-08-24T07:36:37.616Z;46.8664989;9.8824735;0.0
2025-08-24T07:36:38.618Z;46.8664989;9.8824735;0.0
2025-08-24T07:36:43.607Z;46.8664936;9.8824767;0.75
2025-08-24T07:36:48.623Z;46.8663939;9.8824513;2.67
2025-08-24T07:36:53.616Z;46.8662777;9.8822755;3.48
2025-08-24T07:36:58.614Z;46.8661598;9.8821481;4.13
2025-08-24T07:37:03.621Z;46.8659421;9.8819527;6.34
2025-08-24T07:37:08.607Z;46.8656599;9.8818976;6.22
2025-08-24T07:37:13.616Z;46.8653807;9.8819987;7.01
2025-08-24T07:37:18.606Z;46.8651451;9.8821414;5.34
2025-08-24T07:37:23.617Z;46.8648739;9.8821699;6.94
2025-08-24T07:37:26.607Z;46.8646878;9.8821406;7.21
2025-08-24T07:37:28.607Z;46.8645425;9.8821051;7.27
2025-08-24T07:37:33.617Z;46.8642522;9.8820399;7.0
2025-08-24T07:37:38.616Z;46.8639403;9.8819601;7.25
2025-08-24T07:37:43.615Z;46.8636285;9.8818049;7.11
2025-08-24T07:37:48.615Z;46.863313;9.8817305;6.74
2025-08-24T07:37:53.618Z;46.8630987;9.8816003;4.21
2025-08-24T07:37:58.608Z;46.8629339;9.8814609;4.01
2025-08-24T07:38:03.619Z;46.8628009;9.8814345;2.4
2025-08-24T07:38:08.618Z;46.8626618;9.8816464;5.7
2025-08-24T07:38:13.612Z;46.8624773;9.882026;8.56
2025-08-24T07:38:18.617Z;46.8624422;9.8825695;8.57
2025-08-24T07:38:20.608Z;46.8624391;9.8827897;8.1
2025-08-24T07:38:23.607Z;46.8624272;9.8830931;8.02
2025-08-24T07:38:28.617Z;46.8622929;9.8836013;8.35
2025-08-24T07:38:33.621Z;46.8621176;9.8840667;7.93
2025-08-24T07:38:38.612Z;46.8619653;9.8844721;7.38
2025-08-24T07:38:43.617Z;46.8618082;9.8848887;7.43
2025-08-24T07:38:48.625Z;46.8615949;9.8852706;7.35
2025-08-24T07:38:53.610Z;46.8612986;9.8854178;7.51
time;latitude;longitude;velocity
2025-08-24T07:35:08.614Z;46.8689852;9.8812411;0.0
2025-08-24T07:35:13.611Z;46.8689721;9.8812477;0.28
2025-08-24T07:35:18.617Z;46.8689663;9.8812566;1.24
2025-08-24T07:35:20.616Z;46.868949;9.8812895;1.45
2025-08-24T07:35:23.607Z;46.8689175;9.8813614;1.89
2025-08-24T07:35:28.616Z;46.8688427;9.8814811;2.88
2025-08-24T07:35:33.613Z;46.8687064;9.8816077;3.81
2025-08-24T07:35:38.613Z;46.8685375;9.8817341;4.75
2025-08-24T07:35:43.612Z;46.8684084;9.8818633;2.25
2025-08-24T07:35:48.608Z;46.8683226;9.8819799;3.61
2025-08-24T07:35:53.622Z;46.8681813;9.8821992;5.16
2025-08-24T07:35:58.609Z;46.8680023;9.8823425;4.49
2025-08-24T07:36:03.617Z;46.8677774;9.8823108;5.74
2025-08-24T07:36:08.619Z;46.8675154;9.8822631;6.3
2025-08-24T07:36:13.609Z;46.8672182;9.8822116;6.76
2025-08-24T07:36:18.608Z;46.866918;9.8821493;6.5
2025-08-24T07:36:23.617Z;46.8666798;9.8822305;5.28
2025-08-24T07:36:28.624Z;46.8665412;9.8824348;3.35
2025-08-24T07:36:33.622Z;46.8664987;9.8824737;0.0
2025-08-24T07:36:37.616Z;46.8664989;9.8824735;0.0
2025-08-24T07:36:38.618Z;46.8664989;9.8824735;0.0
2025-08-24T07:36:43.607Z;46.8664936;9.8824767;0.75
2025-08-24T07:36:48.623Z;46.8663939;9.8824513;2.67
2025-08-24T07:36:53.616Z;46.8662777;9.8822755;3.48
2025-08-24T07:36:58.614Z;46.8661598;9.8821481;4.13
2025-08-24T07:37:03.621Z;46.8659421;9.8819527;6.34
2025-08-24T07:37:08.607Z;46.8656599;9.8818976;6.22
2025-08-24T07:37:13.616Z;46.8653807;9.8819987;7.01
2025-08-24T07:37:18.606Z;46.8651451;9.8821414;5.34
2025-08-24T07:37:23.617Z;46.8648739;9.8821699;6.94
2025-08-24T07:37:26.607Z;46.8646878;9.8821406;7.21
2025-08-24T07:37:28.607Z;46.8645425;9.8821051;7.27
2025-08-24T07:37:33.617Z;46.8642522;9.8820399;7.0
2025-08-24T07:37:38.616Z;46.8639403;9.8819601;7.25
2025-08-24T07:37:43.615Z;46.8636285;9.8818049;7.11
2025-08-24T07:37:48.615Z;46.863313;9.8817305;6.74
2025-08-24T07:37:53.618Z;46.8630987;9.8816003;4.21
2025-08-24T07:37:58.608Z;46.8629339;9.8814609;4.01
2025-08-24T07:38:03.619Z;46.8628009;9.8814345;2.4
2025-08-24T07:38:08.618Z;46.8626618;9.8816464;5.7
2025-08-24T07:38:13.612Z;46.8624773;9.882026;8.56
2025-08-24T07:38:18.617Z;46.8624422;9.8825695;8.57
2025-08-24T07:38:20.608Z;46.8624391;9.8827897;8.1
2025-08-24T07:38:23.607Z;46.8624272;9.8830931;8.02
2025-08-24T07:38:28.617Z;46.8622929;9.8836013;8.35
2025-08-24T07:38:33.621Z;46.8621176;9.8840667;7.93
2025-08-24T07:38:38.612Z;46.8619653;9.8844721;7.38
2025-08-24T07:38:43.617Z;46.8618082;9.8848887;7.43
2025-08-24T07:38:48.625Z;46.8615949;9.8852706;7.35
2025-08-24T07:38:53.610Z;46.8612986;9.8854178;7.51
