time;latitude;longitude;velocity
2025-08-26T05:32:30.011Z;46.6910598;6.6466921;13.07
2025-08-26T05:32:34.011Z;46.690627;6.6466453;11.11
2025-08-26T05:32:39.009Z;46.6902011;6.6465944;8.21
2025-08-26T05:32:42.016Z;46.6900347;6.646575;5.69
2025-08-26T05:32:44.017Z;46.6899663;6.6465641;3.44
2025-08-26T05:32:49.020Z;46.6899083;6.6465543;0.05
2025-08-26T05:32:54.005Z;46.6899083;6.6465543;0.0
2025-08-26T05:32:59.015Z;46.6899083;6.6465543;0.0
2025-08-26T05:33:04.012Z;46.689908;6.6465545;0.0
2025-08-26T05:33:09.006Z;46.6898515;6.6465499;2.96
2025-08-26T05:33:14.014Z;46.6895785;6.6465219;7.88
2025-08-26T05:33:19.008Z;46.6892482;6.6464821;11.44
2025-08-26T05:33:24.005Z;46.6886169;6.6464423;12.08
2025-08-26T05:33:29.007Z;46.688122;6.646568;10.16
2025-08-26T05:33:34.017Z;46.6877584;6.646758;7.46
2025-08-26T05:33:39.010Z;46.6874478;6.6469403;7.41
2025-08-26T05:33:44.005Z;46.6870813;6.6467923;9.88
2025-08-26T05:33:49.005Z;46.6866315;6.6466968;8.96
2025-08-26T05:33:54.008Z;46.6863333;6.6469123;7.27
2025-08-26T05:33:59.005Z;46.6861578;6.6471587;2.91
2025-08-26T05:34:03.010Z;46.6861484;6.6471753;0.05
2025-08-26T05:34:04.025Z;46.6861484;6.6471753;0.0
2025-08-26T05:34:09.012Z;46.6861484;6.6471753;0.0
2025-08-26T05:34:14.006Z;46.6861484;6.6471753;0.0
2025-08-26T05:34:19.017Z;46.6861484;6.6471753;0.0
2025-08-26T05:34:24.018Z;46.6861484;6.6471753;0.0
2025-08-26T05:34:29.012Z;46.6861484;6.6471753;0.0
2025-08-26T05:34:34.018Z;46.6861474;6.6471771;0.0
2025-08-26T05:34:39.006Z;46.6861475;6.6471771;0.0
2025-08-26T05:34:44.023Z;46.686104;6.6472507;3.07
2025-08-26T05:34:49.006Z;46.6859284;6.6473118;5.05
2025-08-26T05:34:54.018Z;46.6856538;6.6471771;7.71
2025-08-26T05:34:59.011Z;46.6852604;6.6470045;10.46
2025-08-26T05:35:04.017Z;46.684754;6.646855;12.33
2025-08-26T05:35:09.011Z;46.6841626;6.6467752;13.47
2025-08-26T05:35:14.008Z;46.6835663;6.6466949;13.21
2025-08-26T05:35:19.013Z;46.6830203;6.6466109;12.38
2025-08-26T05:35:24.007Z;46.6824882;6.6465517;11.91
2025-08-26T05:35:29.006Z;46.6819411;6.6464986;12.52
2025-08-26T05:35:34.019Z;46.6813923;6.6464517;11.46
2025-08-26T05:35:39.024Z;46.6809936;6.6464133;6.82
2025-08-26T05:35:44.020Z;46.6808519;6.6462706;2.93
2025-08-26T05:35:49.008Z;46.6807049;6.6461305;4.18
2025-08-26T05:35:50.005Z;46.6806692;6.6461458;4.69
2025-08-26T05:35:54.017Z;46.6804666;6.6462146;7.1
2025-08-26T05:35:59.006Z;46.6800605;6.6462869;10.49
2025-08-26T05:36:04.007Z;46.6795138;6.6462852;13.49
2025-08-26T05:36:09.016Z;46.6788441;6.646231;16.11
2025-08-26T05:36:12.006Z;46.6783702;6.6461915;17.66
2025-08-26T05:36:14.007Z;46.6780601;6.6461662;18.75
2025-08-26T05:36:19.012Z;46.6771479;6.6460921;21.18
2025-08-26T05:36:24.023Z;46.6761923;6.6460142;22.27
2025-08-26T05:36:29.005Z;46.6751723;6.6459283;22.83
2025-08-26T05:36:34.010Z;46.6741426;6.6458429;22.93
2025-08-26T05:36:38.007Z;46.6733247;6.6457758;22.99
2025-08-26T05:36:39.012Z;46.6731236;6.6457609;23.05
2025-08-26T05:36:44.010Z;46.6720907;6.6456834;23.21
2025-08-26T05:36:49.008Z;46.6710369;6.6456093;23.07
2025-08-26T05:36:54.012Z;46.6700089;6.6455369;23.21
2025-08-26T05:36:59.004Z;46.6689707;6.645462;23.38
2025-08-26T05:37:04.022Z;46.6679196;6.6453868;23.33
2025-08-26T05:37:09.010Z;46.6668721;6.6453126;23.41
2025-08-26T05:37:14.005Z;46.6658211;6.6452386;23.47
2025-08-26T05:37:19.013Z;46.6647774;6.6451603;23.55
2025-08-26T05:37:24.010Z;46.6637261;6.6450862;23.52
2025-08-26T05:37:29.010Z;46.662694;6.6450124;22.6
2025-08-26T05:37:34.010Z;46.6617402;6.6449434;20.19
2025-08-26T05:37:39.016Z;46.6609398;6.6448852;16.16
2025-08-26T05:37:44.015Z;46.6603011;6.6448435;12.43
2025-08-26T05:37:49.020Z;46.6598451;6.6448044;8.02
2025-08-26T05:37:54.020Z;46.6595704;6.6445182;7.79
2025-08-26T05:37:59.015Z;46.6593102;6.6440776;9.91
2025-08-26T05:38:04.008Z;46.6591201;6.6434766;10.13
2025-08-26T05:38:09.024Z;46.6589437;6.6428788;10.71
2025-08-26T05:38:14.005Z;46.6587453;6.6422614;9.3
2025-08-26T05:38:19.015Z;46.6585927;6.6417457;7.96
2025-08-26T05:38:24.013Z;46.6584263;6.6412725;8.47
2025-08-26T05:38:29.018Z;46.6581921;6.64086;7.6
2025-08-26T05:38:34.017Z;46.657995;6.6404688;7.88
2025-08-26T05:38:36.018Z;46.6579387;6.6402887;7.79
2025-08-26T05:38:39.023Z;46.6578467;6.6400172;7.85
2025-08-26T05:38:44.015Z;46.6576822;6.6395734;7.46
2025-08-26T05:38:49.020Z;46.6574415;6.6393425;5.57
2025-08-26T05:38:54.007Z;46.6572501;6.6393055;3.52
2025-08-26T05:38:59.014Z;46.6571686;6.6393206;0.07
2025-08-26T05:39:00.023Z;46.6571686;6.6393206;0.05
2025-08-26T05:39:04.013Z;46.6571686;6.6393206;0.0
2025-08-26T05:39:09.009Z;46.6571686;6.6393206;0.0
2025-08-26T05:39:14.016Z;46.6571684;6.6393208;0.0
2025-08-26T05:39:19.004Z;46.6571581;6.6393222;0.74
2025-08-26T05:39:24.007Z;46.6570453;6.6393278;4.1
2025-08-26T05:39:29.013Z;46.6568225;6.6391357;6.49
2025-08-26T05:39:34.013Z;46.6565745;6.6389028;6.66
2025-08-26T05:39:39.022Z;46.6563387;6.6387286;5.38
2025-08-26T05:39:44.005Z;46.6560669;6.6388301;6.54
2025-08-26T05:39:49.013Z;46.6558065;6.6390033;6.6
2025-08-26T05:39:54.021Z;46.6556198;6.6392249;4.08
2025-08-26T05:39:59.018Z;46.6555624;6.6393124;0.38
2025-08-26T05:40:04.014Z;46.6555575;6.6393199;0.0
2025-08-26T05:40:09.016Z;46.6555575;6.6393199;0.0
2025-08-26T05:40:14.014Z;46.6555575;6.6393199;0.0
2025-08-26T05:40:19.009Z;46.6555517;6.6393293;1.11
2025-08-26T05:40:24.008Z;46.6554536;6.6395415;5.74
2025-08-26T05:40:29.009Z;46.6552596;6.6399846;9.35
2025-08-26T05:40:34.012Z;46.655028;6.6405338;10.13
2025-08-26T05:40:39.009Z;46.654789;6.6410804;10.13
2025-08-26T05:40:44.018Z;46.6545456;6.6416128;9.88
2025-08-26T05:40:45.007Z;46.6544937;6.6417198;9.77
2025-08-26T05:40:49.004Z;46.6542918;6.642133;9.93
2025-08-26T05:40:54.013Z;46.6540833;6.6425452;6.25
2025-08-26T05:40:59.007Z;46.6539601;6.6428128;2.99
2025-08-26T05:41:04.021Z;46.6539192;6.6428753;0.46
2025-08-26T05:41:09.007Z;46.6538521;6.6428978;2.93
2025-08-26T05:41:12.004Z;46.6537602;6.6428214;4.18
2025-08-26T05:41:14.020Z;46.6536715;6.642729;5.38
