time;latitude;longitude;velocity
2025-08-28T11:52:27.014Z;47.4505394;9.1599717;4.52
2025-08-28T11:52:32.020Z;47.4503267;9.1596404;7.77
2025-08-28T11:52:37.014Z;47.450059;9.1592068;9.86
2025-08-28T11:52:42.009Z;47.4497404;9.1586895;10.91
2025-08-28T11:52:47.007Z;47.4494238;9.1581692;10.46
2025-08-28T11:52:52.013Z;47.4491297;9.1577208;8.75
2025-08-28T11:52:57.009Z;47.4487949;9.1574072;8.75
2025-08-28T11:53:02.018Z;47.4485296;9.1571752;5.21
2025-08-28T11:53:07.010Z;47.448482;9.1569026;4.52
2025-08-28T11:53:11.023Z;47.4486088;9.1566315;6.96
2025-08-28T11:53:12.020Z;47.4486425;9.1565464;7.68
2025-08-28T11:53:17.008Z;47.44889;9.1560874;9.63
2025-08-28T11:53:22.021Z;47.4493042;9.1560289;10.08
2025-08-28T11:53:27.017Z;47.4497441;9.156286;10.6
2025-08-28T11:53:32.007Z;47.4501796;9.156554;9.91
2025-08-28T11:53:37.011Z;47.4505956;9.1567907;9.63
2025-08-28T11:53:42.012Z;47.4509961;9.1570211;10.21
2025-08-28T11:53:47.006Z;47.4514147;9.1572811;10.32
2025-08-28T11:53:52.017Z;47.4517977;9.1575584;9.13
2025-08-28T11:53:57.021Z;47.4521172;9.1577512;6.21
2025-08-28T11:54:02.005Z;47.4522875;9.1578689;2.82
2025-08-28T11:54:07.006Z;47.4522576;9.1581291;4.49
2025-08-28T11:54:12.006Z;47.4521397;9.1585087;7.96
2025-08-28T11:54:17.014Z;47.4519588;9.1590922;10.52
2025-08-28T11:54:22.011Z;47.4517878;9.1596919;9.19
2025-08-28T11:54:27.016Z;47.4516876;9.1601948;8.02
2025-08-28T11:54:32.006Z;47.4515874;9.1607503;8.99
2025-08-28T11:54:37.009Z;47.4514796;9.1613059;9.19
2025-08-28T11:54:42.007Z;47.4513623;9.1618964;10.24
2025-08-28T11:54:47.015Z;47.4512378;9.1625337;9.66
2025-08-28T11:54:52.007Z;47.4511548;9.1630844;7.16
2025-08-28T11:54:57.009Z;47.4511193;9.1634359;3.05
2025-08-28T11:55:02.012Z;47.4511165;9.163467;0.02
2025-08-28T11:55:06.021Z;47.4511165;9.163467;0.0
2025-08-28T11:55:07.014Z;47.4511165;9.163467;0.0
2025-08-28T11:55:12.008Z;47.4511128;9.1635937;3.75
2025-08-28T11:55:17.017Z;47.4510937;9.1640137;8.02
2025-08-28T11:55:22.006Z;47.4511834;9.1646602;11.11
2025-08-28T11:55:27.009Z;47.4513017;9.1653269;10.27
2025-08-28T11:55:32.019Z;47.4513512;9.1659331;9.05
2025-08-28T11:55:37.006Z;47.4511256;9.1664804;10.49
2025-08-28T11:55:42.006Z;47.4508212;9.1671375;12.41
2025-08-28T11:55:47.007Z;47.4504981;9.1678304;13.44
2025-08-28T11:55:52.005Z;47.4501447;9.1685642;13.27
2025-08-28T11:55:57.014Z;47.4498265;9.169244;12.74
2025-08-28T11:56:02.016Z;47.4494989;9.1699316;12.68
2025-08-28T11:56:07.007Z;47.4491553;9.1706511;13.93
2025-08-28T11:56:12.011Z;47.4488872;9.1714789;13.38
2025-08-28T11:56:17.021Z;47.448839;9.1723825;14.66
2025-08-28T11:56:19.005Z;47.4488374;9.1727492;15.3
2025-08-28T11:56:22.005Z;47.4488366;9.1733814;15.71
2025-08-28T11:56:27.015Z;47.4488379;9.1744348;16.43
2025-08-28T11:56:32.016Z;47.4488464;9.1755506;17.58
2025-08-28T11:56:37.003Z;47.4488735;9.1766625;15.83
2025-08-28T11:56:42.005Z;47.4489428;9.1776042;14.1
2025-08-28T11:56:47.008Z;47.449068;9.1784908;13.99
2025-08-28T11:56:52.013Z;47.4492409;9.1794281;15.21
2025-08-28T11:56:57.011Z;47.449411;9.1803562;14.72
2025-08-28T11:57:02.004Z;47.4495735;9.181312;14.74
2025-08-28T11:57:07.007Z;47.4497014;9.1822491;14.77
2025-08-28T11:57:08.017Z;47.4497345;9.1824673;14.41
2025-08-28T11:57:12.005Z;47.4498402;9.1831588;13.21
2025-08-28T11:57:17.007Z;47.4499509;9.1839788;13.19
2025-08-28T11:57:22.007Z;47.4497407;9.1848597;15.18
2025-08-28T11:57:27.011Z;47.4493825;9.1857686;16.46
2025-08-28T11:57:29.006Z;47.4492417;9.1861176;16.21
2025-08-28T11:57:32.012Z;47.4490671;9.1866939;15.58
2025-08-28T11:57:37.015Z;47.4489095;9.1877123;15.91
2025-08-28T11:57:42.010Z;47.4487383;9.1886445;13.99
2025-08-28T11:57:47.004Z;47.4483677;9.1892585;11.52
2025-08-28T11:57:51.011Z;47.4480548;9.1894836;9.33
2025-08-28T11:57:52.005Z;47.447973;9.1894592;9.46
2025-08-28T11:57:57.012Z;47.4475177;9.1893829;11.38
2025-08-28T11:58:02.007Z;47.4469886;9.1891519;13.58
2025-08-28T11:58:06.004Z;47.4465242;9.1888549;14.58
2025-08-28T11:58:07.008Z;47.4463824;9.1887671;14.91
2025-08-28T11:58:12.008Z;47.4457487;9.1883795;15.99
2025-08-28T11:58:17.007Z;47.4450563;9.1880469;15.85
2025-08-28T11:58:22.013Z;47.4444226;9.1879659;14.38
