time;latitude;longitude;velocity
2025-08-24T05:45:14.622Z;46.6022024;9.4266483;0.0
2025-08-24T05:45:18.627Z;46.6022024;9.4266483;0.0
2025-08-24T05:45:19.611Z;46.6022024;9.4266483;0.0
2025-08-24T05:45:24.620Z;46.6022024;9.4266483;0.0
2025-08-24T05:45:29.618Z;46.6022024;9.4266483;0.0
2025-08-24T05:45:34.615Z;46.6022024;9.4266483;0.0
2025-08-24T05:45:39.617Z;46.6022024;9.4266483;0.0
2025-08-24T05:45:44.622Z;46.6022024;9.4266483;0.0
2025-08-24T05:45:49.627Z;46.6022024;9.4266483;0.0
2025-08-24T05:45:54.630Z;46.6022024;9.4266483;0.0
2025-08-24T05:45:59.620Z;46.6022024;9.4266483;0.0
2025-08-24T05:46:04.616Z;46.6022024;9.4266483;0.0
2025-08-24T05:46:09.611Z;46.6022024;9.4266483;0.0
2025-08-24T05:46:14.616Z;46.6022024;9.4266483;0.0
2025-08-24T05:46:19.621Z;46.6022024;9.4266483;0.0
2025-08-24T05:46:24.614Z;46.6022024;9.4266483;0.0
2025-08-24T05:46:29.616Z;46.6022024;9.4266483;0.0
2025-08-24T05:46:34.610Z;46.6022024;9.4266483;0.0
2025-08-24T05:46:39.621Z;46.6022024;9.4266483;0.0
2025-08-24T05:46:44.611Z;46.6022024;9.4266483;0.0
2025-08-24T05:46:49.612Z;46.6022005;9.4266312;0.83
2025-08-24T05:46:54.621Z;46.602229;9.4265241;1.97
2025-08-24T05:46:59.615Z;46.6023341;9.4264527;2.91
2025-08-24T05:47:04.629Z;46.6024523;9.4263248;3.14
2025-08-24T05:47:09.618Z;46.6025823;9.4262278;3.45
2025-08-24T05:47:14.628Z;46.6027325;9.4262363;3.93
2025-08-24T05:47:19.611Z;46.6029378;9.4262401;4.5
2025-08-24T05:47:24.612Z;46.6031204;9.4262656;4.13
2025-08-24T05:47:29.619Z;46.6033459;9.4263522;5.46
2025-08-24T05:47:34.619Z;46.6035638;9.426408;4.53
2025-08-24T05:47:39.626Z;46.6037559;9.4264736;4.47
2025-08-24T05:47:44.615Z;46.6039355;9.4264998;3.8
2025-08-24T05:47:49.626Z;46.6040881;9.4264681;3.78
2025-08-24T05:47:51.611Z;46.604171;9.4264738;4.27
2025-08-24T05:47:54.614Z;46.6042923;9.4265313;5.1
2025-08-24T05:47:59.615Z;46.604495;9.4266225;5.02
2025-08-24T05:48:04.611Z;46.604728;9.4267204;5.1
2025-08-24T05:48:09.619Z;46.6049332;9.4268085;4.36
2025-08-24T05:48:14.626Z;46.6050959;9.426875;3.57
2025-08-24T05:48:19.628Z;46.6052727;9.4269504;4.23
2025-08-24T05:48:24.612Z;46.6054656;9.4270274;4.42
2025-08-24T05:48:25.616Z;46.6054907;9.427036;4.36
2025-08-24T05:48:29.611Z;46.6056156;9.4271419;3.89
2025-08-24T05:48:32.615Z;46.6056349;9.4272582;1.9
2025-08-24T05:48:34.612Z;46.6056368;9.4272998;0.76
2025-08-24T05:48:39.611Z;46.6057108;9.4273811;3.03
2025-08-24T05:48:44.612Z;46.6059837;9.4273606;8.01
2025-08-24T05:48:49.613Z;46.6064176;9.4274507;10.29
2025-08-24T05:48:53.612Z;46.606797;9.4276058;11.45
2025-08-24T05:48:54.618Z;46.606894;9.4276449;11.8
2025-08-24T05:48:59.613Z;46.6074723;9.4278778;13.98
2025-08-24T05:49:04.613Z;46.6080935;9.4281336;15.08
2025-08-24T05:49:09.621Z;46.6087954;9.4284234;16.74
2025-08-24T05:49:14.613Z;46.609529;9.4287262;17.99
2025-08-24T05:49:19.613Z;46.6103073;9.4290442;17.53
2025-08-24T05:49:24.612Z;46.6110559;9.4293482;17.86
2025-08-24T05:49:29.628Z;46.6118229;9.4296605;17.39
2025-08-24T05:49:34.612Z;46.6125493;9.4299602;16.61
2025-08-24T05:49:39.612Z;46.6131934;9.4302219;14.28
2025-08-24T05:49:44.612Z;46.6137948;9.4304602;13.29
2025-08-24T05:49:49.613Z;46.6143831;9.4306734;13.91
2025-08-24T05:49:54.612Z;46.6150235;9.430834;14.86
2025-08-24T05:49:59.611Z;46.6156991;9.4309537;15.0
2025-08-24T05:50:04.615Z;46.6164028;9.4310929;16.93
2025-08-24T05:50:09.612Z;46.6171583;9.4312372;16.44
2025-08-24T05:50:14.613Z;46.6178816;9.431374;16.65
2025-08-24T05:50:19.612Z;46.6186325;9.4315221;16.89
2025-08-24T05:50:24.612Z;46.619336;9.4318536;16.56
2025-08-24T05:50:26.613Z;46.619584;9.4320989;16.9
2025-08-24T05:50:29.616Z;46.6199087;9.4325771;17.33
2025-08-24T05:50:34.620Z;46.6204207;9.4333952;17.52
2025-08-24T05:50:39.622Z;46.6210744;9.434019;17.38
2025-08-24T05:50:44.615Z;46.6217734;9.4344788;17.09
2025-08-24T05:50:49.619Z;46.6224524;9.4349435;16.45
2025-08-24T05:50:54.620Z;46.6230566;9.4355718;17.5
2025-08-24T05:50:59.618Z;46.6236573;9.436367;18.51
2025-08-24T05:51:04.611Z;46.6243037;9.4371222;18.55
2025-08-24T05:51:09.614Z;46.6249869;9.4377907;18.33
2025-08-24T05:51:14.620Z;46.6256819;9.438458;18.83
2025-08-24T05:51:19.612Z;46.6263902;9.4391727;19.53
2025-08-24T05:51:24.622Z;46.62704;9.4400469;19.38
2025-08-24T05:51:29.615Z;46.6276933;9.4408514;19.02
2025-08-24T05:51:34.622Z;46.6284014;9.4414885;17.71
2025-08-24T05:51:39.612Z;46.6290624;9.4419687;15.46
2025-08-24T05:51:44.611Z;46.6297064;9.4421458;14.43
2025-08-24T05:51:49.612Z;46.6303331;9.4420545;13.52
2025-08-24T05:51:54.612Z;46.6308811;9.4418985;12.03
2025-08-24T05:51:59.612Z;46.6313793;9.4417505;10.46
2025-08-24T05:52:04.612Z;46.6317985;9.4417274;9.45
2025-08-24T05:52:09.611Z;46.6321913;9.4419647;9.33
2025-08-24T05:52:14.612Z;46.6324694;9.4424281;9.27
2025-08-24T05:52:19.629Z;46.632701;9.4429431;9.35
2025-08-24T05:52:24.612Z;46.6329124;9.4433766;7.07
2025-08-24T05:52:29.613Z;46.6331596;9.443684;6.83
2025-08-24T05:52:34.612Z;46.6334198;9.4439173;7.07
2025-08-24T05:52:39.611Z;46.6336864;9.4441579;7.09
2025-08-24T05:52:44.612Z;46.633964;9.4444027;7.33
2025-08-24T05:52:49.618Z;46.6342362;9.4445927;6.75
2025-08-24T05:52:54.620Z;46.6345099;9.4447694;6.24
2025-08-24T05:52:59.611Z;46.6347402;9.4448297;3.9
2025-08-24T05:53:04.614Z;46.6348709;9.4448257;2.67
2025-08-24T05:53:09.613Z;46.6349395;9.4448866;1.5
2025-08-24T05:53:14.619Z;46.6349814;9.4449143;0.28
2025-08-24T05:53:19.612Z;46.6349804;9.4449142;0.0
2025-08-24T05:53:24.620Z;46.6349804;9.4449142;0.0
2025-08-24T05:53:29.617Z;46.6349804;9.4449142;0.0
2025-08-24T05:53:34.617Z;46.6349804;9.4449142;0.0
2025-08-24T05:53:39.617Z;46.6349804;9.4449142;0.0
2025-08-24T05:53:44.614Z;46.6349804;9.4449142;0.0
2025-08-24T05:53:49.611Z;46.6349804;9.4449142;0.0
2025-08-24T05:53:54.628Z;46.6349805;9.4449142;0.0
2025-08-24T05:53:59.623Z;46.6349805;9.4449142;0.0
2025-08-24T05:54:04.613Z;46.6349983;9.4449258;0.91
2025-08-24T05:54:09.612Z;46.6350263;9.4449404;1.01
2025-08-24T05:54:10.611Z;46.6350469;9.4449565;0.92
2025-08-24T05:54:14.609Z;46.6350752;9.4449909;1.33
2025-08-24T05:54:19.609Z;46.6350969;9.4450445;1.4
2025-08-24T05:54:24.609Z;46.6352281;9.445124;4.39
2025-08-24T05:54:29.611Z;46.6355477;9.4451772;8.38
2025-08-24T05:54:34.611Z;46.6359775;9.4452467;10.17
2025-08-24T05:54:39.612Z;46.6364384;9.4453192;10.55
2025-08-24T05:54:44.612Z;46.6369159;9.4453973;11.26
2025-08-24T05:54:48.610Z;46.6373391;9.4454665;11.54
2025-08-24T05:54:49.609Z;46.6374448;9.4454853;11.51
2025-08-24T05:54:54.629Z;46.6379818;9.4454963;12.58
2025-08-24T05:54:59.616Z;46.6385226;9.445222;12.73
2025-08-24T05:55:04.610Z;46.6390127;9.4448294;12.53
2025-08-24T05:55:09.613Z;46.6394623;9.4444778;9.31
2025-08-24T05:55:14.625Z;46.6396862;9.4442668;3.36
2025-08-24T05:55:19.622Z;46.6396023;9.4440877;3.84
2025-08-24T05:55:24.612Z;46.6392925;9.4439863;8.98
2025-08-24T05:55:29.609Z;46.6387772;9.4437125;13.66
2025-08-24T05:55:34.613Z;46.6381422;9.4431883;18.63
2025-08-24T05:55:38.610Z;46.6376123;9.4426207;18.44
2025-08-24T05:55:39.613Z;46.6374846;9.4424749;18.24
2025-08-24T05:55:44.627Z;46.6368686;9.4417622;17.02
2025-08-24T05:55:49.610Z;46.6363039;9.4410998;15.77
2025-08-24T05:55:54.613Z;46.6357609;9.4405005;14.16
2025-08-24T05:55:59.609Z;46.6351999;9.4400964;14.3
2025-08-24T05:56:04.610Z;46.6346034;9.4399137;12.96
2025-08-24T05:56:09.611Z;46.6340587;9.4399283;11.56
2025-08-24T05:56:14.610Z;46.6335731;9.440095;11.06
2025-08-24T05:56:19.610Z;46.6331056;9.4403803;11.06
2025-08-24T05:56:24.612Z;46.6327576;9.4406122;7.31
2025-08-24T05:56:27.615Z;46.6326224;9.4407711;5.41
2025-08-24T05:56:29.610Z;46.6325634;9.4408372;3.96
2025-08-24T05:56:34.613Z;46.632509;9.4408759;0.06
2025-08-24T05:56:39.610Z;46.6325088;9.4408761;0.0
2025-08-24T05:56:44.610Z;46.6325088;9.4408761;0.0
2025-08-24T05:56:49.610Z;46.6325088;9.4408761;0.0
2025-08-24T05:56:54.612Z;46.6324894;9.4408876;1.24
2025-08-24T05:56:59.610Z;46.6324413;9.440884;1.55
2025-08-24T05:57:04.610Z;46.632307;9.4407435;4.53
2025-08-24T05:57:09.612Z;46.63209;9.4405722;5.74
2025-08-24T05:57:14.611Z;46.6319391;9.4402007;7.12
2025-08-24T05:57:19.612Z;46.6318861;9.4397217;7.56
