time;latitude;longitude;velocity
2025-08-23T17:30:07.808Z;46.9685045;7.3939694;0.0
2025-08-23T17:30:12.818Z;46.9685045;7.3939694;0.0
2025-08-23T17:30:17.809Z;46.9685044;7.3939686;0.0
2025-08-23T17:30:22.818Z;46.9684099;7.3938473;4.24
2025-08-23T17:30:27.808Z;46.9683341;7.3934389;8.08
2025-08-23T17:30:32.825Z;46.9681339;7.3928949;8.94
2025-08-23T17:30:35.812Z;46.9680269;7.3925959;8.77
2025-08-23T17:30:37.812Z;46.9679597;7.3923667;8.69
2025-08-23T17:30:42.814Z;46.9678711;7.391809;8.91
2025-08-23T17:30:47.814Z;46.9678608;7.3912036;9.27
2025-08-23T17:30:52.817Z;46.9678664;7.3905841;9.02
2025-08-23T17:30:57.825Z;46.9678508;7.3899532;9.19
2025-08-23T17:31:02.812Z;46.9678263;7.3893453;9.38
2025-08-23T17:31:07.815Z;46.9678129;7.3888047;6.19
2025-08-23T17:31:12.823Z;46.967814;7.3885968;0.46
2025-08-23T17:31:17.818Z;46.9678145;7.3885884;0.0
2025-08-23T17:31:22.815Z;46.9678147;7.388567;1.85
2025-08-23T17:31:27.814Z;46.9678181;7.3882574;6.41
2025-08-23T17:31:32.812Z;46.9678298;7.3877223;9.24
2025-08-23T17:31:37.808Z;46.9678367;7.3870471;10.13
2025-08-23T17:31:42.814Z;46.9677936;7.3863547;10.0
2025-08-23T17:31:47.818Z;46.9677363;7.3857116;9.27
2025-08-23T17:31:52.814Z;46.9676841;7.3851006;8.94
2025-08-23T17:31:57.817Z;46.9676294;7.3846247;6.49
2025-08-23T17:32:02.810Z;46.9678146;7.3843162;6.38
2025-08-23T17:32:07.808Z;46.9680555;7.3840404;7.46
2025-08-23T17:32:12.818Z;46.9683339;7.3837126;7.33
2025-08-23T17:32:17.828Z;46.968559;7.3833642;7.91
2025-08-23T17:32:22.808Z;46.9686094;7.382836;8.66
2025-08-23T17:32:27.812Z;46.9684878;7.3822439;9.38
2025-08-23T17:32:28.814Z;46.9684593;7.3821172;9.52
2025-08-23T17:32:32.816Z;46.9683574;7.3816657;8.55
2025-08-23T17:32:37.818Z;46.9682753;7.3811069;8.83
2025-08-23T17:32:42.809Z;46.9682186;7.3804858;9.49
2025-08-23T17:32:47.824Z;46.9681622;7.3798859;9.08
2025-08-23T17:32:52.814Z;46.9680995;7.3792677;9.08
2025-08-23T17:32:57.824Z;46.9680306;7.3786845;8.71
2025-08-23T17:33:02.815Z;46.9679945;7.3781373;7.91
2025-08-23T17:33:07.814Z;46.9679505;7.3777012;5.08
2025-08-23T17:33:12.811Z;46.967948;7.377383;4.35
2025-08-23T17:33:17.819Z;46.9677945;7.3773284;3.38
2025-08-23T17:33:22.813Z;46.9676788;7.3776057;4.96
2025-08-23T17:33:27.820Z;46.9675009;7.3778152;4.08
