time;latitude;longitude;velocity
2025-08-23T03:54:08.417Z;47.3277817;7.3425486;0.0
2025-08-23T03:54:12.414Z;47.3277817;7.3425486;0.0
2025-08-23T03:54:17.413Z;47.3277817;7.3425486;0.0
2025-08-23T03:54:22.411Z;47.3277817;7.3425486;0.0
2025-08-23T03:54:27.409Z;47.327777;7.3425646;1.08
2025-08-23T03:54:32.409Z;47.3278082;7.3426582;0.93
2025-08-23T03:54:37.424Z;47.3279671;7.3426961;4.78
2025-08-23T03:54:42.419Z;47.3281723;7.3428567;6.08
2025-08-23T03:54:47.417Z;47.3284074;7.3430588;7.06
2025-08-23T03:54:52.409Z;47.3287497;7.3431362;7.0
2025-08-23T03:54:57.424Z;47.3290259;7.3432664;6.83
2025-08-23T03:55:02.413Z;47.3292068;7.3436986;8.18
2025-08-23T03:55:12.409Z;47.329566;7.3446063;8.34
2025-08-23T03:55:17.409Z;47.3297496;7.3450928;8.4
2025-08-23T03:55:22.422Z;47.3299848;7.3454912;7.96
2025-08-23T03:55:27.408Z;47.3303297;7.3456102;8.0
2025-08-23T03:55:32.413Z;47.3307132;7.3456255;8.91
2025-08-23T03:55:34.415Z;47.330855;7.3456336;8.75
2025-08-23T03:55:37.417Z;47.3310706;7.3458346;9.55
2025-08-23T03:55:42.414Z;47.3313979;7.346374;13.09
2025-08-23T03:55:46.412Z;47.3317603;7.3468319;14.4
2025-08-23T03:55:47.413Z;47.3318474;7.3470136;14.57
2025-08-23T03:55:52.409Z;47.3320637;7.3479401;15.48
2025-08-23T03:55:57.418Z;47.3322702;7.3488789;14.7
2025-08-23T03:56:02.408Z;47.3327412;7.3493961;13.56
2025-08-23T03:56:07.423Z;47.33329;7.3490627;14.26
2025-08-23T03:56:12.408Z;47.333744;7.3482956;15.66
2025-08-23T03:56:17.409Z;47.3341643;7.3474698;16.38
2025-08-23T03:56:22.417Z;47.3346422;7.3467018;16.05
2025-08-23T03:56:27.414Z;47.3352821;7.3463743;15.37
2025-08-23T03:56:32.407Z;47.3358633;7.3460688;13.53
2025-08-23T03:56:34.405Z;47.3360496;7.3458514;13.42
2025-08-23T03:56:37.417Z;47.3362389;7.3453915;13.42
