time;latitude;longitude;velocity
2025-08-28T04:07:14.809Z;46.7816011;6.6396966;0.0
2025-08-28T04:07:15.806Z;46.7816011;6.6396966;0.0
2025-08-28T04:07:19.819Z;46.7816011;6.6396966;0.0
2025-08-28T04:07:24.810Z;46.7816011;6.6396966;0.0
2025-08-28T04:07:29.813Z;46.7816011;6.6396966;0.0
2025-08-28T04:07:34.823Z;46.7816011;6.6396966;0.0
2025-08-28T04:07:39.810Z;46.7816011;6.6396966;0.0
2025-08-28T04:07:44.816Z;46.7816011;6.6396966;0.0
2025-08-28T04:07:49.811Z;46.7816011;6.6396966;0.0
2025-08-28T04:07:54.807Z;46.7816011;6.6396966;0.0
2025-08-28T04:07:59.806Z;46.7816034;6.6396915;0.0
2025-08-28T04:08:04.819Z;46.7816357;6.6395966;2.81
2025-08-28T04:08:09.821Z;46.781703;6.6393565;4.57
2025-08-28T04:08:14.809Z;46.7817893;6.6390602;5.52
2025-08-28T04:08:19.810Z;46.7818638;6.6387546;4.57
2025-08-28T04:08:24.807Z;46.7818727;6.6384782;3.66
2025-08-28T04:08:29.807Z;46.7817937;6.6383051;3.46
2025-08-28T04:08:34.815Z;46.7816556;6.6381392;3.55
2025-08-28T04:08:39.806Z;46.7815018;6.6380398;4.77
2025-08-28T04:08:44.815Z;46.7812487;6.6380662;5.54
2025-08-28T04:08:49.820Z;46.7810194;6.6381276;4.8
2025-08-28T04:08:54.807Z;46.7808321;6.6381596;3.73
2025-08-28T04:08:59.809Z;46.7806378;6.6381087;4.96
2025-08-28T04:09:04.806Z;46.7804911;6.637955;4.15
2025-08-28T04:09:09.816Z;46.780538;6.6376355;4.79
2025-08-28T04:09:14.811Z;46.7806113;6.6373067;5.7
2025-08-28T04:09:19.809Z;46.7806438;6.6369697;4.91
2025-08-28T04:09:24.805Z;46.7806673;6.6366826;4.16
2025-08-28T04:09:29.816Z;46.7805838;6.6364315;4.9
2025-08-28T04:09:34.822Z;46.7804678;6.6360584;6.82
2025-08-28T04:09:39.813Z;46.7803557;6.6356554;7.4
2025-08-28T04:09:44.805Z;46.7802243;6.6351765;7.68
2025-08-28T04:09:49.817Z;46.7801081;6.6347362;7.34
2025-08-28T04:09:54.818Z;46.7799855;6.6342909;6.65
2025-08-28T04:09:59.807Z;46.7798956;6.6339551;5.14
2025-08-28T04:10:04.809Z;46.779818;6.6336671;4.12
2025-08-28T04:10:09.816Z;46.7797276;6.6333724;6.08
2025-08-28T04:10:14.811Z;46.7795713;6.632983;6.87
2025-08-28T04:10:19.808Z;46.7794135;6.6326022;6.79
2025-08-28T04:10:24.811Z;46.779258;6.6322486;6.48
2025-08-28T04:10:29.805Z;46.7791153;6.6318651;7.28
2025-08-28T04:10:34.819Z;46.7790067;6.6313388;8.56
2025-08-28T04:10:39.823Z;46.7789858;6.6307936;8.38
2025-08-28T04:10:44.819Z;46.7789466;6.6302547;8.37
2025-08-28T04:10:49.810Z;46.7789387;6.6297282;8.32
2025-08-28T04:10:54.815Z;46.7789125;6.6291675;8.68
2025-08-28T04:10:59.815Z;46.7789124;6.6286328;8.13
2025-08-28T04:11:04.818Z;46.7789043;6.6281816;6.51
2025-08-28T04:11:09.815Z;46.7788881;6.6276721;7.97
2025-08-28T04:11:14.820Z;46.7788776;6.6272403;5.94
2025-08-28T04:11:19.815Z;46.778871;6.6270229;1.06
2025-08-28T04:11:24.810Z;46.7788701;6.6269997;0.0
2025-08-28T04:11:29.817Z;46.77887;6.6270009;0.0
2025-08-28T04:11:34.822Z;46.7788654;6.6269227;3.14
2025-08-28T04:11:39.821Z;46.7788427;6.6265486;7.31
2025-08-28T04:11:44.804Z;46.7788139;6.6259435;10.03
2025-08-28T04:11:49.807Z;46.7787906;6.6252389;10.85
2025-08-28T04:11:54.810Z;46.7787607;6.624517;11.87
2025-08-28T04:11:57.806Z;46.7787456;6.6240624;12.26
2025-08-28T04:11:59.806Z;46.7787375;6.6237081;12.46
