time;latitude;longitude;velocity
2025-08-27T20:21:28.614Z;47.5416153;7.9494253;0.0
2025-08-27T20:21:33.613Z;47.5416153;7.9494253;0.0
2025-08-27T20:21:38.611Z;47.5416153;7.9494253;0.0
2025-08-27T20:21:43.611Z;47.5416153;7.9494253;0.0
2025-08-27T20:21:48.611Z;47.5416153;7.9494253;0.0
2025-08-27T20:21:53.610Z;47.5416144;7.9493271;2.83
2025-08-27T20:21:58.610Z;47.5416818;7.9491423;3.02
2025-08-27T20:22:03.611Z;47.5417993;7.9490702;2.83
2025-08-27T20:22:08.610Z;47.5417828;7.9493613;4.74
2025-08-27T20:22:13.613Z;47.5416262;7.9497911;8.99
2025-08-27T20:22:18.611Z;47.541409;7.9504632;11.63
2025-08-27T20:22:23.618Z;47.5411916;7.9511719;12.6
2025-08-27T20:22:28.610Z;47.540954;7.9519692;13.75
2025-08-27T20:22:33.611Z;47.5407144;7.9528591;14.33
2025-08-27T20:22:38.611Z;47.5405227;7.9537205;13.3
2025-08-27T20:22:43.611Z;47.5404003;7.9544787;9.96
2025-08-27T20:22:48.615Z;47.5403407;7.9549563;5.38
2025-08-27T20:22:53.611Z;47.5403244;7.9550838;0.1
2025-08-27T20:22:58.611Z;47.5403244;7.9550838;0.0
2025-08-27T20:23:03.611Z;47.5403213;7.9551126;0.99
2025-08-27T20:23:08.612Z;47.5402821;7.9552653;3.1
2025-08-27T20:23:13.612Z;47.5400849;7.9552583;5.71
2025-08-27T20:23:18.611Z;47.5397984;7.9552156;6.69
2025-08-27T20:23:23.615Z;47.5396144;7.9552013;3.13
2025-08-27T20:23:28.615Z;47.5395712;7.9555053;5.69
2025-08-27T20:23:33.611Z;47.5396177;7.9560038;7.71
2025-08-27T20:23:38.611Z;47.5396696;7.9564081;6.52
2025-08-27T20:23:43.611Z;47.5397029;7.9569757;9.58
2025-08-27T20:23:48.611Z;47.5397842;7.9576853;11.44
2025-08-27T20:23:53.611Z;47.539914;7.9584252;11.58
2025-08-27T20:23:58.612Z;47.5400396;7.9590985;10.21
2025-08-27T20:24:03.611Z;47.5401387;7.9596035;6.35
2025-08-27T20:24:08.611Z;47.5400667;7.9598877;4.38
2025-08-27T20:24:13.611Z;47.5398255;7.9600101;6.38
2025-08-27T20:24:18.614Z;47.5395567;7.9601886;6.85
2025-08-27T20:24:23.611Z;47.5393577;7.960583;7.36
2025-08-27T20:24:28.611Z;47.5391544;7.9610096;8.75
2025-08-27T20:24:33.611Z;47.5389933;7.9615056;7.83
2025-08-27T20:24:38.612Z;47.5389631;7.961775;2.24
2025-08-27T20:24:43.613Z;47.5389568;7.9618107;0.0
2025-08-27T20:24:48.611Z;47.5389569;7.9618091;0.0
2025-08-27T20:24:53.614Z;47.538969;7.9618901;2.38
2025-08-27T20:24:58.611Z;47.5391864;7.9619269;5.69
2025-08-27T20:25:03.611Z;47.5395059;7.9621806;9.19
2025-08-27T20:25:05.611Z;47.539615;7.9623545;9.86
2025-08-27T20:25:08.611Z;47.5397771;7.9626597;9.86
2025-08-27T20:25:13.611Z;47.5399691;7.9632295;9.24
2025-08-27T20:25:18.611Z;47.5400658;7.9638557;9.55
2025-08-27T20:25:23.611Z;47.5401342;7.9645149;10.08
2025-08-27T20:25:28.620Z;47.5400306;7.9650923;8.91
2025-08-27T20:25:33.612Z;47.5400415;7.9655833;5.88
2025-08-27T20:25:38.612Z;47.5401539;7.9658031;4.13
