time;latitude;longitude;velocity
2025-08-23T09:16:20.618Z;46.5097825;6.2585667;9.92
2025-08-23T09:16:25.607Z;46.5102211;6.2587219;10.99
2025-08-23T09:16:30.606Z;46.5107038;6.2588896;11.54
2025-08-23T09:16:35.607Z;46.5112149;6.2591053;12.1
2025-08-23T09:16:40.607Z;46.5116919;6.2593901;11.51
2025-08-23T09:16:45.607Z;46.5121076;6.2597495;10.8
2025-08-23T09:16:50.608Z;46.5125427;6.2600505;10.33
2025-08-23T09:16:55.607Z;46.5129218;6.2602183;7.43
2025-08-23T09:17:00.613Z;46.5131621;6.2603116;3.33
2025-08-23T09:17time;latitude;longitude;velocity
2025-08-23T09:16:20.618Z;46.5097825;6.2585667;9.92
2025-08-23T09:16:25.607Z;46.5102211;6.2587219;10.99
2025-08-23T09:16:30.606Z;46.5107038;6.2588896;11.54
2025-08-23T09:16:35.607Z;46.5112149;6.2591053;12.1
2025-08-23T09:16:40.607Z;46.5116919;6.2593901;11.51
2025-08-23T09:16:45.607Z;46.5121076;6.2597495;10.8
2025-08-23T09:16:50.608Z;46.5125427;6.2600505;10.33
2025-08-23T09:16:55.607Z;46.5129218;6.2602183;7.43
2025-08-23T09:17:00.613Z;46.5131621;6.2603116;3.33
2025-08-23T09:17:05.606Z;46.5133255;6.260262;5.12
2025-08-23T09:17:10.607Z;46.5135872;6.2602707;6.0
2025-08-23T09:17:15.617Z;46.5138276;6.2602267;5.16
2025-08-23T09:17:20.615Z;46.5140855;6.260276;5.6
2025-08-23T09:17:25.607Z;46.514245;6.2604219;4.24
2025-08-23T09:17:30.607Z;46.51424;6.260741;4.39
2025-08-23T09:17:35.607Z;46.5140868;6.2608404;3.83
2025-08-23T09:17:40.608Z;46.5139344;6.2607541;3.3
2025-08-23T09:17:45.606Z;46.5138294;6.2607659;0.36
2025-08-23T09:17:50.621Z;46.5138293;6.2607659;0.0
2025-08-23T09:17:55.618Z;46.:05.606Z;46.5133255;6.260262;5.12
2025-08-23T09:17:10.607Z;46.5135872;6.2602707;6.0
2025-08-23T09:17:15.617Z;46.5138276;6.2602267;5.16
