time;latitude;longitude;velocity
2025-08-23T22:04:13.208Z;47.2675948;8.2022055;0.37
2025-08-23T22:04:18.209Z;47.2675264;8.202265;2.27
2025-08-23T22:04:23.209Z;47.2673813;8.2022766;3.53
2025-08-23T22:04:28.208Z;47.2672412;8.2023064;3.04
2025-08-23T22:04:33.208Z;47.2671945;8.202316;0.61
2025-08-23T22:04:38.208Z;47.2671074;8.20235;2.42
2025-08-23T22:04:43.208Z;47.266959;8.2024203;4.37
2025-08-23T22:04:48.209Z;47.2667719;8.2023905;4.34
2025-08-23T22:04:53.209Z;47.2666372;8.2022853;2.68
2025-08-23T22:04:58.208Z;47.2665077;8.2023012;3.35
2025-08-23T22:05:03.208Z;47.2663667;8.2024184;3.06
2025-08-23T22:05:08.209Z;47.2662209;8.202315;4.31
2025-08-23T22:05:13.209Z;47.2660844;8.2019825;6.98
2025-08-23T22:05:18.209Z;47.265886;8.2015359;8.9
2025-08-23T22:05:23.209Z;47.2656613;8.2010203;9.94
2025-08-23T22:05:26.209Z;47.2655372;8.2006913;10.15
2025-08-23T22:05:28.208Z;47.2654386;8.2004644;10.39
2025-08-23T22:05:33.209Z;47.2651799;8.1999077;10.99
2025-08-23T22:05:38.209Z;47.2648949;8.1992737;11.65
2025-08-23T22:05:43.209Z;47.2645922;8.1985906;12.41
2025-08-23T22:05:48.209Z;47.2642946;8.1979201;12.5
2025-08-23T22:05:53.209Z;47.2640161;8.1972278;12.49
2025-08-23T22:05:58.209Z;47.2637331;8.1965625;12.5
2025-08-23T22:06:03.210Z;47.2634068;8.1958954;12.08
2025-08-23T22:06:08.209Z;47.2631509;8.1952653;10.52
2025-08-23T22:06:13.209Z;47.2629649;8.1947601;7.22
2025-08-23T22:06:18.210Z;47.2629026;8.1944793;2.66
2025-08-23T22:06:23.209Z;47.262893;8.1944465;0.0
2025-08-23T22:06:28.209Z;47.262893;8.1944465;0.0
2025-08-23T22:06:33.210Z;47.2628592;8.194357;2.79
2025-08-23T22:06:38.209Z;47.2627524;8.1940157;8.88
2025-08-23T22:06:43.209Z;47.262606;8.193336;12.37
2025-08-23T22:06:48.210Z;47.2624501;8.1925126;13.78
2025-08-23T22:06:53.209Z;47.2622846;8.191628;13.85
2025-08-23T22:06:58.209Z;47.2621309;8.19082;12.51
2025-08-23T22:07:03.210Z;47.2619187;8.1900703;12.49
2025-08-23T22:07:08.209Z;47.2615483;8.189455;12.48
2025-08-23T22:07:13.209Z;47.2610541;8.1890714;12.47
2025-08-23T22:07:18.209Z;47.2606353;8.1886723;11.3
2025-08-23T22:07:23.209Z;47.2604427;8.1879948;10.99
2025-08-23T22:07:28.209Z;47.2602913;8.1873347;10.98
2025-08-23T22:07:33.210Z;47.2600264;8.1866774;11.85
2025-08-23T22:07:38.210Z;47.2597639;8.1860157;12.37
2025-08-23T22:07:43.209Z;47.2594974;8.1853132;12.3
2025-08-23T22:07:48.210Z;47.2592755;8.1845695;12.13
2025-08-23T22:07:53.208Z;47.2591088;8.1838389;12.16
2025-08-23T22:07:58.210Z;47.2589217;8.1830917;12.24
2025-08-23T22:08:03.210Z;47.2587203;8.1823666;11.31
2025-08-23T22:08:08.210Z;47.2585418;8.18175;9.7
2025-08-23T22:08:13.210Z;47.2584091;8.1812823;5.94
2025-08-23T22:08:18.210Z;47.2583349;8.1810212;3.36
2025-08-23T22:08:23.210Z;47.2583133;8.1809463;0.0
2025-08-23T22:08:28.209Z;47.2583133;8.1809463;0.0
2025-08-23T22:08:33.210Z;47.2583135;8.1809464;0.0
2025-08-23T22:08:38.209Z;47.2582494;8.1807726;4.67
2025-08-23T22:08:43.210Z;47.2581556;8.180429;6.66
2025-08-23T22:08:48.210Z;47.2580636;8.1800474;5.49
2025-08-23T22:08:53.209Z;47.2578806;8.1799579;5.02
2025-08-23T22:08:58.210Z;47.257609;8.1801562;8.4
2025-08-23T22:09:03.209Z;47.2572366;8.1804889;10.59
2025-08-23T22:09:08.209Z;47.2568055;8.1809383;11.27
2025-08-23T22:09:13.209Z;47.2564049;8.1813287;11.17
2025-08-23T22:09:18.209Z;47.2559335;8.1815525;11.6
2025-08-23T22:09:23.209Z;47.2554291;8.181846;12.06
2025-08-23T22:09:28.209Z;47.2549819;8.1820992;10.63
2025-08-23T22:09:33.209Z;47.2545936;8.1823169;8.21
2025-08-23T22:09:38.209Z;47.2543881;8.1824273;3.05
2025-08-23T22:09:43.209Z;47.2543347;8.1824594;0.0
2025-08-23T22:09:48.209Z;47.2543347;8.1824594;0.0
2025-08-23T22:09:53.209Z;47.2543346;8.1824599;0.93
2025-08-23T22:09:58.209Z;47.25414;8.1825843;6.68
2025-08-23T22:10:03.209Z;47.2537894;8.1827788;9.73
2025-08-23T22:10:08.210Z;47.2533808;8.1829731;10.07
2025-08-23T22:10:13.208Z;47.2529493;8.1831816;10.15
2025-08-23T22:10:18.210Z;47.2525038;8.1831515;10.76
2025-08-23T22:10:23.208Z;47.2520177;8.1830444;10.9
2025-08-23T22:10:28.210Z;47.2515517;8.18303;9.87
2025-08-23T22:10:32.210Z;47.2512425;8.1829871;7.96
2025-08-23T22:10:33.209Z;47.2511701;8.1829613;7.46
2025-08-23T22:10:35.209Z;47.2510673;8.1829654;6.39
2025-08-23T22:10:38.210Z;47.250889;8.1830616;6.78
2025-08-23T22:10:43.210Z;47.2506091;8.1831727;6.98
2025-08-23T22:10:48.210Z;47.2503615;8.1832861;4.78
2025-08-23T22:10:53.209Z;47.2501885;8.1832905;3.81
2025-08-23T22:10:58.211Z;47.2502648;8.1835351;3.93
2025-08-23T22:11:03.209Z;47.2503059;8.1838241;4.94
2025-08-23T22:11:08.210Z;47.2503211;8.1841421;4.31
2025-08-23T22:11:13.210Z;47.2501248;8.1842202;5.2
2025-08-23T22:11:18.209Z;47.2498591;8.1842584;5.94
2025-08-23T22:11:23.207Z;47.2496415;8.1843267;3.9
2025-08-23T22:11:28.210Z;47.2495526;8.1843616;0.4
2025-08-23T22:11:33.209Z;47.2495525;8.1843617;0.0
2025-08-23T22:11:38.207Z;47.2495525;8.1843617;0.0
2025-08-23T22:11:43.209Z;47.2495291;8.1843717;1.53
2025-08-23T22:11:48.209Z;47.2493726;8.1844531;4.91
2025-08-23T22:11:53.210Z;47.2491529;8.1844831;5.1
2025-08-23T22:11:58.209Z;47.2489841;8.1842702;4.75
2025-08-23T22:12:03.209Z;47.2488278;8.1842396;2.71
2025-08-23T22:12:08.209Z;47.2487211;8.1842109;2.42
2025-08-23T22:12:13.208Z;47.2485715;8.184378;4.97
2025-08-23T22:12:18.209Z;47.2484807;8.184454;0.17
2025-08-23T22:12:23.210Z;47.2483674;8.1844538;4.16
2025-08-23T22:12:28.209Z;47.2483187;8.1846816;3.62
2025-08-23T22:12:33.210Z;47.2484785;8.184913;5.32
2025-08-23T22:12:38.210Z;47.2485535;8.185296;6.03
2025-08-23T22:12:43.210Z;47.2484907;8.1856978;7.27
2025-08-23T22:12:48.208Z;47.2481912;8.1859428;8.36
2025-08-23T22:12:53.210Z;47.2478882;8.1863237;9.3
2025-08-23T22:12:58.210Z;47.2475857;8.1867726;9.99
2025-08-23T22:13:03.210Z;47.2473312;8.1872885;9.69
2025-08-23T22:13:08.207Z;47.2471766;8.1878603;9.75
2025-08-23T22:13:13.209Z;47.2469402;8.1883972;10.02
2025-08-23T22:13:18.211Z;47.2466252;8.1888277;9.28
2025-08-23T22:13:23.210Z;47.2463082;8.1890934;8.29
2025-08-23T22:13:33.209Z;47.2458593;8.1893156;1.86
2025-08-23T22:13:38.208Z;47.2458296;8.1893332;0.0
2025-08-23T22:13:43.210Z;47.24583;8.1893335;0.0
2025-08-23T22:13:48.208Z;47.2457021;8.1894105;5.56
2025-08-23T22:13:53.209Z;47.2454296;8.1896144;7.97
2025-08-23T22:13:56.210Z;47.2452555;8.1898059;8.77
2025-08-23T22:13:58.209Z;47.2451184;8.1899566;9.11
2025-08-23T22:14:03.208Z;47.2447982;8.1903019;8.61
2025-08-23T22:14:08.207Z;47.2445075;8.1906009;7.87
2025-08-23T22:14:13.208Z;47.2442453;8.1908508;6.99
2025-08-23T22:14:18.209Z;47.2440376;8.1910522;3.81
2025-08-23T22:14:23.207Z;47.2438839;8.1908943;5.33
2025-08-23T22:14:28.209Z;47.2437241;8.1905123;7.51
2025-08-23T22:14:33.208Z;47.2435387;8.1900747;8.03
2025-08-23T22:14:38.211Z;47.2434476;8.1895663;7.61
2025-08-23T22:14:43.211Z;47.2434439;8.1891605;6.25
2025-08-23T22:14:48.209Z;47.2434375;8.1888183;4.06
2025-08-23T22:14:53.210Z;47.24343;8.1886699;0.39
2025-08-23T22:14:58.209Z;47.2434296;8.1886487;0.0
2025-08-23T22:15:03.209Z;47.2434296;8.1886486;0.0
2025-08-23T22:15:07.211Z;47.2434296;8.1886486;0.0
2025-08-23T22:15:08.209Z;47.2434296;8.1886486;0.0
2025-08-23T22:15:13.211Z;47.2434296;8.1886486;0.0
2025-08-23T22:15:18.209Z;47.2434296;8.1886486;0.0
2025-08-23T22:15:23.209Z;47.2434296;8.1886486;0.0
2025-08-23T22:15:28.209Z;47.2434296;8.1886486;0.0
2025-08-23T22:15:33.209Z;47.2434296;8.1886486;0.0
2025-08-23T22:15:38.209Z;47.2434296;8.1886486;0.0
2025-08-23T22:15:43.211Z;47.2434296;8.1886486;0.0
2025-08-23T22:15:48.209Z;47.2434296;8.1886486;0.0
2025-08-23T22:15:53.209Z;47.2434296;8.1886486;0.0
2025-08-23T22:15:58.208Z;47.2434296;8.1886486;0.0
2025-08-23T22:16:03.208Z;47.2434296;8.1886486;0.0
2025-08-23T22:16:08.209Z;47.2434296;8.1886486;0.0
2025-08-23T22:16:13.208Z;47.2434296;8.1886486;0.0
2025-08-23T22:16:18.208Z;47.2434296;8.1886486;0.0
2025-08-23T22:16:21.208Z;47.2434296;8.1886486;0.0
2025-08-23T22:16:23.209Z;47.2434271;8.188594;1.9
2025-08-23T22:16:28.209Z;47.2434146;8.1883648;5.05
2025-08-23T22:16:33.209Z;47.243398;8.1879694;6.6
2025-08-23T22:16:38.207Z;47.2433919;8.1875734;5.44
2025-08-23T22:16:43.208Z;47.2434152;8.1872987;3.58
2025-08-23T22:16:48.209Z;47.243393;8.1870596;3.96
2025-08-23T22:16:53.209Z;47.2431745;8.1869519;6.19
2025-08-23T22:16:58.210Z;47.2428832;8.1867864;6.99
2025-08-23T22:17:03.208Z;47.2425786;8.1866763;6.97
2025-08-23T22:17:08.209Z;47.2422734;8.1867286;7.41
2025-08-23T22:17:13.209Z;47.2419653;8.1868558;7.06
2025-08-23T22:17:18.209Z;47.2417409;8.1870484;4.23
2025-08-23T22:17:23.209Z;47.2417237;8.1872848;3.88
2025-08-23T22:17:28.209Z;47.2418076;8.1875709;5.31
2025-08-23T22:17:33.209Z;47.2418606;8.187968;6.2
2025-08-23T22:17:38.209Z;47.2419353;8.1883304;6.0
2025-08-23T22:17:43.210Z;47.2418016;8.1886607;6.29
2025-08-23T22:17:48.209Z;47.2415477;8.1888527;6.88
2025-08-23T22:17:53.209Z;47.2412555;8.1889426;5.68
2025-08-23T22:17:58.209Z;47.2410139;8.1889668;5.76
2025-08-23T22:18:03.209Z;47.2407783;8.1890274;5.48
2025-08-23T22:18:06.209Z;47.2406673;8.1890901;4.04
2025-08-23T22:18:08.209Z;47.2406059;8.1891281;3.07
2025-08-23T22:18:13.208Z;47.2405583;8.1891584;0.0
2025-08-23T22:18:18.209Z;47.2405583;8.1891584;0.0
2025-08-23T22:18:23.208Z;47.2405588;8.1891583;0.0
2025-08-23T22:18:28.209Z;47.2405151;8.1891934;2.31
2025-08-23T22:18:33.209Z;47.2403563;8.1892978;5.16
2025-08-23T22:18:38.208Z;47.240146;8.1894224;4.31
2025-08-23T22:18:43.209Z;47.2400309;8.1895232;3.01
2025-08-23T22:18:48.209Z;47.2399298;8.1896684;3.67
2025-08-23T22:18:53.209Z;47.2396887;8.1897416;6.78
2025-08-23T22:18:58.209Z;47.2393983;8.1898774;7.19
2025-08-23T22:19:03.209Z;47.2390919;8.1900244;7.0
2025-08-23T22:19:08.209Z;47.238829;8.1901521;5.57
2025-08-23T22:19:12.209Z;47.238694;8.1902468;3.99
2025-08-23T22:19:13.209Z;47.238656;8.1902575;3.66
2025-08-23T22:19:18.210Z;47.238538;8.1902604;3.11
2025-08-23T22:19:23.209Z;47.2384634;8.1906224;6.92
2025-08-23T22:19:28.209Z;47.2383696;8.1910691;7.75
2025-08-23T22:19:33.209Z;47.2382367;8.1914595;5.49
2025-08-23T22:19:38.209Z;47.2380807;8.1916455;4.47
2025-08-23T22:19:43.209Z;47.2380029;8.1919275;5.03
2025-08-23T22:19:48.210Z;47.2378599;8.1920933;3.23
2025-08-23T22:19:53.209Z;47.2378821;8.1922859;2.35
2025-08-23T22:19:58.210Z;47.2379418;8.1925148;4.96
2025-08-23T22:20:03.210Z;47.2379229;8.1929938;8.85
2025-08-23T22:20:08.210Z;47.2378269;8.1935655;9.5
2025-08-23T22:20:13.210Z;47.2377484;8.1941214;8.61
2025-08-23T22:20:18.208Z;47.237707;8.1946684;8.09
2025-08-23T22:20:23.210Z;47.2377175;8.1952028;8.69
2025-08-23T22:20:28.209Z;47.2375926;8.1957986;9.78
2025-08-23T22:20:33.209Z;47.2374973;8.1964298;10.67
2025-08-23T22:20:38.207Z;47.237526;8.19712;10.82
2025-08-23T22:20:43.206Z;47.2373221;8.1977586;11.19
2025-08-23T22:20:48.209Z;47.236961;8.1983558;12.8
2025-08-23T22:20:53.209Z;47.2365509;8.1989787;13.84
2025-08-23T22:20:58.208Z;47.2361166;8.1996302;14.61
2025-08-23T22:21:03.208Z;47.2356906;8.2003688;14.68
2025-08-23T22:21:08.209Z;47.2354468;8.2012133;14.57
2025-08-23T22:21:13.209Z;47.2353783;8.2021207;14.6
2025-08-23T22:21:18.209Z;47.2353385;8.2030668;14.74
2025-08-23T22:21:23.210Z;47.2351442;8.2040154;15.76
2025-08-23T22:21:28.209Z;47.2348658;8.2050037;16.49
2025-08-23T22:21:33.209Z;47.2345238;8.205925;16.67
2025-08-23T22:21:38.210Z;47.2341274;8.2067997;15.83
2025-08-23T22:21:43.210Z;47.2337473;8.2076301;14.95
2025-08-23T22:21:48.209Z;47.2333877;8.2084252;13.66
2025-08-23T22:21:53.209Z;47.2330848;8.2090924;12.16
2025-08-23T22:21:58.209Z;47.2328054;8.209714;10.63
2025-08-23T22:22:03.210Z;47.2325757;8.2102189;8.68
2025-08-23T22:22:08.210Z;47.2323945;8.2106154;6.2
2025-08-23T22:22:13.209Z;47.232424;8.2109725;5.19
2025-08-23T22:22:18.210Z;47.2324764;8.2112708;3.75
2025-08-23T22:22:23.209Z;47.2324666;8.2114271;1.72
2025-08-23T22:22:28.210Z;47.2323735;8.2115366;3.59
2025-08-23T22:22:33.210Z;47.2321129;8.211551;7.05
2025-08-23T22:22:38.210Z;47.2317323;8.2115919;10.12
2025-08-23T22:22:43.209Z;47.2312331;8.2115924;12.1
2025-08-23T22:22:48.208Z;47.230766;8.2112349;12.53
2025-08-23T22:22:53.209Z;47.2303142;8.210709;12.2
2025-08-23T22:22:58.208Z;47.2297719;8.2104665;13.94
2025-08-23T22:23:03.209Z;47.229116;8.210332;16.26
2025-08-23T22:23:08.208Z;47.2283389;8.2101756;18.62
2025-08-23T22:23:13.209Z;47.2274958;8.2100101;19.75
2025-08-23T22:23:18.208Z;47.2266582;8.2098179;18.7
