time;latitude;longitude;velocity
2025-08-28T03:51:13.009Z;46.8974549;6.7463681;0.0
2025-08-28T03:51:18.024Z;46.8974235;6.7463678;1.71
2025-08-28T03:51:23.017Z;46.8972151;6.7462825;6.63
2025-08-28T03:51:28.018Z;46.8968786;6.7463223;8.02
2025-08-28T03:51:33.012Z;46.8965967;6.746632;8.83
2025-08-28T03:51:38.005Z;46.8963478;6.7471116;9.74
2025-08-28T03:51:43.022Z;46.895955;6.7473902;9.49
2025-08-28T03:51:48.007Z;46.8955299;6.7473173;10.77
2025-08-28T03:51:53.017Z;46.8950509;6.7470236;11.6
2025-08-28T03:51:58.015Z;46.894635;6.7466022;11.94
2025-08-28T03:52:03.006Z;46.8941537;6.7462287;11.05
2025-08-28T03:52:08.011Z;46.8936779;6.7459963;11.77
2025-08-28T03:52:13.013Z;46.8931739;6.7457499;12.71
2025-08-28T03:52:18.006Z;46.8926266;6.7454078;12.44
2025-08-28T03:52:23.006Z;46.8921055;6.7452026;12.88
2025-08-28T03:52:28.020Z;46.8915371;6.7451593;12.36
2025-08-28T03:52:33.015Z;46.8910393;6.7449175;11.91
2025-08-28T03:52:38.016Z;46.890609;6.7446249;9.74
2025-08-28T03:52:43.018Z;46.8902126;6.7443997;9.27
2025-08-28T03:52:48.016Z;46.889944;6.7443429;4.66
2025-08-28T03:52:52.007Z;46.8897791;6.7446079;7.66
2025-08-28T03:52:53.014Z;46.8897298;6.7446884;7.74
2025-08-28T03:52:58.008Z;46.8894951;6.7450558;7.58
2025-08-28T03:53:03.018Z;46.8892844;6.7454206;6.91
2025-08-28T03:53:08.006Z;46.8890815;6.745665;5.97
2025-08-28T03:53:13.019Z;46.8888583;6.7459096;5.88
2025-08-28T03:53:18.011Z;46.8888083;6.7460385;0.0
2025-08-28T03:53:23.021Z;46.8888091;6.7460407;0.0
2025-08-28T03:53:28.011Z;46.8888089;6.7460406;0.0
2025-08-28T03:53:33.007Z;46.8887735;6.7461939;5.19
2025-08-28T03:53:38.007Z;46.8886893;6.7466277;7.05
2025-08-28T03:53:40.015Z;46.8886539;6.7467574;5.69
2025-08-28T03:53:43.007Z;46.8885754;6.7469217;4.44
2025-08-28T03:53:48.011Z;46.8884573;6.7471423;4.1
2025-08-28T03:53:53.008Z;46.8884375;6.7472714;1.08
2025-08-28T03:53:58.007Z;46.8884652;6.7474395;3.83
2025-08-28T03:54:03.007Z;46.888383;6.7477517;4.86
2025-08-28T03:54:08.008Z;46.8883006;6.7478188;1.05
