time;latitude;longitude;velocity
2025-08-25T08:59:06.403Z;46.2404765;7.8755965;13.97
2025-08-25T08:59:11.411Z;46.2398818;7.8759005;14.77
2025-08-25T08:59:16.416Z;46.2391952;7.8759873;16.14
2025-08-25T08:59:21.406Z;46.238471;7.8760189;16.85
2025-08-25T08:59:26.404Z;46.2377379;7.8760505;16.54
2025-08-25T08:59:31.404Z;46.2370392;7.8758069;16.11
2025-08-25T08:59:36.408Z;46.2364666;7.8752333;15.82
2025-08-25T08:59:41.423Z;46.2359188;7.8745896;15.94
2025-08-25T08:59:46.416Z;46.235317;7.8740907;15.63
2025-08-25T08:59:51.406Z;46.2346307;7.874098;15.75
2025-08-25T08:59:56.411Z;46.2340098;7.8736864;15.9
2025-08-25T09:00:01.406Z;46.2334457;7.8730704;15.34
2025-08-25T09:00:06.418Z;46.2329168;7.872739;13.01
2025-08-25T09:00:11.413Z;46.2323307;7.8726519;13.12
2025-08-25T09:00:16.412Z;46.2317699;7.872311;14.55
2025-08-25T09:00:21.408Z;46.2313344;7.8716188;14.94
2025-08-25T09:00:26.402Z;46.2308835;7.8709913;13.33
2025-08-25T09:00:31.418Z;46.230351;7.8707686;12.21
2025-08-25T09:00:36.403Z;46.2299072;7.8704232;11.47
2025-08-25T09:00:41.421Z;46.2298995;7.869766;10.17
2025-08-25T09:00:46.403Z;46.2300964;7.869387;6.48
2025-08-25T09:00:51.411Z;46.2304369;7.8693313;9.04
2025-08-25T09:00:56.407Z;46.2308505;7.8692563;9.99
2025-08-25T09:01:01.419Z;46.2312661;7.8691513;8.8
2025-08-25T09:01:06.415Z;46.2315296;7.8693176;4.9
2025-08-25T09:01:11.408Z;46.2315838;7.8693401;0.07
2025-08-25T09:01:16.412Z;46.2315847;7.8693398;0.0
2025-08-25T09:01:21.417Z;46.2315847;7.8693398;0.0
2025-08-25T09:01:26.417Z;46.2315847;7.8693398;0.0
2025-08-25T09:01:31.403Z;46.2315847;7.8693398;0.0
2025-08-25T09:01:36.404Z;46.2315847;7.8693398;0.0
2025-08-25T09:01:41.404Z;46.2315847;7.8693398;0.0
2025-08-25T09:01:46.423Z;46.2315847;7.8693398;0.0
2025-08-25T09:01:51.417Z;46.2317049;7.8693636;4.55
2025-08-25T09:01:56.406Z;46.231965;7.8695629;8.28
