time;latitude;longitude;velocity
2025-08-26T02:16:09.016Z;46.327433;8.0213749;3.07
2025-08-26T02:16:14.010Z;46.3272711;8.0211354;6.63
2025-08-26T02:16:19.013Z;46.3270024;8.0209025;6.9
2025-08-26T02:16:24.007Z;46.3267286;8.0206586;7.4
2025-08-26T02:16:29.011Z;46.326413;8.0203918;8.68
2025-08-26T02:16:34.008Z;46.3260546;8.0201764;9.29
2025-08-26T02:16:39.009Z;46.3256498;8.0199065;10.09
2025-08-26T02:16:44.009Z;46.3252654;8.0195652;9.9
2025-08-26T02:16:49.014Z;46.3249018;8.0192329;10.2
2025-08-26T02:16:54.013Z;46.3245022;8.018856;10.8
2025-08-26T02:16:59.019Z;46.3240917;8.0184164;11.16
2025-08-26T02:17:04.018Z;46.3237744;8.0178899;11.64
2025-08-26T02:17:09.014Z;46.323407;8.0173959;11.14
2025-08-26T02:17:14.008Z;46.3229681;8.017161;10.15
2025-08-26T02:17:19.011Z;46.3225202;8.0170792;10.22
2025-08-26T02:17:24.014Z;46.3220933;8.0168829;9.91
2025-08-26T02:17:29.012Z;46.3217023;8.0166393;9.69
2025-08-26T02:17:34.009Z;46.3213631;8.0164982;6.86
2025-08-26T02:17:39.010Z;46.321195;8.016509;0.94
2025-08-26T02:17:44.007Z;46.3211777;8.0165129;0.0
2025-08-26T02:17:49.023Z;46.3211777;8.0165129;0.0
2025-08-26T02:17:54.015Z;46.3211777;8.0165129;0.0
2025-08-26T02:17:59.008Z;46.3211776;8.0165128;0.0
2025-08-26T02:18:04.017Z;46.3210122;8.016596;6.2
2025-08-26T02:18:09.020Z;46.320717;8.016858;9.11
2025-08-26T02:18:14.007Z;46.3203993;8.0172522;9.29
2025-08-26T02:18:19.017Z;46.3200824;8.0176049;9.29
2025-08-26T02:18:24.017Z;46.3197165;8.0178407;8.76
2025-08-26T02:18:29.013Z;46.319338;8.0179089;8.68
2025-08-26T02:18:34.025Z;46.3189592;8.0179202;8.94
2025-08-26T02:18:39.016Z;46.3185561;8.0178969;8.9
2025-08-26T02:18:44.022Z;46.3181829;8.0178742;7.95
2025-08-26T02:18:49.009Z;46.3178649;8.0178551;6.3
2025-08-26T02:18:54.015Z;46.3176585;8.0179492;4.72
2025-08-26T02:18:59.016Z;46.3174414;8.0178565;6.29
2025-08-26T02:19:04.018Z;46.3171348;8.0176216;7.61
2025-08-26T02:19:09.018Z;46.3168483;8.0174074;7.35
2025-08-26T02:19:14.008Z;46.3165344;8.0171582;8.03
2025-08-26T02:19:19.022Z;46.3162099;8.0168424;9.13
2025-08-26T02:19:24.027Z;46.3159002;8.0164694;9.19
2025-08-26T02:19:29.019Z;46.3156049;8.0160562;8.65
2025-08-26T02:19:34.012Z;46.3153775;8.0156687;8.29
2025-08-26T02:19:39.008Z;46.3151693;8.0152411;6.86
2025-08-26T02:19:44.008Z;46.3150561;8.0149388;4.88
2025-08-26T02:19:49.026Z;46.3150148;8.0148237;0.19
2025-08-26T02:19:54.022Z;46.3150135;8.0148194;0.0
2025-08-26T02:19:59.022Z;46.3150135;8.0148194;0.0
2025-08-26T02:20:02.011Z;46.3150135;8.0148194;0.0
2025-08-26T02:20:04.021Z;46.3150134;8.0148194;0.0
2025-08-26T02:20:09.012Z;46.3149681;8.0147236;3.67
2025-08-26T02:20:14.022Z;46.3148422;8.0143723;7.71
2025-08-26T02:20:19.008Z;46.3147279;8.0138497;9.04
2025-08-26T02:20:24.011Z;46.3147364;8.0132452;9.48
2025-08-26T02:20:29.018Z;46.3148627;8.0126819;9.75
2025-08-26T02:20:34.013Z;46.3150585;8.0121083;9.97
2025-08-26T02:20:39.014Z;46.3150959;8.0114684;10.28
2025-08-26T02:20:44.017Z;46.3148568;8.0108488;11.88
2025-08-26T02:20:49.027Z;46.3145631;8.010181;11.86
2025-08-26T02:20:54.012Z;46.3144201;8.0094988;11.8
2025-08-26T02:20:59.008Z;46.3142981;8.0087144;12.1
2025-08-26T02:21:04.024Z;46.3141797;8.0079636;12.41
