time;latitude;longitude;velocity
2025-08-26T14:44:14.407Z;46.6665927;6.7156338;14.46
2025-08-26T14:44:19.408Z;46.667156;6.715798;12.81
2025-08-26T14:44:24.410Z;46.6678553;6.7159721;15.08
2025-08-26T14:44:29.407Z;46.6685751;6.7162868;16.69
2025-08-26T14:44:34.408Z;46.6692844;6.7168778;17.75
2025-08-26T14:44:39.408Z;46.6699663;6.7175401;18.44
2025-08-26T14:44:44.407Z;46.6706891;6.7182317;18.86
2025-08-26T14:44:49.408Z;46.6713806;6.718887;18.63
2025-08-26T14:44:54.410Z;46.6720754;6.7195623;18.43
2025-08-26T14:44:55.408Z;46.672206;6.7196851;18.43
2025-08-26T14:44:59.407Z;46.6727701;6.7201978;18.58
2025-08-26T14:45:04.408Z;46.6735097;6.7208333;18.95
2025-08-26T14:45:09.408Z;46.6742593;6.7214649;19.2
2025-08-26T14:45:14.410Z;46.6749864;6.7222157;19.81
2025-08-26T14:45:19.408Z;46.6756667;6.7231315;20.32
2025-08-26T14:45:24.407Z;46.6762989;6.7240534;20.42
2025-08-26T14:45:29.407Z;46.6768457;6.7248589;18.1
2025-08-26T14:45:34.408Z;46.677172;6.7253449;11.99
2025-08-26T14:45:39.408Z;46.6773771;6.7253545;5.3
2025-08-26T14:45:44.408Z;46.6775213;6.724904;6.58
2025-08-26T14:45:49.409Z;46.6777772;6.7243087;10.61
2025-08-26T14:45:54.407Z;46.6781832;6.7238347;11.67
2025-08-26T14:45:59.408Z;46.6785773;6.7231319;13.37
2025-08-26T14:46:04.408Z;46.6789735;6.7223337;14.95
2025-08-26T14:46:09.407Z;46.67935;6.7215271;15.09
2025-08-26T14:46:14.407Z;46.679683;6.7208186;13.8
2025-08-26T14:46:19.408Z;46.6799339;6.720269;10.5
2025-08-26T14:46:24.408Z;46.6801228;6.72013;5.61
2025-08-26T14:46:29.408Z;46.6803743;6.7201002;5.61
2025-08-26T14:46:34.407Z;46.6804698;6.7199418;4.04
2025-08-26T14:46:39.407Z;46.6804126;6.7198546;2.87
2025-08-26T14:46:44.407Z;46.6803239;6.7197974;1.4
2025-08-26T14:46:49.408Z;46.6803015;6.7197873;1.12
2025-08-26T14:46:54.407Z;46.6803015;6.7197873;0.0
2025-08-26T14:46:59.407Z;46.6802496;6.7197583;0.35
2025-08-26T14:47:04.408Z;46.6801177;6.7196524;3.26
2025-08-26T14:47:09.408Z;46.6800544;6.7196569;2.59
2025-08-26T14:47:14.408Z;46.6800198;6.7197161;0.9
2025-08-26T14:47:19.408Z;46.6800188;6.7198018;1.61
2025-08-26T14:47:24.409Z;46.6799796;6.7200946;2.93
2025-08-26T14:47:29.408Z;46.6798175;6.7204815;6.55
2025-08-26T14:47:34.408Z;46.6795064;6.7211469;11.02
2025-08-26T14:47:39.407Z;46.6791556;6.7218945;13.79
2025-08-26T14:47:44.407Z;46.6787666;6.7227078;14.94
2025-08-26T14:47:49.408Z;46.6783725;6.7234978;15.06
2025-08-26T14:47:54.408Z;46.6780337;6.7239826;13.74
2025-08-26T14:47:59.407Z;46.6776116;6.7245684;11.01
2025-08-26T14:48:04.408Z;46.677426;6.7251819;10.53
