time;latitude;longitude;velocity
2025-08-24T11:02:08.210Z;46.4759191;6.3997804;0.0
2025-08-24T11:02:13.208Z;46.4759191;6.3997804;0.0
2025-08-24T11:02:18.209Z;46.4759191;6.3997804;0.0
2025-08-24T11:02:23.210Z;46.4759191;6.3997804;0.0
2025-08-24T11:02:28.209Z;46.475914;6.3997848;0.0
2025-08-24T11:02:33.210Z;46.4759139;6.3997843;0.0
2025-08-24T11:02:38.209Z;46.4759139;6.3997843;0.0
2025-08-24T11:02:43.209Z;46.4759139;6.3997843;0.0
2025-08-24T11:02:48.209Z;46.4759139;6.3997843;0.0
2025-08-24T11:02:53.209Z;46.4759139;6.3997843;0.0
2025-08-24T11:02:58.209Z;46.4759146;6.3997837;0.0
2025-08-24T11:03:02.209Z;46.4759146;6.3997834;0.0
2025-08-24T11:03:03.209Z;46.4759146;6.3997834;0.0
2025-08-24T11:03:08.209Z;46.4759548;6.3998511;2.19
2025-08-24T11:03:13.209Z;46.4760684;6.3999959;4.11
2025-08-24T11:03:18.210Z;46.4761493;6.4003318;6.2
2025-08-24T11:03:21.209Z;46.4762016;6.4005735;6.65
2025-08-24T11:03:23.209Z;46.4762362;6.4007228;5.72
2025-08-24T11:03:28.210Z;46.4762743;6.4010095;4.01
2025-08-24T11:03:33.208Z;46.4763565;6.4011598;3.15
2025-08-24T11:03:38.210Z;46.4764985;6.4009578;4.56
2025-08-24T11:03:43.210Z;46.4767314;6.4006691;8.17
2025-08-24T11:03:48.209Z;46.4770252;6.400277;9.16
2025-08-24T11:03:53.210Z;46.4773308;6.4000409;6.61
2025-08-24T11:03:58.210Z;46.4775383;6.3998182;6.26
2025-08-24T11:04:03.209Z;46.4777949;6.399565;7.78
2025-08-24T11:04:08.210Z;46.4781342;6.3994073;7.97
2025-08-24T11:04:13.209Z;46.4784491;6.3992857;7.57
2025-08-24T11:04:18.209Z;46.4788053;6.3991856;8.82
2025-08-24T11:04:23.209Z;46.4792199;6.3992144;9.39
2025-08-24T11:04:28.210Z;46.4796149;6.3993538;9.04
2025-08-24T11:04:33.209Z;46.48002;6.3995271;10.08
2025-08-24T11:04:38.209Z;46.4804515;6.3998727;11.73
2025-08-24T11:04:39.209Z;46.4805367;6.3999627;11.95
2025-08-24T11:04:43.209Z;46.4808633;6.4003653;11.97
2025-08-24T11:04:48.209Z;46.4811994;6.4009516;11.63
2025-08-24T11:04:50.210Z;46.4813101;6.401197;11.32
2025-08-24T11:04:53.209Z;46.4814559;6.4015532;10.47
2025-08-24T11:04:58.209Z;46.4816064;6.4019786;4.53
2025-08-24T11:05:03.209Z;46.4816787;6.4022208;4.08
2025-08-24T11:05:08.209Z;46.481848;6.4021009;4.56
2025-08-24T11:05:13.210Z;46.4821174;6.4019328;7.65
2025-08-24T11:05:18.209Z;46.4824778;6.4016789;9.72
2025-08-24T11:05:23.209Z;46.482917;6.4014224;11.39
2025-08-24T11:05:28.210Z;46.4834475;6.4011933;13.23
2025-08-24T11:05:33.210Z;46.4840482;6.4009378;14.66
2025-08-24T11:05:38.209Z;46.4846637;6.4006809;13.94
2025-08-24T11:05:40.210Z;46.484897;6.4005893;13.39
2025-08-24T11:05:43.209Z;46.4852295;6.4004694;12.6
2025-08-24T11:05:48.210Z;46.4857628;6.4002225;12.83
2025-08-24T11:05:53.209Z;46.4863425;6.3999759;14.04
2025-08-24T11:05:58.210Z;46.4869846;6.3997754;15.18
2025-08-24T11:06:03.209Z;46.4876461;6.3996272;14.66
2025-08-24T11:06:08.209Z;46.4882167;6.3995125;10.74
2025-08-24T11:06:13.209Z;46.4885297;6.3995366;5.02
2025-08-24T11:06:18.210Z;46.4887094;6.399425;3.92
2025-08-24T11:06:23.209Z;46.4888501;6.3994067;2.61
2025-08-24T11:06:28.209Z;46.4888716;6.399402;0.02
2025-08-24T11:06:33.210Z;46.4888716;6.399402;0.0
2025-08-24T11:06:38.209Z;46.4888803;6.3994028;0.08
2025-08-24T11:06:43.211Z;46.4890368;6.3993219;6.15
2025-08-24T11:06:48.210Z;46.4894154;6.3992461;9.9
2025-08-24T11:06:53.209Z;46.4898882;6.3991334;11.32
2025-08-24T11:06:58.209Z;46.4903251;6.3987644;12.05
2025-08-24T11:07:03.210Z;46.4905936;6.3980635;12.47
2025-08-24T11:07:08.209Z;46.4908398;6.3973479;12.47
2025-08-24T11:07:13.209Z;46.491182;6.3966916;12.99
2025-08-24T11:07:18.210Z;46.491542;6.3960377;12.82
2025-08-24T11:07:23.209Z;46.4918837;6.3954073;12.39
2025-08-24T11:07:28.209Z;46.4922691;6.3948949;11.45
2025-08-24T11:07:33.209Z;46.4926046;6.3945017;7.52
2025-08-24T11:07:38.209Z;46.4927606;6.3943216;3.38
2025-08-24T11:07:43.209Z;46.4929475;6.3940783;7.57
2025-08-24T11:07:48.210Z;46.4933172;6.3937603;10.1
2025-08-24T11:07:53.209Z;46.4935816;6.3934764;5.58
2025-08-24T11:07:58.210Z;46.4936456;6.3933541;2.82
2025-08-24T11:08:03.210Z;46.4938392;6.393234;5.74
2025-08-24T11:08:08.209Z;46.4940975;6.3931038;5.97
2025-08-24T11:08:13.209Z;46.4941478;6.3928822;2.33
2025-08-24T11:08:18.210Z;46.4940222;6.3929097;2.45
2025-08-24T11:08:23.209Z;46.4939196;6.393053;2.63
2025-08-24T11:08:28.210Z;46.4938754;6.3930742;0.07
2025-08-24T11:08:33.210Z;46.493875;6.3930742;0.0
2025-08-24T11:08:38.209Z;46.493875;6.3930742;0.0
2025-08-24T11:08:43.211Z;46.493875;6.3930742;0.0
2025-08-24T11:08:48.210Z;46.493875;6.3930742;0.0
2025-08-24T11:08:53.210Z;46.493875;6.3930742;0.0
2025-08-24T11:08:58.210Z;46.493875;6.3930742;0.0
2025-08-24T11:09:03.210Z;46.493875;6.3930742;0.0
2025-08-24T11:09:08.209Z;46.493875;6.3930742;0.0
2025-08-24T11:09:13.209Z;46.493875;6.3930742;0.0
2025-08-24T11:09:18.210Z;46.493875;6.3930742;0.0
2025-08-24T11:09:23.210Z;46.493875;6.3930742;0.0
2025-08-24T11:09:28.210Z;46.493875;6.3930742;0.0
2025-08-24T11:09:33.210Z;46.493875;6.3930742;0.0
2025-08-24T11:09:38.210Z;46.493875;6.3930742;0.0
2025-08-24T11:09:43.210Z;46.493875;6.3930742;0.0
2025-08-24T11:09:48.211Z;46.493875;6.3930742;0.0
2025-08-24T11:09:53.209Z;46.493875;6.3930742;0.0
2025-08-24T11:09:58.210Z;46.493875;6.3930742;0.0
2025-08-24T11:10:03.211Z;46.493875;6.3930742;0.0
2025-08-24T11:10:08.209Z;46.493875;6.3930742;0.0
2025-08-24T11:10:13.210Z;46.493875;6.3930742;0.0
2025-08-24T11:10:18.210Z;46.493875;6.3930742;0.0
2025-08-24T11:10:23.209Z;46.493875;6.3930742;0.0
2025-08-24T11:10:28.210Z;46.4937586;6.3930815;3.6
2025-08-24T11:10:33.210Z;46.4936186;6.3930543;2.85
2025-08-24T11:10:38.210Z;46.4935032;6.3927943;6.06
2025-08-24T11:10:43.210Z;46.4932583;6.3924124;9.45
2025-08-24T11:10:48.210Z;46.4931016;6.3917224;12.36
2025-08-24T11:10:53.210Z;46.4929599;6.3909426;12.7
2025-08-24T11:10:58.210Z;46.4928187;6.390159;11.99
2025-08-24T11:11:03.210Z;46.4927718;6.3896507;5.65
2025-08-24T11:11:04.210Z;46.4927913;6.389586;5.01
2025-08-24T11:11:08.209Z;46.4927024;6.3893366;6.18
2025-08-24T11:11:13.210Z;46.4925766;6.3888518;8.91
2025-08-24T11:11:18.210Z;46.4924549;6.3882545;10.35
2025-08-24T11:11:23.209Z;46.4923256;6.3875694;10.92
2025-08-24T11:11:24.210Z;46.4923003;6.3874319;10.84
2025-08-24T11:11:28.210Z;46.4922601;6.3868802;10.94
2025-08-24T11:11:33.210Z;46.4924441;6.3862131;11.54
2025-08-24T11:11:38.210Z;46.4927527;6.3856245;11.44
2025-08-24T11:11:43.211Z;46.4931919;6.3853012;10.67
2025-08-24T11:11:48.210Z;46.4934974;6.3851349;4.65
2025-08-24T11:11:53.210Z;46.4935627;6.3850956;0.05
2025-08-24T11:11:54.210Z;46.4935627;6.3850956;0.02
2025-08-24T11:11:58.210Z;46.4935627;6.3850956;0.0
2025-08-24T11:12:03.210Z;46.493596;6.3850799;2.65
2025-08-24T11:12:08.211Z;46.4938389;6.3848971;8.53
2025-08-24T11:12:13.211Z;46.4942786;6.3846235;11.95
2025-08-24T11:12:18.211Z;46.4948225;6.3843078;13.96
2025-08-24T11:12:20.210Z;46.49503;6.3841223;14.04
2025-08-24T11:12:23.211Z;46.4953174;6.383831;12.66
2025-08-24T11:12:28.211Z;46.4956127;6.3834522;6.26
2025-08-24T11:12:33.211Z;46.495708;6.3831699;4.38
2025-08-24T11:12:38.210Z;46.4957587;6.3829154;4.11
2025-08-24T11:12:43.211Z;46.4957928;6.3825993;5.51
2025-08-24T11:12:48.211Z;46.4957001;6.3821153;9.2
2025-08-24T11:12:53.211Z;46.4955388;6.3814591;11.95
2025-08-24T11:12:58.212Z;46.495353;6.3806566;13.82
2025-08-24T11:13:02.210Z;46.4954791;6.379956;14.84
2025-08-24T11:13:03.210Z;46.4955414;6.3797779;15.25
2025-08-24T11:13:08.209Z;46.4958855;6.3788299;17.32
2025-08-24T11:13:13.211Z;46.4962618;6.3778115;17.63
2025-08-24T11:13:18.210Z;46.4967324;6.3769569;16.7
2025-08-24T11:13:23.210Z;46.4971546;6.3761727;15.13
2025-08-24T11:13:28.210Z;46.4973396;6.3752625;14.7
2025-08-24T11:13:33.210Z;46.497518;6.3743499;14.78
2025-08-24T11:13:38.210Z;46.497699;6.3734314;15.07
2025-08-24T11:13:43.211Z;46.497985;6.3725524;15.32
2025-08-24T11:13:48.210Z;46.4983594;6.3718017;12.77
2025-08-24T11:13:53.210Z;46.4986748;6.3713442;8.55
2025-08-24T11:13:58.210Z;46.4988602;6.3708276;9.63
2025-08-24T11:14:03.210Z;46.4990849;6.3702039;12.03
2025-08-24T11:14:08.210Z;46.4992248;6.3693599;14.43
2025-08-24T11:14:13.211Z;46.4993133;6.3683945;15.69
2025-08-24T11:14:18.210Z;46.4991905;6.3674142;14.83
2025-08-24T11:14:23.210Z;46.4990605;6.3666688;10.17
2025-08-24T11:14:28.210Z;46.4988687;6.366248;6.28
2025-08-24T11:14:33.210Z;46.4986814;6.3660021;5.9
2025-08-24T11:14:38.211Z;46.4984547;6.3657361;7.33
2025-08-24T11:14:43.211Z;46.4982427;6.3653193;8.29
