time;latitude;longitude;velocity
2025-08-24T10:05:15.027Z;46.2278234;7.3584172;0.0
2025-08-24T10:05:20.025Z;46.2278242;7.3584191;0.0
2025-08-24T10:05:25.023Z;46.227824;7.3584191;0.0
2025-08-24T10:05:27.028Z;46.227824;7.3584191;0.0
2025-08-24T10:05:30.011Z;46.227824;7.3584191;0.0
2025-08-24T10:05:35.010Z;46.227824;7.3584191;0.0
2025-08-24T10:05:40.021Z;46.2278239;7.3584191;0.0
2025-08-24T10:05:45.018Z;46.2278239;7.358419;0.0
2025-08-24T10:05:50.009Z;46.2278239;7.358419;0.0
2025-08-24T10:05:55.027Z;46.2278239;7.3584189;0.0
2025-08-24T10:06:00.009Z;46.2278239;7.3584189;0.0
2025-08-24T10:06:05.009Z;46.2278239;7.3584188;0.0
2025-08-24T10:06:09.016Z;46.2278239;7.3584187;0.0
2025-08-24T10:06:10.016Z;46.2278239;7.3584187;0.0
2025-08-24T10:06:15.008Z;46.2278239;7.3584187;0.0
2025-08-24T10:06:20.017Z;46.2278238;7.3584186;0.0
2025-08-24T10:06:25.015Z;46.2278238;7.3584186;0.0
2025-08-24T10:06:30.021Z;46.2278238;7.3584185;0.0
2025-08-24T10:06:35.022Z;46.2278138;7.3584597;1.38
2025-08-24T10:06:40.012Z;46.2277437;7.3585279;2.6
2025-08-24T10:06:45.025Z;46.2276072;7.3585669;3.13
2025-08-24T10:06:50.020Z;46.227529;7.358746;2.85
2025-08-24T10:06:55.024Z;46.2275681;7.3589443;2.8
2025-08-24T10:07:00.017Z;46.2276261;7.3591485;3.52
2025-08-24T10:07:05.019Z;46.2277045;7.3593303;3.05
2025-08-24T10:07:10.017Z;46.2278452;7.3594086;2.83
2025-08-24T10:07:15.008Z;46.2279412;7.3593733;1.96
2025-08-24T10:07:20.011Z;46.2279878;7.3593439;0.97
2025-08-24T10:07:25.015Z;46.2280163;7.3593319;0.0
2025-08-24T10:07:30.017Z;46.2280163;7.3593318;0.0
2025-08-24T10:07:35.023Z;46.2280248;7.3593291;0.88
2025-08-24T10:07:40.020Z;46.2281242;7.3593157;2.8
2025-08-24T10:07:45.012Z;46.2281831;7.3594985;3.05
2025-08-24T10:07:50.020Z;46.2282366;7.3597816;5.27
2025-08-24T10:07:55.016Z;46.2283354;7.3601572;6.63
2025-08-24T10:08:00.010Z;46.2284369;7.3606034;7.24
2025-08-24T10:08:05.009Z;46.2285262;7.3610289;7.02
2025-08-24T10:08:08.021Z;46.2285812;7.3613056;7.44
2025-08-24T10:08:10.017Z;46.2286172;7.3614921;7.44
2025-08-24T10:08:15.017Z;46.2287006;7.3619398;6.69
2025-08-24T10:08:20.026Z;46.2287782;7.3623523;6.52
2025-08-24T10:08:25.013Z;46.2288946;7.3627264;5.91
2025-08-24T10:08:30.008Z;46.2290326;7.3630508;6.02
2025-08-24T10:08:35.015Z;46.229147;7.363385;5.58
2025-08-24T10:08:40.013Z;46.2292506;7.3636773;4.24
2025-08-24T10:08:45.008Z;46.2293422;7.3639138;3.99
2025-08-24T10:08:50.023Z;46.2294146;7.3640963;2.77
2025-08-24T10:08:55.021Z;46.2294514;7.3641893;1.63
2025-08-24T10:09:00.017Z;46.2294823;7.3642604;0.0
2025-08-24T10:09:05.023Z;46.2295046;7.3643107;2.22
2025-08-24T10:09:10.016Z;46.2295067;7.3645132;3.61
2025-08-24T10:09:15.013Z;46.2293342;7.3646778;5.66
2025-08-24T10:09:20.011Z;46.2290609;7.3649268;7.99
2025-08-24T10:09:25.013Z;46.2287785;7.3653432;9.1
2025-08-24T10:09:30.007Z;46.2286549;7.3659028;9.38
2025-08-24T10:09:35.008Z;46.2287371;7.366523;9.91
2025-08-24T10:09:40.012Z;46.2288847;7.3671346;10.71
2025-08-24T10:09:43.015Z;46.2289418;7.3675216;10.13
2025-08-24T10:09:45.017Z;46.2289476;7.367802;9.58
2025-08-24T10:09:50.008Z;46.2288816;7.368338;6.77
2025-08-24T10:09:55.013Z;46.2287806;7.3686718;4.8
2025-08-24T10:10:00.015Z;46.2286732;7.3688882;3.52
2025-08-24T10:10:05.013Z;46.2286566;7.3691371;4.88
2025-08-24T10:10:10.019Z;46.2285425;7.3694905;7.83
2025-08-24T10:10:15.011Z;46.2283662;7.3700291;9.46
2025-08-24T10:10:20.008Z;46.2281948;7.3705628;8.61
2025-08-24T10:10:22.019Z;46.2281265;7.3707712;8.44
2025-08-24T10:10:25.026Z;46.2280437;7.3710476;7.94
2025-08-24T10:10:30.018Z;46.2278539;7.3714302;6.8
2025-08-24T10:10:35.014Z;46.2275963;7.37162;5.3
2025-08-24T10:10:40.027Z;46.2274351;7.3717338;3.35
2025-08-24T10:10:45.014Z;46.2273668;7.3717853;1.02
2025-08-24T10:10:50.026Z;46.2273412;7.3718082;0.0
2025-08-24T10:10:55.019Z;46.2273412;7.3718082;0.0
2025-08-24T10:11:00.022Z;46.2273412;7.3718082;0.0
2025-08-24T10:11:05.022Z;46.2273412;7.3718082;0.0
2025-08-24T10:11:10.023Z;46.2273412;7.3718082;0.0
2025-08-24T10:11:14.012Z;46.2273412;7.3718082;0.0
2025-08-24T10:11:15.019Z;46.2273412;7.3718082;0.0
2025-08-24T10:11:20.019Z;46.2273411;7.3718082;0.0
2025-08-24T10:11:25.008Z;46.2273411;7.3718082;0.0
2025-08-24T10:11:30.023Z;46.2273411;7.3718082;0.0
2025-08-24T10:11:35.012Z;46.2273219;7.3718277;1.74
2025-08-24T10:11:40.017Z;46.2271486;7.3719924;6.11
2025-08-24T10:11:45.017Z;46.2268405;7.372223;9.3
2025-08-24T10:11:50.013Z;46.2264909;7.3725034;8.99
2025-08-24T10:11:55.022Z;46.2261682;7.3727515;6.91
2025-08-24T10:12:00.010Z;46.2258962;7.3729671;6.74
2025-08-24T10:12:05.016Z;46.2256253;7.373058;5.97
2025-08-24T10:12:10.019Z;46.2254027;7.3730974;4.16
2025-08-24T10:12:15.007Z;46.2253545;7.3733786;4.44
2025-08-24T10:12:20.023Z;46.2251561;7.3735549;6.41
2025-08-24T10:12:25.017Z;46.2248487;7.3738186;9.49
