time;latitude;longitude;velocity
2025-08-24T04:44:14.609Z;47.4658822;9.5674233;0.0
2025-08-24T04:44:19.607Z;47.4658819;9.5674231;0.0
2025-08-24T04:44:24.607Z;47.4658378;9.5674841;2.66
2025-08-24T04:44:29.609Z;47.4657194;9.5676839;5.24
2025-08-24T04:44:34.607Z;47.4654479;9.5678702;7.27
2025-08-24T04:44:35.609Z;47.4654015;9.5678994;7.46
2025-08-24T04:44:39.607Z;47.4651751;9.5681483;7.3
2025-08-24T04:44:44.606Z;47.4651002;9.5682546;0.52
2025-08-24T04:44:49.607Z;47.4650989;9.5682591;0.1
2025-08-24T04:44:54.606Z;47.4650987;9.5682598;0.0
2025-08-24T04:44:59.607Z;47.4650506;9.56835;3.52
2025-08-24T04:45:04.610Z;47.4648602;9.5685824;6.83
2025-08-24T04:45:06.607Z;47.4647667;9.5687124;7.13
2025-08-24T04:45:09.608Z;47.4646385;9.5689656;7.66
2025-08-24T04:45:14.607Z;47.464479;9.5694419;8.21
2025-08-24T04:45:19.607Z;47.4645353;9.5700874;10.88
2025-08-24T04:45:24.607Z;47.4646499;9.5707672;10.27
2025-08-24T04:45:29.607Z;47.4649867;9.5713648;12.8
2025-08-24T04:45:34.607Z;47.4653786;9.5719938;12.3
2025-08-24T04:45:39.608Z;47.465712;9.5724897;9.52
2025-08-24T04:45:44.607Z;47.4659073;9.5728072;2.44
2025-08-24T04:45:49.607Z;47.4659187;9.5728218;0.0
2025-08-24T04:45:54.607Z;47.4659187;9.5728218;0.0
2025-08-24T04:45:59.607Z;47.4659755;9.5728985;3.66
2025-08-24T04:46:04.608Z;47.4662095;9.5731885;8.63
2025-08-24T04:46:09.611Z;47.4665092;9.573702;12.1
2025-08-24T04:46:14.607Z;47.4666767;9.5745286;13.47
2025-08-24T04:46:19.610Z;47.4666136;9.5754021;13.94
2025-08-24T04:46:24.607Z;47.4665034;9.5763529;13.88
2025-08-24T04:46:29.606Z;47.4664853;9.5772597;14.27
2025-08-24T04:46:34.606Z;47.4664963;9.5782171;14.27
2025-08-24T04:46:39.606Z;47.4665045;9.5791805;13.77
2025-08-24T04:46:44.606Z;47.4665146;9.5800544;13.35
2025-08-24T04:46:49.607Z;47.466539;9.5809441;13.3
2025-08-24T04:46:54.608Z;47.4666292;9.5818013;13.33
2025-08-24T04:46:59.607Z;47.4667349;9.5826703;13.08
2025-08-24T04:47:04.608Z;47.4668391;9.5835303;12.77
2025-08-24T04:47:08.607Z;47.4668971;9.5841737;12.46
2025-08-24T04:47:09.607Z;47.4669118;9.5843393;12.33
2025-08-24T04:47:14.606Z;47.4669737;9.5851379;11.85
2025-08-24T04:47:19.611Z;47.4670415;9.5859475;12.08
2025-08-24T04:47:20.608Z;47.4670544;9.5861165;12.19
2025-08-24T04:47:24.608Z;47.4671173;9.5867568;12.3
2025-08-24T04:47:29.607Z;47.4671927;9.5875333;11.88
2025-08-24T04:47:30.608Z;47.4672083;9.5877043;11.83
2025-08-24T04:47:34.607Z;47.4672641;9.5883063;11.35
2025-08-24T04:47:38.608Z;47.4673095;9.5888365;8.66
2025-08-24T04:47:39.607Z;47.4673153;9.5889376;7.91
2025-08-24T04:47:44.607Z;47.467504;9.5893817;8.08
2025-08-24T04:47:48.607Z;47.4676446;9.5896985;5.49
2025-08-24T04:47:49.610Z;47.4676587;9.5897308;3.75
2025-08-24T04:47:54.607Z;47.4676932;9.5898748;2.3
2025-08-24T04:47:59.607Z;47.4675316;9.5899891;4.49
2025-08-24T04:48:04.607Z;47.4674765;9.5902043;2.58
2025-08-24T04:48:09.608Z;47.4676296;9.5902156;3.1
2025-08-24T04:48:14.607Z;47.4678219;9.5900657;4.74
2025-08-24T04:48:19.607Z;47.4679761;9.5899615;2.36
2025-08-24T04:48:22.607Z;47.4680019;9.5899435;0.71
2025-08-24T04:48:24.609Z;47.468007;9.5899395;0.05
2025-08-24T04:48:29.618Z;47.468007;9.5899395;0.0
2025-08-24T04:48:34.617Z;47.468007;9.5899395;0.0
2025-08-24T04:48:39.609Z;47.468007;9.5899395;0.0
2025-08-24T04:48:44.611Z;47.468007;9.5899395;0.0
2025-08-24T04:48:49.608Z;47.468007;9.5899395;0.0
2025-08-24T04:48:54.608Z;47.468007;9.5899395;0.0
2025-08-24T04:48:59.608Z;47.468007;9.5899395;0.0
2025-08-24T04:49:04.617Z;47.468007;9.5899395;0.0
2025-08-24T04:49:09.611Z;47.468007;9.5899395;0.0
2025-08-24T04:49:14.607Z;47.468007;9.5899395;0.0
2025-08-24T04:49:19.607Z;47.468007;9.5899395;0.0
2025-08-24T04:49:24.608Z;47.468007;9.5899395;0.0
2025-08-24T04:49:29.606Z;47.468007;9.5899395;0.0
2025-08-24T04:49:34.607Z;47.468007;9.5899395;0.0
2025-08-24T04:49:39.608Z;47.468007;9.5899395;0.0
2025-08-24T04:49:44.607Z;47.468007;9.5899395;0.0
2025-08-24T04:49:49.610Z;47.468007;9.5899395;0.0
2025-08-24T04:49:54.612Z;47.468007;9.5899395;0.0
2025-08-24T04:49:59.609Z;47.468007;9.5899395;0.0
2025-08-24T04:50:04.606Z;47.468007;9.5899395;0.0
2025-08-24T04:50:08.611Z;47.468007;9.5899395;0.0
2025-08-24T04:50:09.618Z;47.468007;9.5899395;0.0
2025-08-24T04:50:14.606Z;47.468007;9.5899395;0.0
2025-08-24T04:50:19.606Z;47.468007;9.5899395;0.0
2025-08-24T04:50:24.609Z;47.468007;9.5899395;0.0
2025-08-24T04:50:29.607Z;47.468007;9.5899395;0.0
2025-08-24T04:50:34.606Z;47.468007;9.5899395;0.0
2025-08-24T04:50:38.608Z;47.468007;9.5899395;0.0
2025-08-24T04:50:39.608Z;47.468007;9.5899395;0.0
2025-08-24T04:50:44.606Z;47.468007;9.5899395;0.0
2025-08-24T04:50:49.606Z;47.468007;9.5899395;0.0
2025-08-24T04:50:54.623Z;47.468007;9.5899395;0.0
2025-08-24T04:50:59.609Z;47.468007;9.5899395;0.0
2025-08-24T04:51:04.608Z;47.468007;9.5899395;0.0
2025-08-24T04:51:09.608Z;47.468007;9.5899395;0.0
2025-08-24T04:51:14.608Z;47.468007;9.5899395;0.0
2025-08-24T04:51:19.621Z;47.468007;9.5899395;0.0
2025-08-24T04:51:24.618Z;47.468007;9.5899395;0.0
2025-08-24T04:51:29.607Z;47.468007;9.5899395;0.0
2025-08-24T04:51:33.607Z;47.468007;9.5899395;0.0
2025-08-24T04:51:34.607Z;47.468007;9.5899395;0.0
2025-08-24T04:51:39.609Z;47.468007;9.5899395;0.0
2025-08-24T04:51:44.609Z;47.468007;9.5899395;0.0
2025-08-24T04:51:49.626Z;47.468007;9.5899395;0.0
2025-08-24T04:51:54.608Z;47.468007;9.5899395;0.0
2025-08-24T04:51:59.607Z;47.468007;9.5899395;0.0
2025-08-24T04:52:04.609Z;47.468007;9.5899395;0.0
