time;latitude;longitude;velocity
2025-08-25T19:04:19.008Z;47.3699246;7.2832985;13.05
2025-08-25T19:04:24.009Z;47.370206;7.2840555;12.98
2025-08-25T19:04:29.010Z;47.370431;7.2848115;12.13
2025-08-25T19:04:34.018Z;47.3706021;7.2855093;10.22
2025-08-25T19:04:39.007Z;47.3707171;7.2860636;7.84
2025-08-25T19:04:44.019Z;47.3709392;7.2861613;5.58
2025-08-25T19:04:49.011Z;47.3710021;7.2856821;8.44
2025-08-25T19:04:54.015Z;47.370924;7.2850063;12.03
2025-08-25T19:04:59.008Z;47.3708781;7.2841497;13.92
2025-08-25T19:05:04.015Z;47.3708555;7.2832466;14.5
2025-08-25T19:05:09.008Z;47.3708343;7.2822879;14.58
2025-08-25T19:05:14.013Z;47.370806;7.2813424;14.31
2025-08-25T19:05:19.012Z;47.3708331;7.2803856;15.19
2025-08-25T19:05:24.018Z;47.3709071;7.2794188;14.78
2025-08-25T19:05:29.009Z;47.3707616;7.2784347;15.57
2025-08-25T19:05:34.017Z;47.3706234;7.2774341;15.73
2025-08-25T19:05:39.016Z;47.3705235;7.2764594;14.05
2025-08-25T19:05:44.009Z;47.3704466;7.2756518;11.63
2025-08-25T19:05:49.014Z;47.3704517;7.2750377;8.54
2025-08-25T19:05:54.019Z;47.3707835;7.2748947;9.36
2025-08-25T19:05:59.027Z;47.3711166;7.2754265;11.87
2025-08-25T19:06:04.016Z;47.3715017;7.2758219;11.16
2025-08-25T19:06:09.010Z;47.3719418;7.2754956;12.46
2025-08-25T19:06:14.019Z;47.3722293;7.274795;13.12
2025-08-25T19:06:19.014Z;47.3726465;7.2741669;13.27
2025-08-25T19:06:24.027Z;47.3730623;7.2737196;11.04
2025-08-25T19:06:29.013Z;47.3734652;7.2732586;12.26
2025-08-25T19:06:34.014Z;47.3738999;7.2726932;13.62
2025-08-25T19:06:39.027Z;47.3743091;7.2720706;13.38
2025-08-25T19:06:44.023Z;47.3747416;7.2715475;11.36
2025-08-25T19:06:49.016Z;47.3752045;7.2716229;12.43
2025-08-25T19:06:54.021Z;47.3757021;7.2721383;14.51
2025-08-25T19:06:59.017Z;47.3760033;7.272923;13.93
2025-08-25T19:07:04.016Z;47.3763237;7.2736746;13.29
2025-08-25T19:07:09.010Z;47.376702;7.2743878;13.48
2025-08-25T19:07:14.013Z;47.3768653;7.2752506;14.03
2025-08-25T19:07:19.009Z;47.376944;7.2761633;14.76
2025-08-25T19:07:24.014Z;47.3770312;7.2771303;14.88
2025-08-25T19:07:29.019Z;47.3771124;7.2780818;14.61
2025-08-25T19:07:34.008Z;47.3771868;7.2789864;13.03
2025-08-25T19:07:39.017Z;47.3772216;7.2796852;9.03
2025-08-25T19:07:44.009Z;47.3774582;7.2799132;6.73
2025-08-25T19:07:49.009Z;47.3776889;7.2794095;10.96
2025-08-25T19:07:54.020Z;47.3778778;7.2786965;13.06
2025-08-25T19:07:59.009Z;47.3780543;7.2779182;13.64
2025-08-25T19:08:04.010Z;47.3782758;7.2770724;13.96
2025-08-25T19:08:09.009Z;47.378515;7.2762066;14.74
2025-08-25T19:08:14.008Z;47.3787692;7.2753045;14.7
2025-08-25T19:08:19.007Z;47.379051;7.2744124;15.5
2025-08-25T19:08:24.008Z;47.3794131;7.2735209;15.54
2025-08-25T19:08:28.008Z;47.3797623;7.272865;15.49
2025-08-25T19:08:29.008Z;47.3798503;7.2727209;15.53
2025-08-25T19:08:34.009Z;47.380323;7.2720249;15.35
2025-08-25T19:08:39.008Z;47.3808455;7.2712959;15.68
2025-08-25T19:08:44.014Z;47.3813461;7.2706065;14.81
2025-08-25T19:08:49.015Z;47.3818112;7.2699528;13.02
2025-08-25T19:08:54.015Z;47.3820743;7.2691594;13.88
2025-08-25T19:08:59.017Z;47.3822987;7.268329;13.72
2025-08-25T19:09:04.013Z;47.3826134;7.2675733;13.52
2025-08-25T19:09:09.015Z;47.3830751;7.2669714;13.06
2025-08-25T19:09:14.018Z;47.3834983;7.2662789;15.02
2025-08-25T19:09:19.016Z;47.3839147;7.2654008;16.75
2025-08-25T19:09:24.017Z;47.3843333;7.2644285;17.7
2025-08-25T19:09:29.028Z;47.3847395;7.2634038;18.16
2025-08-25T19:09:34.026Z;47.3851652;7.2623413;18.44
2025-08-25T19:09:39.016Z;47.3855744;7.2613027;18.39
2025-08-25T19:09:44.009Z;47.3860011;7.2602182;19.68
2025-08-25T19:09:49.025Z;47.386411;7.2590511;19.67
2025-08-25T19:09:54.011Z;47.3867843;7.2579307;18.45
2025-08-25T19:09:59.011Z;47.3871811;7.2568185;17.93
2025-08-25T19:10:04.010Z;47.3878173;7.2560603;19.2
2025-08-25T19:10:09.027Z;47.3884437;7.2551201;19.98
2025-08-25T19:10:14.016Z;47.3890458;7.2541317;20.48
2025-08-25T19:10:19.016Z;47.3896273;7.253141;20.04
2025-08-25T19:10:24.011Z;47.3901827;7.2520954;19.36
2025-08-25T19:10:29.016Z;47.3906982;7.251111;17.8
2025-08-25T19:10:34.017Z;47.3911463;7.2502747;15.26
2025-08-25T19:10:39.009Z;47.3915873;7.2496021;12.68
2025-08-25T19:10:44.008Z;47.3920241;7.2491138;11.28
2025-08-25T19:10:49.017Z;47.3924;7.2486245;11.82
2025-08-25T19:10:54.019Z;47.3928008;7.2480277;12.6
2025-08-25T19:10:59.008Z;47.3932151;7.2474101;13.29
2025-08-25T19:11:04.020Z;47.3936125;7.2468318;12.6
2025-08-25T19:11:09.019Z;47.3940324;7.2462812;11.44
2025-08-25T19:11:14.020Z;47.3943941;7.2457982;10.25
2025-08-25T19:11:19.019Z;47.3946932;7.2453017;9.04
2025-08-25T19:11:21.008Z;47.3947879;7.2451346;8.54
2025-08-25T19:11:24.010Z;47.394974;7.2449455;7.33
2025-08-25T19:11:29.017Z;47.3953088;7.2449115;8.98
2025-08-25T19:11:34.010Z;47.395771;7.2449804;10.45
2025-08-25T19:11:39.026Z;47.3962372;7.2450274;10.58
2025-08-25T19:11:44.018Z;47.3966976;7.2448869;10.64
2025-08-25T19:11:49.010Z;47.3970957;7.2445641;9.83
2025-08-25T19:11:54.025Z;47.3973617;7.2443804;2.29
2025-08-25T19:11:59.008Z;47.3973838;7.2443658;0.0
2025-08-25T19:12:04.011Z;47.3974116;7.2443474;2.41
2025-08-25T19:12:09.011Z;47.3976282;7.2441784;7.74
2025-08-25T19:12:14.012Z;47.3979672;7.2440244;7.66
2025-08-25T19:12:19.027Z;47.3982677;7.2439574;5.78
2025-08-25T19:12:24.025Z;47.3983628;7.2438263;0.69
