time;latitude;longitude;velocity
2025-08-28T05:32:34.018Z;46.7054227;6.5835858;17.77
2025-08-28T05:32:39.014Z;46.7057794;6.5825695;15.6
2025-08-28T05:32:44.011Z;46.70599;6.5817085;13.52
2025-08-28T05:32:49.007Z;46.70613;6.5809798;10.1
2025-08-28T05:32:54.018Z;46.706254;6.5803811;8.83
2025-08-28T05:32:59.013Z;46.706357;6.5799796;4.44
2025-08-28T05:33:04.009Z;46.7064429;6.5797474;4.96
2025-08-28T05:33:09.009Z;46.7065157;6.5793167;8.63
2025-08-28T05:33:14.016Z;46.7066789;6.5786801;10.69
2025-08-28T05:33:19.011Z;46.7068538;6.5779831;11.8
2025-08-28T05:33:24.008Z;46.7070483;6.5773336;10.3
2025-08-28T05:33:29.013Z;46.7072098;6.5767474;9.02
2025-08-28T05:33:34.008Z;46.7073025;6.5763418;4.91
2025-08-28T05:33:39.012Z;46.7073411;6.5761786;1.83
2025-08-28T05:33:44.024Z;46.7073525;6.5761263;0.0
2025-08-28T05:33:49.012Z;46.7073525;6.5761263;0.0
2025-08-28T05:33:54.012Z;46.7073525;6.5761263;0.0
2025-08-28T05:33:59.008Z;46.7073525;6.5761263;0.0
2025-08-28T05:34:03.011Z;46.7073525;6.5761263;0.0
2025-08-28T05:34:04.009Z;46.7073525;6.5761263;0.0
2025-08-28T05:34:09.014Z;46.7073525;6.5761263;0.0
2025-08-28T05:34:14.014Z;46.7073525;6.5761263;0.0
2025-08-28T05:34:19.018Z;46.7073525;6.5761263;0.0
2025-08-28T05:34:24.020Z;46.7073635;6.5760705;2.24
2025-08-28T05:34:29.011Z;46.7074295;6.5757821;6.63
2025-08-28T05:34:34.008Z;46.7075447;6.5753367;7.83
2025-08-28T05:34:39.008Z;46.7076815;6.5748368;8.94
2025-08-28T05:34:44.014Z;46.7077767;6.574519;3.13
2025-08-28T05:34:49.015Z;46.7078016;6.5744407;0.08
2025-08-28T05:34:54.008Z;46.7078017;6.5744408;0.0
2025-08-28T05:34:59.008Z;46.7078017;6.5744408;0.0
2025-08-28T05:35:04.015Z;46.7078017;6.5744408;0.35
2025-08-28T05:35:09.008Z;46.7078945;6.5741719;6.6
2025-08-28T05:35:14.020Z;46.7080701;6.573704;8.85
2025-08-28T05:35:19.009Z;46.7082472;6.5732519;8.21
2025-08-28T05:35:24.013Z;46.7083924;6.5728216;5.88
2025-08-28T05:35:29.021Z;46.708536;6.572449;7.52
2025-08-28T05:35:34.013Z;46.7087171;6.5719615;9.1
2025-08-28T05:35:44.025Z;46.7090538;6.5711778;4.72
2025-08-28T05:35:49.022Z;46.7091789;6.5710301;3.44
2025-08-28T05:36:04.012Z;46.7095838;6.5701253;7.36
2025-08-28T05:36:09.014Z;46.7098772;6.5698305;8.3
2025-08-28T05:36:17.021Z;46.7104362;6.5695977;8.44
2025-08-28T05:36:49.025Z;46.7110113;6.5662105;10.85
2025-08-28T05:36:54.018Z;46.7111919;6.5654717;12.3
2025-08-28T05:37:14.010Z;46.7120072;6.5624523;13.88
2025-08-28T05:37:29.010Z;46.7130547;6.5599172;16.33
2025-08-28T05:37:34.015Z;46.7135819;6.5591586;16.99
2025-08-28T05:37:39.014Z;46.7141193;6.5584221;15.46
2025-08-28T05:38:04.013Z;46.7163415;6.5554118;15.24
2025-08-28T05:38:09.018Z;46.7168538;6.5547202;15.69
2025-08-28T05:38:20.022Z;46.7179839;6.5531699;16.08
2025-08-28T05:38:37.010Z;46.7194956;6.550601;14.72
2025-08-28T05:38:44.008Z;46.7198398;6.5494421;13.58
2025-08-28T05:38:54.020Z;46.7201514;6.5478537;12.13
2025-08-28T05:39:14.014Z;46.7205804;6.5450657;8.99
2025-08-28T05:39:24.008Z;46.7207353;6.5441694;6.94
2025-08-28T05:39:34.025Z;46.7211581;6.543846;7.52
2025-08-28T05:39:39.021Z;46.7215697;6.5439398;10.35
2025-08-28T05:39:44.020Z;46.7220576;6.5440679;11.74
2025-08-28T05:40:09.013Z;46.7249425;6.5448026;13.99
2025-08-28T05:40:18.008Z;46.7261183;6.5447681;14.96
2025-08-28T05:40:24.011Z;46.7268884;6.5444158;14.96
2025-08-28T05:40:49.024Z;46.7296798;6.5411451;17.02
2025-08-28T05:40:59.011Z;46.7310373;6.540302;16.49
2025-08-28T05:41:04.025Z;46.7317687;6.5402027;16.46
2025-08-28T05:41:24.022Z;46.7343468;6.5404362;10.27
2025-08-28T05:41:39.015Z;46.7352088;6.5405464;7.52
2025-08-28T05:41:49.006Z;46.7361952;6.5406227;13.94
2025-08-28T05:41:59.006Z;46.7375941;6.5407661;16.83
2025-08-28T05:42:04.009Z;46.7383523;6.5408302;17.1
2025-08-28T05:42:19.014Z;46.7404455;6.5399067;15.55
2025-08-28T05:42:24.013Z;46.7409683;6.5392778;14.74
2025-08-28T05:42:26.015Z;46.7411433;6.5390206;14.49
2025-08-28T05:42:44.009Z;46.7423004;6.5364434;12.63
2025-08-28T05:42:49.019Z;46.7425274;6.5356913;12.71
2025-08-28T05:42:54.014Z;46.7427244;6.5349145;13.47
2025-08-28T05:43:09.006Z;46.7426653;6.532907;6.99
2025-08-28T05:43:14.012Z;46.7427342;6.5326114;3.99
2025-08-28T05:43:19.017Z;46.742953;6.5326705;5.38
2025-08-28T05:43:44.020Z;46.7458678;6.5343024;18.41
2025-08-28T05:43:56.014Z;46.747288;6.5362893;18.85
