time;latitude;longitude;velocity
2025-08-25T21:14:53.415Z;47.6646808;8.9809875;0.0
2025-08-25T21:14:58.404Z;47.6646808;8.9809875;0.0
2025-08-25T21:15:03.423Z;47.6646808;8.9809875;0.0
2025-08-25T21:15:08.424Z;47.6646846;8.9809944;1.35
2025-08-25T21:15:13.405Z;47.6648437;8.9811263;4.96
2025-08-25T21:15:18.405Z;47.6650526;8.9815289;9.52
2025-08-25T21:15:23.411Z;47.6653004;8.9819713;7.66
2025-08-25T21:15:28.405Z;47.6654428;8.9822237;3.02
2025-08-25T21:15:33.405Z;47.6654069;8.9824409;5.0
2025-08-25T21:15:38.404Z;47.6652107;8.9827845;8.08
2025-08-25T21:15:43.408Z;47.6649605;8.9832693;10.24
2025-08-25T21:15:48.405Z;47.6646593;8.9838514;11.96
2025-08-25T21:15:53.411Z;47.6643358;8.9844896;12.99
2025-08-25T21:15:58.404Z;47.6639855;8.985174;12.52
2025-08-25T21:16:03.423Z;47.6635108;8.9855674;12.83
2025-08-25T21:16:08.413Z;47.6630028;8.9857502;10.97
2025-08-25T21:16:13.407Z;47.6626483;8.9854049;10.16
2025-08-25T21:16:18.412Z;47.6623639;8.9847533;13.27
2025-08-25T21:16:23.411Z;47.6619977;8.9839945;15.21
2025-08-25T21:16:28.413Z;47.6615916;8.9831593;15.66
2025-08-25T21:16:33.411Z;47.6611546;8.9824134;15.1
2025-08-25T21:16:38.404Z;47.660696;8.9817034;14.27
2025-08-25T21:16:43.412Z;47.6602504;8.9810855;13.61
2025-08-25T21:16:48.406Z;47.6597751;8.9808248;10.88
2025-08-25T21:16:53.407Z;47.6593915;8.9811899;10.97
2025-08-25T21:16:58.407Z;47.6592892;8.9819398;12.41
2025-08-25T21:17:03.413Z;47.6594245;8.9828334;14.49
2025-08-25T21:17:08.415Z;47.6596625;8.9837372;14.72
2025-08-25T21:17:13.405Z;47.6598831;8.9846654;15.58
2025-08-25T21:17:18.416Z;47.6598444;8.9856291;15.6
2025-08-25T21:17:23.404Z;47.6597043;8.98667;16.16
2025-08-25T21:17:28.405Z;47.6593684;8.9875693;16.19
2025-08-25T21:17:33.412Z;47.6589697;8.9884164;15.16
2025-08-25T21:17:38.407Z;47.6585412;8.9891869;15.24
2025-08-25T21:17:43.405Z;47.6579038;8.9895646;16.38
2025-08-25T21:17:48.412Z;47.657242;8.9896859;13.66
2025-08-25T21:17:49.404Z;47.6571252;8.9896814;13.24
2025-08-25T21:17:53.412Z;47.6567542;8.9893634;12.69
2025-08-25T21:17:58.404Z;47.6564036;8.9886726;12.52
2025-08-25T21:18:03.419Z;47.6560378;8.9882838;10.58
2025-08-25T21:18:08.412Z;47.6555459;8.9879549;12.66
2025-08-25T21:18:13.410Z;47.6550804;8.9876581;10.6
2025-08-25T21:18:18.407Z;47.6546355;8.9876727;10.27
2025-08-25T21:18:23.411Z;47.6542276;8.9876629;9.16
2025-08-25T21:18:28.404Z;47.6539438;8.9873891;7.05
2025-08-25T21:18:33.406Z;47.6538446;8.9869878;6.6
2025-08-25T21:18:38.415Z;47.6539021;8.9865111;8.38
2025-08-25T21:18:43.414Z;47.6540418;8.9859252;9.86
2025-08-25T21:18:48.407Z;47.6540419;8.9852055;11.69
2025-08-25T21:18:53.413Z;47.6539987;8.9844548;11.8
2025-08-25T21:18:58.417Z;47.6539621;8.9837672;8.83
2025-08-25T21:19:03.417Z;47.6539162;8.9833043;6.16
2025-08-25T21:19:08.405Z;47.653861;8.9830285;3.21
2025-08-25T21:19:10.416Z;47.6538636;8.9830394;2.27
2025-08-25T21:19:13.416Z;47.6538312;8.9828842;1.77
2025-08-25T21:19:18.411Z;47.6538026;8.9827522;3.38
2025-08-25T21:19:23.403Z;47.6537557;8.9823995;6.13
2025-08-25T21:19:28.406Z;47.6537573;8.9819872;5.66
2025-08-25T21:19:33.421Z;47.6537519;8.981695;3.96
2025-08-25T21:19:38.407Z;47.6537426;8.9813905;5.38
2025-08-25T21:19:43.423Z;47.6536626;8.9809925;7.99
2025-08-25T21:19:48.412Z;47.6534665;8.9803844;11.3
2025-08-25T21:19:49.417Z;47.6534109;8.9802241;11.91
2025-08-25T21:19:53.406Z;47.6532188;8.9796617;12.66
2025-08-25T21:19:58.405Z;47.6529677;8.9789617;12.1
2025-08-25T21:20:03.405Z;47.652659;8.9782744;12.74
2025-08-25T21:20:08.405Z;47.6521934;8.9777164;13.83
2025-08-25T21:20:13.405Z;47.6515937;8.977417;15.3
2025-08-25T21:20:18.412Z;47.650914;8.9774856;16.05
2025-08-25T21:20:23.405Z;47.6502078;8.9779063;18.13
2025-08-25T21:20:28.413Z;47.6494411;8.9784259;19.58
2025-08-25T21:20:29.411Z;47.6492775;8.9785372;19.6
2025-08-25T21:20:33.413Z;47.6486563;8.9789622;19.38
2025-08-25T21:20:38.405Z;47.6478805;8.9794793;19.24
2025-08-25T21:20:43.406Z;47.6470607;8.979649;18.52
2025-08-25T21:20:48.418Z;47.6462772;8.9792802;18.49
2025-08-25T21:20:53.408Z;47.6454959;8.9787769;19.74
2025-08-25T21:20:58.412Z;47.6446443;8.9782775;22.1
2025-08-25T21:21:03.407Z;47.643718;8.9777712;21.96
2025-08-25T21:21:08.405Z;47.6427867;8.9772705;22.22
2025-08-25T21:21:13.407Z;47.6418732;8.9767781;22.5
2025-08-25T21:21:18.415Z;47.6409328;8.9762737;21.99
2025-08-25T21:21:23.405Z;47.6400392;8.9757936;20.77
2025-08-25T21:21:28.408Z;47.6391988;8.9753398;19.3
2025-08-25T21:21:33.413Z;47.6384491;8.974936;16.96
