time;latitude;longitude;velocity
2025-08-24T03:23:12.806Z;46.3191138;7.9874197;0.0
2025-08-24T03:23:17.826Z;46.3191138;7.9874197;0.0
2025-08-24T03:23:22.813Z;46.3191207;7.9875192;2.51
2025-08-24T03:23:27.809Z;46.3191227;7.9877327;3.51
2025-08-24T03:23:32.808Z;46.3191237;7.987933;2.54
2025-08-24T03:23:37.816Z;46.3191237;7.9880959;3.18
2025-08-24T03:23:42.806Z;46.3191204;7.9883448;3.96
2025-08-24T03:23:47.814Z;46.319079;7.9885839;3.19
2025-08-24T03:23:52.817Z;46.3189645;7.9885927;2.24
2025-08-24T03:23:57.824Z;46.3188867;7.9884397;2.55
2025-08-24T03:24:02.820Z;46.3189081;7.9881449;4.88
2025-08-24T03:24:04.816Z;46.3189118;7.988009;5.68
2025-08-24T03:24:07.814Z;46.3188979;7.9877726;6.68
2025-08-24T03:24:12.818Z;46.3188435;7.9872971;7.54
2025-08-24T03:24:17.818Z;46.3188442;7.9867661;8.37
2025-08-24T03:24:22.818Z;46.3188473;7.9861769;8.71
2025-08-24T03:24:27.813Z;46.3188023;7.9856493;7.71
2025-08-24T03:24:32.811Z;46.3187165;7.9852718;5.56
2025-08-24T03:24:37.809Z;46.3185252;7.98505;5.74
2025-08-24T03:24:42.818Z;46.3182928;7.9847246;8.0
2025-08-24T03:24:47.825Z;46.3180074;7.9842949;9.71
2025-08-24T03:24:52.819Z;46.3177006;7.9838448;9.4
2025-08-24T03:24:57.809Z;46.3174359;7.9834696;7.4
2025-08-24T03:25:02.816Z;46.3172633;7.9832334;3.23
2025-08-24T03:25:07.811Z;46.3172362;7.9832085;0.02
2025-08-24T03:25:12.809Z;46.317235;7.9832088;0.0
2025-08-24T03:25:17.810Z;46.3171801;7.9831665;3.66
2025-08-24T03:25:22.810Z;46.3169567;7.9829437;6.85
2025-08-24T03:25:27.825Z;46.3167136;7.9826212;7.27
2025-08-24T03:25:31.821Z;46.3165178;7.9823285;6.95
2025-08-24T03:25:32.817Z;46.3164907;7.9822863;6.75
2025-08-24T03:25:37.807Z;46.3163854;7.9819693;5.01
2025-08-24T03:25:42.809Z;46.3162132;7.9818621;4.27
2025-08-24T03:25:47.815Z;46.3160701;7.9821492;5.36
2025-08-24T03:25:52.810Z;46.3158135;7.9823895;7.25
2025-08-24T03:25:57.815Z;46.3155296;7.9826643;7.95
2025-08-24T03:26:02.825Z;46.3152168;7.9829847;8.44
2025-08-24T03:26:07.809Z;46.3148918;7.9833213;8.75
2025-08-24T03:26:12.824Z;46.3146207;7.983639;7.43
2025-08-24T03:26:17.825Z;46.3144121;7.9838476;3.51
2025-08-24T03:26:22.809Z;46.3143813;7.9838844;0.02
