time;latitude;longitude;velocity
2025-08-25T13:47:33.407Z;47.5647887;9.048608;16.88
2025-08-25T13:47:38.408Z;47.565397;9.0492551;17.58
2025-08-25T13:47:43.414Z;47.566062;9.0499218;19.05
2025-08-25T13:47:48.424Z;47.5668087;9.0504108;17.13
2025-08-25T13:47:53.411Z;47.5673264;9.0511035;15.08
2025-08-25T13:47:58.414Z;47.5675212;9.0520044;13.77
2025-08-25T13:48:03.421Z;47.567445;9.0528024;12.6
2025-08-25T13:48:08.413Z;47.5675611;9.0536763;13.77
2025-08-25T13:48:13.411Z;47.5677621;9.0544825;12.66
2025-08-25T13:48:18.419Z;47.5679846;9.0552784;13.24
2025-08-25T13:48:23.417Z;47.5682168;9.0561391;13.52
2025-08-25T13:48:28.412Z;47.5684131;9.0568922;11.38
2025-08-25T13:48:33.407Z;47.5686951;9.0573442;8.8
2025-08-25T13:48:38.416Z;47.5689834;9.056976;9.96
2025-08-25T13:48:43.415Z;47.5691226;9.0562543;12.3
2025-08-25T13:48:48.407Z;47.5692701;9.055618;8.69
2025-08-25T13:48:53.406Z;47.5695711;9.0556834;8.08
2025-08-25T13:48:58.411Z;47.5696612;9.0563627;11.58
2025-08-25T13:49:03.415Z;47.5698213;9.0571952;14.41
2025-08-25T13:49:08.410Z;47.570066;9.0581571;15.41
2025-08-25T13:49:13.406Z;47.5703633;9.0589939;14.69
2025-08-25T13:49:18.419Z;47.5708215;9.059698;14.83
2025-08-25T13:49:23.419Z;47.5713055;9.0603776;15.08
2025-08-25T13:49:28.418Z;47.5718314;9.0610425;16.25
2025-08-25T13:49:33.411Z;47.5723328;9.0617001;14.27
2025-08-25T13:49:38.418Z;47.5727755;9.0620977;9.46
2025-08-25T13:49:43.407Z;47.5729647;9.0624386;7.02
2025-08-25T13:49:48.417Z;47.5729626;9.0631081;12.19
2025-08-25T13:49:53.414Z;47.5728713;9.0641215;18.24
2025-08-25T13:49:56.408Z;47.5727786;9.0649108;20.66
2025-08-25T13:49:58.414Z;47.5727117;9.0654754;21.74
2025-08-25T13:50:03.405Z;47.5725524;9.0668948;22.69
2025-08-25T13:50:08.415Z;47.5725374;9.0683536;21.83
2025-08-25T13:50:13.408Z;47.5726313;9.0697718;21.91
2025-08-25T13:50:18.424Z;47.5728232;9.0711159;20.71
2025-08-25T13:50:23.406Z;47.573022;9.0724158;20.74
2025-08-25T13:50:28.410Z;47.573452;9.0736807;21.44
2025-08-25T13:50:33.411Z;47.5739372;9.0748854;21.85
