time;latitude;longitude;velocity
2025-08-27T03:45:15.213Z;47.5614819;7.8323373;3.96
2025-08-27T03:45:20.212Z;47.5614282;7.8322072;2.68
2025-08-27T03:45:25.212Z;47.5613155;7.832368;2.82
2025-08-27T03:45:26.212Z;47.5613391;7.8324174;2.96
2025-08-27T03:45:30.213Z;47.561435;7.8326398;4.97
2025-08-27T03:45:35.212Z;47.5614987;7.8330526;7.73
2025-08-27T03:45:40.212Z;47.561625;7.8335666;8.23
2025-08-27T03:45:45.213Z;47.5617497;7.8340701;7.57
2025-08-27T03:45:50.213Z;47.5619062;7.8345066;8.19
2025-08-27T03:45:55.213Z;47.5621071;7.8350451;9.54
2025-08-27T03:46:00.213Z;47.5622713;7.8356076;9.19
2025-08-27T03:46:05.213Z;47.5624016;7.8361202;7.83
2025-08-27T03:46:10.214Z;47.5624409;7.8365439;5.71
2025-08-27T03:46:15.213Z;47.5625861;7.8367441;4.22
2025-08-27T03:46:16.214Z;47.5626083;7.8367798;4.46
2025-08-27T03:46:20.214Z;47.5626817;7.8371534;7.97
2025-08-27T03:46:25.214Z;47.5628219;7.8377223;10.33
2025-08-27T03:46:30.215Z;47.562984;7.8383883;11.03
2025-08-27T03:46:35.214Z;47.5631467;7.8390792;10.53
2025-08-27T03:46:40.212Z;47.5632772;7.8396233;8.06
2025-08-27T03:46:45.213Z;47.563392;7.840149;9.43
2025-08-27T03:46:50.214Z;47.5635427;7.8407278;8.8
2025-08-27T03:46:55.213Z;47.5636103;7.8410905;3.02
2025-08-27T03:47:00.213Z;47.5636252;7.8411674;0.0
2025-08-27T03:47:05.214Z;47.5636403;7.841216;1.87
2025-08-27T03:47:10.211Z;47.5638069;7.8410984;5.41
2025-08-27T03:47:15.214Z;47.5640464;7.8409272;9.56
2025-08-27T03:47:20.214Z;47.5645434;7.8405684;10.84
2025-08-27T03:47:25.214Z;47.5649928;7.8402994;10.27
2025-08-27T03:47:30.212Z;47.5654205;7.8402414;9.59
2025-08-27T03:47:35.212Z;47.565832;7.8403172;8.95
2025-08-27T03:47:40.214Z;47.5661789;7.8403878;5.34
2025-08-27T03:47:45.212Z;47.5663237;7.8404252;3.1
2025-08-27T03:47:46.214Z;47.5663424;7.8404659;2.88
2025-08-27T03:47:50.212Z;47.5663854;7.8407157;5.39
2025-08-27T03:47:55.214Z;47.5665773;7.8410489;7.4
2025-08-27T03:48:00.214Z;47.5667476;7.8415157;7.55
2025-08-27T03:48:05.214Z;47.5669303;7.8419626;8.35
2025-08-27T03:48:10.214Z;47.5671063;7.8424316;7.77
2025-08-27T03:48:15.214Z;47.5672693;7.8428887;8.1
2025-08-27T03:48:20.214Z;47.5674053;7.8432829;5.27
2025-08-27T03:48:25.214Z;47.5674631;7.8434477;2.11
2025-08-27T03:48:30.214Z;47.5675097;7.8435806;2.8
2025-08-27T03:48:35.214Z;47.5676332;7.8439521;8.47
2025-08-27T03:48:40.214Z;47.567817;7.8444831;8.64
2025-08-27T03:48:45.213Z;47.5679787;7.8449651;8.61
2025-08-27T03:48:50.213Z;47.5681587;7.8454898;8.47
2025-08-27T03:48:55.214Z;47.5683026;7.8459215;6.43
2025-08-27T03:49:00.213Z;47.5684373;7.8462075;4.68
2025-08-27T03:49:01.214Z;47.5684774;7.8462301;4.68
2025-08-27T03:49:05.214Z;47.568676;7.8461161;6.64
2025-08-27T03:49:10.214Z;47.5689489;7.8460268;8.68
2025-08-27T03:49:15.213Z;47.5693177;7.8458793;8.35
2025-08-27T03:49:20.215Z;47.5696817;7.8457409;7.84
2025-08-27T03:49:25.213Z;47.5700763;7.8455936;7.09
2025-08-27T03:49:30.213Z;47.5703081;7.8455051;3.53
2025-08-27T03:49:35.213Z;47.5703514;7.8454879;0.0
2025-08-27T03:49:40.213Z;47.5703514;7.8454879;0.0
2025-08-27T03:49:45.213Z;47.5703373;7.8454938;0.0
2025-08-27T03:49:50.213Z;47.5705406;7.845409;7.15
2025-08-27T03:49:55.214Z;47.5709254;7.8452607;9.61
2025-08-27T03:49:58.213Z;47.5711606;7.8451676;9.21
2025-08-27T03:50:00.213Z;47.5713115;7.8451079;8.24
2025-08-27T03:50:05.213Z;47.5716006;7.8450023;5.21
2025-08-27T03:50:10.213Z;47.5718072;7.844962;5.39
2025-08-27T03:50:15.213Z;47.5721467;7.8447888;9.22
2025-08-27T03:50:19.214Z;47.5724945;7.8446535;10.66
2025-08-27T03:50:20.214Z;47.5725706;7.8446245;10.71
2025-08-27T03:50:25.214Z;47.5729643;7.844407;8.88
2025-08-27T03:50:30.213Z;47.573232;7.8441093;6.37
2025-08-27T03:50:35.213Z;47.5734067;7.8438571;5.57
2025-08-27T03:50:37.214Z;47.5734421;7.8436479;6.56
2025-08-27T03:50:40.214Z;47.5735884;7.8434288;8.91
2025-08-27T03:50:45.214Z;47.5738818;7.842848;12.49
2025-08-27T03:50:50.214Z;47.5742362;7.8421681;13.21
2025-08-27T03:50:55.214Z;47.5745633;7.8415383;10.92
2025-08-27T03:51:00.213Z;47.5748108;7.8409882;8.18
2025-08-27T03:51:05.214Z;47.57509;7.840814;6.37
2025-08-27T03:51:10.214Z;47.5753774;7.8409582;7.95
2025-08-27T03:51:15.214Z;47.5756279;7.841302;7.25
2025-08-27T03:51:20.214Z;47.5758068;7.8417041;7.76
2025-08-27T03:51:25.214Z;47.5760025;7.8421584;8.21
2025-08-27T03:51:30.213Z;47.5761882;7.8425955;6.7
2025-08-27T03:51:35.214Z;47.5763322;7.8428178;4.02
2025-08-27T03:51:40.214Z;47.5764369;7.842741;1.01
2025-08-27T03:51:45.214Z;47.5764444;7.8427221;0.0
2025-08-27T03:51:50.214Z;47.5764444;7.8427221;0.0
2025-08-27T03:51:55.214Z;47.5764444;7.8427221;0.0
2025-08-27T03:52:00.214Z;47.5764444;7.8427221;0.0
2025-08-27T03:52:05.214Z;47.5764444;7.8427221;0.0
2025-08-27T03:52:10.214Z;47.5764444;7.8427221;0.0
2025-08-27T03:52:15.214Z;47.5764444;7.8427221;0.0
2025-08-27T03:52:20.215Z;47.5764444;7.8427221;0.0
2025-08-27T03:52:25.214Z;47.5764444;7.8427221;0.0
2025-08-27T03:52:30.214Z;47.5764444;7.8427221;0.0
2025-08-27T03:52:35.214Z;47.5764444;7.8427221;0.0
2025-08-27T03:52:40.214Z;47.5764444;7.8427221;0.0
2025-08-27T03:52:45.214Z;47.5764444;7.8427221;0.0
2025-08-27T03:52:50.214Z;47.5764444;7.8427221;0.0
2025-08-27T03:52:55.214Z;47.5764444;7.8427221;0.0
2025-08-27T03:53:00.214Z;47.5764444;7.8427221;0.0
2025-08-27T03:53:05.214Z;47.5764444;7.8427221;0.0
2025-08-27T03:53:10.213Z;47.5764444;7.8427221;0.0
2025-08-27T03:53:15.214Z;47.5764444;7.8427221;0.0
2025-08-27T03:53:20.214Z;47.5764444;7.8427221;0.0
2025-08-27T03:53:25.214Z;47.5764444;7.8427221;0.0
2025-08-27T03:53:30.214Z;47.5764444;7.8427221;0.0
