time;latitude;longitude;velocity
2025-08-24T05:24:16.422Z;47.2196918;8.1542036;0.0
2025-08-24T05:24:21.413Z;47.2196918;8.1542036;0.0
2025-08-24T05:24:26.417Z;47.2196918;8.1542036;0.0
2025-08-24T05:24:31.415Z;47.2196918;8.1542036;0.0
2025-08-24T05:24:36.417Z;47.2196886;8.1542215;1.18
2025-08-24T05:24:41.416Z;47.2196397;8.1544328;3.98
2025-08-24T05:24:46.410Z;47.2195724;8.1545161;0.89
2025-08-24T05:24:51.412Z;47.2195498;8.154729;4.97
2025-08-24T05:24:53.409Z;47.2196044;8.1548828;6.6
2025-08-24T05:24:56.413Z;47.2196744;8.1551757;8.2
2025-08-24T05:25:01.422Z;47.2199571;8.1555476;9.52
2025-08-24T05:25:06.413Z;47.2203164;8.1559832;10.55
2025-08-24T05:25:11.412Z;47.2206119;8.1564467;10.11
2025-08-24T05:25:16.409Z;47.2210426;8.1567548;10.31
2025-08-24T05:25:21.409Z;47.2214786;8.1568023;10.78
2025-08-24T05:25:26.416Z;47.2219166;8.1571517;11.48
2025-08-24T05:25:31.420Z;47.2223457;8.1575342;11.92
2025-08-24T05:25:36.413Z;47.222763;8.1580315;11.68
2025-08-24T05:25:41.408Z;47.2231893;8.158509;11.61
2025-08-24T05:25:43.409Z;47.2233459;8.1586662;11.71
2025-08-24T05:25:46.407Z;47.2236093;8.1589242;11.93
2025-08-24T05:25:51.409Z;47.2240788;8.1593684;13.07
2025-08-24T05:25:56.421Z;47.2246313;8.1597125;13.01
2025-08-24T05:26:01.413Z;47.2251798;8.159754;12.35
2025-08-24T05:26:06.408Z;47.2256441;8.1600477;11.55
2025-08-24T05:26:11.413Z;47.2258352;8.1608019;13.21
2025-08-24T05:26:16.417Z;47.2259548;8.1616631;13.05
2025-08-24T05:26:21.422Z;47.2260988;8.1624425;12.17
2025-08-24T05:26:26.411Z;47.2263759;8.1631307;12.27
2025-08-24T05:26:31.408Z;47.2267991;8.1635459;11.22
2025-08-24T05:26:36.421Z;47.2270944;8.1641308;11.31
2025-08-24T05:26:41.408Z;47.2271737;8.1648948;12.44
2025-08-24T05:26:46.410Z;47.2272106;8.1656964;11.74
2025-08-24T05:26:51.408Z;47.2272779;8.1664326;11.4
2025-08-24T05:26:56.407Z;47.227581;8.1671145;13.37
2025-08-24T05:27:01.409Z;47.2280011;8.1678107;14.68
2025-08-24T05:27:05.414Z;47.2283769;8.1683532;14.47
2025-08-24T05:27:06.413Z;47.2284654;8.1684802;14.31
2025-08-24T05:27:11.417Z;47.2289344;8.1691072;14.02
2025-08-24T05:27:16.416Z;47.2294269;8.1696796;14.5
2025-08-24T05:27:21.409Z;47.2299658;8.1702197;14.89
2025-08-24T05:27:26.417Z;47.2305193;8.1706919;14.54
2025-08-24T05:27:31.419Z;47.2310269;8.1712505;13.43
2025-08-24T05:27:36.413Z;47.2312858;8.1720128;13.1
2025-08-24T05:27:40.410Z;47.2313924;8.1726937;12.41
2025-08-24T05:27:41.419Z;47.2314094;8.1728129;12.37
2025-08-24T05:27:46.410Z;47.2315978;8.1736119;13.01
2025-08-24T05:27:51.417Z;47.2320171;8.1742564;13.99
2025-08-24T05:27:53.412Z;47.2322027;8.1744796;14.0
2025-08-24T05:27:56.419Z;47.2324949;8.174822;13.78
2025-08-24T05:28:01.408Z;47.2329485;8.1753511;11.91
2025-08-24T05:28:06.409Z;47.2333794;8.1757138;11.08
2025-08-24T05:28:11.409Z;47.2337819;8.1761507;10.92
2025-08-24T05:28:16.408Z;47.2340692;8.1767535;11.27
2025-08-24T05:28:21.419Z;47.234398;8.1772684;10.61
2025-08-24T05:28:22.408Z;47.2344597;8.1773375;10.35
2025-08-24T05:28:26.412Z;47.2347788;8.1775833;9.77
2025-08-24T05:28:31.408Z;47.2352429;8.1776883;10.31
2025-08-24T05:28:36.420Z;47.2356999;8.1776849;9.96
2025-08-24T05:28:41.423Z;47.2360944;8.1777095;7.97
2025-08-24T05:28:46.408Z;47.2362748;8.1781305;8.1
2025-08-24T05:28:47.411Z;47.2362654;8.1782367;8.21
2025-08-24T05:28:51.408Z;47.2360619;8.1785844;8.96
2025-08-24T05:28:56.407Z;47.2356887;8.17879;8.68
2025-08-24T05:29:01.408Z;47.2354268;8.179181;8.79
2025-08-24T05:29:05.409Z;47.2352225;8.1794448;6.7
2025-08-24T05:29:06.408Z;47.2351695;8.1794763;6.86
2025-08-24T05:29:08.417Z;47.235046;8.1795431;7.49
2025-08-24T05:29:11.417Z;47.2348817;8.179743;8.05
2025-08-24T05:29:16.421Z;47.2347012;8.1802492;8.41
2025-08-24T05:29:21.412Z;47.2344724;8.1806526;8.54
2025-08-24T05:29:26.407Z;47.2341379;8.1808606;7.61
2025-08-24T05:29:31.413Z;47.2339978;8.1813586;8.76
2025-08-24T05:29:32.407Z;47.2339768;8.1814775;8.75
2025-08-24T05:29:36.407Z;47.2339532;8.1819483;9.04
2025-08-24T05:29:41.408Z;47.2339793;8.1824872;7.63
2025-08-24T05:29:46.413Z;47.2342015;8.1828758;8.56
2025-08-24T05:29:51.419Z;47.2346242;8.1829112;9.89
2025-08-24T05:29:54.408Z;47.2348837;8.182954;10.0
2025-08-24T05:29:56.408Z;47.235068;8.1829724;10.16
2025-08-24T05:30:01.424Z;47.2355248;8.1828666;10.05
2025-08-24T05:30:06.406Z;47.2359554;8.1829091;9.76
2025-08-24T05:30:11.408Z;47.2364029;8.1828544;10.17
2025-08-24T05:30:13.418Z;47.236575;8.182795;10.37
2025-08-24T05:30:16.408Z;47.2368292;8.1827251;9.45
2025-08-24T05:30:21.410Z;47.2372307;8.1827408;6.41
2025-08-24T05:30:24.407Z;47.2373491;8.1827793;3.75
2025-08-24T05:30:26.408Z;47.237393;8.182882;4.35
2025-08-24T05:30:31.418Z;47.2375563;8.1831775;5.69
2025-08-24T05:30:34.408Z;47.2376607;8.1833418;4.7
2025-08-24T05:30:36.422Z;47.2377326;8.1833568;4.88
2025-08-24T05:30:41.407Z;47.2379607;8.1832239;4.75
2025-08-24T05:30:46.424Z;47.2380688;8.1831692;0.57
2025-08-24T05:30:50.408Z;47.2380748;8.1831669;0.0
