time;latitude;longitude;velocity
2025-08-27T08:40:23.005Z;46.9588959;7.426923;0.0
2025-08-27T08:40:26.023Z;46.9588945;7.4269189;0.0
2025-08-27T08:40:31.010Z;46.9589247;7.4269571;1.96
2025-08-27T08:40:36.015Z;46.9590525;7.4271374;4.17
2025-08-27T08:40:41.008Z;46.9591646;7.427291;2.83
2025-08-27T08:40:46.010Z;46.9591773;7.4273088;0.0
2025-08-27T08:40:51.006Z;46.9591773;7.4273088;0.0
2025-08-27T08:40:56.005Z;46.9591773;7.4273088;0.0
2025-08-27T08:41:01.011Z;46.9591872;7.4273228;1.26
2025-08-27T08:41:06.014Z;46.9593495;7.4275255;6.74
2025-08-27T08:41:11.006Z;46.959651;7.4279244;9.83
2025-08-27T08:41:16.014Z;46.959996;7.4283822;10.5
2025-08-27T08:41:21.011Z;46.9603044;7.4287853;8.12
2025-08-27T08:41:26.015Z;46.9605665;7.4291325;6.75
2025-08-27T08:41:31.025Z;46.9607531;7.4293771;5.56
2025-08-27T08:41:36.006Z;46.9609279;7.429606;4.97
2025-08-27T08:41:41.024Z;46.9611262;7.4298679;7.13
2025-08-27T08:41:46.026Z;46.9614151;7.4302237;9.48
2025-08-27T08:41:51.006Z;46.9617556;7.4306883;10.04
2025-08-27T08:41:56.024Z;46.9620672;7.4311074;9.41
2025-08-27T08:42:01.021Z;46.9623108;7.4314109;5.43
2025-08-27T08:42:06.020Z;46.9624557;7.4316054;2.22
2025-08-27T08:42:11.013Z;46.9625842;7.431802;5.43
2025-08-27T08:42:13.023Z;46.9626548;7.4319344;6.08
2025-08-27T08:42:16.019Z;46.9627579;7.4320725;5.19
2025-08-27T08:42:21.008Z;46.9629913;7.4319581;6.33
2025-08-27T08:42:26.017Z;46.9632423;7.4317438;5.61
2025-08-27T08:42:31.019Z;46.9633573;7.4316338;0.0
2025-08-27T08:42:36.020Z;46.9633573;7.4316338;0.0
2025-08-27T08:42:41.018Z;46.9633655;7.4316248;0.0
2025-08-27T08:42:46.017Z;46.9634339;7.4314853;4.53
2025-08-27T08:42:51.006Z;46.9636472;7.4312917;5.59
2025-08-27T08:42:56.008Z;46.9637916;7.4311615;1.94
2025-08-27T08:43:01.016Z;46.9638144;7.4311409;0.0
2025-08-27T08:43:06.023Z;46.9638299;7.4311268;0.72
2025-08-27T08:43:11.015Z;46.9640134;7.4309705;7.6
2025-08-27T08:43:16.013Z;46.9644339;7.4306573;11.95
2025-08-27T08:43:21.014Z;46.9649527;7.4303491;12.76
2025-08-27T08:43:26.011Z;46.9654565;7.4299355;12.11
