time;latitude;longitude;velocity
2025-08-23T07:04:11.406Z;47.0313865;9.0832333;0.0
2025-08-23T07:04:16.407Z;47.0313865;9.0832333;0.0
2025-08-23T07:04:21.406Z;47.0313852;9.0832341;0.35
2025-08-23T07:04:26.409Z;47.0314185;9.0832306;1.27
2025-08-23T07:04:31.405Z;47.0314972;9.0832081;1.74
2025-08-23T07:04:36.407Z;47.031541;9.0831575;1.8
2025-08-23T07:04:41.410Z;47.0315771;9.0830761;2.71
2025-08-23T07:04:46.414Z;47.0317413;9.0829022;3.71
2025-08-23T07:04:51.406Z;47.0318529;9.0828079;2.71
2025-08-23T07:04:56.417Z;47.0319024;9.0827775;2.02
2025-08-23T07:05:01.417Z;47.0319911;9.0826268;2.69
2025-08-23T07:05:06.416Z;47.0320099;9.0823683;5.71
2025-08-23T07:05:11.415Z;47.0321576;9.0819625;8.13
2025-08-23T07:05:16.409Z;47.0323434;9.0815107;8.77
2025-08-23T07:05:20.409Z;47.0324636;9.081121;8.33
2025-08-23T07:05:21.410Z;47.0324944;9.0810209;8.24
2025-08-23T07:05:26.409Z;47.0326471;9.0805146;9.46
2025-08-23T07:05:31.414Z;47.0328167;9.0799656;9.02
2025-08-23T07:05:36.419Z;47.0329062;9.0794227;9.55
2025-08-23T07:05:41.420Z;47.0329619;9.078902;7.02
2025-08-23T07:05:46.425Z;47.0330071;9.0785857;5.46
2025-08-23T07:05:51.405Z;47.0332868;9.0783252;9.35
2025-08-23T07:05:56.414Z;47.0336104;9.0779894;8.49
2025-08-23T07:06:01.418Z;47.0338642;9.0777509;6.19
2025-08-23T07:06:06.405Z;47.0341306;9.0776328;7.5
2025-08-23T07:06:11.414Z;47.0344961;9.0774631;9.05
2025-08-23T07:06:16.407Z;47.0348055;9.0773372;7.74
2025-08-23T07:06:21.405Z;47.0351783;9.077203;9.21
2025-08-23T07:06:26.420Z;47.0355295;9.0770967;7.85
2025-08-23T07:06:31.406Z;47.0357374;9.0770323;2.83
2025-08-23T07:06:36.424Z;47.0357598;9.0768025;4.77
2025-08-23T07:06:41.406Z;47.0357266;9.0765692;2.22
2025-08-23T07:06:46.410Z;47.0357222;9.0765419;0.0
2025-08-23T07:06:51.405Z;47.0357222;9.0765419;0.0
2025-08-23T07:06:56.408Z;47.0357222;9.0765419;0.0
2025-08-23T07:07:01.405Z;47.0357222;9.0765419;0.0
2025-08-23T07:07:06.407Z;47.0357222;9.0765419;0.0
2025-08-23T07:07:11.410Z;47.0357033;9.0764437;3.91
2025-08-23T07:07:12.408Z;47.0356903;9.0763799;4.74
2025-08-23T07:07:16.407Z;47.0356268;9.0760389;8.3
2025-08-23T07:07:21.411Z;47.03553;9.0755101;9.19
2025-08-23T07:07:26.406Z;47.0354336;9.0749593;8.52
2025-08-23T07:07:31.411Z;47.0353815;9.0745522;5.3
2025-08-23T07:07:36.424Z;47.0353576;9.0742823;5.16
2025-08-23T07:07:41.405Z;47.0352994;9.0740832;1.77
2025-08-23T07:07:46.407Z;47.0352887;9.0739442;3.27
2025-08-23T07:07:51.415Z;47.0354063;9.0736635;6.25
time;latitude;longitude;velocity
2025-08-23T07:04:11.406Z;47.0313865;9.0832333;0.0
2025-08-23T07:04:16.407Z;47.0313865;9.0832333;0.0
2025-08-23T07:04:21.406Z;47.0313852;9.0832341;0.35
2025-08-23T07:04:26.409Z;47.0314185;9.0832306;1.27
2025-08-23T07:04:31.405Z;47.0314972;9.0832081;1.74
2025-08-23T07:04:36.407Z;47.031541;9.0831575;1.8
2025-08-23T07:04:41.410Z;47.0315771;9.0830761;2.71
2025-08-23T07:04:46.414Z;47.0317413;9.0829022;3.71
2025-08-23T07:04:51.406Z;47.0318529;9.0828079;2.71
2025-08-23T07:04:56.417Z;47.0319024;9.0827775;2.02
2025-08-23T07:05:01.417Z;47.0319911;9.0826268;2.69
2025-08-23T07:05:06.416Z;47.0320099;9.0823683;5.71
2025-08-23T07:05:11.415Z;47.0321576;9.0819625;8.13
2025-08-23T07:05:16.409Z;47.0323434;9.0815107;8.77
2025-08-23T07:05:20.409Z;47.0324636;9.081121;8.33
2025-08-23T07:05:21.410Z;47.0324944;9.0810209;8.24
2025-08-23T07:05:26.409Z;47.0326471;9.0805146;9.46
2025-08-23T07:05:31.414Z;47.0328167;9.0799656;9.02
2025-08-23T07:05:36.419Z;47.0329062;9.0794227;9.55
2025-08-23T07:05:41.420Z;47.0329619;9.078902;7.02
2025-08-23T07:05:46.425Z;47.0330071;9.0785857;5.46
2025-08-23T07:05:51.405Z;47.0332868;9.0783252;9.35
2025-08-23T07:05:56.414Z;47.0336104;9.0779894;8.49
2025-08-23T07:06:01.418Z;47.0338642;9.0777509;6.19
2025-08-23T07:06:06.405Z;47.0341306;9.0776328;7.5
2025-08-23T07:06:11.414Z;47.0344961;9.0774631;9.05
2025-08-23T07:06:16.407Z;47.0348055;9.0773372;7.74
2025-08-23T07:06:21.405Z;47.0351783;9.077203;9.21
2025-08-23T07:06:26.420Z;47.0355295;9.0770967;7.85
2025-08-23T07:06:31.406Z;47.0357374;9.0770323;2.83
2025-08-23T07:06:36.424Z;47.0357598;9.0768025;4.77
2025-08-23T07:06:41.406Z;47.0357266;9.0765692;2.22
2025-08-23T07:06:46.410Z;47.0357222;9.0765419;0.0
2025-08-23T07:06:51.405Z;47.0357222;9.0765419;0.0
2025-08-23T07:06:56.408Z;47.0357222;9.0765419;0.0
2025-08-23T07:07:01.405Z;47.0357222;9.0765419;0.0
2025-08-23T07:07:06.407Z;47.0357222;9.0765419;0.0
2025-08-23T07:07:11.410Z;47.0357033;9.0764437;3.91
2025-08-23T07:07:12.408Z;47.0356903;9.0763799;4.74
2025-08-23T07:07:16.407Z;47.0356268;9.0760389;8.3
2025-08-23T07:07:21.411Z;47.03553;9.0755101;9.19
2025-08-23T07:07:26.406Z;47.0354336;9.0749593;8.52
2025-08-23T07:07:31.411Z;47.0353815;9.0745522;5.3
2025-08-23T07:07:36.424Z;47.0353576;9.0742823;5.16
2025-08-23T07:07:41.405Z;47.0352994;9.0740832;1.77
2025-08-23T07:07:46.407Z;47.0352887;9.0739442;3.27
2025-08-23T07:07:51.415Z;47.0354063;9.0736635;6.25
