time;latitude;longitude;velocity
2025-08-26T20:42:03.007Z;47.4893473;7.8493041;11.28
2025-08-26T20:42:08.007Z;47.4898407;7.8491445;11.62
2025-08-26T20:42:13.008Z;47.4903247;7.8493766;11.53
2025-08-26T20:42:18.013Z;47.4908046;7.8496731;11.53
2025-08-26T20:42:23.018Z;47.4912983;7.8498939;11.87
2025-08-26T20:42:28.017Z;47.4918269;7.8501183;12.03
2025-08-26T20:42:33.014Z;47.4923084;7.8503249;10.98
2025-08-26T20:42:38.006Z;47.4926008;7.8508063;8.81
2025-08-26T20:42:43.020Z;47.4926169;7.8513778;9.25
2025-08-26T20:42:48.020Z;47.4928152;7.851905;9.48
2025-08-26T20:42:53.017Z;47.4930578;7.8523643;8.72
2025-08-26T20:42:58.007Z;47.4932986;7.8529469;11.16
2025-08-26T20:43:03.008Z;47.4935476;7.8536369;12.05
2025-08-26T20:43:08.019Z;47.4938708;7.8542682;12.3
2025-08-26T20:43:13.016Z;47.494298;7.8548209;12.74
2025-08-26T20:43:18.023Z;47.4947363;7.8553417;12.06
2025-08-26T20:43:23.014Z;47.4951397;7.8557374;10.66
2025-08-26T20:43:28.011Z;47.495617;7.8559269;11.64
2025-08-26T20:43:33.011Z;47.4961543;7.8562706;13.16
2025-08-26T20:43:38.006Z;47.4966232;7.8567847;12.5
2025-08-26T20:43:43.018Z;47.4968881;7.8574546;11.58
2025-08-26T20:43:45.025Z;47.4969528;7.857755;11.23
2025-08-26T20:43:48.024Z;47.4970401;7.8581555;11.11
2025-08-26T20:43:53.007Z;47.4973463;7.8587692;11.24
2025-08-26T20:43:58.014Z;47.4977369;7.8592953;11.54
2025-08-26T20:44:03.008Z;47.4980659;7.8599263;12.15
2025-08-26T20:44:07.011Z;47.4982442;7.8605365;12.78
2025-08-26T20:44:08.015Z;47.4982741;7.8607041;12.73
2025-08-26T20:44:13.016Z;47.4982965;7.8615218;11.65
2025-08-26T20:44:17.016Z;47.4981307;7.8620485;10.43
2025-08-26T20:44:18.009Z;47.4980829;7.862145;10.11
2025-08-26T20:44:23.006Z;47.4979535;7.8627552;9.26
2025-08-26T20:44:28.020Z;47.498137;7.8632934;9.76
2025-08-26T20:44:33.010Z;47.4985663;7.8634545;10.39
2025-08-26T20:44:38.010Z;47.4989665;7.8630582;10.44
2025-08-26T20:44:43.009Z;47.4993184;7.8625953;9.88
2025-08-26T20:44:48.024Z;47.49975;7.8624503;9.81
2025-08-26T20:44:53.007Z;47.5001968;7.8626801;11.67
2025-08-26T20:44:58.009Z;47.5006829;7.8630549;12.48
2025-08-26T20:45:03.020Z;47.5012033;7.8634544;12.63
2025-08-26T20:45:08.015Z;47.5016992;7.8638205;11.56
2025-08-26T20:45:13.006Z;47.5020658;7.8642637;10.48
2025-08-26T20:45:18.009Z;47.5025029;7.8645711;10.39
2025-08-26T20:45:23.004Z;47.5029065;7.8648525;9.71
2025-08-26T20:45:28.006Z;47.5033373;7.8650298;9.97
2025-08-26T20:45:33.005Z;47.5038018;7.8649223;10.43
2025-08-26T20:45:38.015Z;47.5042601;7.8647698;10.22
2025-08-26T20:45:43.016Z;47.5046712;7.8645661;8.76
2025-08-26T20:45:48.023Z;47.5049179;7.8643198;5.26
2025-08-26T20:45:53.016Z;47.5051226;7.8644153;5.38
2025-08-26T20:45:58.016Z;47.5053667;7.8645531;5.19
