time;latitude;longitude;velocity
2025-08-24T08:39:12.414Z;46.33979;6.8906225;9.66
2025-08-24T08:39:13.409Z;46.3397211;6.8906435;9.46
2025-08-24T08:39:17.405Z;46.3393505;6.8908294;11.38
2025-08-24T08:39:22.422Z;46.3388247;6.8911282;12.8
2025-08-24T08:39:27.409Z;46.3383124;6.8914082;12.22
2025-08-24T08:39:32.413Z;46.3377868;6.8916146;11.46
2025-08-24T08:39:37.409Z;46.3373414;6.8915184;9.52
2025-08-24T08:39:42.413Z;46.3369476;6.8913016;9.38
2025-08-24T08:39:47.410Z;46.3365647;6.8910923;8.16
2025-08-24T08:39:52.424Z;46.3363404;6.8909266;3.8
2025-08-24T08:39:57.408Z;46.3362558;6.8909508;2.19
2025-08-24T08:40:02.413Z;46.3362852;6.8913039;5.05
2025-08-24T08:40:07.414Z;46.3363313;6.8917636;8.3
2025-08-24T08:40:12.419Z;46.3364008;6.8923234;8.99
2025-08-24T08:40:17.406Z;46.336469;6.8929076;9.38
2025-08-24T08:40:22.406Z;46.3365421;6.8935115;9.66
2025-08-24T08:40:27.414Z;46.3366067;6.8940864;8.58
2025-08-24T08:40:32.423Z;46.3366751;6.8946525;9.88
2025-08-24T08:40:37.409Z;46.3367565;6.8953057;9.88
2025-08-24T08:40:42.411Z;46.3368228;6.8958885;9.35
2025-08-24T08:40:47.423Z;46.3368934;6.8964464;8.38
2025-08-24T08:40:52.414Z;46.3369536;6.8968902;6.08
2025-08-24T08:40:56.419Z;46.336954;6.8971664;4.08
2025-08-24T08:40:57.406Z;46.3369266;6.8972067;4.41
2025-08-24T08:40:58.419Z;46.3368702;6.897252;5.13
2025-08-24T08:41:02.420Z;46.3366959;6.8974851;6.46
2025-08-24T08:41:07.404Z;46.3368127;6.8977141;4.16
2025-08-24T08:41:12.414Z;46.3369381;6.8974813;3.96
2025-08-24T08:41:17.405Z;46.3369775;6.8973805;0.0
2025-08-24T08:41:22.423Z;46.33698;6.8973735;0.0
2025-08-24T08:41:27.418Z;46.3369809;6.897372;0.0
2025-08-24T08:41:32.408Z;46.3369823;6.8973708;0.0
2025-08-24T08:41:37.411Z;46.3369821;6.8973713;0.66
2025-08-24T08:41:42.414Z;46.3370113;6.8972099;3.75
2025-08-24T08:41:43.410Z;46.3370156;6.8971467;4.3
2025-08-24T08:41:47.404Z;46.3369839;6.8968976;4.91
2025-08-24T08:41:52.404Z;46.3369396;6.8965686;5.97
2025-08-24T08:41:57.404Z;46.3368836;6.896164;6.88
2025-08-24T08:42:02.417Z;46.3368247;6.8957106;7.19
2025-08-24T08:42:07.408Z;46.3367734;6.8952721;6.96
2025-08-24T08:42:12.414Z;46.3367262;6.894832;7.08
2025-08-24T08:42:17.404Z;46.3366666;6.8943711;7.99
2025-08-24T08:42:22.415Z;46.3366039;6.8938474;8.33
2025-08-24T08:42:27.413Z;46.336545;6.8933107;8.83
2025-08-24T08:42:32.415Z;46.3364751;6.8927281;8.55
2025-08-24T08:42:37.421Z;46.336417;6.8921974;7.8
2025-08-24T08:42:42.416Z;46.3363547;6.8917158;7.02
2025-08-24T08:42:47.423Z;46.3363064;6.8912914;5.52
2025-08-24T08:42:52.412Z;46.3363451;6.8910866;1.69
2025-08-24T08:42:57.411Z;46.3363562;6.8910525;0.0
2025-08-24T08:43:02.406Z;46.3363606;6.8910411;0.99
2025-08-24T08:43:07.409Z;46.3362897;6.8909029;3.66
2025-08-24T08:43:12.410Z;46.3360449;6.8907745;6.35
2025-08-24T08:43:17.421Z;46.3357202;6.8906888;7.99
2025-08-24T08:43:22.415Z;46.3353447;6.8907046;7.74
2025-08-24T08:43:27.406Z;46.3350827;6.8906928;3.75
2025-08-24T08:43:29.412Z;46.3350555;6.8906916;1.38
2025-08-24T08:43:32.413Z;46.3350254;6.8906907;0.0
2025-08-24T08:43:37.422Z;46.3350254;6.8906907;0.0
2025-08-24T08:43:42.412Z;46.3349979;6.8906901;2.05
2025-08-24T08:43:47.405Z;46.3347592;6.8907315;7.36
2025-08-24T08:43:52.419Z;46.3343579;6.8907444;9.74
2025-08-24T08:43:55.416Z;46.3340938;6.8907615;10.6
2025-08-24T08:43:57.411Z;46.3338973;6.8907702;10.85
2025-08-24T08:43:58.420Z;46.3338086;6.8907722;10.94
2025-08-24T08:44:02.410Z;46.3334246;6.8907989;10.41
2025-08-24T08:44:07.412Z;46.3329748;6.8908261;9.55
2025-08-24T08:44:12.409Z;46.3326507;6.8908377;5.35
2025-08-24T08:44:17.414Z;46.3324497;6.8908294;4.49
2025-08-24T08:44:22.404Z;46.3322225;6.8908016;5.94
2025-08-24T08:44:27.405Z;46.3319074;6.8908864;8.19
2025-08-24T08:44:32.405Z;46.3314923;6.8908931;10.33
2025-08-24T08:44:34.415Z;46.3312972;6.8909039;10.91
2025-08-24T08:44:37.408Z;46.330976;6.8909247;12.88
2025-08-24T08:44:40.423Z;46.3306146;6.8909438;13.58
2025-08-24T08:44:42.414Z;46.3303492;6.890962;13.77
2025-08-24T08:44:47.405Z;46.3296919;6.8909971;15.69
2025-08-24T08:44:52.410Z;46.3289596;6.8910811;16.96
2025-08-24T08:44:57.409Z;46.3281999;6.8912727;17.83
2025-08-24T08:45:02.411Z;46.3274045;6.8916125;18.44
2025-08-24T08:45:07.413Z;46.326664;6.8920788;18.33
2025-08-24T08:45:12.409Z;46.3259513;6.8926827;17.6
2025-08-24T08:45:17.405Z;46.3253401;6.8933397;17.33
