time;latitude;longitude;velocity
2025-08-24T12:26:09.608Z;47.3508796;8.3437229;0.0
2025-08-24T12:26:14.607Z;47.3508789;8.3437232;0.0
2025-08-24T12:26:19.607Z;47.3508789;8.3437232;0.0
2025-08-24T12:26:24.608Z;47.3508368;8.3436702;2.08
2025-08-24T12:26:29.608Z;47.3507212;8.3436657;2.53
2025-08-24T12:26:31.610Z;47.350704;8.3437282;2.16
2025-08-24T12:26:34.606Z;47.3507022;8.3438408;2.73
2025-08-24T12:26:39.608Z;47.3508013;8.3440336;2.76
2025-08-24T12:26:44.608Z;47.3508677;8.344194;1.88
2025-08-24T12:26:49.609Z;47.3509223;8.3443622;4.08
2025-08-24T12:26:54.608Z;47.351057;8.344703;6.34
2025-08-24T12:26:59.616Z;47.3512126;8.3450731;7.5
2025-08-24T12:27:04.609Z;47.3513984;8.3455415;8.1
2025-08-24T12:27:09.608Z;47.3515628;8.3459238;5.41
2025-08-24T12:27:11.608Z;47.3515965;8.3460068;3.09
2025-08-24T12:27:14.608Z;47.3516315;8.3460961;2.68
2025-08-24T12:27:19.608Z;47.3517349;8.3463447;5.6
2025-08-24T12:27:24.608Z;47.3518306;8.3465803;4.29
2025-08-24T12:27:29.608Z;47.3519921;8.3469409;8.17
2025-08-24T12:27:34.606Z;47.3522108;8.3474722;9.67
2025-08-24T12:27:39.606Z;47.3524352;8.3480276;9.7
2025-08-24T12:27:44.608Z;47.3526387;8.3485526;9.23
2025-08-24T12:27:49.609Z;47.3528671;8.3491126;9.33
2025-08-24T12:27:54.607Z;47.3531141;8.3496346;9.36
2025-08-24T12:27:59.609Z;47.3534149;8.3499577;8.08
2025-08-24T12:28:04.607Z;47.353722;8.3500557;6.04
2025-08-24T12:28:09.608Z;47.353937;8.3501461;3.51
2025-08-24T12:28:13.608Z;47.3539697;8.3501538;0.09
2025-08-24T12:28:14.611Z;47.3539697;8.3501538;0.07
2025-08-24T12:28:19.608Z;47.3539697;8.3501538;0.01
2025-08-24T12:28:24.608Z;47.3539692;8.3501536;0.0
2025-08-24T12:28:29.609Z;47.3540755;8.3501366;4.01
2025-08-24T12:28:34.608Z;47.3542756;8.3501914;3.98
2025-08-24T12:28:39.608Z;47.3543444;8.3502377;0.15
2025-08-24T12:28:44.610Z;47.354425;8.3502884;4.28
2025-08-24T12:28:49.608Z;47.3546103;8.3503556;3.92
2025-08-24T12:28:54.606Z;47.3546798;8.3500906;5.55
2025-08-24T12:28:59.608Z;47.3549574;8.3497367;8.94
2025-08-24T12:29:04.607Z;47.3553404;8.3493761;9.56
2025-08-24T12:29:09.613Z;47.355723;8.3490804;9.78
2025-08-24T12:29:13.608Z;47.3560601;8.3488235;11.46
2025-08-24T12:29:14.607Z;47.3561673;8.3487442;11.76
2025-08-24T12:29:19.607Z;47.3566672;8.3483826;13.3
2025-08-24T12:29:24.618Z;47.3572197;8.3480072;13.03
2025-08-24T12:29:29.609Z;47.3577947;8.3476778;13.88
2025-08-24T12:29:34.608Z;47.358378;8.3473472;14.07
2025-08-24T12:29:39.607Z;47.3589258;8.3468671;13.85
2025-08-24T12:29:44.621Z;47.3594721;8.3463979;14.18
2025-08-24T12:29:49.625Z;47.360101;8.346079;14.99
2025-08-24T12:29:54.617Z;47.3607943;8.345904;15.81
2025-08-24T12:29:59.617Z;47.3614911;8.3457272;15.27
2025-08-24T12:30:03.615Z;47.362014;8.3455932;14.86
2025-08-24T12:30:04.614Z;47.3621578;8.3455583;14.76
2025-08-24T12:30:09.609Z;47.3628107;8.3453954;14.66
2025-08-24T12:30:14.611Z;47.3634738;8.3451497;15.38
2025-08-24T12:30:19.609Z;47.3640688;8.3446729;14.53
2025-08-24T12:30:24.616Z;47.3645991;8.344208;13.22
2025-08-24T12:30:29.625Z;47.3650989;8.3439339;10.64
2025-08-24T12:30:34.614Z;47.3654838;8.3435992;10.18
2025-08-24T12:30:39.613Z;47.3659842;8.3432649;12.69
2025-08-24T12:30:44.608Z;47.3664958;8.3429462;12.59
2025-08-24T12:30:49.611Z;47.3670228;8.3425941;12.93
2025-08-24T12:30:54.608Z;47.3675629;8.3422346;13.26
2025-08-24T12:30:59.618Z;47.3681197;8.3418641;13.16
2025-08-24T12:31:04.609Z;47.3686215;8.3415262;11.55
2025-08-24T12:31:09.608Z;47.3690757;8.3412172;10.55
2025-08-24T12:31:14.615Z;47.3694617;8.3409354;9.18
2025-08-24T12:31:19.612Z;47.3697046;8.3407522;2.85
2025-08-24T12:31:23.608Z;47.3697239;8.3407348;0.09
2025-08-24T12:31:24.608Z;47.3697239;8.3407348;0.06
2025-08-24T12:31:29.614Z;47.3697239;8.3407348;0.01
2025-08-24T12:31:34.608Z;47.3697235;8.3407348;0.0
2025-08-24T12:31:39.605Z;47.3697851;8.3406299;4.05
2025-08-24T12:31:44.606Z;47.370058;8.3403773;9.03
2025-08-24T12:31:49.608Z;47.370395;8.3400624;9.06
2025-08-24T12:31:54.620Z;47.3708132;8.339708;12.39
2025-08-24T12:31:58.608Z;47.3712358;8.3393354;14.04
2025-08-24T12:31:59.609Z;47.3713476;8.3392373;14.07
2025-08-24T12:32:04.608Z;47.371879;8.3387611;13.27
2025-08-24T12:32:09.607Z;47.3723744;8.3383355;12.76
2025-08-24T12:32:14.623Z;47.3728786;8.3378742;13.01
2025-08-24T12:32:19.605Z;47.3733671;8.3373411;13.19
2025-08-24T12:32:20.620Z;47.3734453;8.3372361;13.08
2025-08-24T12:32:24.605Z;47.3737805;8.3367651;12.42
2025-08-24T12:32:29.606Z;47.3741867;8.3362123;11.47
2025-08-24T12:32:34.618Z;47.3745541;8.3356647;12.01
2025-08-24T12:32:39.609Z;47.3749837;8.335059;14.39
2025-08-24T12:32:44.623Z;47.375475;8.3343785;15.56
2025-08-24T12:32:49.609Z;47.3760018;8.3337309;14.6
2025-08-24T12:32:54.615Z;47.3765043;8.3331505;14.4
2025-08-24T12:32:59.614Z;47.3771357;8.332661;16.78
2025-08-24T12:33:04.607Z;47.377848;8.3323717;16.04
2025-08-24T12:33:09.610Z;47.3785369;8.331927;16.89
2025-08-24T12:33:12.613Z;47.3789627;8.3315622;18.21
2025-08-24T12:33:14.608Z;47.3792396;8.3313257;18.85
2025-08-24T12:33:19.614Z;47.3799745;8.3306951;18.2
2025-08-24T12:33:24.607Z;47.380666;8.3301361;17.24
2025-08-24T12:33:29.612Z;47.3814221;8.3298298;17.3
2025-08-24T12:33:34.611Z;47.3820991;8.3293731;15.78
2025-08-24T12:33:39.609Z;47.3827526;8.3290296;15.67
2025-08-24T12:33:43.610Z;47.3833299;8.3290263;16.1
2025-08-24T12:33:44.608Z;47.383475;8.3290554;15.66
2025-08-24T12:33:49.606Z;47.3841201;8.3292296;13.75
2025-08-24T12:33:54.613Z;47.3846965;8.3293947;12.5
2025-08-24T12:33:59.610Z;47.3852269;8.3295601;11.84
2025-08-24T12:34:04.615Z;47.3857365;8.3297068;11.81
2025-08-24T12:34:09.609Z;47.3862565;8.3298599;11.49
2025-08-24T12:34:14.619Z;47.3867155;8.3299731;9.84
2025-08-24T12:34:19.608Z;47.3871138;8.329994;7.03
2025-08-24T12:34:24.612Z;47.3873463;8.3300131;3.71
2025-08-24T12:34:29.610Z;47.3873894;8.3300054;0.08
2025-08-24T12:34:34.617Z;47.3873894;8.3300054;0.01
2025-08-24T12:34:39.606Z;47.3873894;8.3300054;0.0
2025-08-24T12:34:44.612Z;47.3873894;8.3300054;0.0
2025-08-24T12:34:49.608Z;47.3873975;8.3300036;0.0
2025-08-24T12:34:54.615Z;47.3875242;8.3299411;4.87
2025-08-24T12:34:59.616Z;47.3878474;8.329925;8.58
2025-08-24T12:35:04.615Z;47.3882268;8.3299623;8.21
2025-08-24T12:35:09.607Z;47.3885302;8.3302598;8.14
2025-08-24T12:35:14.610Z;47.3888572;8.3305209;8.45
2025-08-24T12:35:19.610Z;47.3892516;8.3304962;8.8
2025-08-24T12:35:24.610Z;47.389594;8.3303277;7.82
2025-08-24T12:35:29.608Z;47.3898801;8.3299851;8.57
2025-08-24T12:35:30.606Z;47.3899367;8.3299046;8.96
2025-08-24T12:35:34.607Z;47.3901792;8.3295554;9.66
2025-08-24T12:35:39.610Z;47.3905077;8.3291495;9.18
2025-08-24T12:35:44.606Z;47.3908467;8.3288488;8.36
2025-08-24T12:35:49.608Z;47.3911421;8.3285905;6.43
2025-08-24T12:35:54.605Z;47.3913855;8.3283943;6.11
2025-08-24T12:35:59.606Z;47.3916013;8.328252;4.51
2025-08-24T12:36:04.607Z;47.3916646;8.3281937;0.1
2025-08-24T12:36:06.608Z;47.3916647;8.3281936;0.05
2025-08-24T12:36:09.611Z;47.3916647;8.3281936;0.01
2025-08-24T12:36:14.607Z;47.3916648;8.3281939;0.0
2025-08-24T12:36:19.606Z;47.3916648;8.3281939;0.0
2025-08-24T12:36:24.605Z;47.3917258;8.3280985;3.6
2025-08-24T12:36:29.609Z;47.391951;8.3279115;7.14
2025-08-24T12:36:34.609Z;47.3922646;8.327642;8.06
2025-08-24T12:36:35.607Z;47.3923127;8.327604;7.71
