time;latitude;longitude;velocity
2025-08-24T14:26:19.605Z;47.3508098;8.3437948;0.0
2025-08-24T14:26:24.605Z;47.3508098;8.3437948;0.0
2025-08-24T14:26:27.607Z;47.3508098;8.3437948;0.0
2025-08-24T14:26:29.605Z;47.3508098;8.3437948;0.0
2025-08-24T14:26:34.605Z;47.3508098;8.3437948;0.0
2025-08-24T14:26:39.605Z;47.350812;8.3437919;0.0
2025-08-24T14:26:44.607Z;47.3507892;8.3437324;1.92
2025-08-24T14:26:49.605Z;47.3507758;8.3436241;1.23
2025-08-24T14:26:54.605Z;47.3507023;8.3436223;1.75
2025-08-24T14:26:59.604Z;47.3506504;8.3437609;1.74
2025-08-24T14:27:04.603Z;47.3506859;8.3438556;1.06
2025-08-24T14:27:07.603Z;47.3507318;8.3439115;1.95
2025-08-24T14:27:09.604Z;47.3507825;8.3439913;2.3
2025-08-24T14:27:14.604Z;47.3508337;8.3441181;1.78
2025-08-24T14:27:19.604Z;47.3508482;8.3441671;0.18
2025-08-24T14:27:24.604Z;47.3508864;8.3443023;3.12
2025-08-24T14:27:29.604Z;47.3509958;8.3445659;6.07
2025-08-24T14:27:34.604Z;47.3511598;8.3449692;7.42
2025-08-24T14:27:39.604Z;47.351346;8.345425;8.25
2025-08-24T14:27:44.605Z;47.351533;8.3458704;7.41
2025-08-24T14:27:49.604Z;47.3516695;8.346228;4.42
2025-08-24T14:27:54.604Z;47.3517427;8.3464586;2.82
2025-08-24T14:27:59.604Z;47.3517569;8.3464922;0.06
2025-08-24T14:28:04.606Z;47.3517569;8.3464922;0.01
2025-08-24T14:28:09.604Z;47.3517575;8.3464937;0.0
2025-08-24T14:28:11.605Z;47.3517576;8.3464936;0.0
2025-08-24T14:28:14.605Z;47.3517575;8.3464936;0.0
2025-08-24T14:28:19.606Z;47.3518164;8.3466102;3.76
2025-08-24T14:28:24.604Z;47.3519664;8.3469009;7.12
2025-08-24T14:28:29.605Z;47.3521817;8.3474141;9.6
2025-08-24T14:28:33.609Z;47.352368;8.3478878;10.38
2025-08-24T14:28:34.610Z;47.3524057;8.3479925;10.18
2025-08-24T14:28:38.609Z;47.3525762;8.3484178;8.94
2025-08-24T14:28:39.608Z;47.3526343;8.3485562;8.77
2025-08-24T14:28:42.604Z;47.3527311;8.3487963;8.1
2025-08-24T14:28:44.607Z;47.3528144;8.3490056;7.31
2025-08-24T14:28:47.604Z;47.3529022;8.3492219;6.68
2025-08-24T14:28:49.604Z;47.3529811;8.3493924;7.98
2025-08-24T14:28:50.608Z;47.3530235;8.349478;8.63
2025-08-24T14:28:54.614Z;47.3532356;8.3498206;8.71
2025-08-24T14:28:58.604Z;47.3535062;8.3499882;8.17
2025-08-24T14:28:59.604Z;47.3535786;8.3500046;7.7
2025-08-24T14:29:04.603Z;47.3538512;8.3501233;5.0
2025-08-24T14:29:09.605Z;47.3539436;8.3501404;0.1
2025-08-24T14:29:14.604Z;47.3539436;8.3501404;0.01
2025-08-24T14:29:19.604Z;47.3539437;8.35014;0.0
2025-08-24T14:29:24.604Z;47.3540733;8.3501235;4.93
2025-08-24T14:29:29.606Z;47.3542928;8.3502017;3.92
2025-08-24T14:29:34.604Z;47.3543671;8.3502441;0.1
2025-08-24T14:29:39.605Z;47.35438;8.3502526;0.02
2025-08-24T14:29:44.604Z;47.35438;8.3502526;0.0
2025-08-24T14:29:49.605Z;47.35438;8.3502526;0.0
2025-08-24T14:29:54.603Z;47.3543824;8.3502534;0.05
2025-08-24T14:29:59.611Z;47.3544629;8.3503051;3.1
2025-08-24T14:30:04.610Z;47.3546219;8.350335;3.9
2025-08-24T14:30:09.609Z;47.3546781;8.3500434;3.61
2025-08-24T14:30:11.607Z;47.3547347;8.3499624;4.0
2025-08-24T14:30:14.605Z;47.3548735;8.3498079;6.89
2025-08-24T14:30:19.607Z;47.3551944;8.3494703;10.21
2025-08-24T14:30:24.605Z;47.3556483;8.3491159;11.88
2025-08-24T14:30:29.606Z;47.3561301;8.3487494;12.05
2025-08-24T14:30:34.605Z;47.3566261;8.3483862;13.41
2025-08-24T14:30:39.604Z;47.3572159;8.3479797;14.65
2025-08-24T14:30:44.605Z;47.3578249;8.3476365;13.88
2025-08-24T14:30:49.605Z;47.3583867;8.347312;13.08
2025-08-24T14:30:54.606Z;47.3588896;8.3468655;12.38
2025-08-24T14:30:59.603Z;47.3593661;8.3464506;12.62
2025-08-24T14:31:04.603Z;47.3598898;8.3461302;12.95
2025-08-24T14:31:09.603Z;47.3604866;8.3459669;13.6
2025-08-24T14:31:14.605Z;47.3610808;8.3458207;13.06
2025-08-24T14:31:19.604Z;47.361582;8.3456945;9.31
2025-08-24T14:31:24.607Z;47.3620324;8.3455818;11.06
2025-08-24T14:31:29.605Z;47.3625774;8.3454488;13.34
2025-08-24T14:31:34.619Z;47.3631869;8.3452722;13.48
2025-08-24T14:31:39.603Z;47.3637734;8.344931;13.8
2025-08-24T14:31:44.603Z;47.3643002;8.3444352;13.46
2025-08-24T14:31:49.605Z;47.3647979;8.3440584;11.21
2025-08-24T14:31:54.604Z;47.3652027;8.3438375;9.13
2025-08-24T14:31:59.604Z;47.3655953;8.343502;11.41
2025-08-24T14:32:04.604Z;47.3661132;8.3431677;12.63
2025-08-24T14:32:09.605Z;47.3666479;8.3428224;12.83
2025-08-24T14:32:10.603Z;47.3667474;8.3427583;12.94
2025-08-24T14:32:14.606Z;47.367191;8.3424521;13.43
2025-08-24T14:32:19.607Z;47.3677453;8.3420813;13.87
2025-08-24T14:32:24.604Z;47.3683331;8.3416897;14.13
2025-08-24T14:32:29.607Z;47.3688721;8.3413267;12.68
2025-08-24T14:32:34.605Z;47.3693684;8.3409636;12.03
2025-08-24T14:32:39.612Z;47.3698478;8.3405419;12.5
2025-08-24T14:32:44.604Z;47.3703429;8.3400753;12.73
2025-08-24T14:32:49.610Z;47.3708259;8.3396636;12.75
2025-08-24T14:32:54.604Z;47.3713419;8.339209;13.36
2025-08-24T14:32:59.606Z;47.3718611;8.3387443;13.42
2025-08-24T14:33:04.604Z;47.372362;8.3383149;12.79
2025-08-24T14:33:09.603Z;47.3728533;8.3378652;12.28
2025-08-24T14:33:14.607Z;47.3733076;8.3373786;13.21
2025-08-24T14:33:19.606Z;47.3737585;8.3367485;13.71
2025-08-24T14:33:24.604Z;47.374182;8.3361817;12.67
2025-08-24T14:33:29.603Z;47.37461;8.335543;13.2
2025-08-24T14:33:34.602Z;47.3750908;8.3348599;16.19
2025-08-24T14:33:39.603Z;47.3756252;8.334146;15.94
2025-08-24T14:33:44.604Z;47.3761814;8.3334762;15.87
2025-08-24T14:33:46.604Z;47.3764072;8.333213;15.32
2025-08-24T14:33:49.604Z;47.3767523;8.3328917;15.47
2025-08-24T14:33:54.607Z;47.3774335;8.3324954;16.27
2025-08-24T14:33:59.604Z;47.3781136;8.3322229;15.76
2025-08-24T14:34:04.605Z;47.3787744;8.3316975;16.93
2025-08-24T14:34:09.608Z;47.3794511;8.3311279;17.26
2025-08-24T14:34:14.605Z;47.3801064;8.3305611;16.42
2025-08-24T14:34:19.604Z;47.3807477;8.3300749;16.18
2025-08-24T14:34:24.604Z;47.3814377;8.3298124;15.35
2025-08-24T14:34:29.604Z;47.3820504;8.3293977;14.31
2025-08-24T14:34:34.605Z;47.3826412;8.3290459;14.07
2025-08-24T14:34:39.608Z;47.3832662;8.329018;14.56
2025-08-24T14:34:41.603Z;47.3835685;8.3290755;14.8
2025-08-24T14:34:44.603Z;47.3839114;8.3291651;13.54
