time;latitude;longitude;velocity
2025-08-25T09:41:55.011Z;47.4264638;9.0843382;13.83
2025-08-25T09:42:00.010Z;47.4268231;9.0835912;13.33
2025-08-25T09:42:05.014Z;47.4270879;9.0828661;11.58
2025-08-25T09:42:09.019Z;47.4272782;9.0824368;8.44
2025-08-25T09:42:10.016Z;47.427326;9.0823553;7.52
2025-08-25T09:42:15.016Z;47.4275052;9.0821532;2.99
2025-08-25T09:42:20.024Z;47.4275435;9.0821215;0.0
2025-08-25T09:42:22.020Z;47.4275434;9.0821218;0.0
2025-08-25T09:42:25.020Z;47.4275437;9.0821222;0.0
2025-08-25T09:42:30.019Z;47.4275437;9.0821224;0.0
2025-08-25T09:42:35.015Z;47.4275603;9.0821058;2.27
2025-08-25T09:42:40.010Z;47.4277778;9.0819509;6.63
2025-08-25T09:42:45.023Z;47.4280807;9.0818745;6.05
2025-08-25T09:42:50.019Z;47.4282944;9.0818573;3.94
2025-08-25T09:42:55.026Z;47.4284296;9.0818888;2.46
2025-08-25T09:43:00.014Z;47.4285699;9.081876;3.71
2025-08-25T09:43:05.015Z;47.4287849;9.0817041;7.13
2025-08-25T09:43:10.010Z;47.4291443;9.0815332;9.05
2025-08-25T09:43:15.011Z;47.4295988;9.0813111;11.66
2025-08-25T09:43:20.017Z;47.4301224;9.0809953;13.35
2025-08-25T09:43:25.029Z;47.4306358;9.0803853;15.33
2025-08-25T09:43:30.011Z;47.4311631;9.0796745;16.05
2025-08-25T09:43:35.011Z;47.4317437;9.0790361;16.49
2025-08-25T09:43:40.016Z;47.4323462;9.078381;16.38
2025-08-25T09:43:44.012Z;47.4328195;9.077887;15.83
2025-08-25T09:43:45.014Z;47.4329346;9.0777839;15.71
2025-08-25T09:43:50.026Z;47.4335689;9.0773037;15.83
2025-08-25T09:43:55.030Z;47.4342052;9.0768297;15.13
2025-08-25T09:44:00.016Z;47.4348188;9.0764885;14.44
2025-08-25T09:44:05.011Z;47.4354204;9.0763539;11.85
2025-08-25T09:44:10.020Z;47.4359724;9.0762605;13.08
2025-08-25T09:44:15.011Z;47.4365565;9.0760316;13.55
2025-08-25T09:44:20.014Z;47.4371116;9.0757276;13.21
2025-08-25T09:44:25.016Z;47.4376896;9.0755785;12.77
2025-08-25T09:44:30.015Z;47.4382772;9.0755771;12.71
2025-08-25T09:44:32.021Z;47.4384984;9.075595;12.77
2025-08-25T09:44:35.020Z;47.4388273;9.0756245;12.8
2025-08-25T09:44:40.014Z;47.4393875;9.0756679;10.94
2025-08-25T09:44:45.020Z;47.4398353;9.0758323;9.41
2025-08-25T09:44:50.017Z;47.4401361;9.0759306;5.0
2025-08-25T09:44:55.015Z;47.4402107;9.0759542;0.8
2025-08-25T09:45:00.020Z;47.4402296;9.0759583;0.0
2025-08-25T09:45:05.014Z;47.4402296;9.0759583;0.0
2025-08-25T09:45:10.012Z;47.4402296;9.0759583;0.0
2025-08-25T09:45:15.012Z;47.4402505;9.0759616;0.52
2025-08-25T09:45:20.015Z;47.4404103;9.0759715;5.83
