time;latitude;longitude;velocity
2025-08-24T21:16:11.209Z;46.8942233;8.2472213;3.52
2025-08-24T21:16:13.210Z;46.8943041;8.2472415;4.63
2025-08-24T21:16:18.210Z;46.8945567;8.2472663;6.19
2025-08-24T21:16:23.209Z;46.8948;8.2472458;3.85
2025-08-24T21:16:28.210Z;46.8947757;8.2470051;4.1
2025-08-24T21:16:33.210Z;46.8948133;8.2465709;8.05
2025-08-24T21:16:38.209Z;46.8948477;8.2460254;8.33
2025-08-24T21:16:43.209Z;46.894876;8.2455775;4.96
2025-08-24T21:16:48.209Z;46.8948828;8.2453997;1.19
2025-08-24T21:16:53.209Z;46.8947406;8.2453104;5.13
2025-08-24T21:16:58.209Z;46.8944158;8.2451948;8.63
2025-08-24T21:17:03.209Z;46.8939791;8.2450422;10.49
2025-08-24T21:17:06.208Z;46.8937286;8.244951;10.74
2025-08-24T21:17:08.208Z;46.8935221;8.2448722;11.11
2025-08-24T21:17:13.208Z;46.8930623;8.2447012;9.83
2025-08-24T21:17:18.207Z;46.892729;8.2445822;5.19
2025-08-24T21:17:23.208Z;46.8926755;8.2442562;6.49
2025-08-24T21:17:28.209Z;46.8927203;8.243662;10.52
2025-08-24T21:17:33.207Z;46.8927606;8.2429743;10.63
2025-08-24T21:17:38.209Z;46.8927684;8.242309;9.74
2025-08-24T21:17:43.208Z;46.8927085;8.241669;10.02
2025-08-24T21:17:48.208Z;46.8927676;8.2409615;11.88
2025-08-24T21:17:53.208Z;46.8928456;8.2401767;12.1
2025-08-24T21:17:58.209Z;46.8929511;8.2393825;12.16
2025-08-24T21:18:03.208Z;46.8931051;8.2387192;9.13
2025-08-24T21:18:06.208Z;46.8931367;8.2384401;6.33
2025-08-24T21:18:08.208Z;46.8930787;8.2383013;6.16
2025-08-24T21:18:13.209Z;46.8927889;8.238172;7.63
2025-08-24T21:18:18.208Z;46.8924166;8.2379824;8.99
2025-08-24T21:18:23.208Z;46.892056;8.2376574;9.94
2025-08-24T21:18:28.208Z;46.8917241;8.2372504;9.88
2025-08-24T21:18:33.208Z;46.8915113;8.2366941;9.69
2025-08-24T21:18:38.208Z;46.8914009;8.2362164;6.02
2025-08-24T21:18:43.208Z;46.8913495;8.236014;1.38
2025-08-24T21:18:45.208Z;46.8913363;8.2359664;0.44
2025-08-24T21:18:48.208Z;46.8913382;8.2359731;0.0
2025-08-24T21:18:53.208Z;46.8913382;8.2359732;0.0
2025-08-24T21:18:58.208Z;46.8913382;8.2359732;0.0
2025-08-24T21:19:03.208Z;46.8913382;8.2359732;0.0
2025-08-24T21:19:08.208Z;46.8913311;8.2359488;2.02
2025-08-24T21:19:13.208Z;46.8912125;8.2356348;7.55
2025-08-24T21:19:18.208Z;46.8909893;8.2351488;10.24
2025-08-24T21:19:23.208Z;46.8907276;8.2345848;10.63
2025-08-24T21:19:28.208Z;46.8903985;8.2340701;10.69
2025-08-24T21:19:33.208Z;46.889966;8.2337124;11.52
2025-08-24T21:19:38.208Z;46.8894794;8.2335118;11.25
2025-08-24T21:19:43.208Z;46.8890318;8.2332863;10.16
2025-08-24T21:19:48.208Z;46.888686;8.2328999;9.83
2025-08-24T21:19:53.208Z;46.8883625;8.2324397;9.83
2025-08-24T21:19:58.208Z;46.8879528;8.232126;10.83
2025-08-24T21:20:03.208Z;46.8874784;8.2318181;12.5
2025-08-24T21:20:08.208Z;46.8869705;8.231404;13.49
2025-08-24T21:20:13.208Z;46.8864717;8.2307478;15.63
2025-08-24T21:20:16.208Z;46.8861499;8.2303591;16.35
2025-08-24T21:20:18.208Z;46.8859207;8.2301024;16.44
2025-08-24T21:20:23.208Z;46.8853493;8.2294483;15.6
2025-08-24T21:20:28.208Z;46.8848226;8.2288543;14.69
2025-08-24T21:20:33.208Z;46.8843258;8.2282896;13.85
2025-08-24T21:20:38.208Z;46.8838533;8.2277173;13.47
2025-08-24T21:20:43.208Z;46.8834506;8.2271152;13.05
2025-08-24T21:20:48.208Z;46.8830064;8.2265912;12.63
2025-08-24T21:20:53.207Z;46.8825254;8.2261147;13.1
2025-08-24T21:20:58.208Z;46.8820311;8.2256972;12.83
2025-08-24T21:21:03.208Z;46.8815928;8.2251824;11.8
2025-08-24T21:21:08.208Z;46.8811998;8.2246976;10.99
2025-08-24T21:21:13.208Z;46.8808288;8.2242544;10.44
2025-08-24T21:21:18.208Z;46.8805173;8.2238436;7.77
2025-08-24T21:21:23.208Z;46.8803696;8.2236043;2.69
2025-08-24T21:21:28.208Z;46.8803494;8.2235695;0.0
2025-08-24T21:21:33.208Z;46.8803494;8.2235695;0.0
2025-08-24T21:21:38.208Z;46.8803497;8.2235686;0.0
2025-08-24T21:21:43.208Z;46.8802803;8.223449;4.72
2025-08-24T21:21:48.208Z;46.8800905;8.2230618;8.88
2025-08-24T21:21:53.208Z;46.8797531;8.2226208;10.99
2025-08-24T21:21:58.208Z;46.8793115;8.2223775;10.52
2025-08-24T21:22:03.208Z;46.8789179;8.221929;11.49
2025-08-24T21:22:08.208Z;46.8784945;8.221431;11.88
2025-08-24T21:22:13.208Z;46.8780802;8.2209953;11.49
2025-08-24T21:22:18.208Z;46.8777001;8.2206158;9.41
2025-08-24T21:22:23.208Z;46.8774575;8.2203759;4.1
2025-08-24T21:22:28.208Z;46.8774048;8.220325;0.0
2025-08-24T21:22:33.208Z;46.8774048;8.220325;0.0
2025-08-24T21:22:38.208Z;46.877405;8.2203257;0.0
2025-08-24T21:22:43.208Z;46.8773361;8.2202606;4.21
2025-08-24T21:22:48.208Z;46.8771817;8.2199095;7.94
2025-08-24T21:22:53.208Z;46.8769857;8.2194117;9.69
2025-08-24T21:22:57.208Z;46.8767657;8.2189603;10.58
2025-08-24T21:22:58.209Z;46.8767074;8.2188585;10.63
2025-08-24T21:23:03.208Z;46.8764647;8.2183047;10.49
2025-08-24T21:23:08.208Z;46.8763167;8.2176146;10.58
2025-08-24T21:23:13.208Z;46.8760069;8.2170556;11.44
2025-08-24T21:23:18.208Z;46.8756503;8.2164961;11.99
2025-08-24T21:23:23.208Z;46.8752644;8.2159566;12.19
2025-08-24T21:23:28.208Z;46.8749076;8.2153975;11.6
2025-08-24T21:23:33.208Z;46.8746782;8.2147028;11.77
2025-08-24T21:23:37.208Z;46.8744899;8.2141577;12.41
2025-08-24T21:23:38.208Z;46.8744116;8.2140369;12.6
2025-08-24T21:23:43.208Z;46.8738605;8.2136979;13.58
2025-08-24T21:23:48.208Z;46.8733674;8.2132168;13.88
2025-08-24T21:23:53.208Z;46.8729903;8.212496;14.08
2025-08-24T21:23:58.208Z;46.8726277;8.2117759;13.35
2025-08-24T21:24:03.209Z;46.8722919;8.2111036;12.5
2025-08-24T21:24:08.208Z;46.8721074;8.2103409;11.94
2025-08-24T21:24:13.208Z;46.872072;8.2095461;12.74
2025-08-24T21:24:18.208Z;46.8716991;8.2088995;13.3
2025-08-24T21:24:23.208Z;46.8712182;8.2083548;14.13
2025-08-24T21:24:28.208Z;46.8708135;8.2076231;14.8
2025-08-24T21:24:32.208Z;46.8704909;8.2069783;14.88
2025-08-24T21:24:33.208Z;46.8704117;8.206811;14.91
2025-08-24T21:24:38.208Z;46.8700721;8.2060468;14.16
2025-08-24T21:24:43.209Z;46.8697087;8.2052914;13.52
2025-08-24T21:24:48.208Z;46.8693753;8.2045541;13.47
2025-08-24T21:24:53.207Z;46.8691128;8.2037672;13.47
2025-08-24T21:24:58.208Z;46.8689505;8.2029388;12.99
2025-08-24T21:25:03.208Z;46.8686848;8.2021904;13.13
2025-08-24T21:25:08.208Z;46.8683622;8.2014849;12.85
2025-08-24T21:25:13.208Z;46.8680298;8.2008153;12.83
2025-08-24T21:25:18.208Z;46.8677611;8.2000219;13.94
2025-08-24T21:25:23.208Z;46.8674619;8.1992018;14.33
2025-08-24T21:25:28.208Z;46.8671626;8.1983568;14.49
2025-08-24T21:25:33.208Z;46.8669085;8.1975218;13.83
2025-08-24T21:25:38.208Z;46.8665963;8.196732;13.66
2025-08-24T21:25:43.208Z;46.8662991;8.1960268;11.71
2025-08-24T21:25:48.208Z;46.8660421;8.1954056;11.49
2025-08-24T21:25:53.208Z;46.8656537;8.1948056;13.1
2025-08-24T21:25:58.209Z;46.8652319;8.1941692;14.02
2025-08-24T21:26:03.208Z;46.8647755;8.1935449;13.66
2025-08-24T21:26:08.208Z;46.8643334;8.1929432;13.33
