time;latitude;longitude;velocity
2025-08-23T05:06:14.207Z;46.9884954;9.4988329;4.8
2025-08-23T05:06:19.207Z;46.9884118;9.4989048;2.46
2025-08-23T05:06:24.207Z;46.9883023;9.4988923;2.77
2025-08-23T05:06:29.207Z;46.9882404;9.4985979;6.94
2025-08-23T05:06:34.207Z;46.9880029;9.4981468;10.66
2025-08-23T05:06:39.206Z;46.9876518;9.4975978;12.88
2025-08-23T05:06:44.207Z;46.9872041;9.4970752;14.41
2025-08-23T05:06:49.207Z;46.9867341;9.496474;14.6
2025-08-23T05:06:54.205Z;46.9862931;9.4958138;14.88
2025-08-23T05:06:59.207Z;46.9857903;9.4952488;15.1
2025-08-23T05:07:04.206Z;46.9852052;9.4949332;14.77
2025-08-23T05:07:09.207Z;46.9846622;9.4947233;12.6
2025-08-23T05:07:14.206Z;46.9841702;9.4943271;13.91
2025-08-23T05:07:19.204Z;46.9836348;9.4939216;14.33
2025-08-23T05:07:24.206Z;46.9830947;9.4935922;14.16
2025-08-23T05:07:29.206Z;46.98255;9.4932483;13.94
2025-08-23T05:07:34.206Z;46.9820476;9.4928332;13.96
2025-08-23T05:07:36.206Z;46.9818465;9.492611;13.41
2025-08-23T05:07:39.206Z;46.9816111;9.4923021;12.74
2025-08-23T05:07:44.205Z;46.9811285;9.492005;13.58
2025-08-23T05:07:49.205Z;46.9805418;9.4918696;14.52
2025-08-23T05:07:54.205Z;46.9799269;9.4916544;14.77
2025-08-23T05:07:59.205Z;46.9793179;9.4915857;14.58
2025-08-23T05:08:04.205Z;46.9787253;9.4913129;14.58
2025-08-23T05:08:09.204Z;46.9781699;9.4911161;13.33
2025-08-23T05:08:14.204Z;46.9776821;9.4912151;12.02
2025-08-23T05:08:19.203Z;46.9771755;9.4911687;12.19
2025-08-23T05:08:24.203Z;46.9766701;9.4911028;12.52
2025-08-23T05:08:29.203Z;46.9761263;9.4911288;12.99
2025-08-23T05:08:34.204Z;46.97558;9.4912317;13.19
2025-08-23T05:08:39.203Z;46.9750363;9.4910611;13.33
2025-08-23T05:08:44.203Z;46.9745331;9.4908664;11.83
2025-08-23T05:08:49.204Z;46.9741149;9.4908784;9.02
2025-08-23T05:08:54.204Z;46.9738218;9.4910397;7.52
2025-08-23T05:08:59.203Z;46.9734485;9.4908883;10.66
2025-08-23T05:09:04.204Z;46.9729709;9.4908864;11.77
2025-08-23T05:09:09.204Z;46.9724776;9.4906269;13.05
2025-08-23T05:09:14.204Z;46.9719083;9.4904462;14.27
2025-08-23T05:09:19.204Z;46.9713144;9.4903181;13.99
2025-08-23T05:09:22.204Z;46.9709515;9.4903652;14.1
2025-08-23T05:09:24.203Z;46.9707214;9.4903896;14.21
2025-08-23T05:09:29.203Z;46.9701203;9.4904571;13.96
2025-08-23T05:09:34.204Z;46.9695333;9.4905907;14.58
2025-08-23T05:09:39.204Z;46.9689785;9.4907784;12.6
2025-08-23T05:09:44.203Z;46.9686848;9.4913182;10.6
2025-08-23T05:09:49.203Z;46.9683329;9.4914951;10.46
2025-08-23T05:09:54.203Z;46.9678224;9.4914321;13.38
2025-08-23T05:09:59.203Z;46.9672268;9.4914312;14.91
2025-08-23T05:10:04.204Z;46.9666225;9.4915058;13.47
2025-08-23T05:10:09.203Z;46.9661838;9.4915566;10.0
2025-08-23T05:10:14.203Z;46.9659083;9.491112;10.69
2025-08-23T05:10:19.204Z;46.9655003;9.4907223;11.58
2025-08-23T05:10:24.203Z;46.9652029;9.4901455;12.55
2025-08-23T05:10:29.203Z;46.9647879;9.4896426;13.49
2025-08-23T05:10:34.204Z;46.9642951;9.48912;14.02
2025-08-23T05:10:39.204Z;46.9638729;9.488528;14.27
2025-08-23T05:10:44.203Z;46.9633587;9.4879865;14.66
2025-08-23T05:10:49.203Z;46.9628043;9.4875926;14.77
2025-08-23T05:10:54.203Z;46.9622893;9.4870403;14.8
2025-08-23T05:10:59.204Z;46.9618331;9.4864944;13.91
2025-08-23T05:11:04.204Z;46.9615883;9.4857809;13.02
2025-08-23T05:11:09.203Z;46.9613991;9.4852214;8.83
2025-08-23T05:11:14.204Z;46.9609746;9.4851676;11.21
2025-08-23T05:11:19.203Z;46.9605432;9.4848878;12.05
2025-08-23T05:11:24.203Z;46.9599944;9.4847981;13.96
2025-08-23T05:11:29.203Z;46.9593813;9.4848352;14.74
