time;latitude;longitude;velocity
2025-08-19T12:49:22.210Z;46.5905596;7.9118579;4.53
2025-08-19T12:49:27.210Z;46.5906187;7.9117942;0.08
2025-08-19T12:49:32.210Z;46.5906187;7.9117942;0.01
2025-08-19T12:49:37.210Z;46.5906187;7.9117942;0.0
2025-08-19T12:49:42.208Z;46.5906187;7.9117942;0.0
2025-08-19T12:49:47.208Z;46.5906187;7.9117937;0.0
2025-08-19T12:49:57.210Z;46.5908166;7.9115124;6.46
2025-08-19T12:50:02.208Z;46.5911475;7.911303;8.92
2025-08-19T12:50:07.210Z;46.5915509;7.9110958;10.13
2025-08-19T12:50:12.209Z;46.5919861;7.9108725;10.31
2025-08-19T12:50:17.208Z;46.5923625;7.9105086;10.18
2025-08-19T12:50:22.210Z;46.5927451;7.9101571;10.02
2025-08-19T12:50:27.210Z;46.5930603;7.9097231;9.17
2025-08-19T12:50:32.210Z;46.5932502;7.9094711;3.58
2025-08-19T12:50:37.210Z;46.593282;7.9094301;0.06
2025-08-19T12:50:42.209Z;46.593282;7.9094301;0.01
2025-08-19T12:50:52.210Z;46.593282;7.9094301;0.0
2025-08-19T12:50:57.211Z;46.593282;7.9094301;0.0
2025-08-19T12:51:02.208Z;46.5932863;7.9094247;0.0
2025-08-19T12:51:07.208Z;46.5933232;7.9093748;2.95
2025-08-19T12:51:12.209Z;46.5934838;7.9091424;6.57
2025-08-19T12:51:17.208Z;46.5936331;7.9087374;6.3
2025-08-19T12:51:22.210Z;46.5935257;7.9084381;6.13
2025-08-19T12:51:27.209Z;46.5932155;7.908404;6.82
2025-08-19T12:51:32.208Z;46.592913;7.9082973;7.63
2025-08-19T12:51:37.210Z;46.5926907;7.9079698;6.91
2025-08-19T12:51:47.208Z;46.5929769;7.9074826;3.48
2025-08-19T12:51:52.210Z;46.593119;7.9074319;2.77
2025-08-19T12:51:57.209Z;46.593225;7.9073999;1.93
2025-08-19T12:52:02.210Z;46.5932883;7.9073827;1.48
2025-08-19T12:52:07.210Z;46.5933908;7.9073534;2.73
2025-08-19T12:52:12.210Z;46.5934916;7.9073249;2.72
2025-08-19T12:52:17.210Z;46.5936275;7.907291;2.36
2025-08-19T12:52:22.209Z;46.5936762;7.9072778;1.61
2025-08-19T12:52:32.208Z;46.5937601;7.9072568;0.81
2025-08-19T12:52:37.208Z;46.5937932;7.9072517;0.34
2025-08-19T12:52:42.209Z;46.5937961;7.9072528;0.1
2025-08-19T12:52:47.208Z;46.5937961;7.9072528;0.02
2025-08-19T12:52:52.210Z;46.5937961;7.9072528;0.0
2025-08-19T12:52:57.210Z;46.5937961;7.9072528;0.0
2025-08-19T12:53:02.209Z;46.5937961;7.9072528;0.0
2025-08-19T12:53:07.210Z;46.5938025;7.9072529;0.0
2025-08-19T12:53:12.210Z;46.5938194;7.9072525;0.69
2025-08-19T12:53:17.208Z;46.593892;7.9072619;2.32
2025-08-19T12:53:27.210Z;46.5941878;7.9073943;2.9
2025-08-19T12:53:32.209Z;46.5942936;7.9074096;2.98
2025-08-19T12:53:37.210Z;46.5944876;7.9074375;4.46
2025-08-19T12:53:42.210Z;46.5947123;7.9074602;6.01
2025-08-19T12:53:47.208Z;46.5949855;7.9074681;6.03
2025-08-19T12:53:52.210Z;46.5952369;7.9074504;5.75
2025-08-19T12:53:57.209Z;46.5954486;7.9074272;3.4
2025-08-19T12:54:02.209Z;46.5954947;7.9074275;0.08
2025-08-19T12:54:07.209Z;46.5954947;7.9074275;0.01
2025-08-19T12:54:12.210Z;46.5954947;7.9074275;0.0
2025-08-19T12:54:22.208Z;46.5954965;7.9074276;0.0
2025-08-19T12:54:27.210Z;46.5955014;7.9074294;1.2
2025-08-19T12:54:32.209Z;46.5956453;7.9074303;4.57
2025-08-19T12:54:37.210Z;46.595905;7.9074557;6.23
2025-08-19T12:54:42.210Z;46.5962183;7.9075048;7.15
2025-08-19T12:54:47.210Z;46.5965554;7.9075567;7.68
2025-08-19T12:54:52.210Z;46.5969086;7.9076126;8.2
2025-08-19T12:54:57.211Z;46.5972358;7.9075713;7.1
2025-08-19T12:55:02.210Z;46.5975368;7.9074096;7.34
2025-08-19T12:55:07.209Z;46.5978381;7.9075404;7.24
2025-08-19T12:55:12.210Z;46.598151;7.9076078;6.82
2025-08-19T12:55:17.209Z;46.598474;7.9075895;7.14
2025-08-19T12:55:22.209Z;46.5987672;7.9075926;6.41
2025-08-19T12:55:32.210Z;46.5990643;7.9076038;1.43
2025-08-19T12:55:37.208Z;46.5990849;7.9075585;0.03
2025-08-19T12:55:42.210Z;46.5990849;7.9075585;0.0
2025-08-19T12:55:47.210Z;46.5990849;7.9075585;0.0
2025-08-19T12:55:52.209Z;46.5990849;7.9075585;0.0
2025-08-19T12:55:57.210Z;46.5990849;7.9075585;0.0
2025-08-19T12:56:02.210Z;46.5990849;7.9075585;0.0
2025-08-19T12:56:07.210Z;46.5990849;7.9075585;0.0
2025-08-19T12:56:12.209Z;46.5990883;7.9075485;0.0
2025-08-19T12:56:17.210Z;46.599094;7.907529;0.88
2025-08-19T12:56:22.209Z;46.5991124;7.9074883;0.16
2025-08-19T12:56:28.208Z;46.599168;7.9074006;4.39
2025-08-19T12:56:37.208Z;46.5996716;7.9067949;8.76
2025-08-19T12:56:42.209Z;46.5999562;7.9066691;4.95
2025-08-19T12:56:47.209Z;46.6000048;7.9068538;3.15
2025-08-19T12:56:52.209Z;46.5998176;7.9070725;5.29
2025-08-19T12:56:57.210Z;46.5996295;7.9073646;6.41
2025-08-19T12:57:02.210Z;46.5995491;7.9078161;7.4
2025-08-19T12:57:07.210Z;46.5993268;7.9081439;6.68
2025-08-19T12:57:12.210Z;46.5991333;7.9084033;5.28
2025-08-19T12:57:17.210Z;46.5989318;7.9086075;5.76
2025-08-19T12:57:22.209Z;46.5988237;7.9086726;0.13
2025-08-19T12:57:27.208Z;46.598818;7.908678;0.02
2025-08-19T12:57:32.209Z;46.598818;7.908678;0.0
2025-08-19T12:57:37.210Z;46.5987508;7.9088003;2.91
2025-08-19T12:57:47.209Z;46.598649;7.9086644;2.91
2025-08-19T12:57:52.210Z;46.5988582;7.9086369;4.54
2025-08-19T12:57:57.209Z;46.5990719;7.9085389;4.39
2025-08-19T12:58:02.209Z;46.5991872;7.9083961;2.81
2025-08-19T12:58:07.210Z;46.5991979;7.9083706;0.04
2025-08-19T12:58:12.209Z;46.5991979;7.9083707;0.0
2025-08-19T12:58:17.208Z;46.5991979;7.9083707;0.0
2025-08-19T12:58:22.209Z;46.5991979;7.9083707;0.0
2025-08-19T12:58:27.208Z;46.5991979;7.9083707;0.0
2025-08-19T12:58:32.209Z;46.5991979;7.9083707;0.0
2025-08-19T12:58:37.210Z;46.5991979;7.9083707;0.0
2025-08-19T12:58:42.210Z;46.5991979;7.9083707;0.0
2025-08-19T12:58:47.210Z;46.5991979;7.9083707;0.0
2025-08-19T12:58:53.210Z;46.5991979;7.9083707;0.0
2025-08-19T12:59:02.210Z;46.5991979;7.9083707;0.0
2025-08-19T12:59:07.209Z;46.5991979;7.9083707;0.0
2025-08-19T12:59:12.209Z;46.5991979;7.9083708;0.0
2025-08-19T12:59:17.209Z;46.5992628;7.9082231;4.77
2025-08-19T12:59:22.209Z;46.5994673;7.9079351;7.06
2025-08-19T12:59:27.209Z;46.5996172;7.9075764;6.38
2025-08-19T12:59:32.209Z;46.5997011;7.907213;5.68
2025-08-19T12:59:37.209Z;46.5999267;7.9069538;6.21
2025-08-19T12:59:42.209Z;46.600051;7.9067285;2.92
2025-08-19T12:59:47.209Z;46.6000453;7.9066605;0.75
2025-08-19T12:59:52.209Z;46.5999247;7.9065905;4.55
2025-08-19T12:59:57.209Z;46.5996452;7.9067648;6.87
2025-08-19T13:00:02.208Z;46.5993972;7.9071344;7.99
2025-08-19T13:00:07.210Z;46.5991542;7.9073824;5.91
2025-08-19T13:00:12.209Z;46.5989924;7.9074505;2.34
2025-08-19T13:00:22.209Z;46.5989626;7.9074665;0.11
2025-08-19T13:00:27.210Z;46.5989433;7.9074718;1.02
2025-08-19T13:00:32.209Z;46.5989117;7.9074839;0.05
2025-08-19T13:00:37.209Z;46.5989117;7.9074839;0.0
2025-08-19T13:00:42.209Z;46.5989117;7.9074839;0.0
2025-08-19T13:00:47.209Z;46.5989117;7.9074839;0.0
2025-08-19T13:00:52.209Z;46.5989117;7.9074839;0.0
2025-08-19T13:00:57.209Z;46.5989117;7.9074839;0.0
2025-08-19T13:01:02.208Z;46.5989117;7.9074839;0.0
2025-08-19T13:01:07.209Z;46.5989117;7.9074839;0.0
2025-08-19T13:01:12.209Z;46.5989117;7.9074839;0.0
2025-08-19T13:01:17.209Z;46.5989117;7.9074839;0.0
2025-08-19T13:01:22.209Z;46.5989117;7.9074839;0.0
2025-08-19T13:01:27.210Z;46.5989117;7.9074839;0.0
2025-08-19T13:01:32.210Z;46.5989117;7.9074839;0.0
2025-08-19T13:01:37.210Z;46.5989117;7.9074839;0.0
2025-08-19T13:01:42.210Z;46.5989117;7.9074839;0.0
2025-08-19T13:01:52.209Z;46.5989117;7.9074839;0.0
2025-08-19T13:01:57.210Z;46.5989117;7.9074839;0.0
2025-08-19T13:02:02.209Z;46.5989117;7.9074839;0.0
2025-08-19T13:02:07.208Z;46.5989117;7.9074839;0.0
