time;latitude;longitude;velocity
2025-08-23T11:31:04.205Z;46.7484052;6.8093481;5.55
2025-08-23T11:31:05.205Z;46.7484286;6.8092711;6.59
2025-08-23T11:31:10.205Z;46.7485097;6.8087371;9.1
2025-08-23T11:31:15.205Z;46.7485595;6.8082111;8.15
2025-08-23T11:31:20.207Z;46.7488412;6.8078058;9.52
2025-08-23T11:31:25.207Z;46.7492606;6.8076791;9.18
2025-08-23T11:31:26.206Z;46.7493344;6.8076944;8.84
2025-08-23T11:31:30.206Z;46.7496264;6.8076945;7.7
2025-08-23T11:31:35.205Z;46.7498854;6.8075628;4.56
2025-08-23T11:31:40.206Z;46.7500179;6.8077359;5.55
2025-08-23T11:31:44.208Z;46.7501495;6.8081094;9.02
2025-08-23T11:31:45.206Z;46.7501826;6.8082203;9.23
2025-08-23T11:31:50.205Z;46.7503086;6.8087945;9.81
2025-08-23T11:31:55.205Z;46.7504744;6.8093142;7.39
2025-08-23T11:32:00.204Z;46.7505576;6.8097338;5.51
2025-08-23T11:32:05.205Z;46.750646;6.810147;7.95
2025-08-23T11:32:10.207Z;46.7509319;6.8105364;10.23
2025-08-23T11:32:15.207Z;46.7514708;6.8105544;13.03
2025-08-23T11:32:20.207Z;46.7521069;6.810684;15.99
2025-08-23T11:32:25.206Z;46.7528535;6.8109975;18.3
2025-08-23T11:32:27.206Z;46.7531785;6.8111327;19.14
2025-08-23T11:32:30.206Z;46.7536733;6.8113445;20.18
2025-08-23T11:32:35.206Z;46.7545401;6.8117338;19.98
2025-08-23T11:32:40.205Z;46.7552723;6.8124422;19.11
2025-08-23T11:32:45.205Z;46.7558797;6.8132684;17.81
2025-08-23T11:32:50.205Z;46.7565122;6.8138872;17.18
2025-08-23T11:32:55.205Z;46.7572433;6.8142365;17.29
2025-08-23T11:33:00.205Z;46.7579293;6.8143915;14.72
2025-08-23T11:33:05.205Z;46.7585397;6.8145025;15.1
2025-08-23T11:33:10.205Z;46.7591688;6.8148246;13.98
2025-08-23T11:33:15.206Z;46.7596373;6.8151452;10.03
2025-08-23T11:33:20.206Z;46.7598906;6.8157555;12.2
2025-08-23T11:33:25.205Z;46.7601479;6.8164695;11.72
2025-08-23T11:33:30.207Z;46.760488;6.8169705;9.89
2025-08-23T11:33:35.205Z;46.7607577;6.8172944;5.82
2025-08-23T11:33:38.205Z;46.7608698;6.8173721;4.04
2025-08-23T11:33:40.205Z;46.7608875;6.8173862;1.47
2025-08-23T11:33:45.205Z;46.7609035;6.817397;0.0
2025-08-23T11:33:50.206Z;46.7609035;6.817397;0.0
2025-08-23T11:33:52.205Z;46.7609035;6.817397;0.0
2025-08-23T11:33:55.206Z;46.7609035;6.817397;0.0
2025-08-23T11:34:00.208Z;46.7609035;6.817397;0.0
2025-08-23T11:34:05.205Z;46.7609035;6.817397;0.0
2025-08-23T11:34:10.206Z;46.7609035;6.817397;0.0
2025-08-23T11:34:15.207Z;46.7609035;6.817397;0.0
2025-08-23T11:34:20.206Z;46.7609035;6.817397;0.0
2025-08-23T11:34:25.207Z;46.7609035;6.817397;0.0
2025-08-23T11:34:30.206Z;46.7609035;6.817397;0.0
2025-08-23T11:34:35.206Z;46.7609035;6.817397;0.0
2025-08-23T11:34:37.206Z;46.7609035;6.817397;0.0
2025-08-23T11:34:40.205Z;46.7609035;6.817397;0.0
2025-08-23T11:34:45.206Z;46.7609035;6.817397;0.0
2025-08-23T11:34:50.205Z;46.7609035;6.817397;0.0
2025-08-23T11:34:55.205Z;46.7609035;6.817397;0.0
2025-08-23T11:35:00.206Z;46.7609035;6.817397;0.0
2025-08-23T11:35:05.205Z;46.7609048;6.8173972;0.0
2025-08-23T11:35:10.204Z;46.7609048;6.8173972;0.0
2025-08-23T11:35:15.206Z;46.7609048;6.8173972;0.0
2025-08-23T11:35:20.204Z;46.7609048;6.8173972;0.0
2025-08-23T11:35:25.204Z;46.7609048;6.8173972;0.0
2025-08-23T11:35:30.206Z;46.7609048;6.8173972;0.0
