time;latitude;longitude;velocity
2025-08-27T04:16:26.408Z;47.4374107;8.2116771;0.02
2025-08-27T04:16:31.418Z;47.4374103;8.2116763;0.0
2025-08-27T04:16:36.408Z;47.4374103;8.2116763;0.0
2025-08-27T04:16:39.417Z;47.4373645;8.211568;1.07
2025-08-27T04:16:41.409Z;47.4373459;8.2114276;2.8
2025-08-27T04:16:46.408Z;47.4372988;8.2108984;7.57
2025-08-27T04:16:51.407Z;47.4372297;8.2102041;10.4
2025-08-27T04:16:56.412Z;47.4372333;8.2097469;7.9
2025-08-27T04:17:01.420Z;47.4371414;8.2094968;5.43
2025-08-27T04:17:06.407Z;47.4369052;8.2097073;5.84
2025-08-27T04:17:11.410Z;47.4365108;8.2097955;8.21
2025-08-27T04:17:16.418Z;47.4359698;8.2099342;11.34
2025-08-27T04:17:21.405Z;47.435355;8.2100883;13.89
2025-08-27T04:17:26.406Z;47.4346772;8.2102616;15.39
2025-08-27T04:17:31.405Z;47.4339485;8.2104452;16.21
2025-08-27T04:17:36.418Z;47.4332181;8.2105799;16.26
2025-08-27T04:17:41.418Z;47.4325799;8.2106635;15.27
2025-08-27T04:17:45.410Z;47.4322439;8.2109034;12.14
2025-08-27T04:17:46.422Z;47.4321803;8.2109527;10.94
2025-08-27T04:17:47.403Z;47.4321213;8.21099;9.57
2025-08-27T04:17:51.414Z;47.4319685;8.2108385;5.86
2025-08-27T04:17:56.407Z;47.4319113;8.210398;6.5
2025-08-27T04:18:01.418Z;47.4320771;8.2097669;9.58
2025-08-27T04:18:06.409Z;47.4323982;8.209142;11.81
2025-08-27T04:18:11.404Z;47.43277;8.2086106;11.7
2025-08-27T04:18:16.415Z;47.433159;8.2080724;11.63
2025-08-27T04:18:21.405Z;47.4335193;8.2075668;11.58
2025-08-27T04:18:26.418Z;47.4337856;8.2071961;8.94
2025-08-27T04:18:31.414Z;47.4338598;8.2070958;2.88
2025-08-27T04:18:36.419Z;47.4338567;8.2070997;0.09
