time;latitude;longitude;velocity
2025-08-28T06:06:14.413Z;47.5294229;7.6928525;11.77
2025-08-28T06:06:19.423Z;47.5297798;7.6924005;7.55
2025-08-28T06:06:24.421Z;47.5300177;7.6924075;4.35
2025-08-28T06:06:29.425Z;47.5301747;7.6923047;2.63
2025-08-28T06:06:34.409Z;47.5302646;7.6922283;2.02
2025-08-28T06:06:39.411Z;47.5303183;7.6922005;0.44
2025-08-28T06:06:44.407Z;47.5303302;7.6921951;0.0
2025-08-28T06:06:49.418Z;47.5303452;7.692187;0.94
2025-08-28T06:06:54.411Z;47.5304077;7.6921586;1.85
2025-08-28T06:06:59.415Z;47.530511;7.6921036;2.24
2025-08-28T06:07:04.407Z;47.5306179;7.6920273;2.96
2025-08-28T06:07:09.407Z;47.5307517;7.6919037;3.58
2025-08-28T06:07:14.421Z;47.5308741;7.6917631;3.24
2025-08-28T06:07:19.406Z;47.5309906;7.6915686;3.88
2025-08-28T06:07:24.408Z;47.5310713;7.6913847;3.19
2025-08-28T06:07:29.416Z;47.5311371;7.6911689;3.19
2025-08-28T06:07:31.411Z;47.531159;7.6910801;3.19
2025-08-28T06:07:34.407Z;47.5311869;7.6909351;3.38
2025-08-28T06:07:39.416Z;47.5312082;7.6907146;3.27
2025-08-28T06:07:44.425Z;47.5312239;7.6904557;4.33
2025-08-28T06:07:49.415Z;47.5312418;7.6900656;6.88
2025-08-28T06:07:54.420Z;47.5312719;7.6895129;8.94
2025-08-28T06:07:59.421Z;47.5313106;7.6888493;10.63
2025-08-28T06:08:04.412Z;47.5313275;7.6881326;10.55
2025-08-28T06:08:09.425Z;47.5313358;7.6874643;8.19
2025-08-28T06:08:14.420Z;47.5313331;7.6869967;5.08
2025-08-28T06:08:19.425Z;47.5313301;7.6868135;0.6
2025-08-28T06:08:24.406Z;47.5313255;7.6866394;4.69
2025-08-28T06:08:29.418Z;47.5311389;7.6864917;5.6
2025-08-28T06:08:34.413Z;47.5307749;7.6865733;8.99
2025-08-28T06:08:39.424Z;47.5303208;7.6866697;10.52
2025-08-28T06:08:44.418Z;47.5298314;7.6867775;10.46
2025-08-28T06:08:45.426Z;47.5297338;7.6867998;10.05
2025-08-28T06:08:49.420Z;47.5294265;7.6868622;8.35
2025-08-28T06:08:54.409Z;47.5291307;7.6869245;4.3
2025-08-28T06:08:59.408Z;47.5290345;7.6869457;0.16
2025-08-28T06:09:04.408Z;47.5290435;7.6869437;0.0
2025-08-28T06:09:09.416Z;47.5290435;7.6869437;0.0
2025-08-28T06:09:14.415Z;47.5290435;7.6869437;0.0
2025-08-28T06:09:19.405Z;47.5290435;7.6869437;0.0
2025-08-28T06:09:24.421Z;47.5290435;7.6869437;0.0
2025-08-28T06:09:29.406Z;47.5290435;7.6869437;0.0
2025-08-28T06:09:34.413Z;47.5290435;7.6869437;0.0
2025-08-28T06:09:39.415Z;47.5290435;7.6869437;0.0
2025-08-28T06:09:44.420Z;47.5290435;7.6869437;0.0
2025-08-28T06:09:49.411Z;47.5290435;7.6869437;0.0
2025-08-28T06:09:54.412Z;47.5289878;7.6869583;3.38
2025-08-28T06:09:59.420Z;47.5287224;7.6870157;7.19
2025-08-28T06:10:02.416Z;47.5284874;7.687068;9.66
2025-08-28T06:10:04.425Z;47.5283161;7.6871114;10.71
2025-08-28T06:10:09.418Z;47.5278315;7.6872448;9.86
2025-08-28T06:10:13.418Z;47.5274442;7.6873196;10.85
2025-08-28T06:10:14.408Z;47.527363;7.6873346;10.44
2025-08-28T06:10:19.424Z;47.5269002;7.6875469;11.6
2025-08-28T06:10:24.406Z;47.5264204;7.6880199;12.38
2025-08-28T06:10:27.409Z;47.5261678;7.6883042;11.3
2025-08-28T06:10:29.413Z;47.5260011;7.6884991;10.52
2025-08-28T06:10:34.415Z;47.5256633;7.6888771;7.99
2025-08-28T06:10:39.415Z;47.5254511;7.6890945;4.16
2025-08-28T06:10:44.407Z;47.5253874;7.6891417;0.27
2025-08-28T06:10:49.411Z;47.5253804;7.6891464;0.0
2025-08-28T06:10:54.416Z;47.5253804;7.6891464;0.0
2025-08-28T06:10:59.409Z;47.5253804;7.6891464;0.0
2025-08-28T06:11:04.415Z;47.5253804;7.6891464;1.13
2025-08-28T06:11:09.405Z;47.5252732;7.689206;3.77
2025-08-28T06:11:14.407Z;47.5250982;7.6891721;3.33
2025-08-28T06:11:19.407Z;47.52494;7.6893;4.88
2025-08-28T06:11:24.405Z;47.5247717;7.6896561;6.27
2025-08-28T06:11:29.412Z;47.5245815;7.6898706;5.44
2025-08-28T06:11:34.412Z;47.5244023;7.6901729;5.69
2025-08-28T06:11:39.425Z;47.5240889;7.6901924;7.27
2025-08-28T06:11:44.415Z;47.5237718;7.6902485;6.88
2025-08-28T06:11:49.415Z;47.5235319;7.6903465;7.02
2025-08-28T06:11:54.413Z;47.52327;7.690735;6.38
2025-08-28T06:11:59.417Z;47.5231443;7.6910486;4.02
2025-08-28T06:12:04.406Z;47.5231068;7.6911636;0.38
2025-08-28T06:12:09.410Z;47.5231029;7.6911764;0.0
2025-08-28T06:12:14.407Z;47.5231029;7.6911764;0.0
2025-08-28T06:12:19.409Z;47.5231029;7.6911764;0.0
2025-08-28T06:12:24.413Z;47.5231029;7.6911764;0.0
2025-08-28T06:12:29.416Z;47.5231029;7.6911764;0.0
2025-08-28T06:12:34.406Z;47.5231029;7.6911764;0.0
2025-08-28T06:12:39.412Z;47.5231029;7.6911764;0.0
2025-08-28T06:12:44.409Z;47.5231029;7.6911764;0.0
2025-08-28T06:12:49.414Z;47.5231029;7.6911764;0.0
2025-08-28T06:12:54.421Z;47.5231029;7.6911764;0.0
2025-08-28T06:12:59.407Z;47.5231029;7.6911764;0.0
2025-08-28T06:13:04.412Z;47.5231029;7.6911764;0.0
2025-08-28T06:13:09.410Z;47.5231029;7.6911764;0.0
2025-08-28T06:13:14.413Z;47.5231029;7.6911764;0.0
2025-08-28T06:13:19.410Z;47.5231029;7.6911764;0.0
2025-08-28T06:13:24.416Z;47.5231029;7.6911764;0.0
2025-08-28T06:13:29.407Z;47.5231029;7.6911764;0.0
2025-08-28T06:13:34.417Z;47.5231029;7.6911764;0.0
2025-08-28T06:13:39.406Z;47.5231029;7.6911764;0.0
2025-08-28T06:13:44.412Z;47.5231029;7.6911764;0.0
2025-08-28T06:13:49.419Z;47.5231029;7.6911764;0.0
2025-08-28T06:13:54.405Z;47.5231029;7.6911764;0.0
2025-08-28T06:13:59.424Z;47.5231029;7.6911764;0.0
2025-08-28T06:14:04.408Z;47.5231029;7.6911764;0.0
2025-08-28T06:14:09.411Z;47.5231029;7.6911764;0.0
2025-08-28T06:14:14.416Z;47.5231029;7.6911764;0.0
2025-08-28T06:14:19.417Z;47.5231029;7.6911764;0.0
2025-08-28T06:14:24.406Z;47.5231029;7.6911764;0.0
2025-08-28T06:14:29.418Z;47.5231029;7.6911764;0.0
2025-08-28T06:14:34.409Z;47.5231029;7.6911764;0.0
2025-08-28T06:14:39.413Z;47.5231029;7.6911764;0.0
2025-08-28T06:14:44.417Z;47.5231029;7.6911764;0.0
2025-08-28T06:14:49.406Z;47.5231029;7.6911764;0.0
2025-08-28T06:14:54.419Z;47.5231029;7.6911764;0.0
2025-08-28T06:14:59.407Z;47.5231029;7.6911774;0.0
2025-08-28T06:15:04.414Z;47.5230907;7.6912594;2.6
2025-08-28T06:15:09.407Z;47.5230468;7.691571;5.77
2025-08-28T06:15:12.408Z;47.5230416;7.6918452;7.19
2025-08-28T06:15:14.412Z;47.5230348;7.6920118;6.63
2025-08-28T06:15:19.417Z;47.5230206;7.6924523;5.71
2025-08-28T06:15:24.406Z;47.5230023;7.6928916;6.58
2025-08-28T06:15:29.412Z;47.5229912;7.6933392;6.52
2025-08-28T06:15:34.412Z;47.5230011;7.6937608;6.3
2025-08-28T06:15:39.424Z;47.5229749;7.6941777;6.02
2025-08-28T06:15:40.407Z;47.5229523;7.6942598;5.85
2025-08-28T06:15:44.415Z;47.5228949;7.6945986;6.41
2025-08-28T06:15:49.414Z;47.5228511;7.6950228;7.05
2025-08-28T06:15:54.406Z;47.5228372;7.6955456;7.63
2025-08-28T06:15:57.406Z;47.5228265;7.6958551;7.71
2025-08-28T06:15:59.414Z;47.5228224;7.6960652;7.58
2025-08-28T06:16:04.414Z;47.5228207;7.6965479;6.52
2025-08-28T06:16:09.412Z;47.5228929;7.6969629;6.11
2025-08-28T06:16:14.413Z;47.5231307;7.6971733;6.21
2025-08-28T06:16:19.419Z;47.5234301;7.697185;6.49
2025-08-28T06:16:24.415Z;47.5237186;7.6971856;6.27
2025-08-28T06:16:29.424Z;47.5239753;7.697214;3.85
2025-08-28T06:16:34.408Z;47.5240878;7.6972303;2.24
2025-08-28T06:16:39.415Z;47.5242877;7.6972681;6.38
2025-08-28T06:16:44.414Z;47.5246203;7.6973177;6.94
2025-08-28T06:16:49.414Z;47.524945;7.6973533;7.3
2025-08-28T06:16:54.417Z;47.5252906;7.6973909;7.44
2025-08-28T06:16:59.413Z;47.5255727;7.6974266;4.86
2025-08-28T06:17:04.409Z;47.5257182;7.6975556;3.66
2025-08-28T06:17:09.422Z;47.5258287;7.6973704;3.8
2025-08-28T06:17:14.411Z;47.5257778;7.6969184;7.27
2025-08-28T06:17:18.410Z;47.525817;7.696456;9.27
2025-08-28T06:17:19.406Z;47.5258265;7.6963176;9.13
2025-08-28T06:17:24.406Z;47.525875;7.6957329;8.63
2025-08-28T06:17:29.411Z;47.5259093;7.6952452;5.85
2025-08-28T06:17:34.409Z;47.5259409;7.6948482;6.02
2025-08-28T06:17:39.416Z;47.5259769;7.6945525;2.55
2025-08-28T06:17:44.415Z;47.5260053;7.6944092;2.44
2025-08-28T06:17:49.421Z;47.5260694;7.6942109;4.21
2025-08-28T06:17:54.408Z;47.526006;7.6938294;6.63
2025-08-28T06:17:57.410Z;47.5260119;7.6935349;7.3
2025-08-28T06:17:59.410Z;47.5260137;7.6933383;6.8
2025-08-28T06:18:04.412Z;47.5260235;7.692866;6.63
2025-08-28T06:18:09.408Z;47.5258363;7.6924554;7.22
2025-08-28T06:18:14.415Z;47.5256826;7.6920025;8.1
2025-08-28T06:18:16.419Z;47.5256041;7.6917969;8.24
2025-08-28T06:18:19.408Z;47.5254851;7.6914844;8.55
2025-08-28T06:18:24.416Z;47.5253247;7.691036;6.44
2025-08-28T06:18:29.414Z;47.5252608;7.6907786;2.66
2025-08-28T06:18:34.421Z;47.5252142;7.6905209;5.02
2025-08-28T06:18:37.414Z;47.5251902;7.6902692;6.11
2025-08-28T06:18:39.407Z;47.5251825;7.6901357;5.99
2025-08-28T06:18:44.406Z;47.5251837;7.68972;6.21
2025-08-28T06:18:49.405Z;47.5253351;7.6892703;8.05
2025-08-28T06:18:51.416Z;47.5254704;7.6891601;9.1
2025-08-28T06:18:54.412Z;47.5257036;7.6888932;10.33
2025-08-28T06:18:59.410Z;47.5260792;7.6884762;11.08
2025-08-28T06:19:04.412Z;47.5265296;7.6880158;11.27
2025-08-28T06:19:09.410Z;47.5269017;7.687653;8.94
2025-08-28T06:19:14.420Z;47.5271871;7.6875148;3.99
2025-08-28T06:19:19.412Z;47.5272567;7.6874972;0.08
2025-08-28T06:19:24.408Z;47.527257;7.6874972;0.0
2025-08-28T06:19:29.411Z;47.5273593;7.6874732;4.58
2025-08-28T06:19:34.422Z;47.5276687;7.6874086;7.66
2025-08-28T06:19:39.407Z;47.5279801;7.68734;5.24
2025-08-28T06:19:43.406Z;47.5281186;7.6873086;3.35
2025-08-28T06:19:44.406Z;47.5281424;7.6873031;2.88
2025-08-28T06:19:49.408Z;47.5282019;7.6872901;0.08
2025-08-28T06:19:54.410Z;47.5282023;7.6872901;0.0
2025-08-28T06:19:59.417Z;47.5282023;7.6872901;0.0
2025-08-28T06:20:04.406Z;47.5282023;7.6872901;0.0
2025-08-28T06:20:09.418Z;47.5282023;7.6872901;0.0
2025-08-28T06:20:14.416Z;47.5282023;7.6872901;0.0
2025-08-28T06:20:19.412Z;47.5282023;7.6872901;0.0
2025-08-28T06:20:24.407Z;47.5282023;7.6872901;0.0
2025-08-28T06:20:29.412Z;47.5282023;7.6872901;0.0
2025-08-28T06:20:34.412Z;47.528334;7.6872623;5.27
2025-08-28T06:20:39.421Z;47.528655;7.6871959;8.33
2025-08-28T06:20:40.414Z;47.5287154;7.6871825;9.19
2025-08-28T06:20:44.416Z;47.5291144;7.6870722;11.13
2025-08-28T06:20:49.406Z;47.5296304;7.6869584;11.63
2025-08-28T06:20:54.418Z;47.530164;7.6868618;11.66
2025-08-28T06:20:59.410Z;47.5306756;7.686757;10.19
2025-08-28T06:21:04.418Z;47.5310889;7.6866763;7.27
2025-08-28T06:21:09.412Z;47.531273;7.686879;5.52
2025-08-28T06:21:14.422Z;47.531293;7.6874381;9.66
2025-08-28T06:21:19.415Z;47.5312907;7.6882266;13.05
2025-08-28T06:21:24.407Z;47.5312475;7.689172;14.02
2025-08-28T06:21:29.407Z;47.5312021;7.6901028;14.13
2025-08-28T06:21:34.416Z;47.5311185;7.6910527;13.41
2025-08-28T06:21:39.407Z;47.5308115;7.6917442;12.05
2025-08-28T06:21:44.416Z;47.5303978;7.6920901;8.44
2025-08-28T06:21:49.414Z;47.5301104;7.6920513;5.27
2025-08-28T06:21:54.420Z;47.529914;7.6921815;5.38
2025-08-28T06:21:59.409Z;47.5296242;7.6924521;9.24
2025-08-28T06:22:04.410Z;47.5292788;7.6930721;12.88
2025-08-28T06:22:09.411Z;47.529147;7.6940079;15.08
2025-08-28T06:22:14.412Z;47.5290021;7.6950981;16.8
2025-08-28T06:22:19.407Z;47.5287748;7.6961949;17.85
2025-08-28T06:22:24.417Z;47.5285024;7.6973452;17.22
2025-08-28T06:22:29.422Z;47.5283905;7.6984722;16.8
2025-08-28T06:22:34.407Z;47.5282858;7.6995718;16.11
2025-08-28T06:22:39.418Z;47.5280926;7.7006292;15.24
2025-08-28T06:22:44.416Z;47.5279176;7.7015816;13.83
2025-08-28T06:22:49.411Z;47.5277294;7.7023915;11.77
2025-08-28T06:22:54.409Z;47.527556;7.7029687;7.08
2025-08-28T06:22:59.425Z;47.527382;7.7032573;4.86
2025-08-28T06:23:02.414Z;47.5274075;7.7035054;6.44
2025-08-28T06:23:04.408Z;47.5273411;7.7037301;8.16
2025-08-28T06:23:09.418Z;47.5271217;7.7043678;12.44
2025-08-28T06:23:14.416Z;47.5268574;7.7051741;15.16
2025-08-28T06:23:19.407Z;47.526584;7.7062506;16.91
2025-08-28T06:23:24.417Z;47.5264186;7.707377;17.6
