time;latitude;longitude;velocity
2025-08-28T10:06:20.020Z;47.5297903;8.0487193;16.63
2025-08-28T10:06:25.017Z;47.529069;8.0490835;17.1
2025-08-28T10:06:26.022Z;47.5289164;8.0491598;17.15
2025-08-28T10:06:30.024Z;47.5283167;8.0494571;17.21
2025-08-28T10:06:35.017Z;47.5275762;8.0498322;17.69
2025-08-28T10:06:40.025Z;47.5267821;8.050276;18.87
2025-08-28T10:06:45.027Z;47.5259937;8.0507345;18.85
2025-08-28T10:06:50.018Z;47.5252311;8.0511782;18.2
2025-08-28T10:06:55.019Z;47.5244294;8.0515335;18.37
2025-08-28T10:0time;latitude;longitude;velocity
2025-08-28T10:06:20.020Z;47.5297903;8.0487193;16.63
2025-08-28T10:06:25.017Z;47.529069;8.0490835;17.1
2025-08-28T10:06:26.022Z;47.5289164;8.0491598;17.15
2025-08-28T10:06:30.024Z;47.5283167;8.0494571;17.21
2025-08-28T10:06:35.017Z;47.5275762;8.0498322;17.69
2025-08-28T10:06:40.025Z;47.5267821;8.050276;18.87
2025-08-28T10:06:45.027Z;47.5259937;8.0507345;18.85
2025-08-28T10:06:50.018Z;47.5252311;8.0511782;18.2
2025-08-28T10:06:55.019Z;47.5244294;8.0515335;18.37
2025-08-28T10:07:00.018Z;47.5236882;8.0518673;17.51
2025-08-28T10:07:05.017Z;47.5229982;8.0521766;16.41
2025-08-28T10:07:10.023Z;47.5223185;8.0524656;15.23
2025-08-28T10:07:15.026Z;47.5217745;8.0527843;13.81
2025-08-28T10:07:20.028Z;47.5213346;8.0533798;13.24
2025-08-28T10:07:25.033Z;47.520982;8.0540565;12.81
2025-08-28T10:07:30.027Z;47.5206399;8.0545284;11.05
2025-08-28T10:07:35.019Z;47.5203002;8.0547877;8.59
2025-08-28T10:07:40.017Z;47.5201271;8.0549053;4.67
2025-08-28T10:07:45.028Z;47.5201204;8.0549104;0.26
2025-08-28T7:00.018Z;47.5236882;8.0518673;17.51
2025-08-28T10:07:05.017Z;47.5229982;8.0521766;16.41
2025-08-28T10:07:10.023Z;47.5223185;8.0524656;15.23
2025-08-28T10:07:15.026Z;47.5217745;8.0527843;13.81
2025-08-28T10:07:20.028Z;47.5213346;8.0533798;13.24
2025-08-28T10:07:25.033Z;47.520982;8.0540565;12.81
2025-08-28T10:07:30.027Z;47.5206399;8.0545284;11.05
2025-08-28T10:07:35.019Z;47.5203002;8.0547877;8.59
2025-08-28T10:07:40.017Z;47.5201271;8.0549053;4.67
2025-08-28T10:07:45.028Z;47.5201204;8.0549104;0.26
2025-08-28T10:07:50.018Z;47.5201204;8.0549104;0.0
2025-08-28T10:07:55.028Z;47.5201204;8.0549104;0.0
2025-08-28T10:08:00.028Z;47.5201204;8.0549104;0.0
2025-08-28T10:08:05.025Z;47.5201213;8.0549104;0.0
2025-08-28T10:08:10.017Z;47.5200377;8.0549921;1.62
2025-08-28T10:08:15.017Z;47.5198368;8.0552927;6.16
2025-08-28T10:08:20.019Z;47.5195557;8.0557415;9.14
2025-08-28T10:08:25.018Z;47.5192431;8.0562857;10.41
2025-08-28T10:08:30.029Z;47.5189417;8.0568905;11.32
2025-08-28T10:08:35.029Z;47.5186572;8.0574885;11.08
2025-08-28T10:10:07:50.018Z;47.5201204;8.0549104;0.0
2025-08-28T10:07:55.028Z;47.5201204;8.0549104;0.0
2025-08-28T10:08:00.028Z;47.5201204;8.0549104;0.0
2025-08-28T10:08:05.025Z;47.5201213;8.0549104;0.0
2025-08-28T10:08:10.017Z;47.5200377;8.0549921;1.62
2025-08-28T10:08:15.017Z;47.5198368;8.0552927;6.16
2025-08-28T10:08:20.019Z;47.5195557;8.0557415;9.14
2025-08-28T10:08:25.018Z;47.5192431;8.0562857;10.41
2025-08-28T10:08:30.029Z;47.5189417;8.0568905;11.32
2025-08-28T10:08:35.029Z;47.5186572;8.0574885;11.08
2025-08-28T10:08:40.020Z;47.5184365;8.0580451;9.87
2025-08-28T10:08:45.029Z;47.5182879;8.0585081;8.07
2025-08-28T10:08:50.033Z;47.5181807;8.0587961;5.3
2025-08-28T10:08:55.016Z;47.5181581;8.0589875;3.02
2025-08-28T10:09:00.030Z;47.5181591;8.0589759;0.53
2025-08-28T10:09:05.027Z;47.5181931;8.0588533;1.75
2025-08-28T10:09:10.027Z;47.5181779;8.0587498;1.41
2025-08-28T10:09:15.020Z;47.5181727;8.0587439;0.61
2025-08-28T10:09:20.035Z;47.5182418;8.05872;1.98
2025-08-28T10:09:25.017Z;47.5182904;8.0585711;2.48
2025-08-28T10:09:3008:40.020Z;47.5184365;8.0580451;9.87
2025-08-28T10:08:45.029Z;47.5182879;8.0585081;8.07
2025-08-28T10:08:50.033Z;47.5181807;8.0587961;5.3
2025-08-28T10:08:55.016Z;47.5181581;8.0589875;3.02
2025-08-28T10:09:00.030Z;47.5181591;8.0589759;0.53
2025-08-28T10:09:05.027Z;47.5181931;8.0588533;1.75
2025-08-28T10:09:10.027Z;47.5181779;8.0587498;1.41
2025-08-28T10:09:15.020Z;47.5181727;8.0587439;0.61
2025-08-28T10:09:20.035Z;47.5182418;8.05872;1.98
2025-08-28T10:09:25.017Z;47.5182904;8.0585711;2.48
2025-08-28T10:09:30.018Z;47.5183389;8.0585072;1.93
2025-08-28T10:09:35.026Z;47.5183733;8.0584343;1.07
2025-08-28T10:09:40.035Z;47.5183733;8.0584343;0.0
2025-08-28T10:09:45.028Z;47.5183733;8.0584343;0.0
2025-08-28T10:09:50.028Z;47.5183733;8.0584343;0.0
2025-08-28T10:09:55.021Z;47.5183733;8.0584343;0.0
2025-08-28T10:10:00.028Z;47.5183733;8.0584343;0.0
2025-08-28T10:10:05.021Z;47.518374;8.0584271;0.0
2025-08-28T10:10:10.026Z;47.5183746;8.0584036;0.44
2025-08-28T10:10:15.018Z;47.5183716;8.0584098;0.25
