time;latitude;longitude;velocity
2025-08-23T05:49:24.005Z;46.9494018;7.437533;5.55
2025-08-23T05:49:29.006Z;46.9493142;7.4372155;3.83
2025-08-23T05:49:34.006Z;46.9493049;7.4371678;0.05
2025-08-23T05:49:39.011Z;46.949305;7.4371676;0.0
2025-08-23T05:49:40.025Z;46.949305;7.4371676;0.0
2025-08-23T05:49:44.009Z;46.949305;7.4371676;0.0
2025-08-23T05:49:49.014Z;46.949305;7.4371676;0.0
2025-08-23T05:49:54.013Z;46.949297;7.4371337;0.44
2025-08-23T05:49:59.014Z;46.9492761;7.4370558;3.08
2025-08-23T05:50:04.019Z;46.9492862;7.4368345;3.58
2025-08-23T05:50:09.010Z;46.9494808;7.4367834;4.83
2025-08-23T05:50:14.021Z;46.94978;7.4366763;8.38
2025-08-23T05:50:19.012Z;46.9500315;7.4365886;5.35
2025-08-23T05:50:24.015Z;46.9501537;7.4364886;0.21
2025-08-23T05:50:29.023Z;46.9501574;7.4364835;0.0
2025-08-23T05:50:34.014Z;46.9501566;7.4364838;0.0
2025-08-23T05:50:39.024Z;46.9502459;7.4364102;4.08
2025-08-23T05:50:44.008Z;46.9505095;7.4361824;7.83
2025-08-23T05:50:49.014Z;46.9508119;7.4357785;9.86
2025-08-23T05:50:54.008Z;46.9511589;7.4353375;10.44
2025-08-23T05:50:59.011Z;46.9515564;7.4348816;10.27
2025-08-23T05:51:04.010Z;46.9518872;7.4344192;10.38
2025-08-23T05:51:09.012Z;46.9522424;7.4339316;10.55
2025-08-23T05:51:14.010Z;46.9525887;7.4334497;10.24
2025-08-23T05:51:19.021Z;46.9529043;7.433004;9.52
2025-08-23T05:51:24.005Z;46.9532177;7.4326214;8.19
2025-08-23T05:51:29.007Z;46.9533895;7.4323681;2.8
2025-08-23T05:51:34.010Z;46.9534381;7.4322927;0.63
2025-08-23T05:51:39.022Z;46.9534456;7.4322846;0.52
2025-08-23T05:51:44.013Z;46.9534902;7.4322176;2.38
2025-08-23T05:51:49.011Z;46.9535816;7.4320725;3.05
2025-08-23T05:51:54.025Z;46.9536222;7.4320087;0.1
2025-08-23T05:51:59.024Z;46.9536223;7.4320083;0.0
2025-08-23T05:52:01.011Z;46.9536238;7.4320055;0.35
2025-08-23T05:52:04.011Z;46.9536481;7.431958;1.3
2025-08-23T05:52:09.013Z;46.9537713;7.4317532;6.11
2025-08-23T05:52:14.014Z;46.9539442;7.431449;5.38
2025-08-23T05:52:15.026Z;46.9539656;7.431412;5.16
2025-08-23T05:52:19.020Z;46.9540798;7.4312249;4.33
2025-08-23T05:52:24.010Z;46.9541978;7.4310425;3.24
2025-08-23T05:52:29.020Z;46.9542877;7.4309038;1.83
2025-08-23T05:52:34.011Z;46.9543271;7.4308451;1.05
2025-08-23T05:52:39.009Z;46.9543993;7.4307455;3.52
2025-08-23T05:52:44.013Z;46.9545447;7.4305306;5.6
2025-08-23T05:52:49.020Z;46.9547346;7.4302033;6.77
2025-08-23T05:52:54.024Z;46.9549136;7.429835;7.1
2025-08-23T05:52:59.017Z;46.955053;7.4294306;6.44
2025-08-23T05:53:04.018Z;46.9551648;7.4290387;6.11
2025-08-23T05:53:09.014Z;46.9552656;7.4286647;6.55
2025-08-23T05:53:11.012Z;46.955309;7.4285019;6.46
2025-08-23T05:53:14.014Z;46.9553771;7.4282654;6.11
2025-08-23T05:53:19.022Z;46.9554875;7.4279348;4.96
2025-08-23T05:53:24.013Z;46.9555771;7.4276561;4.69
2025-08-23T05:53:29.011Z;46.9556552;7.4273978;4.05
2025-08-23T05:53:34.006Z;46.9557412;7.4271124;5.33
2025-08-23T05:53:39.010Z;46.9558605;7.4267234;8.3
2025-08-23T05:53:44.011Z;46.9560274;7.4261734;8.55
2025-08-23T05:53:49.008Z;46.9561701;7.4256809;7.96
2025-08-23T05:53:54.011Z;46.9562989;7.4252261;7.13
2025-08-23T05:53:59.007Z;46.9564117;7.42482;6.35
2025-08-23T05:54:04.021Z;46.9565121;7.4244242;6.08
2025-08-23T05:54:09.014Z;46.9566013;7.424122;3.88
2025-08-23T05:54:14.011Z;46.9567629;7.4241976;4.02
2025-08-23T05:54:19.009Z;46.9569982;7.4244042;7.46
2025-08-23T05:54:24.008Z;46.9573181;7.4247688;10.16
2025-08-23T05:54:29.013Z;46.9576637;7.4252297;10.71
2025-08-23T05:54:34.017Z;46.9580064;7.4256822;10.27
2025-08-23T05:54:39.017Z;46.9583454;7.4261286;9.94
2025-08-23T05:54:44.024Z;46.9586744;7.4265613;9.69
2025-08-23T05:54:45.014Z;46.9587569;7.4266708;9.38
2025-08-23T05:54:49.017Z;46.9589672;7.4269593;7.91
2025-08-23T05:54:54.017Z;46.9591636;7.427227;3.77
2025-08-23T05:54:59.011Z;46.9592068;7.4272904;0.05
2025-08-23T05:55:04.017Z;46.9592068;7.4272904;0.0
2025-08-23T05:55:09.013Z;46.9592091;7.4272961;0.0
2025-08-23T05:55:14.012Z;46.9592864;7.4273866;4.21
2025-08-23T05:55:19.010Z;46.9595247;7.4277094;8.88
2025-08-23T05:55:24.018Z;46.9598434;7.4281272;9.55
2025-08-23T05:55:29.018Z;46.9601676;7.4285501;10.19
2025-08-23T05:55:34.019Z;46.9604904;7.4289747;9.08
2025-08-23T05:55:39.011Z;46.9607885;7.4293615;8.49
2025-08-23T05:55:44.016Z;46.961067;7.4297182;8.49
2025-08-23T05:55:49.015Z;46.9613776;7.4301456;10.21
2025-08-23T05:55:54.010Z;46.9617368;7.430632;10.91
2025-08-23T05:55:59.025Z;46.9620878;7.4310946;10.27
2025-08-23T05:56:04.019Z;46.9624256;7.4315108;8.13
2025-08-23T05:56:09.015Z;46.9625872;7.4317501;3.05
2025-08-23T05:56:14.024Z;46.962629;7.4318265;0.08
2025-08-23T05:56:19.014Z;46.9626525;7.4318703;2.38
2025-08-23T05:56:24.009Z;46.9628001;7.4320691;5.52
2025-08-23T05:56:29.018Z;46.9630237;7.4319053;5.55
2025-08-23T05:56:34.007Z;46.9632156;7.4317493;3.71
2025-08-23T05:56:39.023Z;46.9633219;7.4316469;2.71
2025-08-23T05:56:44.013Z;46.9633554;7.4316165;0.19
2025-08-23T05:56:49.025Z;46.963358;7.4316142;0.0
2025-08-23T05:56:54.009Z;46.963358;7.4316142;0.0
2025-08-23T05:56:59.015Z;46.963358;7.4316142;0.0
time;latitude;longitude;velocity
2025-08-23T05:49:24.005Z;46.9494018;7.437533;5.55
2025-08-23T05:49:29.006Z;46.9493142;7.4372155;3.83
2025-08-23T05:49:34.006Z;46.9493049;7.4371678;0.05
2025-08-23T05:49:39.011Z;46.949305;7.4371676;0.0
